timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,178.39,181.86,177.01,181.02,181.02,3531556,0.0000,1.0
2023-02-06,176.99,179.32,176.37,177.55,177.55,2916609,0.0000,1.0
2023-02-03,176.93,181.34,176.22,178.82,178.82,4005655,0.0000,1.0
2023-02-02,177.86,180.05,176.19,179.3,179.3,4206190,0.0000,1.0
2023-02-01,171.33,178.51,171.225,176.59,176.59,4200290,0.0000,1.0
2023-01-31,168.93,171.52,168.9,171.47,171.47,2549376,0.0000,1.0
2023-01-30,169.1,171.15,168.34,168.93,168.93,3135567,0.0000,1.0
2023-01-27,169.07,172.03,168.4,170.83,170.83,2453351,0.0000,1.0
2023-01-26,169.94,170.95,166.86,170.74,170.74,3539873,0.0000,1.0
2023-01-25,166.62,168.73,164.21,168.45,168.45,2739823,0.0000,1.0
2023-01-24,167.91,170.03,167.36,168.86,168.86,2407052,0.0000,1.0
2023-01-23,166.54,170.25,165.62,169.66,169.66,3521865,0.0000,1.0
2023-01-20,163.82,165.24,161.045,165.17,165.17,3841850,0.0000,1.0
2023-01-19,165.56,165.64,162.1,163.13,163.13,3082471,0.0000,1.0
2023-01-18,168.53,169.38,165.9,166.0,166.0,2627740,0.0000,1.0
2023-01-17,167.91,169.17,166.045,166.91,166.91,3320258,0.0000,1.0
2023-01-13,167.5,169.43,166.42,168.98,168.98,1891182,0.0000,1.0
2023-01-12,170.02,170.64,167.1601,168.67,168.67,2478167,0.0000,1.0
2023-01-11,167.72,170.13,167.31,169.79,169.79,3068956,0.0000,1.0
2023-01-10,166.5,169.75,166.5,169.22,169.22,2351912,0.0000,1.0
2023-01-09,167.39,169.91,165.68,167.1,167.1,3734105,0.0000,1.0
2023-01-06,161.76,166.75,159.93,165.52,165.52,3483405,0.0000,1.0
2023-01-05,164.47,165.625,159.58,159.69,159.69,4750292,0.0000,1.0
2023-01-04,165.38,167.59,163.76,165.91,165.91,3477922,0.0000,1.0
2023-01-03,165.57,166.2,161.44,162.45,162.45,4475744,0.0000,1.0
2022-12-30,162.36,164.16,160.76,164.03,164.03,1619445,0.0000,1.0
2022-12-29,162.58,164.78,161.5,163.98,163.98,2148909,0.0000,1.0
2022-12-28,161.5,163.57,160.06,160.28,160.28,1500055,0.0000,1.0
2022-12-27,163.57,163.7,161.15,162.2,162.2,1932072,0.0000,1.0
2022-12-23,162.7,164.116,161.25,163.84,163.84,1498283,0.0000,1.0
2022-12-22,164.83,164.83,161.06,163.75,163.75,2972024,0.0000,1.0
2022-12-21,165.38,167.84,165.22,167.41,167.41,2181351,0.0000,1.0
2022-12-20,163.72,165.809,163.56,164.33,164.33,2102308,0.0000,1.0
2022-12-19,167.44,167.49,163.75,165.14,165.14,2621804,0.0000,1.0
2022-12-16,165.28,167.25,164.07,166.82,166.82,7411868,0.0000,1.0
2022-12-15,169.22,169.77,165.49,166.09,166.09,3984957,0.0000,1.0
2022-12-14,175.87,176.8505,170.11,171.68,171.68,3202492,0.0000,1.0
2022-12-13,178.01,179.95,173.68,175.49,175.49,4778090,0.0000,1.0
2022-12-12,169.17,172.34,167.74,172.26,172.26,2966840,0.0000,1.0
2022-12-09,168.47,170.36,167.9,168.68,168.68,2514922,0.0000,1.0
2022-12-08,167.07,169.8,165.92,169.65,169.65,2836326,0.0000,1.0
2022-12-07,166.29,168.48,165.01,166.01,166.01,1881647,0.0000,1.0
2022-12-06,167.75,168.45,165.3,166.51,166.51,3572231,0.0000,1.0
2022-12-05,167.86,168.9,166.78,167.84,167.84,2615764,0.0000,1.0
2022-12-02,167.2,168.79,165.24,168.63,168.63,3055210,0.7600,1.0
2022-12-01,173.21,173.21,169.7618,171.48,170.710622823071,3222188,0.0000,1.0
2022-11-30,164.555,172.19,162.695,171.91,171.138693547435,5396300,0.0000,1.0
2022-11-29,164.76,165.005,162.41,163.89,163.154676781392,2685792,0.0000,1.0
2022-11-28,164.89,167.3,162.5367,164.01,163.274138378889,3910864,0.0000,1.0
2022-11-25,169.04,169.5,166.98,167.09,166.340319381309,1698649,0.0000,1.0
2022-11-23,169.345,173.3,167.7,169.2,168.44085247063,3851895,0.0000,1.0
2022-11-22,165.18,168.8493,162.71,168.43,167.674307220025,5740000,0.0000,1.0
2022-11-21,161.16,162.01,159.15,159.24,158.525539878387,6276281,0.0000,1.0
2022-11-18,163.56,163.88,160.97,161.85,161.123829623945,4016639,0.0000,1.0
2022-11-17,158.45,161.69,158.09,161.47,160.745534565205,2836105,0.0000,1.0
2022-11-16,161.89,162.11,160.23,161.27,160.54643190271,3858973,0.0000,1.0
2022-11-15,167.46,167.86,162.56,165.17,164.428933821359,4158124,0.0000,1.0
2022-11-14,163.12,166.81,160.85,161.26,160.536476769585,4269694,0.0000,1.0
2022-11-11,159.4,164.89,159.31,164.06,163.323914044513,3211491,0.0000,1.0
2022-11-10,155.91,160.76,154.5,160.37,159.650469921483,5617349,0.0000,1.0
2022-11-09,149.14,150.835,147.59,148.23,147.564938308047,3696254,0.0000,1.0
2022-11-08,151.14,155.6,150.025,151.04,150.362330716099,4968267,0.0000,1.0
2022-11-07,145.81,149.19,143.88,148.93,148.261797626778,3981597,0.0000,1.0
2022-11-04,142.32,145.4,141.11,144.29,143.642615856898,5004337,0.0000,1.0
2022-11-03,139.4001,141.01,137.79,138.02,137.400747387685,3706415,0.0000,1.0
2022-11-02,145.44,147.81,141.02,141.24,140.606300253852,3327692,0.0000,1.0
2022-11-01,145.11,145.91,143.32,144.7,144.050776315013,2322752,0.0000,1.0
2022-10-31,143.81,143.8832,140.605,142.62,141.980108625066,3078341,0.0000,1.0
2022-10-28,141.5,145.99,141.15,144.88,144.229968711258,3482009,0.0000,1.0
2022-10-27,142.49,143.35,140.04,140.68,140.048812798867,4666560,0.0000,1.0
2022-10-26,142.77,145.65,140.54,141.38,140.745672117598,6726543,0.0000,1.0
