timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,82.35,82.75,81.71,82.66,82.66,3326389,0.0000,1.0
2023-02-06,82.3,82.93,82.0,82.56,82.56,2881388,0.0000,1.0
2023-02-03,83.0,83.69,82.065,82.28,82.28,2702855,0.0000,1.0
2023-02-02,82.37,83.0,81.09,82.31,82.31,5729365,0.0000,1.0
2023-02-01,82.74,83.84,82.53,83.37,83.37,5673931,0.0000,1.0
2023-01-31,81.56,82.98,81.11,82.85,82.85,5008056,0.0000,1.0
2023-01-30,83.13,83.33,81.93,82.25,82.25,4036494,0.0000,1.0
2023-01-27,85.3,85.67,83.34,83.63,83.63,3527733,0.0000,1.0
2023-01-26,86.09,86.26,82.81,84.9,84.9,4499614,0.0000,1.0
2023-01-25,84.83,85.6,84.14,85.57,85.57,3000432,0.0000,1.0
2023-01-24,84.65,85.91,83.1,85.77,85.77,2458202,0.0000,1.0
2023-01-23,84.7,84.72,83.24,84.35,84.35,4333122,0.0000,1.0
2023-01-20,85.39,85.625,83.96,84.75,84.75,10151391,0.0000,1.0
2023-01-19,85.18,87.0,85.09,85.31,85.31,3148538,0.0000,1.0
2023-01-18,88.0,88.3075,84.89,85.0,85.0,3522700,0.0000,1.0
2023-01-17,88.56,89.315,88.08,88.09,88.09,2744575,0.0000,1.0
2023-01-13,87.0,88.71,87.0,88.4,88.4,2488273,0.0000,1.0
2023-01-12,86.8,87.64,86.16,87.39,87.39,2813154,0.0000,1.0
2023-01-11,86.76,86.84,86.02,86.68,86.68,2692749,0.0000,1.0
2023-01-10,85.68,86.4,85.17,86.23,86.23,2614994,0.0000,1.0
2023-01-09,86.0,87.05,85.31,85.37,85.37,3936106,0.0000,1.0
2023-01-06,84.89,86.39,84.44,85.95,85.95,4058687,0.0000,1.0
2023-01-05,86.17,86.39,83.55,84.23,84.23,5359004,0.0000,1.0
2023-01-04,89.41,89.41,86.06,86.39,86.39,5116497,0.0000,1.0
2023-01-03,92.75,92.85,89.02,89.65,89.65,2286020,0.0000,1.0
2022-12-30,92.37,93.08,92.05,92.85,92.85,1659294,0.0000,1.0
2022-12-29,93.88,94.21,93.03,93.12,93.12,1497263,0.0000,1.0
2022-12-28,95.9,95.9,93.155,93.62,93.62,1576641,0.0000,1.0
2022-12-27,94.99,96.16,94.95,95.91,95.91,1465612,0.0000,1.0
2022-12-23,93.92,94.65,93.6466,94.62,94.62,1106755,0.0000,1.0
2022-12-22,94.12,94.26,91.96,93.49,93.49,1378415,0.0000,1.0
2022-12-21,93.23,94.49,92.61,94.27,94.27,1497233,0.0000,1.0
2022-12-20,92.72,93.91,92.3,92.94,92.94,1993272,0.0000,1.0
2022-12-19,93.0,94.1749,91.775,92.65,92.65,1965671,0.0000,1.0
2022-12-16,91.57,92.79,90.5281,92.31,92.31,8366202,0.0000,1.0
2022-12-15,92.1,93.27,91.97,92.42,92.42,2661647,0.0000,1.0
2022-12-14,94.28,94.605,92.59,92.8,92.8,2777178,0.0000,1.0
2022-12-13,94.4,94.7,92.62,93.23,93.23,2333344,0.0000,1.0
2022-12-12,92.04,93.51,91.22,93.33,93.33,2011106,0.0000,1.0
2022-12-09,92.5,93.38,91.83,91.88,91.88,2764088,0.0000,1.0
2022-12-08,94.0,94.145,91.76,92.4,92.4,1955974,0.0000,1.0
2022-12-07,91.22,93.37,91.2,93.17,93.17,3130873,0.0000,1.0
2022-12-06,90.67,92.09,89.84,90.85,90.85,2664401,0.0000,1.0
2022-12-05,90.72,92.46,89.95,90.77,90.77,3663645,0.0000,1.0
2022-12-02,91.01,92.15,90.16,91.71,91.71,3558362,0.0000,1.0
2022-12-01,97.7,97.9,91.21,91.32,91.32,5141188,0.0000,1.0
2022-11-30,96.96,97.85,95.05,97.5,97.5,4193514,0.0000,1.0
2022-11-29,96.69,97.8099,96.03,96.45,96.45,1661365,0.0000,1.0
2022-11-28,96.93,97.45,95.97,96.25,96.25,2120974,0.0000,1.0
2022-11-25,97.27,97.55,96.8512,97.4,97.4,748773,0.0000,1.0
2022-11-23,97.39,98.12,96.67,96.78,96.78,1657781,0.0000,1.0
2022-11-22,96.8,97.7799,96.31,97.67,97.67,2354671,0.0000,1.0
2022-11-21,95.25,97.39,94.17,96.11,96.11,3572401,0.0000,1.0
2022-11-18,95.03,95.6062,94.11,95.15,95.15,1983766,0.0000,1.0
2022-11-17,94.42,95.13,93.8368,94.6,94.6,1803671,0.0000,1.0
2022-11-16,94.01,95.7,93.8,95.19,95.19,2010234,0.0000,1.0
2022-11-15,94.68,94.85,92.96,94.53,94.53,2778894,0.4000,1.0
2022-11-14,93.39,96.08,93.1,94.28,93.8827388602128,2871696,0.0000,1.0
2022-11-11,94.72,95.22,91.74,93.07,92.6778373538397,2537863,0.0000,1.0
2022-11-10,95.4,95.9,93.44,94.28,93.8827388602128,2526530,0.0000,1.0
2022-11-09,95.79,96.2,92.62,93.06,92.6678794901506,2478303,0.0000,1.0
2022-11-08,95.81,96.7904,95.21,96.39,95.983848098599,2132866,0.0000,1.0
2022-11-07,95.2,95.66,94.27,95.6,95.1971768671653,2821912,0.0000,1.0
2022-11-04,97.88,98.28,94.98,95.19,94.7889044559149,2787144,0.0000,1.0
2022-11-03,95.48,97.23,94.36,96.28,95.8743115980196,1992866,0.0000,1.0
2022-11-02,95.95,97.89,94.89,95.8,95.396334140946,2797291,0.0000,1.0
2022-11-01,97.36,97.98,96.37,97.53,97.1190445591488,2324205,0.0000,1.0
2022-10-31,95.31,97.84,95.21,96.98,96.571362056252,4720755,0.0000,1.0
2022-10-28,94.02,95.46,93.44,94.88,94.4802106815548,1901058,0.0000,1.0
2022-10-27,94.27,96.13,93.79,94.13,93.7333709048773,3210633,0.0000,1.0
2022-10-26,92.07,94.13,91.89,93.59,93.1956462656694,3741650,0.0000,1.0
2022-10-25,90.23,91.66,88.56,91.14,90.7559696618561,4168153,0.0000,1.0
2022-10-24,89.99,90.46,89.11,89.28,88.9038070156958,2253123,0.0000,1.0
2022-10-21,87.62,90.06,87.24,89.69,89.3120794269462,2223011,0.0000,1.0
2022-10-20,89.0,89.71,88.03,88.33,87.9578099652375,3182210,0.0000,1.0
2022-10-19,87.98,88.7137,87.42,88.35,87.9777256926156,1786772,0.0000,1.0
2022-10-18,86.66,87.94,86.33,87.77,87.4001695986516,1912580,0.0000,1.0
2022-10-17,84.75,86.19,84.75,85.76,85.3986389971558,2484259,0.0000,1.0
2022-10-14,89.23,89.23,83.3,83.38,83.0286674391657,2997670,0.0000,1.0
2022-10-13,84.81,88.96,84.5,88.84,88.4656610133783,2066521,0.0000,1.0
2022-10-12,86.3,86.91,83.808,86.03,85.6675013167597,4447111,0.0000,1.0
2022-10-11,85.93,87.56,84.69,86.3,85.9363636363636,2587197,0.0000,1.0
2022-10-10,86.81,87.6,85.869,86.61,86.2450574107237,2261733,0.0000,1.0
2022-10-07,84.98,86.04,84.33,85.44,85.0799873591067,2396156,0.0000,1.0
2022-10-06,85.62,87.12,85.235,85.75,85.3886811334668,2512421,0.0000,1.0
2022-10-05,85.02,87.12,84.76,86.27,85.9064900452965,2244312,0.0000,1.0
2022-10-04,84.18,85.85,84.06,85.7,85.3388918150216,2378868,0.0000,1.0
2022-10-03,81.36,83.22,80.92,83.03,82.6801422100495,2619010,0.0000,1.0
2022-09-30,81.09,81.85,80.25,80.45,80.1110133782787,2436208,0.0000,1.0
2022-09-29,82.43,82.61,80.16,80.61,80.2703391973033,1818748,0.0000,1.0
2022-09-28,81.23,83.39,80.42,82.91,82.5606478457811,2075110,0.0000,1.0
2022-09-27,82.69,83.29,80.43,80.82,80.479454334773,3583975,0.0000,1.0
2022-09-26,81.2,83.24,80.96,81.51,81.1665469293163,3083997,0.0000,1.0
2022-09-23,84.51,84.51,80.24,81.65,81.3059570209628,3590182,0.0000,1.0
