timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,85.42,86.175,85.09,85.99,85.99,2005846,0.0000,1.0
2023-02-06,85.16,86.26,85.02,85.9,85.9,1863284,0.0000,1.0
2023-02-03,86.26,86.49,84.43,85.3,85.3,2301132,0.0000,1.0
2023-02-02,87.48,88.32,86.51,86.73,86.73,2296450,0.0000,1.0
2023-02-01,86.46,87.98,86.33,87.29,87.29,2930914,0.0000,1.0
2023-01-31,87.17,87.3,85.66,86.87,86.87,2479236,0.0000,1.0
2023-01-30,86.93,87.71,86.61,86.91,86.91,1821606,0.0000,1.0
2023-01-27,87.23,87.82,86.93,87.18,87.18,1122109,0.0000,1.0
2023-01-26,86.73,87.575,86.56,87.45,87.45,1138709,0.0000,1.0
2023-01-25,85.82,86.91,85.51,86.89,86.89,1575054,0.0000,1.0
2023-01-24,85.97,86.83,84.98,86.47,86.47,1118408,0.0000,1.0
2023-01-23,86.25,86.94,85.7,85.98,85.98,1478145,0.0000,1.0
2023-01-20,85.99,86.74,84.95,86.68,86.68,970882,0.0000,1.0
2023-01-19,86.65,86.65,85.74,86.04,86.04,937209,0.0000,1.0
2023-01-18,89.52,89.52,86.59,86.68,86.68,2359684,0.0000,1.0
2023-01-17,90.41,90.68,88.84,89.24,89.24,2124471,0.0000,1.0
2023-01-13,89.12,90.34,88.59,90.15,90.15,2667718,0.0000,1.0
2023-01-12,90.92,90.92,89.59,89.75,89.75,1091643,0.0000,1.0
2023-01-11,89.28,90.76,89.185,90.62,90.62,1427416,0.0000,1.0
2023-01-10,89.38,89.39,88.19,89.12,89.12,1055479,0.0000,1.0
2023-01-09,88.06,89.87,88.06,89.41,89.41,1479203,0.0000,1.0
2023-01-06,86.79,88.57,86.57,88.32,88.32,1587066,0.0000,1.0
2023-01-05,88.14,88.61,85.67,86.0,86.0,1361998,0.0000,1.0
2023-01-04,88.94,90.04,88.281,88.96,88.96,1349952,0.0000,1.0
2023-01-03,88.99,89.35,87.39,88.49,88.49,1084536,0.0000,1.0
2022-12-30,90.13,90.35,88.16,88.92,88.92,716588,0.0000,1.0
2022-12-29,89.96,90.43,89.74,90.01,90.01,805308,0.0000,1.0
2022-12-28,90.49,90.92,89.27,89.38,89.38,972933,0.0000,1.0
2022-12-27,89.77,90.4,89.2,90.28,90.28,1356744,0.0000,1.0
2022-12-23,88.14,89.65,88.14,89.53,89.53,791963,0.0000,1.0
2022-12-22,88.04,88.39,86.76,88.36,88.36,876267,0.0000,1.0
2022-12-21,87.31,88.63,87.14,88.6,88.6,918852,0.0000,1.0
2022-12-20,87.32,87.59,86.66,87.2,87.2,725020,0.0000,1.0
2022-12-19,87.45,88.06,86.74,87.3,87.3,836670,0.0000,1.0
2022-12-16,87.49,88.33,86.63,87.73,87.73,2888170,0.0000,1.0
2022-12-15,89.28,89.765,87.855,88.19,88.19,1400588,0.0000,1.0
2022-12-14,91.14,92.16,89.325,89.79,89.79,1485768,0.0000,1.0
2022-12-13,92.04,92.435,89.86,90.86,90.86,1269390,0.0000,1.0
2022-12-12,89.4,90.7,88.7107,90.69,90.69,1005587,0.0000,1.0
2022-12-09,87.81,89.16,87.785,88.61,88.61,1188516,0.0000,1.0
2022-12-08,86.51,88.33,86.32,88.18,88.18,1135995,0.0000,1.0
2022-12-07,87.21,87.68,86.26,86.61,86.61,1031184,0.0000,1.0
2022-12-06,86.46,87.32,86.02,87.29,87.29,1175802,0.5900,1.0
2022-12-05,87.38,87.66,86.86,87.25,86.6642296313154,842633,0.0000,1.0
2022-12-02,87.71,88.38,87.16,88.04,87.4489258079199,941877,0.0000,1.0
2022-12-01,90.16,90.89,88.62,88.7,88.1044947655894,1076075,0.0000,1.0
2022-11-30,87.07,89.63,86.88,89.32,88.720332271279,2240481,0.0000,1.0
2022-11-29,87.5,87.662,86.84,87.24,86.6542967683204,1011049,0.0000,1.0
2022-11-28,88.18,88.48,87.3,87.94,87.34959717797,1056524,0.0000,1.0
2022-11-25,88.49,88.96,88.38,88.81,88.2137562585344,350012,0.0000,1.0
2022-11-23,87.0,88.22,87.0,88.14,87.5482544378698,923233,0.0000,1.0
2022-11-22,87.02,87.91,86.59,87.23,86.6443639053254,957792,0.0000,1.0
2022-11-21,86.4,87.4,86.02,86.76,86.1775193445608,1578991,0.0000,1.0
2022-11-18,84.6,86.27,84.49,86.18,85.6014132908512,1689816,0.0000,1.0
2022-11-17,83.72,84.05,83.105,83.59,83.0288017751479,1492919,0.0000,1.0
2022-11-16,83.63,84.99,83.56,84.48,83.9128265817023,1193986,0.0000,1.0
2022-11-15,83.19,83.86,82.14,83.42,82.859943104233,823972,0.0000,1.0
2022-11-14,83.4,83.785,82.45,82.48,81.9262539827037,1276197,0.0000,1.0
2022-11-11,85.41,85.41,82.78,83.32,82.7606144742831,1479281,0.0000,1.0
2022-11-10,83.77,85.4,82.46,85.3,84.7273213472918,2052664,0.0000,1.0
2022-11-09,82.09,82.66,81.17,81.57,81.0223634501593,1972191,0.0000,1.0
2022-11-08,81.55,82.91,81.24,82.33,81.7772610377788,2195417,0.0000,1.0
2022-11-07,81.27,82.19,80.04,81.02,80.4760559854347,3203553,0.0000,1.0
2022-11-04,81.28,82.36,80.02,81.03,80.4859888484297,1777433,0.0000,1.0
2022-11-03,80.54,82.18,79.88,81.14,80.5952503413746,1937081,0.0000,1.0
2022-11-02,81.86,83.57,81.16,81.17,80.6250489303596,1683777,0.0000,1.0
2022-11-01,81.82,82.38,81.05,82.12,81.5686709148839,1125057,0.0000,1.0
2022-10-31,82.33,82.33,81.09,81.52,80.9726991351843,1178448,0.0000,1.0
2022-10-28,80.6,82.46,80.6,82.33,81.7772610377788,913278,0.0000,1.0
2022-10-27,80.05,81.34,79.89,80.28,79.7410241238052,1289965,0.0000,1.0
2022-10-26,80.01,80.4,79.21,79.51,78.9761936731907,947964,0.0000,1.0
2022-10-25,78.02,79.67,77.84,79.52,78.9861265361857,1884345,0.0000,1.0
2022-10-24,78.09,78.82,77.25,77.87,77.3472041420118,1959345,0.0000,1.0
2022-10-21,76.88,78.23,76.17,77.58,77.059151115157,1199584,0.0000,1.0
2022-10-20,78.28,78.28,76.27,76.62,76.1055962676377,1465751,0.0000,1.0
2022-10-19,78.34,79.26,77.785,78.56,78.0325716886664,907947,0.0000,1.0
2022-10-18,79.17,79.83,78.63,79.36,78.8272007282658,1224343,0.0000,1.0
2022-10-17,77.07,78.55,77.07,77.71,77.1882783340919,1191265,0.0000,1.0
2022-10-14,77.96,78.645,75.98,76.25,75.7380803368229,1239769,0.0000,1.0
2022-10-13,73.97,77.39,73.28,77.19,76.6717694583523,2599516,0.0000,1.0
2022-10-12,77.72,77.97,74.89,74.94,74.4368752844788,2327980,0.0000,1.0
2022-10-11,77.28,78.63,77.01,77.88,77.3571370050068,1649465,0.0000,1.0
2022-10-10,77.03,78.365,76.9,77.69,77.168412608102,1261156,0.0000,1.0
2022-10-07,78.94,79.17,76.52,76.96,76.4433136094675,1739881,0.0000,1.0
2022-10-06,81.13,81.13,78.58,78.84,78.3106918525262,1708661,0.0000,1.0
2022-10-05,83.0,83.0,80.89,81.44,80.8932362312244,1354630,0.0000,1.0
2022-10-04,82.84,84.18,82.5,84.07,83.5055791989076,1039469,0.0000,1.0
2022-10-03,81.78,83.25,81.03,82.75,82.1944412835685,1348526,0.0000,1.0
2022-09-30,83.01,83.25,80.34,80.55,80.00921142467,2197685,0.0000,1.0
2022-09-29,85.66,85.66,82.2,82.49,81.9361868456987,1473067,0.0000,1.0
2022-09-28,86.31,86.6,85.05,86.0,85.4226217569413,1286810,0.0000,1.0
2022-09-27,87.03,87.37,84.71,85.11,84.5385969503869,1604634,0.0000,1.0
2022-09-26,88.71,88.75,86.22,86.71,86.1278550295858,1852717,0.0000,1.0
2022-09-23,89.45,89.63,87.99,89.08,88.4819435593992,1149728,0.0000,1.0
2022-09-22,90.32,90.995,89.595,90.41,89.8030143377333,1276804,0.0000,1.0
2022-09-21,91.92,93.01,90.42,90.46,89.8526786527082,1793701,0.0000,1.0
2022-09-20,91.59,91.705,90.26,91.24,90.6274419663177,1257764,0.0000,1.0
2022-09-19,91.41,92.37,90.88,92.3,91.680325443787,873782,0.0000,1.0
2022-09-16,90.97,91.97,90.97,91.73,91.1141522530724,2386168,0.0000,1.0
2022-09-15,93.22,93.22,91.04,91.18,90.5678447883478,1106005,0.0000,1.0
2022-09-14,93.1,94.49,93.1,93.73,93.100724852071,958809,0.0000,1.0
2022-09-13,95.14,95.35,92.6,93.08,92.4550887573965,1155982,0.0000,1.0
2022-09-12,95.92,96.36,95.31,95.93,95.2859547109695,1050735,0.0000,1.0
2022-09-09,95.13,95.92,94.61,95.61,94.9681030951297,1443332,0.0000,1.0
2022-09-08,95.28,95.62,94.445,94.82,94.1834069185253,1111174,0.0000,1.0
2022-09-07,92.78,95.66,92.695,95.61,94.9681030951297,1359572,0.0000,1.0
2022-09-06,92.64,93.52,91.97,92.22,91.600862539827,993223,0.5900,1.0
2022-09-02,93.75,94.79,92.465,92.93,91.7192991684746,876088,0.0000,1.0
2022-09-01,92.76,93.91,92.275,93.86,92.6371830404931,935032,0.0000,1.0
2022-08-31,93.28,93.73,92.6,92.62,91.4133378778018,1628418,0.0000,1.0
2022-08-30,95.54,95.54,93.15,93.34,92.1239576496871,891464,0.0000,1.0
2022-08-29,94.25,95.91,93.75,95.25,94.0090739889939,956965,0.0000,1.0
2022-08-26,96.17,96.52,94.73,94.79,93.5550669125116,1098185,0.0000,1.0
2022-08-25,95.83,96.36,95.35,96.32,95.0651339277679,1571217,0.0000,1.0
2022-08-24,95.41,95.866,94.83,95.74,94.4926902226381,1212161,0.0000,1.0
2022-08-23,95.7,95.95,94.68,95.34,94.0979014604796,769797,0.0000,1.0
2022-08-22,96.83,97.11,95.555,95.83,94.5815176941237,1332073,0.0000,1.0
2022-08-19,96.93,97.53,96.475,97.35,96.081714990326,1380375,0.0000,1.0
2022-08-18,96.53,97.05,96.32,96.7,95.4401832518185,1193698,0.0000,1.0
2022-08-17,95.89,96.58,95.69,96.34,95.0848733658758,840208,0.0000,1.0
2022-08-16,95.8,96.86,95.68,96.02,94.769042356149,1238638,0.0000,1.0
2022-08-15,94.85,96.11,94.51,95.99,94.7394331989871,1046653,0.0000,1.0
2022-08-12,94.56,95.06,94.23,94.83,93.5945457887275,1740780,0.0000,1.0
2022-08-11,93.9,94.72,93.18,94.03,92.8049682644105,1319007,0.0000,1.0
2022-08-10,93.86,94.18,93.12,93.95,92.7260105119788,1508022,0.0000,1.0
2022-08-09,92.25,93.61,92.1,93.46,92.2423942783346,1056889,0.0000,1.0
2022-08-08,92.14,92.5,91.46,91.89,90.6928483868625,1246066,0.0000,1.0
2022-08-05,91.45,93.01,89.41,91.3,90.1105349626787,1580259,0.0000,1.0
2022-08-04,92.24,92.85,91.48,91.59,90.3967568152436,1546655,0.0000,1.0
2022-08-03,92.18,92.55,90.34,92.3,91.0975068680749,1610770,0.0000,1.0
2022-08-02,93.55,93.93,92.46,92.53,91.3245104063161,1352342,0.0000,1.0
2022-08-01,93.1,93.365,92.245,93.02,91.8081266399602,1197574,0.0000,1.0
2022-07-29,92.11,93.565,91.97,93.12,91.9068238304999,1002658,0.0000,1.0
2022-07-28,90.25,92.25,90.025,92.06,90.8606336107798,985154,0.0000,1.0
2022-07-27,89.14,89.56,88.6797,89.39,88.2254186233718,645955,0.0000,1.0
2022-07-26,88.12,89.57,88.12,89.4,88.2352883424258,652310,0.0000,1.0
2022-07-25,87.28,88.365,87.1,88.28,87.129879808382,658577,0.0000,1.0
2022-07-22,86.76,87.6,86.57,87.43,86.2909536887952,662304,0.0000,1.0
2022-07-21,85.62,86.34,85.3,86.31,85.1855451547513,885093,0.0000,1.0
2022-07-20,86.56,86.69,85.16,85.85,84.731538078269,1788148,0.0000,1.0
2022-07-19,86.69,87.01,86.345,86.47,85.3434606596147,1374181,0.0000,1.0
2022-07-18,87.4,87.71,86.36,86.42,85.2941120643449,894765,0.0000,1.0
2022-07-15,87.79,87.88,86.36,87.75,86.6067846985219,861127,0.0000,1.0
2022-07-14,85.56,87.2,85.44,87.05,85.9159043647446,887387,0.0000,1.0
2022-07-13,86.96,88.02,86.7,87.08,85.9455135219064,748099,0.0000,1.0
2022-07-12,87.41,88.768,87.29,87.52,86.3797811602808,1283755,0.0000,1.0
2022-07-11,87.29,88.485,86.9,87.92,86.7745699224393,1536560,0.0000,1.0
2022-07-08,88.11,88.45,87.425,87.75,86.6067846985219,1250039,0.0000,1.0
