timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,193.41,198.03,193.22,197.47,197.47,670284,0.0000,1.0
2023-02-06,192.68,194.71,192.02,194.55,194.55,610605,0.0000,1.0
2023-02-03,194.25,194.865,192.05,193.49,193.49,877660,0.0000,1.0
2023-02-02,196.59,196.59,191.05,194.68,194.68,1180335,0.0000,1.0
2023-02-01,195.77,198.065,194.03,196.28,196.28,1173901,0.0000,1.0
2023-01-31,195.65,196.3,193.75,195.72,195.72,1406262,0.0000,1.0
2023-01-30,193.52,196.625,193.52,195.3,195.3,641665,0.0000,1.0
2023-01-27,199.8,202.37,191.6,193.81,193.81,1322984,0.0000,1.0
2023-01-26,197.17,198.72,196.29,197.25,197.25,802536,0.0000,1.0
2023-01-25,196.5,197.715,194.69,197.15,197.15,572468,0.0000,1.0
2023-01-24,195.69,197.82,193.63,197.01,197.01,731655,0.0000,1.0
2023-01-23,194.4,196.415,193.4,195.88,195.88,476160,0.0000,1.0
2023-01-20,191.93,194.22,190.05,193.9,193.9,795713,0.0000,1.0
2023-01-19,191.13,192.1,190.34,190.89,190.89,461727,0.0000,1.0
2023-01-18,195.24,196.045,191.55,191.99,191.99,736689,0.0000,1.0
2023-01-17,197.13,198.47,195.23,195.65,195.65,702051,0.0000,1.0
2023-01-13,194.25,197.1,193.63,196.55,196.55,617987,0.0000,1.0
2023-01-12,196.07,196.86,193.03,194.99,194.99,678859,0.0000,1.0
2023-01-11,193.56,195.76,193.23,195.76,195.76,611309,0.0000,1.0
2023-01-10,191.93,193.08,190.8,192.68,192.68,428552,0.0000,1.0
2023-01-09,192.56,194.75,190.81,191.76,191.76,805675,0.0000,1.0
2023-01-06,187.99,192.79,187.5,192.02,192.02,471273,0.0000,1.0
2023-01-05,189.19,190.02,185.45,186.44,186.44,676589,0.0000,1.0
2023-01-04,188.57,190.35,187.8,189.74,189.74,632905,0.0000,1.0
2023-01-03,188.74,189.37,185.41,187.26,187.26,546556,0.0000,1.0
2022-12-30,189.37,189.92,186.6125,188.54,188.54,353161,0.0000,1.0
2022-12-29,189.4,191.2,188.87,190.17,190.17,435471,0.0000,1.0
2022-12-28,189.93,191.0,187.85,187.95,187.95,433988,0.0000,1.0
2022-12-27,188.99,190.07,188.21,189.28,189.28,425234,0.0000,1.0
2022-12-23,187.61,188.85,186.77,188.41,188.41,351119,0.0000,1.0
2022-12-22,188.43,189.16,185.86,188.03,188.03,496124,0.0000,1.0
2022-12-21,188.0,189.55,187.22,189.48,189.48,595797,0.0000,1.0
2022-12-20,186.33,188.2,184.82,186.89,186.89,570657,0.0000,1.0
2022-12-19,186.32,187.66,184.33,185.09,185.09,615764,0.0000,1.0
2022-12-16,186.32,187.23,183.64,186.35,186.35,1736179,0.0000,1.0
2022-12-15,190.54,191.235,186.79,188.1,188.1,767013,0.0000,1.0
2022-12-14,194.07,197.59,192.1815,193.11,193.11,798739,0.0000,1.0
2022-12-13,197.23,197.24,192.93,193.85,193.85,662219,0.0000,1.0
2022-12-12,192.55,193.74,191.2,193.74,193.74,750198,0.0000,1.0
2022-12-09,194.85,195.415,191.6,191.83,191.83,776550,0.0000,1.0
2022-12-08,193.78,195.87,193.56,195.03,195.03,770596,0.0000,1.0
2022-12-07,196.44,196.77,193.38,193.96,193.96,1029417,0.0000,1.0
2022-12-06,196.98,197.4,194.66,195.98,195.98,562757,0.0000,1.0
2022-12-05,199.79,200.52,196.17,196.83,196.83,853940,0.0000,1.0
2022-12-02,197.92,201.51,197.17,201.26,201.26,745478,0.0000,1.0
2022-12-01,200.0,200.76,198.14,199.72,199.72,782373,0.5100,1.0
2022-11-30,194.58,199.37,194.03,199.11,198.602852719373,2653444,0.0000,1.0
2022-11-29,196.24,197.69,195.13,195.68,195.181589172452,782325,0.0000,1.0
2022-11-28,198.32,199.225,196.23,196.43,195.9296788693,852825,0.0000,1.0
2022-11-25,198.0,199.61,197.7729,199.29,198.782394246616,633917,0.0000,1.0
2022-11-23,197.3,198.54,196.43,197.32,196.817411976227,526277,0.0000,1.0
2022-11-22,195.95,198.02,195.95,197.23,196.727641212606,615130,0.0000,1.0
2022-11-21,194.52,196.62,194.0,195.75,195.251410877491,899165,0.0000,1.0
2022-11-18,192.54,194.775,191.8,194.33,193.835027718124,990839,0.0000,1.0
2022-11-17,188.99,191.11,188.12,190.27,189.78536882585,557540,0.0000,1.0
2022-11-16,187.23,190.27,187.23,189.51,189.02730459971,738281,0.0000,1.0
2022-11-15,187.42,188.98,186.41,187.78,187.301711032313,940214,0.0000,1.0
2022-11-14,186.91,188.66,185.71,185.77,185.296830644759,889343,0.0000,1.0
2022-11-11,193.75,193.94,185.43,186.0,185.526244818459,1296948,0.0000,1.0
2022-11-10,194.005,194.58,191.44,193.0,192.508415322379,1176049,0.0000,1.0
2022-11-09,192.17,193.1199,188.52,188.58,188.099673375618,538950,0.0000,1.0
2022-11-08,192.22,194.7599,190.41,192.39,191.899969035609,791882,0.0000,1.0
2022-11-07,188.92,192.46,187.72,191.99,191.500987863956,716650,0.0000,1.0
2022-11-04,189.02,189.02,184.64,188.39,187.910157319083,836136,0.0000,1.0
2022-11-03,183.86,187.91,183.61,187.35,186.872806272786,711716,0.0000,1.0
2022-11-02,186.81,188.9,184.31,185.35,184.877900414523,1153195,0.0000,1.0
2022-11-01,188.08,189.2,186.23,187.42,186.942627977826,1074649,0.0000,1.0
2022-10-31,188.13,189.96,186.93,187.08,186.603493981921,964520,0.0000,1.0
2022-10-28,185.0,188.71,182.27,188.58,188.099673375618,1292617,0.0000,1.0
2022-10-27,176.99,178.49,175.91,177.53,177.077818508715,1272905,0.0000,1.0
2022-10-26,176.4,177.82,174.43,175.91,175.461944763522,815472,0.0000,1.0
