timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,119.71,120.64,117.17,120.26,120.26,507155,0.0000,1.0
2023-02-06,121.97,123.2,120.68,120.87,120.87,475940,0.0000,1.0
2023-02-03,120.41,123.31,120.335,122.93,122.93,673453,0.0000,1.0
2023-02-02,121.23,123.46,120.455,121.74,121.74,988266,0.0000,1.0
2023-02-01,116.53,120.63,115.8,120.05,120.05,634800,0.0000,1.0
2023-01-31,115.11,117.58,114.14,117.55,117.55,691151,0.0000,1.0
2023-01-30,113.37,115.27,113.085,114.45,114.45,554442,0.0000,1.0
2023-01-27,112.72,114.855,112.72,114.28,114.28,531709,0.0000,1.0
2023-01-26,114.0,114.84,112.96,113.25,113.25,396596,0.0000,1.0
2023-01-25,112.11,113.44,111.89,113.35,113.35,296149,0.0000,1.0
2023-01-24,111.625,113.74,110.82,113.39,113.39,382844,0.0000,1.0
2023-01-23,111.73,112.72,111.17,112.09,112.09,482244,0.0000,1.0
2023-01-20,108.73,111.485,108.6,111.3,111.3,674301,0.0000,1.0
2023-01-19,110.39,110.39,108.065,108.26,108.26,573827,0.0000,1.0
2023-01-18,113.13,114.05,110.51,110.96,110.96,760023,0.0000,1.0
2023-01-17,113.84,114.04,112.46,112.79,112.79,485626,0.0000,1.0
2023-01-13,112.96,114.37,111.66,113.76,113.76,559258,0.0000,1.0
2023-01-12,114.33,114.33,112.86,113.51,113.51,488148,0.0000,1.0
2023-01-11,112.64,114.405,112.21,114.11,114.11,555950,0.0000,1.0
2023-01-10,111.5,112.54,111.2,112.04,112.04,557871,0.0000,1.0
2023-01-09,112.38,113.935,111.01,112.27,112.27,632673,0.0000,1.0
2023-01-06,108.96,112.29,108.68,111.42,111.42,528337,0.0000,1.0
2023-01-05,108.77,109.49,106.81,107.75,107.75,712420,0.0000,1.0
2023-01-04,108.87,109.285,107.41,109.24,109.24,531994,0.0000,1.0
2023-01-03,107.75,108.58,106.53,107.7,107.7,656439,0.0000,1.0
2022-12-30,105.69,106.01,104.485,105.26,105.26,292323,0.0000,1.0
2022-12-29,105.09,106.83,104.42,106.74,106.74,302650,0.0000,1.0
2022-12-28,106.35,106.8,104.13,104.32,104.32,269175,0.0000,1.0
2022-12-27,104.93,106.09,104.24,105.98,105.98,442957,0.0000,1.0
2022-12-23,104.89,105.58,104.28,105.03,105.03,390520,0.0000,1.0
2022-12-22,105.16,105.36,103.3,105.18,105.18,426142,0.0000,1.0
2022-12-21,105.26,106.87,104.92,106.75,106.75,504766,0.0000,1.0
2022-12-20,104.14,105.63,103.97,104.48,104.48,530018,0.0000,1.0
2022-12-19,103.33,106.335,103.33,104.57,104.57,835407,0.0000,1.0
2022-12-16,104.5,105.4,103.18,103.86,103.86,1163566,0.0000,1.0
2022-12-15,107.64,107.89,105.27,105.71,105.71,760094,0.4100,1.0
2022-12-14,112.08,112.2499,109.0,109.77,109.345898039955,690576,0.0000,1.0
2022-12-13,114.74,114.8042,111.275,111.83,111.397939125518,559889,0.0000,1.0
2022-12-12,109.08,110.81,108.2,110.25,109.82404353562,692078,0.0000,1.0
2022-12-09,110.19,111.47,109.05,109.13,108.708370712401,383655,0.0000,1.0
2022-12-08,110.0,112.31,109.77,110.86,110.431686769695,463077,0.0000,1.0
2022-12-07,109.24,109.83,108.06,109.15,108.728293441387,575771,0.0000,1.0
2022-12-06,111.38,111.38,107.49,109.17,108.748216170373,423399,0.0000,1.0
2022-12-05,112.27,112.49,109.7,111.02,110.591068601583,752423,0.0000,1.0
2022-12-02,112.63,115.02,112.44,114.52,114.077546174142,286269,0.0000,1.0
2022-12-01,115.12,116.18,114.0,114.06,113.619323407463,521214,0.0000,1.0
2022-11-30,110.35,113.67,108.76,113.65,113.210907463249,896715,0.0000,1.0
2022-11-29,111.82,112.855,110.74,110.77,110.342034489257,349525,0.0000,1.0
2022-11-28,113.41,113.805,111.61,112.25,111.816316434225,502505,0.0000,1.0
2022-11-25,113.42,114.37,112.58,114.32,113.878318884282,192443,0.0000,1.0
2022-11-23,114.29,114.98,113.56,113.99,113.549593856012,300101,0.0000,1.0
2022-11-22,113.29,114.36,112.9,113.94,113.499787033547,440827,0.0000,1.0
2022-11-21,112.68,113.44,112.01,112.66,112.22473237844,550762,0.0000,1.0
2022-11-18,112.41,113.115,111.18,112.96,112.52357331323,681610,0.0000,1.0
2022-11-17,109.42,110.79,107.72,110.77,110.342034489257,591853,0.0000,1.0
2022-11-16,112.39,112.82,110.17,111.05,110.620952695062,467389,0.0000,1.0
2022-11-15,112.83,113.76,111.54,112.64,112.204809649453,506709,0.0000,1.0
2022-11-14,112.87,113.9775,110.79,110.95,110.521339050132,567551,0.0000,1.0
2022-11-11,114.32,116.98,113.17,113.57,113.131216547305,993684,0.0000,1.0
2022-11-10,108.79,114.23,107.79,113.98,113.539632491519,1323100,0.0000,1.0
2022-11-09,105.92,106.715,103.98,104.37,103.96676121372,530067,0.0000,1.0
