timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,11.88,11.93,11.71,11.89,11.89,7377913,0.0000,1.0
2023-02-06,11.98,12.0,11.88,11.93,11.93,8701577,0.0000,1.0
2023-02-03,12.1,12.19,12.0,12.03,12.03,8326257,0.0000,1.0
2023-02-02,12.15,12.25,12.05,12.2,12.2,12069708,0.0000,1.0
2023-02-01,11.96,12.17,11.8432,12.07,12.07,9653100,0.0000,1.0
2023-01-31,11.83,12.095,11.8011,12.06,12.06,15703218,0.0000,1.0
2023-01-30,11.85,11.935,11.77,11.78,11.78,6878645,0.0000,1.0
2023-01-27,11.86,12.0,11.84,11.95,11.95,7328107,0.0000,1.0
2023-01-26,11.83,11.875,11.695,11.83,11.83,4518556,0.0000,1.0
2023-01-25,11.67,11.82,11.645,11.78,11.78,7149837,0.0000,1.0
2023-01-24,11.81,11.96,11.5825,11.74,11.74,7807992,0.0000,1.0
2023-01-23,11.89,12.085,11.87,12.0,12.0,5696588,0.0000,1.0
2023-01-20,11.82,11.89,11.6816,11.88,11.88,6100383,0.0000,1.0
2023-01-19,11.85,11.86,11.67,11.75,11.75,7434335,0.0000,1.0
2023-01-18,12.2,12.2,11.865,11.88,11.88,7154626,0.0000,1.0
2023-01-17,12.23,12.31,12.12,12.15,12.15,7103225,0.0000,1.0
2023-01-13,12.11,12.14,12.01,12.13,12.13,5774999,0.0000,1.0
2023-01-12,12.23,12.27,12.125,12.2,12.2,6052336,0.0000,1.0
2023-01-11,12.18,12.205,12.03,12.18,12.18,5844564,0.0000,1.0
2023-01-10,12.21,12.22,12.01,12.12,12.12,7256303,0.0000,1.0
2023-01-09,12.28,12.37,12.19,12.2,12.2,7064947,0.0000,1.0
2023-01-06,12.02,12.205,11.98,12.2,12.2,5014623,0.0000,1.0
2023-01-05,11.93,12.0,11.85,11.92,11.92,5731781,0.0000,1.0
2023-01-04,12.01,12.12,11.89,12.03,12.03,8235148,0.0000,1.0
2023-01-03,11.91,11.98,11.815,11.92,11.92,9391172,0.0000,1.0
2022-12-30,11.96,12.005,11.83,11.91,11.91,4811355,0.0000,1.0
