timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,218.93,220.21,215.8,219.47,219.47,1834467,0.0000,1.0
2023-02-06,218.88,221.53,216.52,220.57,220.57,1797855,0.0000,1.0
2023-02-03,224.41,225.38,218.04,222.06,222.06,2485767,0.0000,1.0
2023-02-02,230.21,235.49,225.54,227.39,227.39,2195833,0.0000,1.0
2023-02-01,221.89,228.97,221.065,227.14,227.14,2601470,0.0000,1.0
2023-01-31,218.05,223.42,218.05,223.39,223.39,1548484,0.0000,1.0
2023-01-30,219.99,222.58,217.85,218.06,218.06,1422213,0.0000,1.0
2023-01-27,220.71,221.925,219.43,220.79,220.79,1360244,0.0000,1.0
2023-01-26,219.84,221.5,218.5,221.03,221.03,1126119,0.0000,1.0
2023-01-25,213.91,219.4,212.79,218.66,218.66,1985144,0.0000,1.0
2023-01-24,214.93,216.56,212.64,215.17,215.17,1991885,0.0000,1.0
2023-01-23,218.89,219.99,215.1,215.67,215.67,2723609,0.0000,1.0
2023-01-20,221.36,221.76,214.46,221.41,221.41,2990400,0.0000,1.0
2023-01-19,224.07,227.11,222.965,223.35,223.35,1864404,0.0000,1.0
2023-01-18,231.26,232.51,224.24,225.19,225.19,2212952,0.0000,1.0
2023-01-17,234.23,235.57,230.96,231.05,231.05,2204636,0.0000,1.0
2023-01-13,229.25,234.87,229.25,232.81,232.81,2007337,0.0000,1.0
2023-01-12,229.3,232.8,225.56,232.21,232.21,2364724,0.0000,1.0
2023-01-11,223.71,228.81,223.71,228.12,228.12,1894016,0.0000,1.0
2023-01-10,221.09,222.95,219.75,221.95,221.95,1691259,0.0000,1.0
2023-01-09,220.85,223.46,219.14,219.3,219.3,1727437,0.0000,1.0
2023-01-06,213.4,219.34,210.925,218.5,218.5,1980390,0.0000,1.0
2023-01-05,217.07,217.81,211.5,212.13,212.13,1494990,0.0000,1.0
2023-01-04,217.41,222.54,215.51,219.0,219.0,1796147,0.0000,1.0
2023-01-03,214.0,215.25,210.97,214.67,214.67,1812441,0.0000,1.0
2022-12-30,214.33,215.2,209.1766,211.86,211.86,1450509,0.0000,1.0
2022-12-29,211.85,216.7,210.13,215.74,215.74,1323910,0.0000,1.0
2022-12-28,211.35,214.25,209.99,210.1,210.1,1411720,0.0000,1.0
2022-12-27,211.0,211.68,208.635,210.9,210.9,1550053,1.5600,1.0
2022-12-23,209.41,212.59,209.01,212.45,210.890073425586,1146744,0.0000,1.0
2022-12-22,209.36,211.1,206.4,210.6,209.053657158995,2212186,0.0000,1.0
2022-12-21,209.79,213.39,209.49,210.6,209.053657158995,1410201,0.0000,1.0
2022-12-20,207.96,210.43,205.76,208.69,207.157681445919,1307461,0.0000,1.0
2022-12-19,213.15,213.15,207.76,209.62,208.080852866422,1401770,0.0000,1.0
2022-12-16,215.09,215.15,208.08,213.45,211.882730866987,3724220,0.0000,1.0
2022-12-15,217.32,221.39,216.541,218.22,216.617706862468,1693552,0.0000,1.0
2022-12-14,222.72,226.9696,219.7415,219.85,218.235738491951,1902769,0.0000,1.0
2022-12-13,222.96,227.97,220.91,223.39,221.74974583451,2179126,0.0000,1.0
2022-12-12,214.88,215.93,211.97,215.87,214.284961875176,1847664,0.0000,1.0
2022-12-09,211.97,216.39,211.27,213.84,212.269867269133,1646866,0.0000,1.0
2022-12-08,210.39,213.83,209.22,212.25,210.691541937306,2465283,0.0000,1.0
2022-12-07,211.93,215.6,209.46,211.11,209.559912454109,1624784,0.0000,1.0
2022-12-06,216.27,216.845,211.76,212.52,210.959559446484,1672297,0.0000,1.0
2022-12-05,215.95,218.49,214.58,215.61,214.026870940412,1454287,0.0000,1.0
2022-12-02,218.27,220.91,216.27,219.37,217.759262920079,1354622,0.0000,1.0
2022-12-01,224.42,225.965,219.89,221.3,219.675091781983,1708694,0.0000,1.0
2022-11-30,215.88,221.34,214.67,221.25,219.625458909912,3889213,0.0000,1.0
2022-11-29,214.81,217.27,213.32,217.22,215.625049421067,1848103,0.0000,1.0
2022-11-28,218.71,220.37,213.04,213.9,212.329426715617,1367286,0.0000,1.0
2022-11-25,219.64,221.24,218.38,220.08,218.464049703474,566461,0.0000,1.0
2022-11-23,218.2,220.42,216.26,218.25,216.64748658571,1210527,0.0000,1.0
2022-11-22,220.73,221.2,215.47,218.13,216.528367692742,1562378,0.0000,1.0
2022-11-21,215.59,220.24,215.59,219.91,218.295297938435,1682406,0.0000,1.0
2022-11-18,217.63,220.21,214.63,215.93,214.344521321661,2360692,0.0000,1.0
2022-11-17,217.72,219.59,214.385,216.34,214.751510872635,2144778,0.0000,1.0
2022-11-16,220.09,223.06,218.125,219.15,217.540878282971,2400809,0.0000,1.0
2022-11-15,215.4,219.82,215.07,219.58,217.967720982773,2152341,0.0000,1.0
2022-11-14,221.78,222.165,215.23,215.38,213.79855972889,1628136,0.0000,1.0
2022-11-11,222.81,225.44,221.02,223.26,221.620700367128,1915700,0.0000,1.0
2022-11-10,213.11,221.58,209.64,220.9,219.278028805422,2781282,0.0000,1.0
2022-11-09,204.01,206.73,200.4,201.04,199.563852019204,1530293,0.0000,1.0
2022-11-08,202.02,205.488,201.1,203.02,201.529313753177,2071794,0.0000,1.0
2022-11-07,204.64,205.99,201.7,202.02,200.536656311776,1828829,0.0000,1.0
2022-11-04,202.91,204.38,199.14,203.92,202.422705450438,1788136,0.0000,1.0
2022-11-03,203.21,204.56,201.08,201.33,199.85172267721,1703849,0.0000,1.0
2022-11-02,206.73,212.01,202.345,205.19,203.683380401017,2655696,0.0000,1.0
2022-11-01,209.41,213.315,206.59,207.88,206.353628918385,1907060,0.0000,1.0
2022-10-31,201.65,209.88,200.7,207.19,205.668695283818,2513463,0.0000,1.0
2022-10-28,197.3,208.37,197.3,204.71,203.206904829144,2613812,0.0000,1.0
2022-10-27,198.87,203.95,196.1803,198.68,197.221180457498,3414473,0.0000,1.0
2022-10-26,195.32,199.31,194.21,196.92,195.474103360633,2512311,0.0000,1.0
2022-10-25,185.96,196.05,185.92,195.53,194.094309517086,2495243,0.0000,1.0
2022-10-24,189.92,191.43,184.18,185.4,184.038689635696,1856435,0.0000,1.0
2022-10-21,188.97,188.97,183.1273,187.56,186.182829709122,2078086,0.0000,1.0
2022-10-20,191.15,191.155,185.37,188.0,186.619598983338,2515648,0.0000,1.0
2022-10-19,195.01,196.19,190.51,190.99,189.587644733126,1824883,0.0000,1.0
2022-10-18,194.52,197.94,194.22,197.22,195.771900593053,3253609,0.0000,1.0
2022-10-17,189.76,195.9,188.83,192.49,191.076630895227,3040978,0.0000,1.0
2022-10-14,191.61,192.67,185.06,185.78,184.415899463428,2466536,0.0000,1.0
2022-10-13,179.87,191.44,178.17,189.85,188.456015249929,3518266,0.0000,1.0
2022-10-12,188.58,189.35,182.3,183.79,182.440511155041,2572497,0.0000,1.0
2022-10-11,189.44,191.98,185.27,189.27,187.880273933917,2463256,0.0000,1.0
2022-10-10,196.0,198.17,188.96,189.58,188.187997740751,1992344,0.0000,1.0
2022-10-07,199.12,201.03,193.41,194.63,193.200917819825,3165300,1.4700,1.0
2022-10-06,213.62,214.16,202.78,203.07,200.067875480224,2908664,0.0000,1.0
2022-10-05,217.14,217.54,211.38,214.14,210.97421999968,1518768,0.0000,1.0
2022-10-04,218.95,224.34,217.965,220.08,216.826404863779,2032978,0.0000,1.0
2022-10-03,216.89,219.2,212.35,217.17,213.959425410155,2102261,0.0000,1.0
2022-09-30,215.86,217.32,212.03,214.7,211.525941131649,2501939,0.0000,1.0
2022-09-29,218.34,220.1699,211.38,213.72,210.560429150704,2096505,0.0000,1.0
2022-09-28,223.59,223.93,219.81,221.06,217.791916844725,1988815,0.0000,1.0
2022-09-27,223.88,226.5,219.47,220.6,217.338717343464,1900882,0.0000,1.0
2022-09-26,229.14,229.14,218.13,221.37,218.097333899922,2146859,0.0000,1.0
2022-09-23,230.91,231.88,225.63,228.81,225.427343224651,1907135,0.0000,1.0
2022-09-22,232.71,236.46,232.21,232.78,229.338651963788,1443145,0.0000,1.0
2022-09-21,239.97,242.44,234.045,234.15,230.688398304498,1942407,0.0000,1.0
2022-09-20,245.35,245.85,237.325,237.9,234.382959456075,2093034,0.0000,1.0
2022-09-19,244.4,247.78,241.58,247.5,243.841036004114,1249352,0.0000,1.0
2022-09-16,244.43,247.65,243.97,245.89,242.254837749703,3287522,0.0000,1.0
2022-09-15,251.59,251.985,244.59,245.06,241.43710821482,1561437,0.0000,1.0
2022-09-14,251.43,255.09,249.78,251.82,248.097170450731,2087005,0.0000,1.0
2022-09-13,260.55,262.215,253.96,254.63,250.865628273646,1711368,0.0000,1.0
2022-09-12,262.06,265.56,261.96,265.09,261.17099084578,946188,0.0000,1.0
2022-09-09,262.49,263.2118,259.67,261.59,257.722733770974,880074,0.0000,1.0
2022-09-08,259.66,262.0,257.26,261.67,257.801551075541,1518728,0.0000,1.0
2022-09-07,254.93,260.05,253.65,259.5,255.663631689161,1095808,0.0000,1.0
2022-09-06,252.11,256.47,251.0,254.18,250.422280935457,1163686,0.0000,1.0
2022-09-02,259.54,260.975,250.48,250.85,247.141510632856,1387679,0.0000,1.0
2022-09-01,252.94,257.75,251.62,257.64,253.831129357979,1590489,0.0000,1.0
2022-08-31,253.86,256.21,252.97,254.05,250.294202815536,2005133,0.0000,1.0
2022-08-30,259.9,260.68,252.6983,253.4,249.653812215929,1211175,0.0000,1.0
2022-08-29,259.8,262.64,258.19,259.72,255.880379276721,1573992,0.0000,1.0
2022-08-26,267.87,268.31,261.07,261.19,257.328647248139,1227396,0.0000,1.0
2022-08-25,265.75,268.46,262.31,268.24,264.274422213105,1367408,0.0000,1.0
2022-08-24,266.29,266.71,264.1,264.48,260.570008898456,1372907,0.0000,1.0
2022-08-23,268.32,268.9,263.32,265.23,261.308921128772,971044,0.0000,1.0
2022-08-22,272.32,274.15,268.925,269.75,265.762098836807,946886,0.0000,1.0
2022-08-19,274.99,277.59,273.39,274.41,270.353206827834,2110662,0.0000,1.0
2022-08-18,277.52,279.199,272.92,275.49,271.417240439488,1139050,0.0000,1.0
2022-08-17,276.85,278.98,275.44,277.46,273.35811656445,1059047,0.0000,1.0
2022-08-16,278.85,280.08,275.89,278.45,274.333480708466,1183534,0.0000,1.0
2022-08-15,278.39,282.47,278.13,281.52,277.358094771224,1329151,0.0000,1.0
2022-08-12,275.68,277.905,274.64,277.72,273.614272804293,1110090,0.0000,1.0
2022-08-11,278.92,278.92,273.27,273.95,269.900007326573,1260462,0.0000,1.0
2022-08-10,279.97,279.97,275.07,277.79,273.683237945789,1351227,0.0000,1.0
2022-08-09,273.83,277.32,270.35,276.18,272.097039691378,1459759,0.0000,1.0
2022-08-08,274.75,276.875,271.33,273.0,268.96405183484,968855,0.0000,1.0
2022-08-05,268.37,272.43,267.035,272.19,268.1660266261,1156388,0.0000,1.0
2022-08-04,269.15,271.72,268.0,271.27,267.259627623579,1257846,0.0000,1.0
2022-08-03,267.84,269.93,264.87,268.83,264.855699834286,1370203,0.0000,1.0
2022-08-02,269.1,271.18,266.03,266.63,262.688223958694,1681063,0.0000,1.0
2022-08-01,270.28,271.755,266.26,268.62,264.648804409798,1323131,0.0000,1.0
2022-07-29,270.35,273.95,267.51,270.83,266.826132448461,1821179,0.0000,1.0
2022-07-28,261.46,269.56,260.06,268.9,264.924664975782,2589510,0.0000,1.0
2022-07-27,259.52,261.238,255.375,258.28,254.461667794515,1505440,0.0000,1.0
2022-07-26,258.56,263.07,257.82,258.98,255.151319209476,1579766,0.0000,1.0
2022-07-25,259.35,259.66,255.9,257.34,253.535564465853,1593317,0.0000,1.0
2022-07-22,256.55,260.36,255.7634,259.6,255.76215331987,1587501,0.0000,1.0
2022-07-21,250.17,255.9899,248.19,255.4,251.624244830103,1290350,0.0000,1.0
2022-07-20,256.0,257.93,249.43,249.74,246.047920531989,1573621,0.0000,1.0
2022-07-19,251.61,257.27,251.5,257.16,253.358225530577,1506361,0.0000,1.0
