timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,281.71,285.7857,280.56,285.07,285.07,1329222,0.0000,1.0
2023-02-06,284.02,286.55,280.17,283.03,283.03,1259861,0.0000,1.0
2023-02-03,291.99,293.49,283.24,285.02,285.02,2876392,0.0000,1.0
2023-02-02,295.36,299.34,288.5433,295.5,295.5,2988399,0.0000,1.0
2023-02-01,319.11,320.42,314.39,318.13,318.13,1357915,0.0000,1.0
2023-01-31,314.92,320.9,314.165,320.51,320.51,1911740,0.0000,1.0
2023-01-30,313.56,318.14,313.37,313.9,313.9,846035,0.0000,1.0
2023-01-27,314.06,316.4,312.01,314.15,314.15,876619,0.0000,1.0
2023-01-26,311.44,316.895,310.0,316.61,316.61,733590,0.0000,1.0
2023-01-25,308.97,313.145,308.34,312.05,312.05,707404,0.0000,1.0
2023-01-24,308.37,313.98,306.91,313.34,313.34,745013,0.0000,1.0
2023-01-23,303.87,309.5642,302.73,308.72,308.72,881707,0.0000,1.0
2023-01-20,301.25,304.585,298.36,304.4,304.4,1197945,0.0000,1.0
2023-01-19,302.59,303.39,298.19,299.89,299.89,888998,0.0000,1.0
2023-01-18,308.25,308.25,302.05,302.89,302.89,793343,0.0000,1.0
2023-01-17,312.0,312.0,306.01,306.38,306.38,1252863,0.0000,1.0
2023-01-13,307.86,311.91,307.07,311.4,311.4,787947,0.0000,1.0
2023-01-12,312.77,314.01,308.895,310.21,310.21,1194820,0.0000,1.0
2023-01-11,315.15,316.5911,312.16,312.77,312.77,835155,0.0000,1.0
2023-01-10,309.98,312.83,308.15,312.67,312.67,608390,0.0000,1.0
2023-01-09,309.89,314.47,306.03,311.67,311.67,1436544,0.0000,1.0
2023-01-06,305.17,311.66,303.02,310.18,310.18,873412,0.0000,1.0
2023-01-05,302.64,304.69,300.31,301.82,301.82,1715513,0.0000,1.0
2023-01-04,305.94,308.41,304.0,306.59,306.59,965993,0.0000,1.0
2023-01-03,310.06,311.7734,303.895,306.57,306.57,1020324,0.0000,1.0
2022-12-30,308.39,309.4904,304.68,308.26,308.26,534786,1.6200,1.0
2022-12-29,311.0,312.64,310.195,311.41,309.782001419905,564619,0.0000,1.0
2022-12-28,312.5,313.76,309.28,309.64,308.021254679231,439852,0.0000,1.0
2022-12-27,313.27,314.199,311.52,312.2,310.567871434103,1438026,0.0000,1.0
2022-12-23,311.9,312.6,309.86,312.04,310.408707886924,544188,0.0000,1.0
2022-12-22,312.42,312.76,307.64,312.6,310.965780302052,953520,0.0000,1.0
2022-12-21,314.49,317.155,313.5,314.49,312.845899703111,860647,0.0000,1.0
2022-12-20,314.33,314.885,310.82,312.54,310.90609397186,779058,0.0000,1.0
2022-12-19,314.71,317.04,311.86,313.72,312.079925132309,835335,0.0000,1.0
2022-12-16,316.27,317.61,311.7507,316.42,314.765809990964,2425816,0.0000,1.0
2022-12-15,319.51,320.4,314.27,316.24,314.586751000387,1014819,0.0000,1.0
2022-12-14,324.66,327.93,321.87,325.12,323.420327868852,1191747,0.0000,1.0
2022-12-13,327.83,328.56,321.81,325.25,323.549648250936,1075459,0.0000,1.0
2022-12-12,313.06,320.18,313.06,319.51,317.839655995869,1163007,0.0000,1.0
2022-12-09,319.74,320.45,313.58,314.41,312.766317929521,1149978,0.0000,1.0
2022-12-08,316.84,320.955,316.7,319.86,318.187826255325,1059148,0.0000,1.0
2022-12-07,312.56,315.77,311.995,315.58,313.930201368272,1130758,0.0000,1.0
2022-12-06,313.76,315.28,309.87,312.1,310.468394217116,1295748,0.0000,1.0
2022-12-05,315.74,318.0,313.36,314.97,313.32339034465,1192312,0.0000,1.0
2022-12-02,310.63,320.62,310.0,318.44,316.775249774106,1314153,0.0000,1.0
2022-12-01,310.35,313.045,308.755,312.04,310.408707886924,995383,0.0000,1.0
2022-11-30,300.98,310.39,298.78,310.16,308.538536207564,1901062,0.0000,1.0
2022-11-29,304.83,306.18,300.97,302.18,300.600254291984,954552,0.0000,1.0
2022-11-28,307.72,309.38,303.33,304.46,302.868334839293,932057,0.0000,1.0
2022-11-25,308.72,311.13,307.71,309.91,308.289843165096,299656,0.0000,1.0
2022-11-23,309.0,310.38,305.8935,308.15,306.539044146121,1150769,0.0000,1.0
2022-11-22,298.0,309.57,297.17,309.16,307.543764037692,1412657,0.0000,1.0
2022-11-21,294.57,297.56,294.18,296.41,294.860418871821,735272,0.0000,1.0
2022-11-18,296.0,296.9775,293.56,296.48,294.930052923712,1328210,0.0000,1.0
2022-11-17,291.38,293.44,290.14,293.3,291.766677423519,721351,0.0000,1.0
2022-11-16,294.54,297.08,293.3,295.12,293.577162772686,807454,0.0000,1.0
2022-11-15,296.41,297.91,291.56,294.54,293.00019491416,942178,0.0000,1.0
2022-11-14,288.0,297.765,288.0,294.89,293.348365173616,1738742,0.0000,1.0
2022-11-11,290.67,292.4569,287.835,288.46,286.951980121337,1107500,0.0000,1.0
2022-11-10,289.73,289.853,285.57,289.59,288.076072673293,1063866,0.0000,1.0
2022-11-09,282.89,285.43,279.81,280.13,278.665527946302,1100966,0.0000,1.0
2022-11-08,278.96,284.78,277.77,283.0,281.520524073835,1406258,0.0000,1.0
2022-11-07,277.82,280.07,275.83,277.63,276.178597521621,1367788,0.0000,1.0
2022-11-04,269.25,276.47,266.815,276.06,274.616805214922,2038020,0.0000,1.0
2022-11-03,248.74,266.24,247.13,264.02,262.63974828966,2524556,0.0000,1.0
2022-11-02,252.84,254.795,244.82,245.17,243.888292887569,1471538,0.0000,1.0
2022-11-01,252.94,254.775,249.97,252.12,250.801959468181,872647,0.0000,1.0
2022-10-31,252.49,254.0,249.09,250.4,249.090951336001,1342224,0.0000,1.0
2022-10-28,249.06,255.4099,248.11,254.44,253.109830902285,920985,0.0000,1.0
2022-10-27,251.94,252.7,248.63,249.06,247.757956628372,987084,0.0000,1.0
2022-10-26,252.75,254.84,251.46,252.02,250.702482251194,1242221,0.0000,1.0
2022-10-25,245.07,251.56,243.42,251.56,250.244887053053,1351079,0.0000,1.0
2022-10-24,243.39,245.91,241.875,243.92,242.644827675229,1757998,0.0000,1.0
2022-10-21,238.18,242.2799,235.695,241.29,240.028576868465,1157153,0.0000,1.0
