timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,81.34,81.56,79.76,81.35,81.35,3271205,0.0000,1.0
2023-02-06,80.99,82.0,80.66,81.8,81.8,2266809,0.0000,1.0
2023-02-03,81.26,82.45,81.15,81.62,81.62,2912708,0.0000,1.0
2023-02-02,81.81,82.5,81.22,82.09,82.09,2683764,0.0000,1.0
2023-02-01,79.5,81.55,79.25,81.14,81.14,2294538,0.0000,1.0
2023-01-31,78.28,79.8,78.0,79.77,79.77,1992634,0.0000,1.0
2023-01-30,78.22,78.99,78.02,78.29,78.29,1714331,0.0000,1.0
2023-01-27,77.53,79.39,77.15,78.65,78.65,2594345,0.0000,1.0
2023-01-26,79.53,79.68,77.855,78.39,78.39,2917310,0.0000,1.0
2023-01-25,74.93,79.52,74.5,79.36,79.36,3880538,0.0000,1.0
2023-01-24,78.8,79.965,77.97,79.44,79.44,2484353,0.0000,1.0
2023-01-23,78.15,79.59,77.8,78.91,78.91,2371857,0.0000,1.0
2023-01-20,77.7,78.09,77.02,78.07,78.07,2941490,0.0000,1.0
2023-01-19,78.41,78.6321,76.8,77.38,77.38,2686427,0.0000,1.0
2023-01-18,81.07,81.4,78.74,78.91,78.91,3686989,0.0000,1.0
2023-01-17,80.5,81.58,80.42,80.69,80.69,2013417,0.0000,1.0
2023-01-13,80.31,80.82,79.76,80.37,80.37,2069749,0.0000,1.0
2023-01-12,80.85,81.58,80.15,80.9,80.9,2075530,0.0000,1.0
2023-01-11,79.84,80.7,79.57,80.68,80.68,2138158,0.0000,1.0
2023-01-10,79.13,79.65,78.715,79.3,79.3,1473259,0.0000,1.0
2023-01-09,79.06,80.42,78.64,79.12,79.12,1972352,0.0000,1.0
2023-01-06,77.98,79.12,77.39,78.57,78.57,1821114,0.0000,1.0
2023-01-05,76.82,77.385,76.475,76.7,76.7,3413243,0.0000,1.0
2023-01-04,77.45,77.93,76.57,77.53,77.53,2131663,0.0000,1.0
2023-01-03,76.71,76.88,75.5,76.4,76.4,2542711,0.0000,1.0
2022-12-30,76.01,76.26,75.27,76.14,76.14,1243112,0.0000,1.0
2022-12-29,75.57,77.08,75.57,76.62,76.62,1127331,0.0000,1.0
2022-12-28,76.2,76.68,74.73,74.89,74.89,1142698,0.0000,1.0
2022-12-27,75.95,76.739,75.33,76.35,76.35,1556746,0.0000,1.0
2022-12-23,75.92,76.17,75.02,75.81,75.81,1395463,0.0000,1.0
2022-12-22,75.95,76.3,74.74,76.06,76.06,1848762,0.0000,1.0
2022-12-21,76.77,77.19,76.2,76.78,76.78,1824490,0.0000,1.0
2022-12-20,75.94,76.64,75.73,76.23,76.23,2470732,0.0000,1.0
2022-12-19,77.38,77.64,75.56,75.95,75.95,2216642,0.2100,1.0
2022-12-16,77.45,78.09,76.89,77.66,77.4458639705882,4561050,0.0000,1.0
2022-12-15,80.47,80.59,78.04,78.15,77.9345128676471,2199436,0.0000,1.0
2022-12-14,81.91,82.86,80.68,81.72,81.4946691176471,3346370,0.0000,1.0
2022-12-13,82.0,82.74,80.76,81.97,81.7439797794118,3573850,0.0000,1.0
2022-12-12,78.61,80.21,78.4,80.19,79.9688878676471,2380469,0.0000,1.0
2022-12-09,79.38,79.73,78.44,78.51,78.2935202205882,1411720,0.0000,1.0
2022-12-08,78.63,79.64,78.49,79.55,79.3306525735294,2276555,0.0000,1.0
2022-12-07,77.99,78.69,77.57,78.06,77.8447610294118,1515554,0.0000,1.0
2022-12-06,79.45,79.64,77.76,78.27,78.0541819852941,1222280,0.0000,1.0
2022-12-05,79.99,80.08,78.87,79.48,79.2608455882353,2053820,0.0000,1.0
2022-12-02,79.84,80.885,79.42,80.62,80.3977022058824,1340305,0.0000,1.0
2022-12-01,81.0,81.31,80.24,80.87,80.6470128676471,1655835,0.0000,1.0
2022-11-30,77.5,80.44,77.1625,80.43,80.2082261029412,2737325,0.0000,1.0
2022-11-29,77.81,78.27,76.95,77.4,77.186580882353,1663859,0.0000,1.0
2022-11-28,79.71,79.77,77.43,77.82,77.6054227941177,2311442,0.0000,1.0
2022-11-25,80.0,80.68,79.73,80.34,80.1184742647059,793690,0.0000,1.0
2022-11-23,80.27,80.85,79.84,80.07,79.84921875,1499716,0.0000,1.0
2022-11-22,79.27,80.24,78.99,80.08,79.8591911764706,3277361,0.0000,1.0
2022-11-21,79.32,80.04,79.17,79.57,79.3505974264706,2180183,0.0000,1.0
2022-11-18,80.09,80.2,79.01,79.71,79.4902113970588,1885184,0.0000,1.0
2022-11-17,77.9,79.035,77.63,78.93,78.712362132353,1356939,0.0000,1.0
2022-11-16,79.46,80.06,78.91,79.1,78.8818933823529,1733521,0.0000,1.0
2022-11-15,80.2,80.64,78.66,79.7,79.4802389705882,2289122,0.0000,1.0
2022-11-14,79.12,80.085,78.65,78.67,78.4530790441177,2087180,0.0000,1.0
2022-11-11,79.51,80.22,78.89,79.32,79.1012867647059,2711117,0.0000,1.0
2022-11-10,77.0,79.155,76.72,79.06,78.8420036764706,3283458,0.0000,1.0
2022-11-09,75.54,75.92,74.24,74.48,74.2746323529412,1848026,0.0000,1.0
2022-11-08,76.07,76.6,75.18,75.95,75.7405790441177,2321742,0.0000,1.0
2022-11-07,76.5,76.5,75.34,75.84,75.6308823529412,2741212,0.0000,1.0
2022-11-04,75.59,76.41,74.41,76.27,76.0596966911765,2703118,0.0000,1.0
2022-11-03,73.04,74.675,72.68,74.25,74.0452665441177,2572031,0.0000,1.0
2022-11-02,76.19,76.67,73.95,74.03,73.8258731617647,2693841,0.0000,1.0
2022-11-01,76.52,77.09,75.4,76.77,76.5583180147059,2952294,0.0000,1.0
2022-10-31,75.94,76.82,75.74,75.83,75.6209099264706,2482497,0.0000,1.0
2022-10-28,74.31,76.69,74.265,76.43,76.2192555147059,2709372,0.0000,1.0
2022-10-27,73.77,74.37,73.02,73.89,73.6862591911765,3585366,0.0000,1.0
2022-10-26,73.0,73.99,71.41,73.19,72.9881893382353,3692869,0.0000,1.0
