timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,117.12,117.36,115.42,116.9,116.9,797723,0.0000,1.0
2023-02-06,117.24,117.89,115.885,117.64,117.64,648967,0.0000,1.0
2023-02-03,118.92,119.54,115.39,117.19,117.19,1130376,0.0000,1.0
2023-02-02,119.35,121.44,118.7,119.55,119.55,1299766,0.0000,1.0
2023-02-01,117.0,119.94,116.98,118.97,118.97,1098563,0.0000,1.0
2023-01-31,116.18,117.8,114.98,117.54,117.54,1145294,0.0000,1.0
2023-01-30,115.67,117.12,115.33,115.53,115.53,681471,0.0000,1.0
2023-01-27,115.48,116.58,114.87,115.95,115.95,585001,0.0000,1.0
2023-01-26,115.22,116.36,114.63,115.48,115.48,519574,0.0000,1.0
2023-01-25,114.18,115.24,113.54,115.14,115.14,566336,0.0000,1.0
2023-01-24,114.35,115.1,112.1,114.85,114.85,511561,0.0000,1.0
2023-01-23,112.94,114.44,112.1624,113.52,113.52,581386,0.0000,1.0
2023-01-20,112.5,113.07,110.85,113.0,113.0,592822,0.0000,1.0
2023-01-19,110.87,112.385,110.87,112.04,112.04,812133,0.0000,1.0
2023-01-18,114.06,114.14,111.19,111.62,111.62,594984,0.0000,1.0
2023-01-17,115.06,116.2,113.55,113.95,113.95,689593,0.0000,1.0
2023-01-13,116.02,116.02,114.39,114.74,114.74,633605,0.0000,1.0
2023-01-12,117.07,117.7,116.15,116.38,116.38,585816,0.0000,1.0
2023-01-11,114.72,117.11,114.3,116.73,116.73,644014,0.0000,1.0
2023-01-10,113.68,114.38,113.04,114.3,114.3,698807,0.0000,1.0
2023-01-09,112.62,114.4527,112.24,113.79,113.79,834840,0.0000,1.0
2023-01-06,110.0,112.89,109.7,112.53,112.53,820694,0.0000,1.0
2023-01-05,110.98,111.295,108.73,108.87,108.87,768072,0.0000,1.0
2023-01-04,111.47,112.59,111.3,111.94,111.94,755156,0.0000,1.0
2023-01-03,112.34,112.91,110.21,111.2,111.2,1039972,0.0000,1.0
2022-12-30,114.57,114.57,111.34,112.07,112.07,588877,0.0000,1.0
2022-12-29,115.71,115.94,113.86,114.49,114.49,815231,0.0000,1.0
2022-12-28,115.35,116.435,115.01,115.07,115.07,834779,0.0000,1.0
2022-12-27,115.33,115.9525,114.45,115.58,115.58,960144,0.0000,1.0
2022-12-23,114.03,115.12,112.58,115.1,115.1,512434,0.0000,1.0
2022-12-22,114.35,114.35,111.59,114.03,114.03,527643,0.0000,1.0
2022-12-21,113.77,114.91,113.605,114.58,114.58,547974,0.0000,1.0
2022-12-20,112.96,113.94,112.56,113.07,113.07,613296,0.0000,1.0
2022-12-19,114.64,115.19,112.94,113.48,113.48,733721,0.0000,1.0
2022-12-16,115.41,115.9499,113.014,114.77,114.77,1713653,0.0000,1.0
2022-12-15,117.71,118.11,115.93,116.86,116.86,721406,0.0000,1.0
2022-12-14,119.0,120.65,117.75,118.34,118.34,742149,0.0000,1.0
2022-12-13,120.53,121.079,117.92,118.53,118.53,1747961,0.0000,1.0
2022-12-12,118.08,119.06,116.82,119.0,119.0,1480912,0.0000,1.0
2022-12-09,117.0,118.5,115.65,117.67,117.67,2023386,0.0000,1.0
