timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,178.41,184.35,177.475,183.6,183.6,603859,0.0000,1.0
2023-02-06,179.78,180.875,177.85,178.54,178.54,461972,0.0000,1.0
2023-02-03,186.4,187.7757,180.61,181.2,181.2,595212,0.0000,1.0
2023-02-02,183.67,189.8543,183.67,188.56,188.56,1306939,0.0000,1.0
2023-02-01,187.7,193.01,186.11,191.66,191.66,540165,0.0000,1.0
2023-01-31,186.73,189.63,185.47,189.44,189.44,445850,0.0000,1.0
2023-01-30,186.61,188.215,185.01,185.63,185.63,413492,0.0000,1.0
2023-01-27,186.77,188.48,185.48,187.45,187.45,320014,0.0000,1.0
2023-01-26,186.57,188.67,184.395,188.14,188.14,387106,0.0000,1.0
2023-01-25,187.85,188.075,183.72,185.09,185.09,1140854,0.0000,1.0
2023-01-24,190.64,191.42,186.17,189.9,189.9,540175,0.0000,1.0
2023-01-23,190.9,192.6982,189.37,191.9,191.9,416386,0.0000,1.0
2023-01-20,186.84,190.55,186.37,190.49,190.49,452593,0.0000,1.0
2023-01-19,187.94,189.19,184.16,186.14,186.14,400197,0.0000,1.0
2023-01-18,193.9,195.04,189.07,189.28,189.28,529858,0.0000,1.0
2023-01-17,195.41,195.46,192.88,193.51,193.51,494480,0.0000,1.0
2023-01-13,191.49,195.95,190.8318,195.34,195.34,301298,0.0000,1.0
2023-01-12,193.53,193.89,190.79,192.98,192.98,329566,0.0000,1.0
2023-01-11,189.96,193.145,189.7,192.59,192.59,367071,0.0000,1.0
2023-01-10,188.34,190.35,187.38,189.73,189.73,260337,0.0000,1.0
2023-01-09,188.74,192.0,187.98,189.48,189.48,290493,0.0000,1.0
2023-01-06,184.9,188.53,184.25,188.31,188.31,250334,0.0000,1.0
2023-01-05,184.17,184.83,181.29,183.12,183.12,647649,0.0000,1.0
2023-01-04,185.86,186.915,184.39,186.79,186.79,487110,0.0000,1.0
2023-01-03,182.0,183.72,180.84,183.21,183.21,392028,0.0000,1.0
2022-12-30,179.95,181.215,179.2,181.0,181.0,246398,0.0000,1.0
2022-12-29,180.6,182.48,180.28,181.42,181.42,660127,0.0000,1.0
2022-12-28,182.93,183.8,179.015,179.08,179.08,246696,0.0000,1.0
2022-12-27,181.24,183.245,179.83,182.38,182.38,236308,0.0000,1.0
2022-12-23,178.51,181.85,177.615,181.11,181.11,283444,0.0000,1.0
2022-12-22,179.43,180.73,176.09,178.81,178.81,306797,0.0000,1.0
2022-12-21,179.63,181.935,178.81,180.93,180.93,310689,0.0000,1.0
2022-12-20,176.59,179.48,175.78,178.36,178.36,433300,0.0000,1.0
2022-12-19,179.52,180.42,175.46,176.48,176.48,388966,0.0000,1.0
2022-12-16,179.92,181.36,178.36,179.29,179.29,797388,0.0000,1.0
2022-12-15,180.75,181.78,178.64,181.32,181.32,543474,0.0000,1.0
2022-12-14,185.31,186.73,180.6,181.85,181.85,397020,0.0000,1.0
2022-12-13,186.2,186.2,182.49,185.44,185.44,535739,0.0000,1.0
2022-12-12,177.92,179.5,176.02,179.5,179.5,509768,0.0000,1.0
2022-12-09,177.95,181.385,177.21,177.73,177.73,646886,0.0000,1.0
2022-12-08,192.85,193.07,177.31,179.22,179.22,1353481,0.0000,1.0
2022-12-07,191.21,193.945,190.945,191.76,191.76,463132,0.0000,1.0
2022-12-06,190.65,192.32,188.09,190.98,190.98,512507,0.7500,1.0
2022-12-05,190.33,192.09,187.53,191.36,190.611447347833,660533,0.0000,1.0
2022-12-02,190.6,193.75,190.17,192.6,191.846596776717,376231,0.0000,1.0
2022-12-01,194.61,195.515,191.9,193.17,192.414367078704,391673,0.0000,1.0
2022-11-30,187.94,193.62,185.5,193.33,192.57374119856,600408,0.0000,1.0
2022-11-29,187.27,189.6246,186.66,188.42,187.682947895478,351132,0.0000,1.0
2022-11-28,190.98,192.45,187.24,187.73,186.995647003599,349915,0.0000,1.0
2022-11-25,193.8,193.8,191.05,192.36,191.607535596933,186945,0.0000,1.0
2022-11-23,191.41,193.8,191.28,193.01,192.254992958848,793645,0.0000,1.0
2022-11-22,190.0,191.54,188.6,191.3,190.551682052887,500799,0.0000,1.0
2022-11-21,187.27,189.27,186.39,189.18,188.439974964794,391521,0.0000,1.0
2022-11-18,188.46,189.25,186.0,188.22,187.483730245658,612128,0.0000,1.0
2022-11-17,185.5,186.95,184.43,185.85,185.12300109529,738013,0.0000,1.0
2022-11-16,185.36,186.93,184.29,186.55,185.82026286966,421574,0.0000,1.0
2022-11-15,183.75,186.09,182.23,185.28,184.555230793303,510598,0.0000,1.0
2022-11-14,182.82,185.8,180.5,180.55,179.843733375059,561948,0.0000,1.0
2022-11-11,182.86,185.3,180.96,183.83,183.110902832108,699735,0.0000,1.0
2022-11-10,177.29,182.96,176.57,182.67,181.955440463151,694313,0.0000,1.0
2022-11-09,174.56,175.63,167.45,170.6,169.932655296511,847423,0.0000,1.0
2022-11-08,177.32,181.0,173.63,176.09,175.401179784071,733413,0.0000,1.0
2022-11-07,175.7,176.655,173.96,176.14,175.450984196526,445958,0.0000,1.0
2022-11-04,170.96,175.86,170.66,174.56,173.877164762948,621000,0.0000,1.0
2022-11-03,164.28,169.405,162.94,167.55,166.894586136755,428310,0.0000,1.0
2022-11-02,168.55,171.61,164.91,165.5,164.852605226099,542173,0.0000,1.0
2022-11-01,171.7,171.7,166.83,168.78,168.119774683148,436243,0.0000,1.0
2022-10-31,171.64,172.905,169.39,169.55,168.886762634955,483951,0.0000,1.0
2022-10-28,168.79,172.56,167.17,171.63,170.958626193084,565329,0.0000,1.0
2022-10-27,162.37,170.84,162.37,168.43,167.771143795963,1186056,0.0000,1.0
2022-10-26,175.24,177.615,162.7,163.24,162.601445783133,1449870,0.0000,1.0
2022-10-25,173.0,177.74,171.77,177.01,176.317580973244,622209,0.0000,1.0
2022-10-24,172.38,174.18,170.075,173.62,172.940841808794,586820,0.0000,1.0
2022-10-21,169.02,171.56,168.56,171.04,170.370934126115,476155,0.0000,1.0
2022-10-20,171.71,173.9,168.12,168.72,168.060009388202,352969,0.0000,1.0
2022-10-19,172.39,173.9,170.27,171.27,170.600034423408,216367,0.0000,1.0
2022-10-18,173.61,175.54,172.15,173.19,172.51252386168,386331,0.0000,1.0
2022-10-17,169.3,170.64,168.52,169.5,168.8369582225,346052,0.0000,1.0
2022-10-14,167.75,169.2,165.68,166.51,165.85865435769,882014,0.0000,1.0
