timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,36.17,37.0,36.13,36.77,36.77,44100247,0.0000,1.0
2023-02-06,36.25,36.44,35.98,36.37,36.37,29463202,0.0000,1.0
2023-02-03,36.02,36.76,35.9,36.43,36.43,37411682,0.0000,1.0
2023-02-02,36.1,36.3786,35.435,36.13,36.13,33729056,0.0000,1.0
2023-02-01,35.2,36.26,35.11,35.92,35.92,44438726,0.0000,1.0
2023-01-31,35.17,35.48,35.0,35.48,35.48,38917437,0.0000,1.0
2023-01-30,35.21,35.56,35.18,35.3,35.3,27353495,0.0000,1.0
2023-01-27,35.44,35.775,35.265,35.45,35.45,29964907,0.0000,1.0
2023-01-26,35.05,35.35,34.79,35.34,35.34,30035463,0.0000,1.0
2023-01-25,34.3,34.96,34.25,34.87,34.87,28859718,0.0000,1.0
2023-01-24,34.22,34.79,33.95,34.57,34.57,26716730,0.0000,1.0
2023-01-23,33.81,34.51,33.75,34.32,34.32,33683307,0.0000,1.0
2023-01-20,33.3,33.89,33.085,33.85,33.85,45004365,0.0000,1.0
2023-01-19,33.285,33.55,32.89,33.23,33.23,42707120,0.0000,1.0
2023-01-18,34.33,34.34,33.51,33.72,33.72,54517763,0.0000,1.0
2023-01-17,34.69,34.83,34.15,34.52,34.52,56458394,0.0000,1.0
2023-01-13,34.2,35.39,33.09,35.23,35.23,89667817,0.0000,1.0
2023-01-12,34.6,34.87,34.36,34.47,34.47,44230396,0.0000,1.0
2023-01-11,34.12,34.44,34.0,34.38,34.38,36783730,0.0000,1.0
2023-01-10,33.74,34.265,33.64,34.12,34.12,35096022,0.0000,1.0
2023-01-09,34.75,34.7601,33.71,33.89,33.89,43818820,0.0000,1.0
2023-01-06,34.09,34.58,33.54,34.41,34.41,34068731,0.0000,1.0
2023-01-05,33.92,34.14,33.58,34.07,34.07,34177048,0.0000,1.0
2023-01-04,33.9,34.8199,33.83,34.14,34.14,41998548,0.0000,1.0
2023-01-03,33.23,34.09,33.21,33.51,33.51,35221501,0.0000,1.0
2022-12-30,33.1,33.3,32.86,33.12,33.12,28198915,0.0000,1.0
2022-12-29,32.89,33.16,32.75,33.14,33.14,22252908,0.0000,1.0
2022-12-28,32.57,32.97,32.535,32.77,32.77,30541004,0.0000,1.0
2022-12-27,32.5,32.67,32.275,32.53,32.53,22776092,0.0000,1.0
2022-12-23,32.4,32.58,32.19,32.47,32.47,21378584,0.0000,1.0
2022-12-22,32.52,32.58,31.8715,32.39,32.39,30234425,0.0000,1.0
2022-12-21,32.52,32.87,32.41,32.68,32.68,32543963,0.0000,1.0
2022-12-20,32.4,32.58,32.14,32.19,32.19,35561072,0.0000,1.0
2022-12-19,31.76,32.23,31.73,32.06,32.06,38374105,0.0000,1.0
2022-12-16,31.62,31.93,31.35,31.7,31.7,61795197,0.0000,1.0
2022-12-15,31.75,31.99,31.49,31.77,31.77,49027584,0.0000,1.0
2022-12-14,32.8,33.0,32.1634,32.28,32.28,48819481,0.0000,1.0
2022-12-13,33.55,33.67,32.565,32.75,32.75,54804802,0.0000,1.0
2022-12-12,32.31,32.78,32.06,32.73,32.73,41060489,0.0000,1.0
2022-12-09,32.11,32.6014,32.08,32.38,32.38,36985545,0.0000,1.0
2022-12-08,32.965,32.99,32.18,32.44,32.44,45491146,0.0000,1.0
2022-12-07,32.59,32.92,32.35,32.74,32.74,49234137,0.0000,1.0
2022-12-06,34.57,34.68,32.405,33.0,33.0,84085689,0.0000,1.0
2022-12-05,35.81,35.89,34.14,34.47,34.47,71386649,0.0000,1.0
2022-12-02,36.06,36.29,35.81,36.08,36.08,42295326,0.0000,1.0
2022-12-01,37.5,37.69,36.4,36.55,36.55,46213201,0.2200,1.0
2022-11-30,36.9,37.85,36.2,37.85,37.6235382104977,51747855,0.0000,1.0
2022-11-29,36.98,37.15,36.72,37.0,36.7786238781615,27048797,0.0000,1.0
2022-11-28,37.4,37.66,36.83,36.86,36.6394615175415,35446544,0.0000,1.0
2022-11-25,37.72,37.865,37.56,37.7,37.4744356812619,16118501,0.0000,1.0
2022-11-23,37.49,37.66,37.37,37.61,37.3849741637204,18934684,0.0000,1.0
2022-11-22,37.59,37.8,37.43,37.49,37.2656921403318,23499319,0.0000,1.0
2022-11-21,37.09,37.52,37.06,37.31,37.0867691052488,27935743,0.0000,1.0
2022-11-18,37.79,37.85,36.92,37.19,36.9674870818602,32041751,0.0000,1.0
2022-11-17,36.88,37.2,36.56,37.17,36.9476067446288,23693419,0.0000,1.0
2022-11-16,37.61,37.735,37.2,37.36,37.1364699483274,23813033,0.0000,1.0
2022-11-15,38.19,38.3,37.295,37.7,37.4744356812619,46082834,0.0000,1.0
2022-11-14,38.09,38.26,37.75,37.76,37.5340766929562,35541395,0.0000,1.0
2022-11-11,38.19,38.6,37.965,38.41,38.180187652978,35688704,0.0000,1.0
2022-11-10,37.3,38.22,37.14,38.13,37.9018629317378,45702792,0.0000,1.0
2022-11-09,36.88,36.9619,36.39,36.52,36.301495784607,30164384,0.0000,1.0
2022-11-08,37.09,37.425,36.75,37.11,36.8879657329345,32664337,0.0000,1.0
2022-11-07,37.01,37.34,36.73,37.01,36.7885640467773,37533674,0.0000,1.0
2022-11-04,36.5,37.0,36.22,36.79,36.5698803372314,39369359,0.0000,1.0
2022-11-03,35.7,36.14,35.41,35.89,35.6752651618167,30046473,0.0000,1.0
2022-11-02,36.07,37.275,35.95,36.09,35.8740685341311,57380608,0.0000,1.0
2022-11-01,36.44,36.76,36.11,36.2,35.983410388904,29913153,0.0000,1.0
2022-10-31,36.0,36.33,35.81,36.04,35.8243676910525,32565539,0.0000,1.0
2022-10-28,36.04,36.3,35.64,36.18,35.9635300516726,31659107,0.0000,1.0
2022-10-27,36.15,36.37,35.77,35.87,35.6553848245853,35261850,0.0000,1.0
2022-10-26,35.42,36.09,35.35,35.7,35.486401958118,41113536,0.0000,1.0
2022-10-25,34.74,35.58,34.53,35.39,35.1782567310307,37132262,0.0000,1.0
2022-10-24,35.11,35.26,34.705,35.07,34.8601713353277,33765556,0.0000,1.0
2022-10-21,33.56,35.04,33.56,34.95,34.7408893119391,54870269,0.0000,1.0
2022-10-20,33.98,34.625,33.59,33.7,33.4983682349742,39549112,0.0000,1.0
2022-10-19,34.58,34.83,33.77,33.92,33.71705194452,43139852,0.0000,1.0
2022-10-18,34.98,35.3599,34.28,34.88,34.6713081316291,81937931,0.0000,1.0
2022-10-17,33.36,33.87,32.87,33.62,33.4188468860484,88896788,0.0000,1.0
2022-10-14,31.81,32.63,31.57,31.7,31.5103345118303,58172786,0.0000,1.0
2022-10-13,29.41,31.77,29.31,31.69,31.5003943432146,67671021,0.0000,1.0
2022-10-12,29.64,30.3099,29.48,29.86,29.6813434865379,36137903,0.0000,1.0
2022-10-11,30.37,30.47,29.57,29.77,29.5918819689965,58123991,0.0000,1.0
2022-10-10,30.9,31.045,30.35,30.66,30.4765569757955,37669106,0.0000,1.0
2022-10-07,31.17,31.24,30.525,30.75,30.566018493337,52304648,0.0000,1.0
2022-10-06,31.6,31.88,31.3619,31.46,31.271770465053,40891904,0.0000,1.0
2022-10-05,31.54,32.03,31.45,31.92,31.7290182213761,35791137,0.0000,1.0
2022-10-04,31.72,32.52,31.66,32.38,32.1862659776992,39758744,0.0000,1.0
2022-10-03,30.59,31.28,30.2,31.09,30.9039842262714,34591712,0.0000,1.0
2022-09-30,30.76,31.19,30.165,30.2,30.0193092194724,42294080,0.0000,1.0
2022-09-29,30.69,30.8984,30.21,30.66,30.4765569757955,35220878,0.0000,1.0
2022-09-28,30.53,31.31,30.39,31.07,30.88410388904,38372850,0.0000,1.0
2022-09-27,31.27,31.3679,30.295,30.57,30.387095458254,43396576,0.0000,1.0
2022-09-26,31.32,31.82,30.6814,31.03,30.8443432145771,40360232,0.0000,1.0
2022-09-23,31.93,32.09,31.21,31.73,31.5401550176775,55316073,0.0000,1.0
2022-09-22,33.31,33.42,32.39,32.5,32.3055480010878,46959166,0.0000,1.0
2022-09-21,34.31,34.4,33.12,33.15,32.9516589611096,51667806,0.0000,1.0
2022-09-20,34.5,34.7786,33.88,34.17,33.965556159913,33591050,0.0000,1.0
2022-09-19,33.72,34.87,33.63,34.69,34.4824449279304,29781993,0.0000,1.0
2022-09-16,34.19,34.23,33.66,34.12,33.9158553168344,54281841,0.0000,1.0
2022-09-15,33.79,34.895,33.7,34.51,34.3035218928474,44863253,0.0000,1.0
2022-09-14,34.2,34.42,33.54,33.87,33.6673511014414,32004428,0.0000,1.0
2022-09-13,34.58,34.72,33.81,34.0,33.7965732934457,40959631,0.0000,1.0
2022-09-12,35.2,35.63,35.025,35.27,35.0589747076421,30533965,0.0000,1.0
2022-09-09,34.98,35.25,34.84,34.94,34.7309491433234,37308711,0.0000,1.0
2022-09-08,33.46,34.73,33.27,34.65,34.4426842534675,44361831,0.0000,1.0
2022-09-07,32.81,33.67,32.63,33.57,33.3691460429698,40742644,0.0000,1.0
2022-09-06,33.64,33.73,32.61,33.06,32.8621974435681,40279389,0.0000,1.0
2022-09-02,33.93,34.48,33.27,33.43,33.2299836823497,44000794,0.0000,1.0
2022-09-01,33.34,33.49,32.6614,33.47,33.2697443568126,32848894,0.2200,1.0
2022-08-31,34.14,34.365,33.6,33.61,33.190742292445,44917577,0.0000,1.0
2022-08-30,34.18,34.28,33.54,34.09,33.6647546786507,48194904,0.0000,1.0
2022-08-29,33.86,34.15,33.61,33.9,33.4771247757776,34849549,0.0000,1.0
2022-08-26,35.44,35.475,34.02,34.03,33.605503130375,36152571,0.0000,1.0
2022-08-25,34.6,35.28,34.45,35.14,34.7016567734757,40576733,0.0000,1.0
2022-08-24,34.25,34.795,34.05,34.52,34.0893907746266,31389358,0.0000,1.0
2022-08-23,34.67,34.97,34.36,34.41,33.9807629361212,26587950,0.0000,1.0
2022-08-22,34.75,34.815,34.45,34.72,34.2868959355457,31210313,0.0000,1.0
2022-08-19,35.96,36.03,35.31,35.48,35.037415547038,36485444,0.0000,1.0
2022-08-18,36.25,36.4,36.0,36.28,35.8274361907142,23138277,0.0000,1.0
2022-08-17,36.2,36.59,36.08,36.41,35.9558145453116,27125579,0.0000,1.0
2022-08-16,36.19,36.94,36.1,36.64,36.1829454803685,31870170,0.0000,1.0
2022-08-15,35.84,36.3,35.67,36.25,35.7978104165764,24907959,0.0000,1.0
2022-08-12,36.16,36.31,35.6933,36.3,35.8471867068061,31821682,0.0000,1.0
2022-08-11,35.77,36.06,35.645,35.91,35.462051643014,50420767,0.0000,1.0
2022-08-10,34.5,35.43,34.45,35.07,34.632529967154,61415796,0.0000,1.0
2022-08-09,33.65,33.96,33.41,33.92,33.4968752918695,40196923,0.0000,1.0
2022-08-08,34.17,34.29,33.45,33.49,33.0722391958936,33474410,0.0000,1.0
2022-08-05,33.28,34.33,33.235,33.96,33.5363763240533,35874544,0.0000,1.0
2022-08-04,33.52,33.67,33.17,33.4,32.98336187348,28404453,0.0000,1.0
2022-08-03,33.42,33.75,33.165,33.64,33.2203680665829,30065776,0.0000,1.0
2022-08-02,33.6,33.7199,33.0,33.04,32.6278525838257,37884135,0.0000,1.0
2022-08-01,33.62,33.89,33.22,33.71,33.2894948729045,32336671,0.0000,1.0
2022-07-29,33.47,33.94,33.35,33.81,33.388247453364,48152531,0.0000,1.0
2022-07-28,33.5,33.75,32.895,33.32,32.9043598091124,40176465,0.0000,1.0
2022-07-27,33.24,33.77,32.95,33.59,33.1709917763531,30344780,0.0000,1.0
2022-07-26,33.41,33.78,32.96,33.05,32.6377278418717,30645743,0.0000,1.0
2022-07-25,33.78,33.975,33.435,33.73,33.3092453889964,30380960,0.0000,1.0
2022-07-22,33.6,33.94,33.09,33.43,33.0129876476179,27115352,0.0000,1.0
2022-07-21,33.09,33.665,32.95,33.65,33.2302433246288,31243966,0.0000,1.0
2022-07-20,33.18,33.45,32.95,33.36,32.9438608412962,35514908,0.0000,1.0
2022-07-19,32.9,33.62,32.68,33.35,32.9339855832502,46874861,0.0000,1.0
2022-07-18,33.08,33.38,32.105,32.26,31.8575824562415,56382923,0.0000,1.0
2022-07-15,30.65,32.63,30.61,32.25,31.8477071981955,77801694,0.0000,1.0
2022-07-14,30.09,30.215,29.67,30.13,29.7541524924537,51707785,0.0000,1.0
2022-07-13,31.07,31.145,30.4,30.84,30.4552958137163,44153699,0.0000,1.0
2022-07-12,31.02,32.03,30.98,31.36,30.9688092321058,39527035,0.0000,1.0
2022-07-11,31.55,31.79,31.29,31.46,31.0675618125653,29342283,0.0000,1.0
2022-07-08,32.01,32.25,31.56,31.79,31.3934453280817,31153758,0.0000,1.0
2022-07-07,31.5,32.01,31.47,31.86,31.4625721344034,40137866,0.0000,1.0
2022-07-06,31.01,31.25,30.64,30.98,30.5935494263596,35933728,0.0000,1.0
2022-07-05,30.8,31.24,30.45,31.24,30.8503061355544,47442656,0.0000,1.0
2022-07-01,30.98,31.67,30.63,31.56,31.1663143930248,40236080,0.0000,1.0
2022-06-30,31.17,31.55,30.64,31.13,30.7416782970489,46312262,0.0000,1.0
2022-06-29,32.23,32.44,31.66,31.86,31.4625721344034,35149746,0.0000,1.0
2022-06-28,32.83,33.497,32.185,32.26,31.8575824562415,49915905,0.0000,1.0
2022-06-27,32.415,32.6,31.905,32.35,31.946459778655,47900293,0.0000,1.0
2022-06-24,31.25,32.7699,31.23,32.31,31.9069587464712,79504692,0.0000,1.0
2022-06-23,32.38,32.405,31.26,32.08,31.6798278114143,44091460,0.0000,1.0
2022-06-22,32.39,32.94,32.32,32.6,32.1933412298038,38335789,0.0000,1.0
2022-06-21,32.89,33.29,32.62,32.85,32.4402226809526,53537219,0.0000,1.0
2022-06-17,32.03,32.58,31.635,31.92,31.5218236826791,80470252,0.0000,1.0
2022-06-16,31.5,32.0,30.8591,31.85,31.4526968763574,61363408,0.0000,1.0
2022-06-15,31.98,32.49,31.423,32.05,31.6502020372765,51540135,0.0000,1.0
2022-06-14,31.92,32.595,31.225,31.46,31.0675618125653,49349754,0.0000,1.0
2022-06-13,32.39,32.77,31.74,32.02,31.6205762631386,61216575,0.0000,1.0
2022-06-10,33.68,34.04,33.02,33.17,32.7562309384231,49346170,0.0000,1.0
2022-06-09,35.74,35.84,34.5,34.51,34.0795155165807,49464073,0.0000,1.0
2022-06-08,35.92,36.11,35.52,35.89,35.4423011269221,33590631,0.0000,1.0
2022-06-07,35.9,36.405,35.74,36.35,35.8965629970359,29152216,0.0000,1.0
2022-06-06,36.7,37.21,36.1,36.15,35.6990578361168,40394048,0.0000,1.0
2022-06-03,36.48,36.68,36.13,36.19,35.7385588683006,25235197,0.0000,1.0
2022-06-02,36.41,36.71,36.065,36.7,36.2421970286442,35341881,0.2100,1.0
2022-06-01,37.46,37.47,36.1717,36.67,36.0065392858408,35237941,0.0000,1.0
2022-05-31,36.815,37.53,36.61,37.2,36.5269501345317,71609155,0.0000,1.0
2022-05-27,36.89,37.05,36.58,37.02,36.3502068274291,43365604,0.0000,1.0
2022-05-26,36.5,36.84,36.34,36.67,36.0065392858408,60201240,0.0000,1.0
2022-05-25,35.5,36.27,35.29,35.84,35.1915562586456,49343427,0.0000,1.0
2022-05-24,35.47,35.96,34.96,35.65,35.0049938789262,46146669,0.0000,1.0
2022-05-23,34.76,36.26,34.66,35.87,35.221013476496,69081852,0.0000,1.0
2022-05-20,34.8,34.98,32.9561,33.86,33.2473798805173,62406548,0.0000,1.0
2022-05-19,34.29,34.84,34.25,34.45,33.826705164909,47002714,0.0000,1.0
2022-05-18,35.62,35.69,34.605,34.88,34.2489252874319,47396915,0.0000,1.0
2022-05-17,35.62,36.215,35.43,35.99,35.3388423478977,42635615,0.0000,1.0
2022-05-16,35.0,35.17,34.413,34.81,34.1801917791142,39076463,0.0000,1.0
2022-05-13,35.53,35.73,34.755,35.17,34.5336783933193,49117857,0.0000,1.0
2022-05-12,35.01,35.43,34.2642,35.07,34.4354876671512,61231467,0.0000,1.0
2022-05-11,35.9,36.92,35.51,35.57,34.9264412979917,54969264,0.0000,1.0
2022-05-10,36.75,37.125,35.18,35.76,35.1130036777111,60235259,0.0000,1.0
2022-05-09,36.87,37.06,36.06,36.37,35.7119671073365,51241970,0.0000,1.0
2022-05-06,37.37,37.62,36.61,37.45,36.7724269499519,50440080,0.0000,1.0
2022-05-05,38.05,38.21,36.8701,37.54,36.8607986035032,48860647,0.0000,1.0
2022-05-04,37.37,38.75,37.285,38.62,37.9212584461186,57673834,0.0000,1.0
2022-05-03,36.34,37.63,36.33,37.13,36.458216626214,48926008,0.0000,1.0
2022-05-02,36.03,36.28,35.4,36.14,35.4861284371499,46652228,0.0000,1.0
2022-04-29,36.75,37.13,35.54,35.68,35.0344510967766,47420201,0.0000,1.0
2022-04-28,36.73,36.95,36.16,36.81,36.1440063024761,39567841,0.0000,1.0
2022-04-27,36.27,36.91,36.175,36.25,35.5941382359348,39824871,0.0000,1.0
2022-04-26,36.88,37.54,36.42,36.45,35.790519688271,43739150,0.0000,1.0
2022-04-25,36.89,37.4,35.93,37.29,36.615321788083,64301121,0.0000,1.0
2022-04-22,38.81,38.85,37.5,37.56,36.8804367487368,50409832,0.0000,1.0
2022-04-21,40.0,40.21,38.62,38.91,38.2060115520061,46245947,0.0000,1.0
2022-04-20,40.15,40.37,39.61,39.66,38.9424419982668,43841411,0.0000,1.0
2022-04-19,39.21,39.88,39.11,39.57,38.8540703447156,53714213,0.0000,1.0
2022-04-18,37.42,39.3099,37.22,38.85,38.1470971163053,80080290,0.0000,1.0
2022-04-14,38.49,38.97,37.42,37.57,36.8902558213536,79032031,0.0000,1.0
2022-04-13,38.5,39.01,38.364,38.82,38.1176398984548,45484230,0.0000,1.0
2022-04-12,39.57,40.08,38.8546,39.17,38.4613074400432,42855311,0.0000,1.0
2022-04-11,39.48,40.4,39.39,39.59,38.8737084899492,34198718,0.0000,1.0
2022-04-08,39.49,40.1,39.315,39.67,38.9522610708837,41018857,0.0000,1.0
2022-04-07,39.89,39.98,38.845,39.39,38.677327037613,54585008,0.0000,1.0
2022-04-06,39.74,40.01,39.35,39.7,38.9817182887341,54159784,0.0000,1.0
2022-04-05,40.44,40.755,40.04,40.14,39.4137574838737,51454333,0.0000,1.0
2022-04-04,40.48,41.1399,40.16,40.83,40.0912734944336,53789438,0.0000,1.0
