timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,735.3,743.61,728.411,740.82,740.82,730303,0.0000,1.0
2023-02-06,746.98,750.12,738.8,742.38,742.38,691511,0.0000,1.0
2023-02-03,750.0,769.81,747.99,757.16,757.16,1201841,0.0000,1.0
2023-02-02,763.9,781.77,763.14,770.73,770.73,1101814,0.0000,1.0
2023-02-01,753.72,768.295,744.39,762.63,762.63,702235,0.0000,1.0
2023-01-31,750.0,759.71,746.09,759.21,759.21,572076,0.0000,1.0
2023-01-30,750.41,758.26,746.54,747.86,747.86,458340,0.0000,1.0
2023-01-27,751.74,764.1,751.74,759.18,759.18,489454,0.0000,1.0
2023-01-26,750.0,759.38,746.2,758.9,758.9,488829,0.0000,1.0
2023-01-25,743.1,751.78,732.5,751.25,751.25,1070389,0.0000,1.0
2023-01-24,748.0,757.08,725.58,752.07,752.07,558245,0.0000,1.0
2023-01-23,741.87,750.02,735.4,748.02,748.02,730237,0.0000,1.0
2023-01-20,734.77,742.68,731.04,741.71,741.71,724332,0.0000,1.0
2023-01-19,737.81,741.56,729.62,729.87,729.87,650756,0.0000,1.0
2023-01-18,750.99,763.06,746.38,747.36,747.36,728805,0.0000,1.0
2023-01-17,750.18,752.105,735.1,749.73,749.73,823832,0.0000,1.0
2023-01-13,746.63,758.49,735.08,753.99,753.99,984180,0.0000,1.0
2023-01-12,763.16,763.16,741.15,753.96,753.96,938767,0.0000,1.0
2023-01-11,758.0,763.75,748.16,755.92,755.92,788213,0.0000,1.0
2023-01-10,749.63,757.74,744.3789,757.28,757.28,758966,0.0000,1.0
2023-01-09,742.21,762.81,741.75,752.99,752.99,1102835,0.0000,1.0
2023-01-06,713.42,738.56,710.47,738.0,738.0,1215691,0.0000,1.0
2023-01-05,713.03,717.168,701.21,701.24,701.24,686683,0.0000,1.0
2023-01-04,719.65,727.48,713.4,721.9,721.9,710190,0.0000,1.0
2023-01-03,720.0,723.5404,703.77,712.04,712.04,540821,0.0000,1.0
2022-12-30,708.29,712.91,698.36,708.63,708.63,413042,0.0000,1.0
2022-12-29,706.64,720.94,704.51,716.15,716.15,395312,0.0000,1.0
