timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,147.79,150.91,147.53,150.64,150.64,462974,0.0000,1.0
2023-02-06,152.36,152.495,148.685,149.03,149.03,444959,0.0000,1.0
2023-02-03,151.99,154.46,151.2,153.58,153.58,726574,0.0000,1.0
2023-02-02,156.45,157.47,151.2534,153.29,153.29,1038492,0.0000,1.0
2023-02-01,150.31,154.3,150.01,153.38,153.38,749185,0.0000,1.0
2023-01-31,150.1,151.52,148.88,150.36,150.36,806965,0.0000,1.0
2023-01-30,148.72,150.92,148.72,149.97,149.97,628612,0.0000,1.0
2023-01-27,150.68,150.68,147.97,149.46,149.46,564300,0.0000,1.0
2023-01-26,150.0,151.45,149.04,150.94,150.94,330694,0.0000,1.0
2023-01-25,148.61,149.59,146.19,148.99,148.99,613298,0.0000,1.0
2023-01-24,150.44,151.825,148.8,150.26,150.26,577567,0.0000,1.0
2023-01-23,146.3,150.58,146.0,150.14,150.14,463260,0.0000,1.0
2023-01-20,143.42,146.56,141.7261,146.29,146.29,321309,0.0000,1.0
2023-01-19,142.71,144.48,141.61,142.34,142.34,399484,0.0000,1.0
2023-01-18,145.71,147.15,143.72,144.0,144.0,605915,0.0000,1.0
2023-01-17,144.09,145.23,143.03,145.14,145.14,558365,0.0000,1.0
2023-01-13,144.18,144.8,143.48,144.11,144.11,461987,0.0000,1.0
2023-01-12,143.55,145.17,142.3502,144.99,144.99,419817,0.0000,1.0
2023-01-11,140.39,143.63,140.35,143.57,143.57,490279,0.0000,1.0
2023-01-10,138.28,139.195,137.08,139.03,139.03,301348,0.0000,1.0
2023-01-09,137.45,140.21,137.02,138.66,138.66,535397,0.0000,1.0
2023-01-06,134.66,137.43,132.98,137.1,137.1,365800,0.0000,1.0
2023-01-05,136.04,136.09,132.7,133.02,133.02,457467,0.0000,1.0
2023-01-04,135.91,137.9,135.565,136.67,136.67,458442,0.0000,1.0
2023-01-03,134.98,136.4026,133.45,134.56,134.56,436722,0.0000,1.0
2022-12-30,135.78,135.78,132.43,134.13,134.13,387386,0.0000,1.0
2022-12-29,134.37,137.35,134.36,136.66,136.66,361999,0.0000,1.0
2022-12-28,135.62,136.23,133.17,133.37,133.37,424073,0.0000,1.0
2022-12-27,134.47,135.92,133.33,135.47,135.47,333789,0.0000,1.0
2022-12-23,134.31,134.93,133.51,134.48,134.48,377240,0.0000,1.0
2022-12-22,134.56,135.62,132.33,134.4,134.4,483944,0.0000,1.0
2022-12-21,133.74,136.43,133.09,136.33,136.33,539222,0.0000,1.0
2022-12-20,132.86,133.98,132.375,133.41,133.41,534685,0.0000,1.0
2022-12-19,132.96,135.46,132.25,133.21,133.21,709471,0.0000,1.0
2022-12-16,133.76,134.96,131.8275,133.35,133.35,1422685,0.0000,1.0
2022-12-15,138.67,139.635,134.38,134.96,134.96,853639,0.0000,1.0
2022-12-14,143.8,144.53,140.04,140.85,140.85,657220,0.7250,1.0
2022-12-13,149.18,149.8,144.41,145.2,144.456436517747,491151,0.0000,1.0
2022-12-12,142.6,145.14,142.51,145.13,144.38679498499,426261,0.0000,1.0
2022-12-09,144.36,144.95,141.78,142.11,141.382260286067,721978,0.0000,1.0
2022-12-08,143.24,145.24,142.51,144.82,144.078382482783,470342,0.0000,1.0
2022-12-07,143.33,144.155,141.72,142.39,141.660826417093,288915,0.0000,1.0
2022-12-06,144.56,145.03,142.13,143.33,142.596012714109,410074,0.0000,1.0
2022-12-05,147.22,147.405,144.48,144.98,144.237563129084,340450,0.0000,1.0
2022-12-02,148.14,149.5234,146.63,148.99,148.227028076991,359911,0.0000,1.0
2022-12-01,149.63,151.291,148.04,149.86,149.09257284125,443379,0.0000,1.0
2022-11-30,142.65,149.36,142.65,149.11,148.346413561716,1773572,0.0000,1.0
2022-11-29,146.22,146.5,142.025,142.82,142.088624404026,738292,0.0000,1.0
2022-11-28,147.27,147.95,145.93,146.5,145.749779268939,563766,0.0000,1.0
2022-11-25,148.24,149.36,147.78,148.52,147.759434928483,257884,0.0000,1.0
2022-11-23,147.36,148.81,146.65,148.43,147.669895814939,623238,0.0000,1.0
2022-11-22,147.18,148.69,146.25,148.36,147.600254282183,701373,0.0000,1.0
2022-11-21,145.8,148.4,145.8,147.1,146.346706692566,922851,0.0000,1.0
2022-11-18,144.49,144.88,141.83,144.6,143.85950909412,685594,0.0000,1.0
2022-11-17,141.11,143.37,140.45,142.57,141.839904644182,546199,0.0000,1.0
2022-11-16,143.06,144.17,142.54,142.96,142.227907469539,472688,0.0000,1.0
2022-11-15,143.5,144.67,141.55,142.6,141.869751015363,528856,0.0000,1.0
2022-11-14,139.6,142.89,139.42,141.32,140.596305844958,572703,0.0000,1.0
2022-11-11,142.18,142.32,138.59,139.99,139.273116722585,720024,0.0000,1.0
2022-11-10,139.21,141.596,138.39,141.24,140.516715521808,827273,0.0000,1.0
2022-11-09,135.86,137.035,133.51,133.74,133.05512272647,663819,0.0000,1.0
2022-11-08,136.46,139.33,135.55,136.49,135.791040084761,803220,0.0000,1.0
2022-11-07,134.11,135.955,133.365,135.5,134.806109835776,588129,0.0000,1.0
2022-11-04,135.64,135.9164,131.35,133.44,132.756659014657,970044,0.0000,1.0
2022-11-03,136.0,137.55,133.09,133.91,133.224252163164,1016914,0.0000,1.0
2022-11-02,146.6,146.69,137.63,137.73,137.02469009359,1126725,0.0000,1.0
2022-11-01,151.37,151.37,148.53,149.6,148.833904291012,616021,0.0000,1.0
2022-10-31,148.15,150.71,147.56,150.06,149.291548649126,654922,0.0000,1.0
2022-10-28,145.04,149.04,145.04,148.9,148.137488963447,476132,0.0000,1.0
2022-10-27,144.99,146.46,144.085,145.0,144.257460709871,502080,0.0000,1.0
2022-10-26,144.58,146.41,142.86,144.33,143.590891753488,520608,0.0000,1.0
2022-10-25,142.51,144.65,141.79,144.39,143.65058449585,446957,0.0000,1.0
2022-10-24,142.56,142.99,139.53,142.4,141.670775207487,624833,0.0000,1.0
2022-10-21,139.87,141.27,137.865,140.99,140.267995761964,509709,0.0000,1.0
