timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,58.68,60.18,58.66,59.97,59.97,1247946,0.0000,1.0
2023-02-06,58.15,59.14,58.06,59.01,59.01,949531,0.0000,1.0
2023-02-03,58.32,58.48,57.66,58.39,58.39,1256023,0.0000,1.0
2023-02-02,58.39,58.7,57.67,58.66,58.66,1472338,0.1150,1.0
2023-02-01,58.04,58.97,57.48,58.4,58.2857337303275,1467991,0.0000,1.0
2023-01-31,57.43,58.56,57.26,58.56,58.4454206720544,2631673,0.0000,1.0
2023-01-30,57.5,57.98,57.38,57.46,57.3475729476818,1244393,0.0000,1.0
2023-01-27,58.27,58.37,57.07,57.6,57.4872990216929,1495212,0.0000,1.0
2023-01-26,58.84,58.93,57.66,58.36,58.2458119948958,1520331,0.0000,1.0
2023-01-25,58.87,59.62,57.57,58.96,58.8446380263717,2003283,0.0000,1.0
2023-01-24,61.77,61.77,57.51,58.71,58.5951271799234,2645044,0.0000,1.0
2023-01-23,61.85,62.22,61.13,61.96,61.8387681837516,1589072,0.0000,1.0
2023-01-20,60.51,61.799,60.18,61.72,61.5992377711612,1280688,0.0000,1.0
2023-01-19,60.25,60.59,59.95,60.25,60.1321139940451,897183,0.0000,1.0
2023-01-18,61.26,61.48,60.48,60.63,60.5113704806465,986244,0.0000,1.0
2023-01-17,61.27,61.74,61.08,61.18,61.0602943428328,988004,0.0000,1.0
2023-01-13,61.15,61.47,60.845,61.27,61.1501182475542,669894,0.0000,1.0
2023-01-12,61.95,62.23,61.025,61.66,61.5393551680136,1197692,0.0000,1.0
2023-01-11,60.12,61.73,60.01,61.69,61.5692964695874,1398596,0.0000,1.0
2023-01-10,58.8,59.88,58.765,59.87,59.7528575074436,798361,0.0000,1.0
2023-01-09,59.0,59.76,58.78,58.84,58.7248728200766,957699,0.0000,1.0
2023-01-06,57.62,59.13,57.26,58.83,58.7148923862186,727867,0.0000,1.0
2023-01-05,57.4,57.77,56.27,57.08,56.9683164610804,1299391,0.0000,1.0
2023-01-04,57.13,58.02,56.9181,57.6,57.4872990216929,1305785,0.0000,1.0
2023-01-03,57.06,57.47,56.105,56.65,56.5391578051893,1162348,0.0000,1.0
