timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,46.74,47.625,46.615,47.31,47.31,2653509,0.0000,1.0
2023-02-06,47.35,47.35,46.44,46.97,46.97,2136497,0.0000,1.0
2023-02-03,47.51,48.31,47.36,47.61,47.61,2162104,0.0000,1.0
2023-02-02,48.28,49.01,48.0066,48.21,48.21,1777245,0.0000,1.0
2023-02-01,47.28,48.52,47.2,48.28,48.28,1992883,0.0000,1.0
2023-01-31,46.48,47.39,46.385,47.28,47.28,2062864,0.0000,1.0
2023-01-30,45.25,46.53,45.25,46.16,46.16,1787523,0.0000,1.0
2023-01-27,46.23,46.52,45.85,45.97,45.97,2035865,0.0000,1.0
2023-01-26,45.27,45.45,44.78,45.32,45.32,1127275,0.0000,1.0
2023-01-25,44.43,44.925,44.31,44.85,44.85,1113732,0.0000,1.0
2023-01-24,44.08,44.85,43.74,44.52,44.52,1676846,0.0000,1.0
2023-01-23,44.5,44.82,44.34,44.67,44.67,1087527,0.0000,1.0
2023-01-20,43.91,44.48,43.69,44.4,44.4,1436452,0.0000,1.0
2023-01-19,43.3,43.8,42.93,43.7,43.7,1743266,0.0000,1.0
2023-01-18,44.72,44.82,43.6,43.85,43.85,1680983,0.0000,1.0
2023-01-17,44.49,44.9,44.25,44.25,44.25,1839674,0.0000,1.0
2023-01-13,44.0,44.5,43.81,44.48,44.48,1268012,0.0000,1.0
2023-01-12,43.97,44.86,43.81,44.61,44.61,1825235,0.0000,1.0
2023-01-11,43.1,43.65,42.97,43.56,43.56,2000897,0.0000,1.0
2023-01-10,42.44,43.12,42.2778,43.07,43.07,1516754,0.0000,1.0
2023-01-09,43.0,43.14,42.15,42.24,42.24,2371754,0.0000,1.0
2023-01-06,42.29,43.375,42.14,43.15,43.15,1416846,0.0000,1.0
2023-01-05,41.21,42.56,41.04,42.0,42.0,1634487,0.0000,1.0
2023-01-04,40.79,41.965,40.59,41.61,41.61,1667471,0.0000,1.0
2023-01-03,40.8,40.94,40.11,40.27,40.27,1763282,0.0000,1.0
2022-12-30,40.14,40.4908,39.99,40.25,40.25,830987,0.0000,1.0
2022-12-29,39.96,40.56,39.775,40.46,40.46,873876,0.0000,1.0
2022-12-28,40.29,40.43,39.365,39.48,39.48,1140614,0.0000,1.0
2022-12-27,39.95,40.47,39.8,40.15,40.15,1139561,0.0000,1.0
2022-12-23,39.61,40.05,39.335,40.0,40.0,1064009,0.0000,1.0
2022-12-22,40.4,40.51,38.96,39.57,39.57,1688136,0.0000,1.0
2022-12-21,41.0,41.28,40.72,41.0,41.0,1230893,0.0000,1.0
2022-12-20,40.63,41.235,40.42,40.46,40.46,1457223,0.0000,1.0
2022-12-19,40.74,41.24,40.31,40.62,40.62,1332473,0.0000,1.0
2022-12-16,40.31,40.85,39.98,40.54,40.54,3555353,0.0000,1.0
2022-12-15,40.67,40.975,40.44,40.79,40.79,1409181,0.0000,1.0
2022-12-14,40.74,41.6,40.74,41.16,41.16,2215036,0.0000,1.0
2022-12-13,42.51,43.06,40.745,41.12,41.12,2102891,0.0000,1.0
2022-12-12,40.37,41.52,40.1,41.34,41.34,1532429,0.0000,1.0
2022-12-09,40.42,40.88,40.27,40.47,40.47,1233310,0.0000,1.0
2022-12-08,41.44,41.44,40.655,40.74,40.74,1573166,0.0000,1.0
2022-12-07,40.91,41.83,40.74,41.18,41.18,2494019,0.0000,1.0
2022-12-06,42.38,43.1625,40.64,41.0,41.0,4223314,0.0000,1.0
2022-12-05,42.12,42.23,41.64,41.91,41.91,1274034,0.0000,1.0
2022-12-02,42.12,42.835,41.88,42.68,42.68,1574911,0.0000,1.0
2022-12-01,42.58,43.12,42.18,42.66,42.66,1742669,0.0000,1.0
2022-11-30,41.9,42.51,41.265,42.51,42.51,3100546,0.1700,1.0
