timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,250.55,252.0,245.3503,249.66,249.66,3467883,0.0000,1.0
2023-02-06,248.11,252.14,248.0,251.42,251.42,3528766,0.0000,1.0
2023-02-03,244.0,250.95,243.1268,247.76,247.76,4134653,0.0000,1.0
2023-02-02,249.33,249.53,241.8,244.9,244.9,6130329,0.0000,1.0
2023-02-01,251.75,252.7,245.31,249.54,249.54,6022012,0.0000,1.0
2023-01-31,257.0,257.39,246.41,252.29,252.29,10992111,0.0000,1.0
2023-01-30,263.34,264.9999,261.31,261.5,261.5,3426868,0.0000,1.0
2023-01-27,262.46,266.04,262.12,264.54,264.54,2782988,0.0000,1.0
2023-01-26,260.0,262.26,256.8913,262.12,262.12,2677234,0.0000,1.0
2023-01-25,254.53,259.185,254.32,258.44,258.44,2424912,0.0000,1.0
2023-01-24,252.88,259.0474,249.75,257.61,257.61,3505069,0.0000,1.0
2023-01-23,250.75,253.68,249.27,252.7,252.7,2610238,0.0000,1.0
2023-01-20,246.87,249.92,244.76,249.71,249.71,2964106,0.0000,1.0
2023-01-19,250.48,251.25,244.3,245.75,245.75,4885201,1.2000,1.0
2023-01-18,257.28,258.9099,252.07,252.82,251.591476007289,3361371,0.0000,1.0
2023-01-17,258.86,260.5,255.935,256.26,255.014760072889,4100061,0.0000,1.0
2023-01-13,256.8,258.575,255.23,258.46,257.204069649727,3067830,0.0000,1.0
2023-01-12,252.0,257.3799,251.01,255.07,253.830542619964,3881458,0.0000,1.0
2023-01-11,251.49,251.89,247.125,250.73,249.511631909293,2402410,0.0000,1.0
2023-01-10,246.95,250.84,246.45,250.51,249.29270095161,3011934,0.0000,1.0
2023-01-09,249.01,250.97,246.0,246.62,245.421603563474,3417307,0.0000,1.0
2023-01-06,242.89,249.91,242.24,248.86,247.650718768982,3945070,0.0000,1.0
2023-01-05,240.53,241.535,237.56,240.28,239.112411419316,2355923,0.0000,1.0
2023-01-04,240.0,242.13,238.55,241.36,240.1871633934,2387868,0.0000,1.0
2023-01-03,240.68,240.68,236.2,238.88,237.719214415874,2651884,0.0000,1.0
2022-12-30,239.39,240.16,237.7,239.56,238.39591010326,1521214,0.0000,1.0
2022-12-29,241.21,241.61,238.27,240.2,239.032800161976,1652542,0.0000,1.0
2022-12-28,243.14,243.82,238.275,239.38,238.216784774246,2269966,0.0000,1.0
2022-12-27,240.69,245.05,239.7223,243.14,241.958513869204,3381464,0.0000,1.0
2022-12-23,236.95,240.54,236.5,239.87,238.704403725451,1960066,0.0000,1.0
2022-12-22,240.15,240.8,233.04,237.54,236.385725855436,3129995,0.0000,1.0
2022-12-21,237.66,241.9101,237.66,241.73,240.555365458595,4143626,0.0000,1.0
2022-12-20,232.44,235.72,231.86,235.14,233.99738813525,2649895,0.0000,1.0
2022-12-19,233.9,236.93,230.93,232.29,231.161237092529,2622367,0.0000,1.0
2022-12-16,228.63,233.215,228.05,232.72,231.589147600729,7610743,0.0000,1.0
2022-12-15,232.16,232.93,227.72,230.66,229.539157724236,2953761,0.0000,1.0
2022-12-14,236.06,238.22,233.12,234.48,233.340595262199,3513780,0.0000,1.0
2022-12-13,237.82,237.92,232.13,235.49,234.345687386111,2945191,0.0000,1.0
2022-12-12,227.55,233.4,227.02,233.06,231.927495444422,2709227,0.0000,1.0
2022-12-09,232.0,232.81,227.19,227.29,226.185533508807,2256976,0.0000,1.0
2022-12-08,230.91,232.5,229.54,230.92,229.797894310589,2189369,0.0000,1.0
2022-12-07,227.0,229.84,225.78,228.98,227.867321320105,3044194,0.0000,1.0
2022-12-06,232.59,233.05,225.56,228.29,227.180674225552,3633800,0.0000,1.0
2022-12-05,234.8,235.91,232.26,232.57,231.439876493217,2064513,0.0000,1.0
2022-12-02,233.89,238.47,233.59,236.13,234.982577444827,2218271,0.0000,1.0
2022-12-01,236.9,237.0,231.94,235.69,234.544715529459,2504686,0.0000,1.0
2022-11-30,235.9,236.76,230.79,236.41,235.261216845515,3849956,0.0000,1.0
2022-11-29,233.3,235.73,231.55,235.12,233.977485320915,2277925,0.0000,1.0
2022-11-28,233.94,234.955,231.57,232.3,231.171188499696,2862337,0.0000,1.0
2022-11-25,237.0,237.49,235.19,235.7,234.554666936627,1034795,0.0000,1.0
2022-11-23,237.63,239.63,235.61,236.92,235.768738611055,2311283,0.0000,1.0
2022-11-22,234.0,237.48,233.36,237.26,236.107086454748,2523669,0.0000,1.0
2022-11-21,231.55,233.67,228.27,232.17,231.04182020652,2522619,0.0000,1.0
2022-11-18,230.85,231.84,227.63,231.43,230.305416076129,2868714,0.0000,1.0
2022-11-17,227.75,230.53,225.51,230.44,229.320226766552,3257638,0.0000,1.0
2022-11-16,234.0,234.66,230.8375,232.42,231.290605385706,3061954,0.0000,1.0
