timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,212.27,216.06,211.555,215.15,215.15,1760475,0.0000,1.0
2023-02-06,210.04,214.42,209.0,213.85,213.85,2194443,0.0000,1.0
2023-02-03,211.02,211.82,208.25,209.84,209.84,2874332,0.0000,1.0
2023-02-02,211.88,212.51,201.73,210.17,210.17,4027595,0.0000,1.0
2023-02-01,217.61,220.975,212.29,213.44,213.44,3971257,0.0000,1.0
2023-01-31,226.78,227.55,224.51,227.49,227.49,2385676,0.0000,1.0
2023-01-30,227.33,228.21,224.87,226.07,226.07,1711596,0.0000,1.0
2023-01-27,230.86,231.37,227.02,227.33,227.33,1493635,0.0000,1.0
2023-01-26,229.77,231.21,228.675,231.11,231.11,1054404,0.0000,1.0
2023-01-25,227.49,230.82,227.0,229.77,229.77,1640183,0.0000,1.0
2023-01-24,223.99,229.55,202.67,228.35,228.35,1532968,0.0000,1.0
2023-01-23,220.74,223.81,220.35,223.59,223.59,1754718,0.0000,1.0
2023-01-20,219.86,220.65,217.55,220.43,220.43,1464747,0.0000,1.0
2023-01-19,220.78,221.21,217.7,219.25,219.25,1530235,0.0000,1.0
2023-01-18,224.24,224.94,220.54,220.57,220.57,1439088,0.0000,1.0
2023-01-17,227.77,227.77,223.89,224.63,224.63,2367083,0.0000,1.0
2023-01-13,224.48,227.87,223.58,227.19,227.19,1081202,0.0000,1.0
2023-01-12,224.53,226.85,223.0,225.6,225.6,1026221,0.0000,1.0
2023-01-11,224.82,225.71,223.59,224.61,224.61,1480583,0.0000,1.0
2023-01-10,223.91,225.48,223.07,224.77,224.77,1189173,0.0000,1.0
2023-01-09,226.6,227.86,223.36,223.51,223.51,1778543,0.0000,1.0
2023-01-06,225.03,230.27,224.3,228.86,228.86,1815433,0.0000,1.0
2023-01-05,224.25,225.8,221.22,223.56,223.56,1542480,0.0000,1.0
2023-01-04,221.91,225.26,221.3544,224.4,224.4,1856915,0.0000,1.0
2023-01-03,220.0,221.24,217.59,220.77,220.77,1804374,0.0000,1.0
2022-12-30,221.18,221.98,218.89,220.6,220.6,1227316,0.0000,1.0
2022-12-29,220.77,223.05,219.7,222.08,222.08,1268519,0.0000,1.0
2022-12-28,221.28,222.33,219.78,219.82,219.82,1370550,0.0000,1.0
2022-12-27,219.8,221.77,219.43,220.9,220.9,1468676,0.0000,1.0
2022-12-23,217.7,219.71,217.075,219.65,219.65,847974,0.0000,1.0
2022-12-22,216.73,219.32,215.0,217.39,217.39,1199031,0.0000,1.0
2022-12-21,216.12,218.82,215.3,218.76,218.76,1275675,0.0000,1.0
2022-12-20,213.21,216.24,212.19,214.7,214.7,1333541,0.0000,1.0
2022-12-19,211.75,214.9,210.85,211.96,211.96,1156708,0.0000,1.0
2022-12-16,211.34,213.25,209.03,211.68,211.68,3937119,0.0000,1.0
2022-12-15,213.92,214.94,211.33,212.77,212.77,3117356,0.8300,1.0
2022-12-14,217.37,221.1,215.28,216.82,215.977487827715,1656495,0.0000,1.0
2022-12-13,220.0,220.02,215.1,217.04,216.196632958801,2063509,0.0000,1.0
2022-12-12,217.2,218.15,215.6201,217.53,216.684728932584,1327058,0.0000,1.0
2022-12-09,219.24,219.72,217.22,217.33,216.485506086142,1356915,0.0000,1.0
2022-12-08,218.33,219.375,217.61,219.18,218.32831741573,1651593,0.0000,1.0
2022-12-07,216.8,220.125,216.2,217.6,216.754456928839,1762391,0.0000,1.0
2022-12-06,215.68,218.24,215.01,217.63,216.784340355805,1496710,0.0000,1.0
2022-12-05,217.55,219.08,214.25,215.43,214.592889044944,2214621,0.0000,1.0
2022-12-02,217.19,219.41,216.39,219.16,218.308395131086,1109669,0.0000,1.0
2022-12-01,222.0,222.0,216.91,218.32,217.47165917603,1746102,0.0000,1.0
2022-11-30,215.53,220.0,215.3,219.59,218.736724250936,3612517,0.0000,1.0
2022-11-29,215.6,217.14,214.735,216.68,215.838031835206,1270765,0.0000,1.0
2022-11-28,215.08,216.67,214.87,215.4,214.563005617978,2027622,0.0000,1.0
2022-11-25,215.0,216.59,214.6625,216.23,215.389780430712,639352,0.0000,1.0
2022-11-23,213.0,214.52,213.0,214.15,213.317862827715,1396293,0.0000,1.0
2022-11-22,211.4,213.38,210.856,213.02,212.192253745318,1302892,0.0000,1.0
2022-11-21,210.52,211.45,209.39,210.38,209.562512172285,963048,0.0000,1.0
2022-11-18,211.49,212.185,208.23,210.14,209.323444756554,1444174,0.0000,1.0
2022-11-17,206.09,209.99,206.01,209.04,208.227719101124,854244,0.0000,1.0
2022-11-16,206.76,207.79,205.25,207.28,206.474558052434,1144062,0.0000,1.0
2022-11-15,206.95,206.96,203.29,206.63,205.827083801498,1439755,0.0000,1.0
2022-11-14,206.83,209.2746,205.04,205.1,204.303029026217,1555637,0.0000,1.0
2022-11-11,213.92,214.272,205.43,206.26,205.458521535581,2620251,0.0000,1.0
2022-11-10,215.04,215.06,209.85,211.91,211.086566947566,2436597,0.0000,1.0
2022-11-09,212.0,213.5,209.76,210.12,209.30352247191,1544139,0.0000,1.0
2022-11-08,211.02,213.57,209.02,212.41,211.58462406367,1384380,0.0000,1.0
2022-11-07,210.35,213.8999,209.165,212.09,211.265867509363,2389395,0.0000,1.0
2022-11-04,211.0,212.1824,207.03,209.16,208.347252808989,1864177,0.0000,1.0
2022-11-03,209.07,211.7,207.87,209.64,208.825387640449,1561840,0.0000,1.0
2022-11-02,212.39,215.17,210.17,210.54,209.721890449438,2227197,0.0000,1.0
2022-11-01,215.45,216.0,213.31,213.48,212.650466292135,2298279,0.0000,1.0
2022-10-31,212.59,215.5,211.94,214.89,214.054987359551,2559633,0.0000,1.0
2022-10-28,209.25,214.89,208.82,214.5,213.666502808989,1850329,0.0000,1.0
2022-10-27,206.24,210.205,205.61,207.53,206.723586610487,2061334,0.0000,1.0
2022-10-26,213.7,214.02,203.15,204.15,203.356720505618,2151519,0.0000,1.0
2022-10-25,200.47,201.6308,198.66,201.43,200.647289794007,1968004,0.0000,1.0
2022-10-24,199.38,205.005,199.38,203.38,202.589712546816,2022963,0.0000,1.0
2022-10-21,192.79,197.97,191.585,197.79,197.021433988764,1529012,0.0000,1.0
2022-10-20,194.02,196.09,191.57,192.21,191.463116573034,1670209,0.0000,1.0
2022-10-19,194.0,197.825,193.86,195.98,195.218467228464,1415795,0.0000,1.0
2022-10-18,197.08,197.32,192.58,194.65,193.893635299625,1148375,0.0000,1.0
2022-10-17,190.0,193.33,190.0,192.69,191.941251404494,1610132,0.0000,1.0
2022-10-14,194.59,195.685,188.06,188.77,188.036483614232,2065646,0.0000,1.0
2022-10-13,182.55,194.47,181.32,193.73,192.977210205992,1557622,0.0000,1.0
2022-10-12,185.62,188.33,184.285,185.0,184.281132958801,1405999,0.0000,1.0
2022-10-11,184.92,188.36,184.47,185.7,184.978412921348,1175275,0.0000,1.0
2022-10-10,186.24,187.5,184.44,184.92,184.201443820225,1292045,0.0000,1.0
2022-10-07,187.93,188.24,184.05,184.68,183.962376404494,1271495,0.0000,1.0
2022-10-06,190.1,190.21,188.04,188.82,188.086289325843,1006421,0.0000,1.0
2022-10-05,191.12,192.42,190.26,190.63,189.889256086142,987082,0.0000,1.0
2022-10-04,188.13,192.96,188.05,192.76,192.010979400749,1592804,0.0000,1.0
2022-10-03,183.42,187.745,181.23,187.1,186.372972846442,1359030,0.0000,1.0
2022-09-30,184.25,186.475,181.64,181.88,181.173256554307,1915950,0.0000,1.0
2022-09-29,179.41,184.63,177.995,183.78,183.065873595506,2247687,0.0000,1.0
2022-09-28,178.84,181.955,177.48,180.32,179.61931835206,1743513,0.0000,1.0
2022-09-27,175.63,178.93,174.52,178.14,177.447789325843,2213809,0.0000,1.0
2022-09-26,179.21,179.6,173.78,174.74,174.06100093633,1880796,0.0000,1.0
2022-09-23,180.24,181.71,178.11,180.29,179.589434925094,1880027,0.0000,1.0
2022-09-22,182.65,183.31,180.7768,181.49,180.784772003745,1696351,0.0000,1.0
2022-09-21,188.46,188.88,182.4,182.47,181.760963951311,1325869,0.0000,1.0
2022-09-20,190.44,190.44,185.61,187.58,186.851107677903,1802903,0.0000,1.0
2022-09-19,188.01,191.94,187.09,191.88,191.134398876404,1205770,0.0000,1.0
2022-09-16,190.1,191.3,188.6,189.25,188.514618445693,3844914,0.0000,1.0
2022-09-15,192.16,193.79,190.58,192.16,191.413310861423,1476655,0.8300,1.0
2022-09-14,193.88,194.84,191.35,193.26,191.681105016211,1667491,0.0000,1.0
2022-09-13,194.71,195.95,192.96,193.2,191.621595204036,1394800,0.0000,1.0
2022-09-12,195.77,198.02,195.14,196.98,195.370713371072,1133041,0.0000,1.0
2022-09-09,195.55,196.2712,194.44,195.0,193.406889569291,1380700,0.0000,1.0
2022-09-08,193.06,195.375,192.3257,195.11,193.515990891612,1560387,0.0000,1.0
2022-09-07,190.65,194.17,190.355,193.68,192.097673701438,1135507,0.0000,1.0
2022-09-06,191.75,192.325,189.9,190.43,188.874225541949,1097473,0.0000,1.0
2022-09-02,193.76,195.86,190.0,190.88,189.320549133263,1039484,0.0000,1.0
2022-09-01,189.13,192.25,188.51,192.14,190.570255188942,1205513,0.0000,1.0
2022-08-31,190.18,192.11,189.04,189.05,187.505499861921,1759726,0.0000,1.0
2022-08-30,192.29,192.52,189.65,189.99,188.437820252665,1119783,0.0000,1.0
2022-08-29,192.08,193.645,190.19,192.16,190.590091793,995795,0.0000,1.0
2022-08-26,198.25,198.25,193.35,193.51,191.929062566941,1130242,0.0000,1.0
2022-08-25,196.92,197.8961,195.68,197.51,195.896383378619,708014,0.0000,1.0
2022-08-24,195.6,196.73,194.35,196.41,194.805370155408,776506,0.0000,1.0
2022-08-23,197.0,197.975,196.26,196.73,195.122755820342,1048005,0.0000,1.0
2022-08-22,198.0,198.41,196.5,197.02,195.410386579189,1150986,0.0000,1.0
2022-08-19,202.53,202.73,200.405,200.58,198.941302101582,2015987,0.0000,1.0
2022-08-18,200.96,202.42,200.71,202.41,200.756351372924,1064192,0.0000,1.0
2022-08-17,197.69,201.16,197.26,200.94,199.298360974633,951402,0.0000,1.0
2022-08-16,196.78,200.16,196.78,199.05,197.423801891115,1193232,0.0000,1.0
2022-08-15,195.5,197.98,195.45,196.71,195.102919216284,1397662,0.0000,1.0
2022-08-12,194.53,197.59,194.21,197.55,195.936056586736,941980,0.0000,1.0
2022-08-11,192.6,194.32,192.465,193.81,192.226611627817,1427202,0.0000,1.0
2022-08-10,191.04,192.0,190.16,191.6,190.034666879365,1176495,0.0000,1.0
2022-08-09,187.64,190.33,187.585,189.71,188.160107795847,1556768,0.0000,1.0
2022-08-08,186.12,187.67,185.54,186.56,185.035842656651,1439570,0.0000,1.0
2022-08-05,185.37,186.97,184.84,185.32,183.805973205031,1282618,0.0000,1.0
2022-08-04,185.16,187.345,184.57,185.09,183.57785225836,1387039,0.0000,1.0
2022-08-03,184.97,186.27,182.485,185.7,184.18286868214,1671656,0.0000,1.0
2022-08-02,185.4,188.085,184.02,184.34,182.83397960617,2267485,0.0000,1.0
2022-08-01,186.39,187.915,183.485,184.98,183.468750936038,2266791,0.0000,1.0
2022-07-29,185.94,189.21,185.94,188.64,187.098849478724,2379518,0.0000,1.0
2022-07-28,187.36,187.7,182.32,185.38,183.865483017206,2458765,0.0000,1.0
2022-07-27,190.16,193.2,185.06,187.0,185.472247945936,2804060,0.0000,1.0
2022-07-26,186.99,188.73,186.99,188.28,186.741790605673,1790648,0.0000,1.0
2022-07-25,185.01,188.5,184.1,187.21,185.680532288549,1791054,0.0000,1.0
2022-07-22,184.29,185.9483,182.86,184.13,182.625695263557,1451457,0.0000,1.0
2022-07-21,183.37,184.22,181.15,184.01,182.506675639207,2187287,0.0000,1.0
2022-07-20,185.88,186.28,184.32,184.7,183.191038479221,1970490,0.0000,1.0
2022-07-19,183.27,186.4465,182.65,185.72,184.202705286199,2341410,0.0000,1.0
2022-07-18,185.47,186.47,180.5,181.18,179.699796164945,2430328,0.0000,1.0
2022-07-15,185.55,186.485,183.42,184.19,182.685205075732,2722221,0.0000,1.0
2022-07-14,185.39,186.78,182.31,183.32,181.822312799192,2024588,0.0000,1.0
2022-07-13,190.68,192.235,189.88,190.04,188.487411762811,1650990,0.0000,1.0
2022-07-12,192.23,195.31,191.58,191.9,190.332215940241,1457664,0.0000,1.0
2022-07-11,193.01,194.63,192.5,193.56,191.978654077087,1342179,0.0000,1.0
