timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,125.66,127.39,125.455,127.39,127.39,660272,0.0000,1.0
2023-02-06,124.38,129.29,123.46,126.25,126.25,954024,0.0000,1.0
2023-02-03,116.11,124.96,116.11,124.26,124.26,1357055,0.0000,1.0
2023-02-02,123.5,123.5,120.51,120.82,120.82,930531,0.0000,1.0
2023-02-01,121.96,124.07,121.96,123.05,123.05,589319,0.0000,1.0
2023-01-31,123.44,123.44,122.0,122.88,122.88,601874,0.0000,1.0
2023-01-30,122.6,123.285,121.6,122.65,122.65,581936,0.0000,1.0
2023-01-27,122.7,122.9712,121.64,122.1,122.1,331635,0.0000,1.0
2023-01-26,122.15,124.04,122.0,123.33,123.33,560872,0.0000,1.0
2023-01-25,122.1,122.92,120.8,122.39,122.39,1423788,0.0000,1.0
2023-01-24,123.97,124.5,121.135,121.57,121.57,625767,0.0000,1.0
2023-01-23,121.82,123.0462,121.56,123.03,123.03,470666,0.0000,1.0
2023-01-20,123.21,123.64,121.9601,122.3,122.3,687496,0.0000,1.0
2023-01-19,122.89,123.85,121.65,122.29,122.29,696050,0.0000,1.0
2023-01-18,125.03,125.24,122.27,122.58,122.58,782722,0.0000,1.0
2023-01-17,124.71,126.31,123.55,123.62,123.62,570835,0.0000,1.0
2023-01-13,124.01,124.83,122.46,124.49,124.49,589584,0.0000,1.0
2023-01-12,122.6,124.38,122.26,123.77,123.77,825078,0.0000,1.0
2023-01-11,122.86,124.18,122.51,123.43,123.43,545808,0.0000,1.0
2023-01-10,122.41,123.095,121.21,122.49,122.49,760198,0.0000,1.0
2023-01-09,123.3,125.6275,122.12,122.18,122.18,771285,0.0000,1.0
2023-01-06,124.14,125.53,121.93,123.49,123.49,470350,0.0000,1.0
2023-01-05,123.61,125.82,123.1,123.77,123.77,488773,0.0000,1.0
2023-01-04,127.79,127.79,123.52,124.47,124.47,689094,0.0000,1.0
2023-01-03,126.43,126.87,125.02,126.33,126.33,517823,0.0000,1.0
2022-12-30,127.19,127.72,124.76,125.47,125.47,351597,0.0000,1.0
2022-12-29,127.59,127.68,125.4,127.18,127.18,1322846,0.0000,1.0
2022-12-28,124.86,127.22,124.86,126.12,126.12,396712,0.0000,1.0
2022-12-27,127.17,127.63,125.49,126.37,126.37,384048,0.0000,1.0
2022-12-23,125.76,126.2,124.46,126.18,126.18,295698,0.0000,1.0
2022-12-22,124.89,125.5,122.64,124.26,124.26,568666,0.0000,1.0
2022-12-21,123.19,126.32,121.98,126.19,126.19,751052,0.0000,1.0
2022-12-20,123.76,124.5,122.2,123.18,123.18,433565,0.0000,1.0
2022-12-19,124.72,125.63,122.7,123.26,123.26,463447,0.0000,1.0
2022-12-16,124.36,125.03,122.12,124.02,124.02,1003935,0.0000,1.0
2022-12-15,121.22,124.16,119.9301,124.14,124.14,1236662,0.0000,1.0
2022-12-14,123.03,123.92,121.46,121.68,121.68,599988,0.0000,1.0
2022-12-13,128.37,128.53,122.7,122.97,122.97,834952,0.0000,1.0
2022-12-12,124.65,125.79,123.37,125.69,125.69,574896,0.0000,1.0
2022-12-09,127.61,128.31,124.29,124.39,124.39,792434,0.0000,1.0
2022-12-08,129.42,130.29,126.48,126.82,126.82,573529,0.0000,1.0
2022-12-07,129.0,130.52,126.9,128.5,128.5,819197,0.0000,1.0
2022-12-06,127.62,129.8397,127.62,128.39,128.39,715173,0.0000,1.0
2022-12-05,128.36,128.54,125.96,127.24,127.24,532632,0.0000,1.0
2022-12-02,127.08,128.95,126.22,128.33,128.33,546216,0.0000,1.0
2022-12-01,127.29,128.15,125.26,126.82,126.82,474877,0.0000,1.0
2022-11-30,123.28,127.09,123.28,126.84,126.84,2291672,0.0000,1.0
2022-11-29,124.44,124.8,122.86,123.25,123.25,555365,0.5000,1.0
2022-11-28,127.0,127.0,124.39,124.67,124.166282828283,490574,0.0000,1.0
2022-11-25,125.25,127.0,124.6875,125.85,125.341515151515,214088,0.0000,1.0
2022-11-23,125.33,126.84,124.16,124.84,124.335595959596,670090,0.0000,1.0
2022-11-22,124.49,125.465,124.21,125.36,124.853494949495,588710,0.0000,1.0
2022-11-21,120.85,124.57,120.85,124.03,123.528868686869,603229,0.0000,1.0
