timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,144.31,144.51,142.38,143.42,143.42,1507415,0.0000,1.0
2023-02-07,145.175,145.68,142.34,145.07,145.07,1478475,0.0000,1.0
2023-02-06,143.82,146.2,142.52,145.76,145.76,1881993,0.0000,1.0
2023-02-03,150.63,150.63,143.695,145.97,145.97,2616989,0.0000,1.0
2023-02-02,150.87,153.98,150.15,152.54,152.54,1624616,0.0000,1.0
2023-02-01,147.14,150.19,144.9104,149.11,149.11,1801754,0.0000,1.0
2023-01-31,144.85,148.11,144.47,148.11,148.11,3946343,0.0000,1.0
2023-01-30,145.0,147.97,144.67,144.75,144.75,1767259,0.0000,1.0
2023-01-27,147.95,147.95,144.67,146.07,146.07,1581380,0.0000,1.0
2023-01-26,146.68,148.48,144.52,148.13,148.13,1608123,0.0000,1.0
2023-01-25,145.11,146.67,144.17,145.47,145.47,1669749,0.0000,1.0
2023-01-24,144.65,146.5,144.5,145.31,145.31,1658271,0.0000,1.0
2023-01-23,147.8,147.86,144.77,144.78,144.78,2038226,0.0000,1.0
2023-01-20,144.84,148.34,142.52,148.12,148.12,2159871,0.0000,1.0
2023-01-19,144.65,147.545,144.1003,145.24,145.24,2135827,0.0000,1.0
2023-01-18,151.0,151.35,144.85,145.25,145.25,2382446,0.0000,1.0
2023-01-17,150.93,151.5,149.148,150.31,150.31,2245659,0.0000,1.0
2023-01-13,149.9,151.7509,149.23,150.86,150.86,1513870,0.0000,1.0
2023-01-12,148.31,152.01,147.1,151.25,151.25,2337191,0.0000,1.0
2023-01-11,148.91,151.885,148.58,151.59,151.59,2499884,0.0000,1.0
2023-01-10,145.0,147.18,144.28,147.1,147.1,1555545,0.0000,1.0
2023-01-09,146.31,146.96,145.34,145.38,145.38,2208597,0.0000,1.0
2023-01-06,141.76,146.42,140.525,145.71,145.71,1923765,0.0000,1.0
2023-01-05,141.8,143.0,140.13,140.75,140.75,2230466,0.0000,1.0
2023-01-04,139.3,144.445,138.99,143.35,143.35,2150333,0.0000,1.0
2023-01-03,136.91,138.68,135.63,138.31,138.31,1994739,0.0000,1.0
2022-12-30,137.65,137.98,133.895,135.64,135.64,1401551,0.0000,1.0
2022-12-29,135.98,138.68,134.715,138.41,138.41,1612375,0.0000,1.0
2022-12-28,137.56,138.5501,134.72,134.86,134.86,1317669,0.0000,1.0
2022-12-27,136.84,137.42,134.84,136.93,136.93,1131430,0.0000,1.0
2022-12-23,135.18,137.02,134.95,136.98,136.98,978354,0.0000,1.0
2022-12-22,133.87,136.1,133.09,135.6,135.6,2563290,0.0000,1.0
2022-12-21,135.42,136.37,133.78,134.5,134.5,2338362,0.0000,1.0
2022-12-20,132.42,134.43,131.31,133.81,133.81,2315559,0.0000,1.0
2022-12-19,134.33,135.23,132.04,133.21,133.21,1842135,0.0000,1.0
2022-12-16,136.07,136.89,132.02,134.77,134.77,4387880,0.0000,1.0
2022-12-15,136.12,139.49,135.61,138.0,138.0,2844766,0.0000,1.0
2022-12-14,142.98,143.3502,137.355,137.48,137.48,3730948,1.5650,1.0
2022-12-13,145.66,148.555,143.46,144.97,143.338312057248,2895401,0.0000,1.0
2022-12-12,140.52,140.87,138.685,140.73,139.146034736956,3033414,0.0000,1.0
2022-12-09,139.32,142.07,138.89,139.82,138.246277104534,2415435,0.0000,1.0
2022-12-08,138.69,140.33,137.7776,139.21,137.643142867417,1914263,0.0000,1.0
2022-12-07,136.6,140.11,136.6,138.72,137.158657988421,1947479,0.0000,1.0
2022-12-06,138.76,138.98,136.6,137.27,135.724978244453,1691178,0.0000,1.0
2022-12-05,138.47,139.43,136.98,138.62,137.05978352332,2051207,0.0000,1.0
2022-12-02,140.22,140.92,137.7272,140.17,138.592337732389,1734456,0.0000,1.0
2022-12-01,143.47,145.32,140.83,141.71,140.115004494948,1718734,0.0000,1.0
2022-11-30,138.41,141.6,137.47,141.43,139.838155992664,5632415,0.0000,1.0
2022-11-29,137.6,139.48,137.2,139.11,137.544268402316,1789489,0.0000,1.0
2022-11-28,140.33,141.26,136.79,137.52,135.972164407206,2629066,0.0000,1.0
2022-11-25,141.36,142.28,140.44,141.19,139.600857276421,1003488,0.0000,1.0
2022-11-23,139.07,140.76,138.53,140.12,138.542900499838,1273320,0.0000,1.0
2022-11-22,139.44,139.58,137.634,139.11,137.544268402316,2331783,0.0000,1.0
2022-11-21,135.76,139.45,135.75,139.11,137.544268402316,2105801,0.0000,1.0
2022-11-18,134.58,136.03,133.825,135.84,134.311073393506,1874318,0.0000,1.0
2022-11-17,133.84,135.08,132.22,133.62,132.116060268258,1950601,0.0000,1.0
2022-11-16,135.83,137.275,135.05,135.61,134.083662123773,2472513,0.0000,1.0
2022-11-15,138.09,138.76,135.0,136.0,134.469272537668,2057550,0.0000,1.0
2022-11-14,140.05,140.06,135.08,135.11,133.589289798267,2028134,0.0000,1.0
2022-11-11,138.63,141.77,138.13,140.47,138.888961127692,2717684,0.0000,1.0
2022-11-10,133.67,139.1,132.67,138.66,137.09933330936,3264046,0.0000,1.0
2022-11-09,130.0,131.36,127.36,127.65,126.213254701715,1558286,0.0000,1.0
2022-11-08,129.75,131.025,129.02,129.82,128.358830594412,2581801,0.0000,1.0
2022-11-07,130.61,131.18,129.1086,129.84,128.378605487432,2454879,0.0000,1.0
2022-11-04,130.14,130.64,127.55,130.05,128.586241864145,2136480,0.0000,1.0
2022-11-03,127.42,130.29,126.75,129.32,127.864458268906,2224428,0.0000,1.0
2022-11-02,131.6,132.9982,128.61,128.84,127.38986083642,2718709,0.0000,1.0
2022-11-01,134.57,135.7,131.4828,132.26,130.771367542882,2768544,0.0000,1.0
2022-10-31,130.82,133.63,129.75,133.26,131.760112193894,3297218,0.0000,1.0
2022-10-28,127.55,133.59,127.5,132.5,131.008666259125,2973331,0.0000,1.0
2022-10-27,129.5,129.5,126.36,128.0,126.55931532957,3095233,0.0000,1.0
2022-10-26,126.17,129.365,126.02,128.31,126.865826171383,3500635,0.0000,1.0
2022-10-25,124.65,127.04,123.52,126.43,125.00698622748,5489940,0.0000,1.0
2022-10-24,124.31,126.15,121.71,122.45,121.071782516452,3355840,0.0000,1.0
2022-10-21,127.71,127.71,122.9,123.59,122.198951418606,5311435,0.0000,1.0
2022-10-20,125.8,129.6,124.36,126.8,125.372821748355,4425566,0.0000,1.0
2022-10-19,131.73,133.775,130.315,130.7,129.228925887303,2576901,0.0000,1.0
2022-10-18,134.97,135.8,132.05,133.38,131.878761552016,3189449,0.0000,1.0
2022-10-17,129.89,134.11,129.39,132.97,131.473376245101,2436058,0.0000,1.0
2022-10-14,133.29,133.79,127.43,127.65,126.213254701715,2449835,0.0000,1.0
2022-10-13,126.35,131.9,124.82,131.12,129.644198640728,2976213,0.0000,1.0
2022-10-12,132.17,132.17,127.71,129.03,127.577722320112,2759456,0.0000,1.0
2022-10-11,132.14,133.91,129.385,132.53,131.038328598655,2596019,0.0000,1.0
2022-10-10,134.35,136.065,131.99,132.63,131.137203063756,1854715,0.0000,1.0
2022-10-07,136.47,137.835,133.48,134.35,132.837843863497,2436694,0.0000,1.0
2022-10-06,145.79,145.79,137.33,137.7,136.150138444389,2627380,0.0000,1.0
2022-10-05,148.16,148.405,143.4,145.77,144.129307778057,1846683,0.0000,1.0
2022-10-04,148.88,152.7,148.72,150.36,148.667645726204,1724753,0.0000,1.0
2022-10-03,146.32,148.42,144.275,147.71,146.047472401021,1688247,0.0000,1.0
2022-09-30,145.69,146.285,143.18,144.55,142.923039303823,2517984,0.0000,1.0
2022-09-29,148.67,149.11,143.37,144.25,142.626415908519,2217466,0.0000,1.0
2022-09-28,149.83,150.9073,147.85,150.07,148.38090977741,1958286,0.0000,1.0
2022-09-27,151.68,153.405,147.899,148.14,146.472632600957,1622469,0.0000,1.0
2022-09-26,152.45,153.45,148.31,150.76,149.063143586609,2134887,0.0000,1.0
2022-09-23,155.61,155.88,151.94,153.66,151.930503074544,1587452,0.0000,1.0
2022-09-22,157.46,159.04,156.14,157.09,155.321897227516,1783221,0.0000,1.0
2022-09-21,162.61,164.225,158.325,158.39,156.607265273832,1697169,0.0000,1.0
2022-09-20,162.14,162.23,159.795,161.34,159.524061994318,2107053,0.0000,1.0
2022-09-19,162.01,163.64,159.94,163.42,161.580650868424,1443680,0.0000,1.0
2022-09-16,162.67,163.74,161.0901,163.22,161.382901938221,2378491,0.0000,1.0
2022-09-15,166.35,166.4951,160.26,161.6,159.781135603582,1730931,0.0000,1.0
2022-09-14,166.23,167.86,165.03,166.5,164.625984393542,1574809,1.4700,1.0
2022-09-13,173.97,174.97,168.34,169.13,165.762890638088,1551475,0.0000,1.0
2022-09-12,175.37,177.78,174.96,176.83,173.309595882062,1273355,0.0000,1.0
2022-09-09,174.21,175.98,172.595,174.55,171.074987056574,1555877,0.0000,1.0
2022-09-08,172.74,174.59,172.02,174.23,170.761357747733,1629731,0.0000,1.0
2022-09-07,170.07,173.98,169.5,173.68,170.222307373164,1611040,0.0000,1.0
2022-09-06,167.27,171.67,167.27,169.23,165.860899797101,1590901,0.0000,1.0
2022-09-02,173.15,173.31,167.39,167.76,164.420165159615,1584808,0.0000,1.0
2022-09-01,170.14,172.08,169.24,172.0,168.575753501751,1497947,0.0000,1.0
2022-08-31,171.29,172.8199,170.3724,170.83,167.429046341303,2380761,0.0000,1.0
2022-08-30,174.26,174.26,169.43,170.17,166.78218589182,1043843,0.0000,1.0
2022-08-29,172.47,175.54,171.2478,173.45,169.996886307435,1069770,0.0000,1.0
2022-08-26,177.34,177.98,173.29,173.41,169.95768264383,1384535,0.0000,1.0
2022-08-25,175.75,177.55,173.5,177.42,173.887849920237,1331174,0.0000,1.0
2022-08-24,173.32,175.55,173.01,174.84,171.35921361771,1241869,0.0000,1.0
2022-08-23,176.67,176.67,172.78,173.11,169.663655166792,1244462,0.0000,1.0
2022-08-22,179.0,180.13,176.52,177.0,173.476211452384,999420,0.0000,1.0
2022-08-19,180.56,181.96,179.33,180.14,176.553699045381,980325,0.0000,1.0
2022-08-18,182.02,182.6,179.59,181.05,177.445582392396,771539,0.0000,1.0
2022-08-17,180.43,182.905,180.33,181.47,177.857220860249,789351,0.0000,1.0
2022-08-16,182.94,184.33,181.69,182.31,178.680497795955,778952,0.0000,1.0
2022-08-15,182.03,184.92,181.8,184.14,180.474065405887,1314199,0.0000,1.0
2022-08-12,179.97,181.83,179.041,181.68,178.063040094175,1090999,0.0000,1.0
2022-08-11,182.3,182.3,178.2,178.88,175.318783641821,1315312,0.0000,1.0
2022-08-10,182.4,182.4,179.5,181.8,178.180651084991,1274225,0.0000,1.0
2022-08-09,179.39,180.66,178.84,179.86,176.279273400145,988295,0.0000,1.0
2022-08-08,180.56,182.38,177.99,179.24,175.671616614267,1246461,0.0000,1.0
2022-08-05,176.97,178.44,175.2001,178.4,174.848339678561,879931,0.0000,1.0
2022-08-04,178.57,179.5946,177.3,178.35,174.799335099054,1081801,0.0000,1.0
2022-08-03,178.53,179.67,177.3,178.5,174.946348837573,901497,0.0000,1.0
2022-08-02,179.67,181.65,177.58,177.85,174.309289303991,1581044,0.0000,1.0
2022-08-01,180.1,180.96,178.07,179.97,176.387083475059,1043141,0.0000,1.0
2022-07-29,181.52,182.21,179.595,180.66,177.063346672246,1482514,0.0000,1.0
2022-07-28,174.81,181.48,174.515,181.21,177.602397046816,1431762,0.0000,1.0
2022-07-27,174.34,175.08,171.82,173.54,170.085094550546,1081038,0.0000,1.0
2022-07-26,171.36,174.89,171.09,174.62,171.143593467883,1254735,0.0000,1.0
2022-07-25,172.38,172.66,169.91,171.5,168.085707706688,1116353,0.0000,1.0
2022-07-22,173.82,175.05,170.89,172.86,169.41863226926,1050813,0.0000,1.0
2022-07-21,171.61,174.73,168.63,173.01,169.565646007779,1563767,0.0000,1.0
2022-07-20,173.02,174.65,170.4,170.53,167.135018864265,1820258,0.0000,1.0
2022-07-19,171.31,173.62,170.111,173.53,170.075293634645,1580053,0.0000,1.0
2022-07-18,173.58,173.755,169.61,170.13,166.742982228215,1702196,0.0000,1.0
2022-07-15,172.94,175.11,172.06,173.4,169.947881727928,1558750,0.0000,1.0
2022-07-14,168.32,171.45,168.11,171.02,167.615263743427,1269644,0.0000,1.0
2022-07-13,168.88,172.52,168.46,170.91,167.507453668513,1023465,0.0000,1.0
2022-07-12,171.22,173.44,170.01,170.94,167.536856416217,1410786,0.0000,1.0
2022-07-11,170.94,172.55,168.475,172.26,168.830577315184,1719974,0.0000,1.0
2022-07-08,170.75,172.59,169.75,171.4,167.987698547675,1027350,0.0000,1.0
2022-07-07,171.92,173.67,170.29,171.64,168.222920529306,1176823,0.0000,1.0
2022-07-06,172.79,174.72,171.54,171.77,168.350332436022,1288055,0.0000,1.0
