timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,121.48,124.45,121.12,123.91,123.91,558650,0.0000,1.0
2023-02-06,124.0,124.45,121.72,122.12,122.12,857756,0.0000,1.0
2023-02-03,125.0,126.87,124.94,125.45,125.45,706821,0.0000,1.0
2023-02-02,125.57,128.355,124.53,126.77,126.77,976976,0.0000,1.0
2023-02-01,122.42,126.7,122.25,124.98,124.98,1009947,0.0000,1.0
2023-01-31,122.55,123.54,121.065,123.2,123.2,1105758,0.0000,1.0
2023-01-30,118.72,122.58,118.72,121.95,121.95,973178,0.0000,1.0
2023-01-27,119.2,120.84,119.0,120.5,120.5,889828,0.0000,1.0
2023-01-26,121.16,121.3,118.5,120.44,120.44,953429,0.0000,1.0
2023-01-25,120.38,121.48,118.74,121.47,121.47,627273,0.0000,1.0
2023-01-24,122.48,123.36,120.845,122.33,122.33,581623,0.0000,1.0
2023-01-23,121.7,123.165,121.04,122.95,122.95,665094,0.0000,1.0
2023-01-20,117.38,121.83,116.72,121.59,121.59,920603,0.0000,1.0
2023-01-19,117.22,118.17,114.545,116.58,116.58,687753,0.0000,1.0
2023-01-18,120.93,122.0,118.22,118.68,118.68,733170,0.0000,1.0
2023-01-17,121.95,122.05,119.82,120.07,120.07,1181233,0.0000,1.0
2023-01-13,119.79,121.49,119.54,121.29,121.29,765886,0.0000,1.0
2023-01-12,119.33,122.22,117.585,121.64,121.64,1534637,0.0000,1.0
2023-01-11,120.04,120.79,117.26,119.13,119.13,892393,0.0000,1.0
2023-01-10,117.34,118.8,116.2601,118.53,118.53,915969,0.0000,1.0
2023-01-09,117.52,119.46,115.63,116.8,116.8,1587258,0.0000,1.0
2023-01-06,112.12,116.925,112.0895,116.62,116.62,1204617,0.0000,1.0
2023-01-05,107.56,111.42,106.57,110.86,110.86,1252076,0.0000,1.0
2023-01-04,107.54,109.58,105.47,109.15,109.15,1024715,0.0000,1.0
2023-01-03,103.34,104.47,100.93,102.27,102.27,930786,0.0000,1.0
2022-12-30,102.25,102.8875,100.9303,102.24,102.24,506552,0.0000,1.0
2022-12-29,101.26,103.93,100.69,103.49,103.49,532465,0.0000,1.0
2022-12-28,104.1,104.65,100.36,100.5,100.5,578051,0.0000,1.0
2022-12-27,103.0,103.86,101.98,103.75,103.75,624526,0.0000,1.0
2022-12-23,101.01,102.6,100.2,102.56,102.56,810978,0.0000,1.0
2022-12-22,101.26,102.295,98.84,101.13,101.13,995648,0.0000,1.0
2022-12-21,102.28,104.0,102.28,103.05,103.05,713385,0.0000,1.0
2022-12-20,100.53,101.65,100.24,101.39,101.39,752816,0.0000,1.0
2022-12-19,101.79,102.94,100.3,100.98,100.98,761844,0.0000,1.0
2022-12-16,101.29,102.33,100.55,101.53,101.53,2148024,0.0000,1.0
2022-12-15,104.13,104.64,102.115,102.4,102.4,1582865,0.0000,1.0
2022-12-14,107.56,109.34,103.83,105.98,105.98,1336848,0.0000,1.0
2022-12-13,109.29,111.46,107.62,108.99,108.99,1534179,0.0000,1.0
2022-12-12,102.5,105.51,102.04,105.25,105.25,868673,0.0000,1.0
2022-12-09,101.01,104.06,100.95,102.36,102.36,1029000,0.0000,1.0
2022-12-08,103.39,103.88,100.92,101.18,101.18,851848,0.0000,1.0
2022-12-07,104.08,104.3,101.39,101.91,101.91,1184661,0.0000,1.0
