timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,82.72,83.325,82.1,82.94,82.94,1590189,0.0000,1.0
2023-02-06,84.51,84.85,82.465,83.29,83.29,2026754,0.0000,1.0
2023-02-03,79.4,84.4,79.4,82.9,82.9,2290332,0.0000,1.0
2023-02-02,80.77,80.95,79.34,79.81,79.81,1808384,0.0000,1.0
2023-02-01,80.73,81.705,80.07,81.4,81.4,2051825,0.0000,1.0
2023-01-31,80.78,81.06,80.15,80.86,80.86,2090780,0.0000,1.0
2023-01-30,79.72,80.96,79.425,80.59,80.59,1599211,0.0000,1.0
2023-01-27,80.74,81.085,78.63,79.55,79.55,2374191,0.0000,1.0
2023-01-26,81.91,82.23,80.84,81.29,81.29,844999,0.0000,1.0
2023-01-25,81.83,82.4,80.62,82.12,82.12,1134287,0.0000,1.0
2023-01-24,83.41,83.96,82.27,82.72,82.72,1090344,0.0000,1.0
2023-01-23,83.31,83.79,82.69,83.42,83.42,1009864,0.0000,1.0
2023-01-20,80.43,83.26,79.55,83.2,83.2,1506465,0.0000,1.0
2023-01-19,81.2,81.66,80.535,80.55,80.55,1282954,0.0000,1.0
2023-01-18,84.38,84.67,82.05,82.06,82.06,1381030,0.0000,1.0
2023-01-17,84.94,86.035,84.47,84.72,84.72,2686714,0.0000,1.0
2023-01-13,81.21,82.0,81.13,81.91,81.91,778186,0.0000,1.0
2023-01-12,81.85,81.96,80.9,81.39,81.39,1155543,0.0000,1.0
2023-01-11,81.69,81.97,80.87,81.72,81.72,1054213,0.0000,1.0
2023-01-10,82.34,82.72,81.04,81.29,81.29,1017954,0.0000,1.0
2023-01-09,83.33,83.7399,82.21,82.25,82.25,1626110,0.0000,1.0
2023-01-06,82.8,84.0,82.545,83.59,83.59,902718,0.0000,1.0
2023-01-05,82.44,82.77,81.61,81.98,81.98,915336,0.0000,1.0
2023-01-04,82.08,83.07,81.75,82.79,82.79,1562191,0.0000,1.0
2023-01-03,80.75,82.09,80.3425,82.02,82.02,1566371,0.0000,1.0
2022-12-30,81.5,81.5,79.97,80.61,80.61,917776,0.0000,1.0
2022-12-29,81.05,81.8799,81.005,81.58,81.58,587038,0.0000,1.0
2022-12-28,82.02,82.44,80.91,80.92,80.92,686816,0.0000,1.0
2022-12-27,82.13,82.45,81.72,81.91,81.91,809439,0.0000,1.0
2022-12-23,81.74,82.19,81.24,82.06,82.06,538748,0.0000,1.0
2022-12-22,80.81,81.91,80.52,81.84,81.84,1137450,0.0000,1.0
2022-12-21,80.01,81.155,79.82,80.99,80.99,814827,0.0000,1.0
2022-12-20,79.69,80.365,78.92,79.82,79.82,994897,0.0000,1.0
2022-12-19,80.04,80.96,79.385,79.89,79.89,1304608,0.0000,1.0
2022-12-16,81.18,81.525,79.86,80.11,80.11,2526603,0.0000,1.0
2022-12-15,81.54,81.94,80.42,81.59,81.59,1884522,0.0000,1.0
2022-12-14,81.83,82.89,81.83,82.21,82.21,1554658,0.0000,1.0
2022-12-13,82.14,82.67,81.14,81.99,81.99,2069603,0.0000,1.0
2022-12-12,80.31,81.39,79.582,81.19,81.19,1077184,0.0000,1.0
2022-12-09,80.67,81.17,79.84,80.03,80.03,1750755,0.0000,1.0
2022-12-08,80.27,81.195,80.27,81.15,81.15,1189396,0.0000,1.0
2022-12-07,80.63,81.22,79.77,80.7,80.7,1217461,0.0000,1.0
2022-12-06,80.78,81.0425,80.03,80.44,80.44,1396016,0.0000,1.0
2022-12-05,81.93,82.105,80.31,80.39,80.39,1424272,0.0000,1.0
2022-12-02,81.94,83.44,81.77,83.07,83.07,2056151,0.0000,1.0
2022-12-01,82.38,83.59,81.73,82.24,82.24,1584082,0.0000,1.0
2022-11-30,79.35,81.9,79.06,81.87,81.87,2362795,0.0000,1.0
2022-11-29,79.21,80.36,78.8,79.49,79.49,1480163,0.0000,1.0
2022-11-28,78.82,79.68,78.725,79.49,79.49,1542889,0.0000,1.0
2022-11-25,78.94,78.94,78.18,78.89,78.89,495661,0.0000,1.0
2022-11-23,78.43,78.68,78.1,78.57,78.57,1066500,0.0000,1.0
2022-11-22,77.82,78.255,77.43,78.09,78.09,1274506,0.0000,1.0
2022-11-21,76.59,78.16,76.24,77.6,77.6,1309489,0.0000,1.0
2022-11-18,75.93,76.53,75.86,76.42,76.42,1499443,0.0000,1.0
2022-11-17,74.88,75.28,74.235,75.23,75.23,1624472,0.0000,1.0
2022-11-16,75.96,76.815,75.26,75.3,75.3,1275422,0.0000,1.0
2022-11-15,75.23,75.71,74.33,75.51,75.51,1754885,0.0000,1.0
2022-11-14,74.52,76.4,74.46,74.48,74.48,1368842,0.2625,1.0
2022-11-11,74.92,75.13,73.21,74.47,74.208457035823,2015471,0.0000,1.0
2022-11-10,74.04,75.1,72.98,74.94,74.676806368532,1750036,0.0000,1.0
2022-11-09,72.92,73.51,72.36,72.53,72.2752704284711,1204965,0.0000,1.0
2022-11-08,72.78,73.58,72.27,72.88,72.624041208148,1243192,0.0000,1.0
2022-11-07,72.26,72.99,71.75,72.86,72.6041114493093,1302357,0.0000,1.0
2022-11-04,71.94,72.31,70.3001,71.4,71.1492390540857,2215267,0.0000,1.0
2022-11-03,71.47,72.18,70.46,71.48,71.2289580894404,2277330,0.0000,1.0
2022-11-02,73.55,74.49,72.08,72.47,72.215481151955,2147191,0.0000,1.0
2022-11-01,74.53,75.6,73.48,73.64,73.3813720440178,2328538,0.0000,1.0
2022-10-31,76.39,76.97,73.26,74.13,73.8696511355654,4854508,0.0000,1.0
2022-10-28,76.83,77.42,74.57,76.37,76.1017841254975,3341502,0.0000,1.0
2022-10-27,76.86,78.16,76.47,76.51,76.2412924373683,2362357,0.0000,1.0
2022-10-26,75.92,77.01,75.705,76.56,76.291116834465,1751343,0.0000,1.0
2022-10-25,74.16,75.79,73.44,75.62,75.3544181690471,1723893,0.0000,1.0
2022-10-24,73.64,74.49,73.12,74.17,73.9095106532428,1272650,0.0000,1.0
