timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,102.4,105.41,102.15,105.22,105.22,1799467,0.0000,1.0
2023-02-06,104.26,104.26,102.58,102.95,102.95,1286464,0.0000,1.0
2023-02-03,103.11,104.55,101.64,103.62,103.62,2005338,0.0000,1.0
2023-02-02,97.31,108.05,97.23,104.38,104.38,4809486,0.0000,1.0
2023-02-01,99.38,102.52,98.53,102.12,102.12,3374693,0.0000,1.0
2023-01-31,96.61,100.39,96.61,100.17,100.17,7929580,0.0000,1.0
2023-01-30,97.54,98.275,96.41,96.61,96.61,1182006,0.0000,1.0
2023-01-27,97.45,99.89,97.44,98.0,98.0,1268821,0.0000,1.0
2023-01-26,97.8,98.12,96.41,97.48,97.48,1194814,0.0000,1.0
2023-01-25,98.28,98.76,96.5,96.84,96.84,1392050,0.0000,1.0
2023-01-24,97.41,100.37,97.13,99.09,99.09,2187742,0.0000,1.0
2023-01-23,93.88,98.17,93.76,98.06,98.06,1832633,0.0000,1.0
2023-01-20,93.05,94.19,92.2,93.55,93.55,1163443,0.0000,1.0
2023-01-19,92.98,93.665,91.4,92.79,92.79,1974591,0.0000,1.0
2023-01-18,93.0,96.91,92.98,93.23,93.23,2046103,0.0000,1.0
2023-01-17,93.59,94.45,92.53,92.68,92.68,1645388,0.0000,1.0
2023-01-13,93.44,93.87,92.94,93.63,93.63,917594,0.0000,1.0
2023-01-12,95.32,95.54,93.07,93.5,93.5,1269527,0.0000,1.0
2023-01-11,93.4,95.135,93.02,94.98,94.98,1765041,0.0000,1.0
2023-01-10,92.38,93.11,91.71,92.8,92.8,1682481,0.0000,1.0
2023-01-09,93.39,94.37,91.89,93.36,93.36,1954795,0.0000,1.0
2023-01-06,91.09,93.43,90.56,93.31,93.31,1113805,0.0000,1.0
2023-01-05,89.11,90.2,88.4,90.01,90.01,1717345,0.0000,1.0
2023-01-04,87.59,91.08,86.94,90.8,90.8,2246853,0.0000,1.0
2023-01-03,91.69,92.705,88.32,90.28,90.28,2124224,0.0000,1.0
