timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,151.53,152.79,150.58,151.69,151.69,1629265,0.0000,1.0
2023-02-06,154.42,156.0,151.07,152.57,152.57,2168479,0.0000,1.0
2023-02-03,153.0,157.77,148.27,154.77,154.77,5175508,0.0000,1.0
2023-02-02,142.97,143.665,139.72,141.0,141.0,1905503,0.0000,1.0
2023-02-01,144.1,145.08,141.85,144.41,144.41,1273693,0.0000,1.0
2023-01-31,142.53,144.95,141.96,144.69,144.69,1786696,0.0000,1.0
2023-01-30,141.0,142.71,140.85,142.15,142.15,1327409,0.0000,1.0
2023-01-27,140.96,140.96,137.695,140.5,140.5,1451352,0.0000,1.0
2023-01-26,141.34,141.93,140.5523,141.88,141.88,1206263,0.0000,1.0
2023-01-25,139.36,141.52,137.75,141.47,141.47,1328018,0.0000,1.0
2023-01-24,142.41,142.7,140.57,140.98,140.98,896122,1.1800,1.0
2023-01-23,143.05,143.89,141.86,142.86,141.67418964547,1024325,0.0000,1.0
2023-01-20,140.01,142.69,138.75,142.56,141.376679797411,1105687,0.0000,1.0
2023-01-19,141.99,142.72,139.78,139.79,138.629672200338,1372472,0.0000,1.0
2023-01-18,147.47,147.47,143.1884,143.32,142.130371412493,1334091,0.0000,1.0
2023-01-17,146.77,149.4,146.52,147.99,146.761608047271,1529831,0.0000,1.0
2023-01-13,142.74,146.15,142.74,146.11,144.897212999437,1160408,0.0000,1.0
2023-01-12,141.92,142.985,140.69,142.82,141.634521665729,1016923,0.0000,1.0
2023-01-11,141.3,142.63,140.5,141.95,140.771743106359,1087994,0.0000,1.0
2023-01-10,143.02,143.1767,140.66,140.98,139.809794597636,852922,0.0000,1.0
2023-01-09,144.14,145.1561,142.56,142.66,141.475849746764,915375,0.0000,1.0
2023-01-06,142.94,145.21,142.89,144.44,143.241074845245,748432,0.0000,1.0
2023-01-05,143.44,143.71,141.45,142.08,140.900664040518,952845,0.0000,1.0
2023-01-04,142.54,144.4275,142.32,143.72,142.527051209904,884600,0.0000,1.0
2023-01-03,140.33,142.56,138.39,142.26,141.079169949353,1420309,0.0000,1.0
2022-12-30,142.35,142.55,139.015,140.33,139.165189926843,789566,0.0000,1.0
2022-12-29,142.72,143.34,141.84,142.42,141.237841868317,683337,0.0000,1.0
2022-12-28,144.63,145.1664,142.17,142.36,141.178339898706,531142,0.0000,1.0
2022-12-27,144.01,144.85,143.335,144.24,143.042734946539,670354,0.0000,1.0
2022-12-23,145.42,145.42,143.56,144.11,142.91381401238,562772,0.0000,1.0
2022-12-22,143.4,145.615,143.07,145.4,144.193106359032,845094,0.0000,1.0
2022-12-21,143.4,145.18,143.195,143.6,142.408047270681,826268,0.0000,1.0
2022-12-20,144.48,144.48,141.24,142.87,141.684106640405,826842,0.0000,1.0
2022-12-19,144.26,146.65,143.621,144.81,143.60800365785,839650,0.0000,1.0
2022-12-16,145.41,146.7,143.63,144.6,143.399746764209,1676621,0.0000,1.0
2022-12-15,146.6,147.67,144.74,146.37,145.155054867755,717633,0.0000,1.0
2022-12-14,147.6,149.94,147.08,148.26,147.029366910523,748745,0.0000,1.0
2022-12-13,151.97,151.97,146.87,147.62,146.394679234665,1194938,0.0000,1.0
2022-12-12,149.85,149.98,147.65,149.97,148.725173044457,589826,0.0000,1.0
2022-12-09,149.63,150.25,148.52,148.78,147.545050647158,662095,0.0000,1.0
2022-12-08,148.79,151.16,147.855,150.21,148.963180922904,826936,0.0000,1.0
2022-12-07,147.32,149.38,147.2476,149.32,148.080568373663,813711,0.0000,1.0
2022-12-06,149.02,149.98,146.06,146.95,145.730240574001,793327,0.0000,1.0
2022-12-05,148.88,149.52,148.34,149.02,147.783058525605,667747,0.0000,1.0
2022-12-02,148.85,151.18,148.3,150.68,149.429279684862,885937,0.0000,1.0
2022-12-01,149.77,151.185,148.48,149.86,148.616086100169,1254573,0.0000,1.0
2022-11-30,147.22,149.01,145.03,148.65,147.416129712999,5172259,0.0000,1.0
2022-11-29,148.16,148.95,145.77,147.43,146.206256330895,1444713,0.0000,1.0
2022-11-28,149.5,150.65,148.48,149.03,147.79297552054,812251,0.0000,1.0
2022-11-25,149.12,149.55,147.09,149.5,148.259074282499,655037,0.0000,1.0
2022-11-23,151.55,151.92,149.05,149.11,147.872311480023,929954,0.0000,1.0
2022-11-22,150.07,151.325,149.03,151.0,149.746623522791,1040338,0.0000,1.0
