timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,76.19,77.2,75.68,76.59,76.59,2254461,0.0000,1.0
2023-02-07,74.76,77.22,74.745,76.94,76.94,996963,0.0000,1.0
2023-02-06,74.93,75.465,74.485,75.3,75.3,1184401,0.0000,1.0
2023-02-03,74.35,76.35,73.651,75.39,75.39,1204730,0.0000,1.0
2023-02-02,74.97,76.595,74.53,74.88,74.88,1655939,0.0000,1.0
2023-02-01,72.52,75.13,72.3,74.35,74.35,1123958,0.0000,1.0
2023-01-31,71.64,73.4,71.33,73.31,73.31,1638344,0.0000,1.0
2023-01-30,72.0,72.5,71.38,71.4,71.4,673170,0.0000,1.0
2023-01-27,72.0,72.95,71.785,72.57,72.57,1975526,0.0000,1.0
2023-01-26,71.98,72.44,71.32,72.03,72.03,811536,0.0000,1.0
2023-01-25,70.63,71.81,70.0,71.52,71.52,1299268,0.0000,1.0
2023-01-24,72.0,72.04,70.64,71.16,71.16,1228105,0.0000,1.0
2023-01-23,69.76,72.02,69.52,71.96,71.96,1884988,0.0000,1.0
2023-01-20,70.12,70.55,68.75,69.13,69.13,2406004,0.0000,1.0
2023-01-19,67.3,71.22,67.17,69.84,69.84,3425052,0.0000,1.0
2023-01-18,67.65,67.71,65.53,65.94,65.94,1797281,0.0000,1.0
2023-01-17,68.32,68.48,67.21,68.2,68.2,1338176,0.0000,1.0
2023-01-13,67.92,68.58,66.22,68.54,68.54,1506173,0.0000,1.0
2023-01-12,68.51,69.34,68.12,68.91,68.91,1419750,0.0000,1.0
2023-01-11,68.02,68.53,67.25,68.04,68.04,1105162,0.0000,1.0
2023-01-10,67.15,67.61,66.32,67.58,67.58,1618421,0.0000,1.0
2023-01-09,67.73,67.895,66.79,66.81,66.81,1021540,0.0000,1.0
2023-01-06,66.56,67.93,65.93,67.6,67.6,1145434,0.0000,1.0
2023-01-05,66.45,66.64,65.46,66.06,66.06,1088370,0.0000,1.0
2023-01-04,66.57,67.8807,66.17,66.9,66.9,1957554,0.0000,1.0
2023-01-03,67.25,67.78,65.225,66.05,66.05,1453535,0.0000,1.0
2022-12-30,66.23,66.965,66.23,66.85,66.85,672242,0.0000,1.0
2022-12-29,65.72,67.15,65.44,66.66,66.66,696638,0.0000,1.0
2022-12-28,66.49,66.595,65.16,65.63,65.63,908805,0.0000,1.0
2022-12-27,66.35,66.74,65.5348,66.36,66.36,579451,0.0000,1.0
2022-12-23,65.66,66.1,65.14,66.08,66.08,756182,0.0000,1.0
2022-12-22,64.46,65.645,63.83,65.56,65.56,2780955,0.0000,1.0
2022-12-21,64.95,65.52,64.64,65.03,65.03,1092114,0.0000,1.0
2022-12-20,63.66,64.19,63.33,63.59,63.59,1455857,0.0000,1.0
2022-12-19,63.86,64.61,62.96,63.52,63.52,881898,0.0000,1.0
2022-12-16,63.0,64.03,62.83,63.76,63.76,3143503,0.0000,1.0
2022-12-15,64.16,64.59,63.37,63.7,63.7,2015169,0.0000,1.0
2022-12-14,65.61,66.22,64.5,65.09,65.09,1612003,0.6800,1.0
2022-12-13,68.4,68.87,65.52,66.29,65.6046236886118,1808902,0.0000,1.0
2022-12-12,65.99,67.855,65.32,67.43,66.7328371597993,1359873,0.0000,1.0
2022-12-09,64.8,66.49,64.8,65.94,65.2582423597385,1069233,0.0000,1.0
2022-12-08,65.89,65.89,64.74,65.18,64.5061000456135,1202379,0.0000,1.0
2022-12-07,65.11,65.99,64.4986,65.41,64.7337220617303,1724331,0.0000,1.0
2022-12-06,66.29,66.86,65.1,65.65,64.9712406872434,1845094,0.0000,1.0
2022-12-05,69.07,69.295,65.59,66.52,65.8322457047286,2905257,0.0000,1.0
2022-12-02,70.8,71.14,69.91,70.12,69.3950250874259,1080553,0.0000,1.0
2022-12-01,72.42,72.92,70.7,71.61,70.8696198874867,1524576,0.0000,1.0
2022-11-30,70.64,71.82,68.8,71.74,70.9982758096396,1738066,0.0000,1.0
2022-11-29,70.25,71.16,70.03,71.0,70.2659267143074,789750,0.0000,1.0
2022-11-28,70.93,71.3,69.8,70.13,69.4049216968222,1071053,0.0000,1.0
2022-11-25,72.03,72.19,71.5,71.85,71.1071385129998,279461,0.0000,1.0
2022-11-23,72.03,72.27,71.36,71.75,71.008172419036,645413,0.0000,1.0
2022-11-22,71.43,72.235,71.4,72.13,71.3842435760985,924204,0.0000,1.0
2022-11-21,70.59,71.0,69.87,70.81,70.0778911357762,894690,0.0000,1.0
2022-11-18,71.57,71.57,68.41,69.9,69.1772996807055,1693947,0.0000,1.0
2022-11-17,70.44,70.65,69.67,70.14,69.4148183062186,865709,0.0000,1.0
2022-11-16,73.08,73.53,71.12,71.55,70.8102402311084,678054,0.0000,1.0
2022-11-15,73.5,74.42,72.35,73.21,72.4530773909077,1061612,0.0000,1.0
2022-11-14,73.23,74.31,72.33,72.33,71.5821757640261,1147544,0.0000,1.0
2022-11-11,74.95,75.5,73.02,73.62,72.8588383761593,2188615,0.0000,1.0
2022-11-10,72.58,74.745,72.05,74.52,73.7495332218336,1628647,0.0000,1.0
2022-11-09,70.64,71.44,69.7,69.77,69.0486437585525,1802849,0.0000,1.0
2022-11-08,70.32,72.4,70.32,71.48,70.7409639653337,2504671,0.0000,1.0
2022-11-07,68.83,70.23,68.17,70.23,69.5038877907861,1632011,0.0000,1.0
2022-11-04,67.04,68.19,66.6,67.96,67.2573574578075,1173618,0.0000,1.0
2022-11-03,66.91,66.91,65.64,66.03,65.3473118443059,2633009,0.0000,1.0
2022-11-02,69.93,70.27,67.74,67.79,67.089115098069,1899624,0.0000,1.0
2022-11-01,71.4,71.47,70.16,70.33,69.6028538847499,3083564,0.0000,1.0
2022-10-31,71.0,71.4,70.45,70.5,69.7710962444884,3537446,0.0000,1.0
2022-10-28,70.25,71.13,69.6401,71.07,70.3352029800821,2174311,0.0000,1.0
2022-10-27,69.98,70.77,69.32,69.74,69.0189539303634,1407024,0.0000,1.0
2022-10-26,69.54,70.42,69.16,69.19,68.4746404135624,1190425,0.0000,1.0
2022-10-25,66.72,69.83,66.72,69.2,68.4845370229588,1595119,0.0000,1.0
2022-10-24,65.98,67.49,65.73,67.4,66.7031473316102,2214961,0.0000,1.0
2022-10-21,64.68,67.24,64.11,65.34,64.6644457959556,2905776,0.0000,1.0
2022-10-20,67.5,68.47,64.42,64.76,64.0904424509655,3240496,0.0000,1.0
2022-10-19,72.0,72.18,67.51,67.65,66.9505625665197,3896232,0.0000,1.0
2022-10-18,75.41,76.19,73.45,74.34,73.5713942526988,1921978,0.0000,1.0
2022-10-17,73.83,74.34,72.7,73.67,72.9083214231412,1197717,0.0000,1.0
2022-10-14,72.96,75.15,71.66,72.11,71.3644503573058,1614692,0.0000,1.0
2022-10-13,68.43,73.055,68.1,72.44,71.6910384673863,1208967,0.0000,1.0
2022-10-12,69.48,70.82,68.84,69.55,68.8309183518321,1105704,0.0000,1.0
2022-10-11,70.72,71.13,69.12,69.67,68.9496776645887,1316263,0.0000,1.0
2022-10-10,72.93,73.39,70.8,71.2,70.4638589022351,825732,0.0000,1.0
2022-10-07,73.61,73.61,71.69,72.44,71.6910384673863,1404183,0.0000,1.0
2022-10-06,75.1,75.74,73.84,74.06,73.2942891896001,1324756,0.0000,1.0
2022-10-05,75.36,76.085,75.08,75.71,74.927229740003,984896,0.0000,1.0
2022-10-04,74.31,76.44,74.31,76.44,75.6496822259389,1416047,0.0000,1.0
2022-10-03,72.11,73.49,70.635,73.02,72.2650418123765,1521475,0.0000,1.0
2022-09-30,72.23,72.33,71.0,71.1,70.3648928082712,1629371,0.0000,1.0
2022-09-29,72.65,72.96,71.18,72.27,71.5227961076478,1340055,0.0000,1.0
2022-09-28,72.58,73.93,72.19,73.51,72.7499756727991,1345358,0.0000,1.0
2022-09-27,73.78,73.97,70.99,72.06,71.3149673103239,1114067,0.0000,1.0
2022-09-26,73.69,74.74,72.27,73.04,72.2848350311692,892848,0.0000,1.0
2022-09-23,75.14,75.68,73.0,74.31,73.5417044245096,1937274,0.0000,1.0
2022-09-22,78.26,78.26,75.54,76.16,75.3725771628402,810710,0.0000,1.0
2022-09-21,79.23,80.21,77.74,77.75,76.9461380568648,1032179,0.0000,1.0
2022-09-20,78.77,79.32,77.91,78.82,78.0050752622776,1050115,0.0000,1.0
2022-09-19,77.46,79.695,77.46,79.35,78.5295955602858,1126402,0.0000,1.0
2022-09-16,78.89,79.43,77.56,78.56,77.7477634179717,2362053,0.0000,1.0
2022-09-15,80.23,81.33,79.745,80.11,79.2817378744108,1938827,0.0000,1.0
2022-09-14,81.78,81.78,79.15,79.92,79.0937022958796,2170159,0.6800,1.0
2022-09-13,83.32,84.87,81.82,82.05,80.5166038880511,1564980,0.0000,1.0
2022-09-12,85.36,86.42,84.54,85.25,83.6568005052572,1458283,0.0000,1.0
2022-09-09,85.07,85.665,84.45,84.57,82.9895087241009,1447265,0.0000,1.0
2022-09-08,81.81,84.67,81.41,84.61,83.028761181816,872451,0.0000,1.0
2022-09-07,79.37,82.71,79.37,82.21,80.6736137189114,929906,0.0000,1.0
2022-09-06,81.51,81.95,79.51,79.99,78.4951023157246,876099,0.0000,1.0
2022-09-02,82.24,83.21,80.56,81.04,79.5254793307454,905477,0.0000,1.0
2022-09-01,80.19,81.11,79.206,81.02,79.5058531018879,880771,0.0000,1.0
2022-08-31,80.97,81.4,80.09,80.3,78.7993088630165,644839,0.0000,1.0
2022-08-30,81.55,81.69,80.04,80.75,79.2408990123111,779754,0.0000,1.0
2022-08-29,81.31,81.695,80.27,80.87,79.3586563854563,784932,0.0000,1.0
2022-08-26,83.53,83.58,81.72,81.82,80.2909022561894,742670,0.0000,1.0
2022-08-25,81.96,83.25,81.65,82.89,81.3409055000677,645420,0.0000,1.0
2022-08-24,81.63,82.21,81.12,81.61,80.0848268531852,587381,0.0000,1.0
2022-08-23,82.56,83.05,81.91,82.06,80.5264170024799,737474,0.0000,1.0
2022-08-22,83.46,83.46,82.13,82.32,80.7815579776279,532662,0.0000,1.0
2022-08-19,85.77,85.77,84.455,84.98,83.3918464156805,905396,0.0000,1.0
2022-08-18,85.74,86.59,85.3,86.59,84.9717578387123,443257,0.0000,1.0
2022-08-17,85.35,85.99,85.0009,85.56,83.9610070525491,496354,0.0000,1.0
2022-08-16,85.47,87.02,85.47,86.51,84.8932529232822,580548,0.0000,1.0
2022-08-15,84.71,85.835,84.45,85.63,84.0296988535505,526586,0.0000,1.0
2022-08-12,85.0,85.74,84.19,85.66,84.0591381968368,873742,0.0000,1.0
2022-08-11,82.83,84.355,82.68,84.31,82.7343677489529,789287,0.0000,1.0
2022-08-10,80.96,82.27,80.29,81.95,80.4184727437634,1001593,0.0000,1.0
2022-08-09,78.79,79.25,78.23,79.24,77.759118733567,546885,0.0000,1.0
2022-08-08,78.89,79.43,78.38,78.49,77.0231351514093,736538,0.0000,1.0
2022-08-05,76.61,79.26,76.53,78.19,76.7287417185462,724614,0.0000,1.0
2022-08-04,77.52,78.04,76.56,76.69,75.2567745542308,732996,0.0000,1.0
