timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,173.42,178.365,173.42,177.8,177.8,1846775,0.0000,1.0
2023-02-06,175.56,176.26,174.02,174.76,174.76,2681522,0.0000,1.0
2023-02-03,175.68,179.5,174.535,176.55,176.55,3078861,0.0000,1.0
2023-02-02,176.76,178.625,175.09,175.995,175.995,2569916,0.0000,1.0
2023-02-01,176.26,177.64,174.9,175.54,175.54,1953850,0.0000,1.0
2023-01-31,175.87,176.67,174.16,176.66,176.66,1850255,0.0000,1.0
2023-01-30,175.96,178.53,175.54,175.96,175.96,2075175,0.0000,1.0
2023-01-27,176.44,176.59,174.73,175.68,175.68,1582167,0.0000,1.0
2023-01-26,174.08,177.135,173.8701,176.77,176.77,2437743,0.0000,1.0
2023-01-25,172.0,174.459,172.0,173.38,173.38,2621469,0.0000,1.0
2023-01-24,174.97,175.99,171.93,173.13,173.13,1551454,0.0000,1.0
2023-01-23,176.24,176.24,173.75,174.36,174.36,1688626,0.0000,1.0
2023-01-20,174.63,175.74,173.63,175.06,175.06,2329672,0.0000,1.0
2023-01-19,174.97,175.844,173.63,174.27,174.27,1884669,0.0000,1.0
2023-01-18,175.97,178.215,175.6,175.78,175.78,1877522,0.0000,1.0
2023-01-17,176.7,177.82,175.67,175.99,175.99,1762452,0.0000,1.0
2023-01-13,175.16,177.04,174.9,175.62,175.62,1070546,0.0000,1.0
2023-01-12,175.0,176.84,173.06,176.705,176.705,1956647,0.0000,1.0
2023-01-11,177.61,177.97,175.39,175.64,175.64,1396479,0.0000,1.0
2023-01-10,176.09,178.47,176.04,177.5,177.5,1378852,0.0000,1.0
2023-01-09,175.33,178.67,174.85,175.8,175.8,2177677,0.0000,1.0
2023-01-06,170.55,175.64,169.23,175.09,175.09,1950876,0.0000,1.0
2023-01-05,170.54,171.76,169.41,169.75,169.75,1501365,0.0000,1.0
2023-01-04,169.92,170.47,168.03,170.08,170.08,2237307,0.0000,1.0
2023-01-03,168.27,168.99,166.545,168.95,168.95,2483814,0.0000,1.0
2022-12-30,168.09,169.2592,166.95,168.16,168.16,1045333,0.0000,1.0
2022-12-29,168.7,170.29,168.28,169.16,169.16,1351695,0.0000,1.0
2022-12-28,168.16,169.51,167.51,167.94,167.94,1209956,0.0000,1.0
2022-12-27,170.31,170.74,166.6107,167.68,167.68,1951675,4.5000,1.0
2022-12-23,173.29,173.85,172.35,173.33,168.799944244395,1312163,0.0000,1.0
2022-12-22,172.04,173.26,170.23,173.17,168.64412591474,1900275,0.0000,1.0
2022-12-21,170.01,172.9,169.25,172.87,168.351966546637,1871734,0.0000,1.0
2022-12-20,171.16,172.06,169.07,169.19,164.768144964572,1770429,0.0000,1.0
2022-12-19,171.39,172.035,169.51,170.68,166.219203159484,1367039,0.0000,1.0
2022-12-16,171.2,172.12,170.03,171.12,166.647703566036,3124521,0.0000,1.0
2022-12-15,173.08,173.93,171.09,172.47,167.9624207225,1722028,0.0000,1.0
2022-12-14,178.0,179.855,174.68,174.92,170.348388895342,2426498,0.0000,1.0
2022-12-13,183.37,183.46,177.695,178.13,173.474494134046,1680466,0.0000,1.0
2022-12-12,178.52,180.93,177.16,180.89,176.162360320595,2438461,0.0000,1.0
2022-12-09,177.31,179.25,177.27,178.83,174.156199326286,2474405,0.0000,1.0
2022-12-08,174.91,177.77,174.75,177.2,172.568800092926,1769469,1.0000,1.0
2022-12-07,179.35,180.505,175.35,176.0,170.438321079433,2441125,0.0000,1.0
2022-12-06,181.12,181.99,179.7,179.89,174.205395335109,2485524,0.0000,1.0
2022-12-05,176.98,180.68,175.06,180.38,174.679911115387,2937177,0.0000,1.0
2022-12-02,176.59,177.9,175.47,176.63,171.048412796933,3193424,0.0000,1.0
2022-12-01,178.21,179.42,176.975,177.9,172.27828022745,3246385,0.0000,1.0
2022-11-30,174.94,177.2,172.0501,176.5,170.922520855227,3865069,0.0000,1.0
