timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,250.08,251.63,246.17,247.11,247.11,787739,0.0000,1.0
2023-02-07,250.37,252.3899,247.75,251.66,251.66,784605,0.0000,1.0
2023-02-06,257.69,257.69,249.25,250.9,250.9,1267730,0.0000,1.0
2023-02-03,254.86,258.27,254.86,256.11,256.11,924916,0.0000,1.0
2023-02-02,251.67,257.54,248.77,256.51,256.51,1510542,0.0000,1.0
2023-02-01,247.25,252.54,246.0,250.91,250.91,772107,0.0000,1.0
2023-01-31,247.39,249.55,244.69,249.54,249.54,584835,0.0000,1.0
2023-01-30,247.29,249.77,246.62,246.82,246.82,398083,0.0000,1.0
2023-01-27,248.19,250.32,247.62,248.69,248.69,457707,0.0000,1.0
2023-01-26,247.79,249.4699,245.46,247.78,247.78,521935,0.0000,1.0
2023-01-25,245.62,246.49,241.95,246.26,246.26,767589,0.0000,1.0
2023-01-24,244.0,251.11,240.0,247.86,247.86,1676302,0.0000,1.0
2023-01-23,235.95,242.97,235.79,242.87,242.87,1023393,0.0000,1.0
2023-01-20,236.28,237.94,234.57,235.55,235.55,982040,0.0000,1.0
2023-01-19,240.0,240.98,233.475,235.48,235.48,785520,0.0000,1.0
2023-01-18,249.91,250.225,240.98,241.37,241.37,1037694,0.0000,1.0
2023-01-17,253.0,254.47,248.81,249.14,249.14,769036,0.0000,1.0
2023-01-13,248.68,252.81,247.08,252.65,252.65,775287,0.0000,1.0
2023-01-12,250.17,252.355,249.13,250.11,250.11,534597,0.0000,1.0
2023-01-11,249.16,250.17,247.02,250.17,250.17,743828,0.0000,1.0
2023-01-10,243.42,247.9,242.7401,247.72,247.72,525994,0.0000,1.0
2023-01-09,243.64,247.5,243.0,244.29,244.29,977596,0.0000,1.0
2023-01-06,238.65,245.055,238.65,243.9,243.9,733624,0.0000,1.0
2023-01-05,238.56,240.24,235.57,236.72,236.72,1039291,0.0000,1.0
2023-01-04,241.59,242.51,236.94,240.46,240.46,1135190,0.0000,1.0
2023-01-03,243.14,243.617,238.865,241.04,241.04,609879,0.0000,1.0
2022-12-30,240.72,242.39,239.355,242.29,242.29,480397,0.0000,1.0
2022-12-29,242.81,243.46,239.15,241.73,241.73,681144,0.0000,1.0
2022-12-28,244.94,245.46,239.68,241.3,241.3,504813,0.0000,1.0
2022-12-27,242.03,246.4199,241.87,244.09,244.09,805128,0.0000,1.0
2022-12-23,240.99,243.809,239.8572,241.26,241.26,409326,0.0000,1.0
2022-12-22,240.4,241.92,237.1,240.68,240.68,573193,0.0000,1.0
2022-12-21,239.46,243.7,238.7814,242.22,242.22,794910,0.0000,1.0
2022-12-20,237.81,240.9,237.24,237.46,237.46,591385,0.0000,1.0
2022-12-19,236.3,241.28,236.11,237.19,237.19,1097005,0.0000,1.0
2022-12-16,232.73,235.8,231.57,235.6,235.6,2596082,0.0000,1.0
2022-12-15,239.56,239.84,233.59,235.92,235.92,935115,0.0000,1.0
2022-12-14,244.19,248.03,240.81,241.84,241.84,967196,0.0000,1.0
2022-12-13,246.955,246.955,239.79,242.75,242.75,909767,0.0000,1.0
2022-12-12,237.67,242.18,236.51,242.12,242.12,835379,0.0000,1.0
2022-12-09,243.92,244.41,237.33,238.14,238.14,841102,0.0000,1.0
2022-12-08,245.61,246.07,241.64,243.58,243.58,750107,0.0000,1.0
2022-12-07,244.94,246.8,243.82,243.94,243.94,689703,0.0000,1.0
2022-12-06,246.27,247.83,244.2652,245.78,245.78,676608,0.0000,1.0
2022-12-05,247.26,248.055,244.19,245.35,245.35,662559,0.0000,1.0
2022-12-02,246.72,250.83,246.28,249.75,249.75,551898,0.0000,1.0
2022-12-01,251.94,252.52,247.69,249.26,249.26,1018721,0.0000,1.0
2022-11-30,245.96,252.74,243.81,251.16,251.16,1786042,0.0000,1.0
2022-11-29,246.25,249.32,244.51,246.42,246.42,946067,0.0000,1.0
2022-11-28,248.5,249.67,244.5,245.64,245.64,870203,0.0000,1.0
2022-11-25,251.11,251.78,249.69,250.42,250.42,253387,0.0000,1.0
2022-11-23,251.03,253.525,249.915,250.86,250.86,858319,0.0000,1.0
2022-11-22,248.36,250.9,247.83,250.27,250.27,1057071,0.0000,1.0
2022-11-21,250.01,251.37,246.7251,246.85,246.85,1064721,0.0000,1.0
2022-11-18,251.25,251.63,247.62,250.31,250.31,788061,0.0000,1.0
2022-11-17,244.99,248.58,241.62,248.38,248.38,886829,1.5700,1.0
2022-11-16,249.05,251.96,248.47,249.97,248.399874374875,872190,0.0000,1.0
2022-11-15,250.37,254.085,249.685,250.71,249.135226245249,1128805,0.0000,1.0
2022-11-14,248.42,252.6,248.0,249.07,247.505527505501,1067356,0.0000,1.0
2022-11-11,242.12,250.15,241.7784,248.17,246.611180636127,1432284,0.0000,1.0
2022-11-10,243.37,243.53,238.55,242.13,240.609119423885,1475116,0.0000,1.0
2022-11-09,237.48,239.68,236.82,237.69,236.19700820164,945656,0.0000,1.0
2022-11-08,236.0,241.31,235.64,239.17,237.667711942388,1095427,0.0000,1.0
2022-11-07,239.4,240.0,233.16,236.55,235.064168833767,1362579,0.0000,1.0
2022-11-04,236.555,239.86,234.34,238.37,236.872736947389,1238288,0.0000,1.0
2022-11-03,222.3,234.7601,217.75,232.76,231.297974794959,2438933,0.0000,1.0
2022-11-02,244.98,249.85,240.59,241.25,239.734646929386,1355409,0.0000,1.0
2022-11-01,246.98,248.4,243.84,246.7,245.150414082817,1034970,0.0000,1.0
2022-10-31,243.18,246.07,241.45,244.51,242.974170034007,820337,0.0000,1.0
2022-10-28,239.37,246.25,238.93,244.78,243.242474094819,851849,0.0000,1.0
2022-10-27,240.04,242.065,237.23,238.93,237.429219443889,911647,0.0000,1.0
2022-10-26,236.34,238.71,233.805,236.97,235.481530706141,835878,0.0000,1.0
2022-10-25,234.0,237.65,231.42,234.68,233.205914782957,777996,0.0000,1.0
2022-10-24,233.5,235.75,231.0,233.56,232.092949789958,881445,0.0000,1.0
2022-10-21,222.83,234.98,221.99,232.79,231.327786357271,1873095,0.0000,1.0
2022-10-20,224.75,225.64,218.88,220.28,218.896364872975,654017,0.0000,1.0
2022-10-19,223.15,225.878,221.72,224.76,223.348224844969,729587,0.0000,1.0
2022-10-18,224.79,225.97,221.105,223.94,222.533375475095,590060,0.0000,1.0
2022-10-17,222.95,224.715,219.8025,220.11,218.727432686537,647888,0.0000,1.0
2022-10-14,224.97,226.45,218.81,219.25,217.872834566913,740718,0.0000,1.0
2022-10-13,215.0,226.24,212.45,224.34,222.930862972595,924618,0.0000,1.0
2022-10-12,220.3,220.92,218.1,218.1,216.730058011602,884480,0.0000,1.0
2022-10-11,218.54,223.21,216.4177,220.07,218.687683936787,727870,0.0000,1.0
2022-10-10,218.39,220.76,217.0,219.24,217.862897379476,600324,0.0000,1.0
2022-10-07,218.99,219.63,216.0001,218.04,216.670434886977,1028425,0.0000,1.0
2022-10-06,223.69,226.005,220.62,220.78,219.393224244849,1288443,0.0000,1.0
2022-10-05,219.63,225.265,217.35,224.36,222.950737347469,1275635,0.0000,1.0
2022-10-04,213.22,221.69,212.61,221.53,220.138513302661,1396598,0.0000,1.0
2022-10-03,206.32,211.8,205.45,209.59,208.2735115023,911009,0.0000,1.0
2022-09-30,204.94,208.0,201.38,203.51,202.231701540308,978363,0.0000,1.0
2022-09-29,205.79,206.43,201.335,204.59,203.304917783557,944154,0.0000,1.0
2022-09-28,204.72,209.0945,203.36,207.57,206.266199639928,618311,0.0000,1.0
2022-09-27,204.8,207.29,200.395,203.17,201.893837167433,1005208,0.0000,1.0
2022-09-26,203.22,206.62,202.445,202.68,201.406914982997,648031,0.0000,1.0
2022-09-23,204.43,204.44,200.74,204.0,202.718623724745,772010,0.0000,1.0
2022-09-22,210.8,212.0,207.04,207.04,205.739528705741,779267,0.0000,1.0
2022-09-21,214.25,216.22,210.74,210.76,209.436162432486,877380,0.0000,1.0
2022-09-20,213.5,213.83,211.29,212.69,211.354039607922,571856,0.0000,1.0
2022-09-19,209.12,215.44,208.8417,215.11,213.758838967794,507360,0.0000,1.0
2022-09-16,209.76,212.065,208.44,211.19,209.863461492298,1290945,0.0000,1.0
2022-09-15,212.54,214.56,210.695,211.51,210.181451490298,629580,0.0000,1.0
2022-09-14,212.89,214.23,210.825,213.26,211.920459291858,642570,0.0000,1.0
2022-09-13,215.04,216.99,211.56,212.68,211.344102420484,840266,0.0000,1.0
2022-09-12,219.81,221.78,218.74,219.61,218.230573314663,637804,0.0000,1.0
2022-09-09,217.81,219.3399,216.53,218.47,217.097733946789,594458,0.0000,1.0
2022-09-08,213.92,215.03,211.25,214.8,213.450786157231,586352,0.0000,1.0
2022-09-07,212.14,216.66,211.185,216.0,214.64324864973,684828,0.0000,1.0
2022-09-06,214.15,215.68,211.26,212.44,211.105609921984,640003,0.0000,1.0
2022-09-02,217.82,218.55,211.945,212.87,211.532908981796,565240,0.0000,1.0
2022-09-01,213.88,215.2,212.1201,214.92,213.570032406481,664618,0.0000,1.0
2022-08-31,217.75,218.08,213.93,215.37,214.017205841168,1146384,0.0000,1.0
2022-08-30,221.9,222.0868,216.73,218.16,216.789681136227,726979,0.0000,1.0
2022-08-29,220.55,222.55,219.835,221.29,219.900020804161,745911,0.0000,1.0
2022-08-26,230.19,230.32,222.35,222.5,221.102420484097,863434,0.0000,1.0
2022-08-25,226.75,229.13,226.05,228.97,227.531780756151,636550,0.0000,1.0
2022-08-24,224.6,225.63,223.455,225.29,223.874895779156,640414,0.0000,1.0
2022-08-23,224.73,227.51,223.455,225.02,223.606591718344,857802,0.0000,1.0
2022-08-22,225.11,225.815,223.46,224.4,222.990486097219,684784,0.0000,1.0
2022-08-19,229.31,229.59,227.43,228.58,227.144230446089,597132,0.0000,1.0
2022-08-18,229.58,230.73,228.6,230.2,228.754054810962,479052,1.5700,1.0
2022-08-17,229.24,232.63,228.53,230.27,227.27357380731,920744,0.0000,1.0
2022-08-16,230.17,233.85,230.17,232.4,229.375856832496,818208,0.0000,1.0
2022-08-15,225.82,231.095,225.5,230.74,227.737457855121,826550,0.0000,1.0
2022-08-12,224.13,227.86,223.25,227.76,224.796235594532,719668,0.0000,1.0
2022-08-11,224.16,225.61,222.94,223.88,220.966724731752,909237,0.0000,1.0
2022-08-10,221.74,222.9501,221.14,221.89,219.002619933574,649848,0.0000,1.0
2022-08-09,219.27,219.48,216.96,218.12,215.281677677728,591503,0.0000,1.0
2022-08-08,222.81,223.2,218.56,219.51,216.653590074446,749649,0.0000,1.0
2022-08-05,217.96,220.45,217.4515,220.02,217.156953615688,658315,0.0000,1.0
2022-08-04,216.49,221.26,216.3,219.54,216.683199694519,672151,0.0000,1.0
2022-08-03,219.62,220.0,217.0,217.77,214.936232110209,895368,0.0000,1.0
2022-08-02,218.99,223.94,215.7,218.61,215.765301472255,1385317,0.0000,1.0
2022-08-01,218.28,220.299,216.28,217.84,215.005321223713,1053322,0.0000,1.0
2022-07-29,216.44,221.54,215.632,221.31,218.430167278828,1073396,0.0000,1.0
2022-07-28,210.47,216.05,210.04,215.19,212.389804783928,1251007,0.0000,1.0
2022-07-27,205.01,210.525,203.46,209.17,206.448141022604,977529,0.0000,1.0
2022-07-26,205.46,208.13,202.89,204.45,201.789560797779,647363,0.0000,1.0
