timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,29.14,29.67,29.065,29.61,29.61,4192610,0.0000,1.0
2023-02-06,28.91,29.455,28.91,29.33,29.33,3572311,0.0000,1.0
2023-02-03,29.64,29.74,28.93,29.2,29.2,5443988,0.0000,1.0
2023-02-02,30.12,30.41,29.615,29.78,29.78,6111347,0.0000,1.0
2023-02-01,29.93,30.27,29.645,30.1,30.1,5287843,0.0000,1.0
2023-01-31,29.96,30.13,29.4805,30.12,30.12,3289519,0.0000,1.0
2023-01-30,29.64,30.17,29.58,29.84,29.84,3517093,0.0000,1.0
2023-01-27,29.96,30.05,29.7,29.74,29.74,4196313,0.0000,1.0
2023-01-26,29.94,30.06,29.625,30.0,30.0,4172835,0.0000,1.0
2023-01-25,30.03,30.13,29.79,30.04,30.04,3491817,0.0000,1.0
2023-01-24,29.91,30.32,29.51,30.19,30.19,3016798,0.0000,1.0
2023-01-23,29.98,30.3,29.84,30.0,30.0,2716850,0.0000,1.0
2023-01-20,30.32,30.37,29.7,30.11,30.11,3669068,0.0000,1.0
2023-01-19,30.35,30.39,29.9825,30.28,30.28,2792826,0.0000,1.0
2023-01-18,31.14,31.2,30.32,30.39,30.39,3725534,0.0000,1.0
2023-01-17,30.83,31.27,30.83,31.08,31.08,4199440,0.0000,1.0
2023-01-13,30.88,31.47,30.76,31.31,31.31,4315224,0.0000,1.0
2023-01-12,31.21,31.28,30.84,31.07,31.07,4116824,0.0000,1.0
2023-01-11,30.62,31.18,30.62,31.15,31.15,2641518,0.0000,1.0
2023-01-10,30.42,30.595,30.19,30.56,30.56,1863730,0.0000,1.0
2023-01-09,29.96,30.875,29.88,30.47,30.47,3574681,0.0000,1.0
2023-01-06,29.27,30.17,29.2,29.99,29.99,3833576,0.0000,1.0
2023-01-05,29.43,29.54,28.9,28.98,28.98,3062056,0.0000,1.0
2023-01-04,29.63,30.085,29.53,29.65,29.65,4386448,0.0000,1.0
2023-01-03,29.9,30.14,29.154,29.56,29.56,4282556,0.0000,1.0
2022-12-30,30.45,30.51,29.72,29.99,29.99,2908374,0.0000,1.0
2022-12-29,30.7,30.83,30.415,30.48,30.48,2984194,0.0000,1.0
2022-12-28,30.95,31.145,30.46,30.52,30.52,2184843,0.0000,1.0
2022-12-27,30.74,31.005,30.59,30.92,30.92,1364841,0.0000,1.0
2022-12-23,30.25,30.7,30.19,30.69,30.69,2126283,0.0000,1.0
2022-12-22,30.45,30.47,29.745,30.31,30.31,2176360,0.0000,1.0
2022-12-21,30.09,30.535,30.0,30.53,30.53,1909377,0.0000,1.0
2022-12-20,29.95,30.1,29.7902,29.97,29.97,1830220,0.0000,1.0
2022-12-19,29.95,30.29,29.77,29.98,29.98,2909715,0.0000,1.0
2022-12-16,30.36,30.365,29.585,30.01,30.01,6188583,0.0000,1.0
