timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,112.23,113.0,109.84,110.79,110.79,6708730,0.0000,1.0
2023-02-07,108.41,112.15,107.41,112.02,112.02,7370606,0.0000,1.0
2023-02-06,108.57,109.95,106.725,107.49,107.49,11516341,0.0000,1.0
2023-02-03,111.31,112.389,107.76,108.11,108.11,13504188,0.0000,1.0
2023-02-02,113.49,115.39,109.76,111.3,111.3,11531289,0.0000,1.0
2023-02-01,120.71,120.97,115.2,117.7,117.7,7282283,0.0000,1.0
2023-01-31,120.22,122.09,119.1,121.87,121.87,5200119,0.0000,1.0
2023-01-30,122.09,122.6,120.33,120.53,120.53,5246251,0.0000,1.0
2023-01-27,124.69,126.39,123.52,123.61,123.61,4857454,0.0000,1.0
2023-01-26,122.29,124.73,120.8,124.65,124.65,5807356,0.0000,1.0
2023-01-25,118.2,120.38,116.64,120.37,120.37,3984733,0.0000,1.0
2023-01-24,121.0,121.0,117.6401,118.81,118.81,4216908,0.0000,1.0
2023-01-23,122.46,123.17,119.97,120.13,120.13,3963235,0.0000,1.0
2023-01-20,120.16,121.91,119.2527,121.8,121.8,5101417,0.0000,1.0
2023-01-19,117.55,120.26,116.26,119.64,119.64,5049200,0.0000,1.0
2023-01-18,121.2,123.71,118.36,118.55,118.55,5138681,0.0000,1.0
2023-01-17,121.06,122.538,119.56,120.24,120.24,5228472,0.0000,1.0
2023-01-13,120.58,121.85,118.51,121.47,121.47,4360209,0.0000,1.0
2023-01-12,118.39,121.1,117.85,120.16,120.16,5072452,0.0000,1.0
2023-01-11,119.19,119.55,116.91,118.24,118.24,4569918,0.0000,1.0
2023-01-10,118.23,118.615,116.68,118.08,118.08,4042752,0.0000,1.0
2023-01-09,120.32,120.66,116.86,117.36,117.36,5403382,0.0000,1.0
2023-01-06,118.5,120.19,117.54,118.23,118.23,4442319,0.0000,1.0
2023-01-05,113.53,117.795,113.53,116.77,116.77,5177715,0.0000,1.0
