timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,121.69,124.42,121.12,123.66,123.66,1097664,0.0000,1.0
2023-02-06,120.06,122.77,119.55,122.44,122.44,860754,0.0000,1.0
2023-02-03,122.5,123.65,120.23,121.74,121.74,1328733,0.0000,1.0
2023-02-02,124.73,127.6,124.73,126.31,126.31,1401994,0.0000,1.0
2023-02-01,122.47,124.9,121.18,123.75,123.75,915376,0.0000,1.0
2023-01-31,119.74,123.22,119.37,123.21,123.21,1092822,0.0000,1.0
2023-01-30,120.84,122.03,119.73,119.78,119.78,564685,0.0000,1.0
2023-01-27,119.82,122.22,119.695,121.65,121.65,639414,0.0000,1.0
2023-01-26,119.9,120.48,118.97,119.85,119.85,623163,0.0000,1.0
2023-01-25,117.66,119.33,117.16,119.27,119.27,1782515,0.0000,1.0
2023-01-24,115.18,118.12,114.11,118.03,118.03,898745,0.0000,1.0
2023-01-23,114.6,115.6,113.7283,114.87,114.87,506014,0.0000,1.0
2023-01-20,114.66,114.94,113.06,114.68,114.68,872772,0.0000,1.0
2023-01-19,114.74,116.54,114.38,114.54,114.54,576357,0.0000,1.0
2023-01-18,117.92,118.0534,115.18,115.26,115.26,549063,0.0000,1.0
2023-01-17,118.27,119.55,117.6,117.74,117.74,706457,0.0000,1.0
2023-01-13,117.2,118.4199,116.49,117.95,117.95,795260,0.0000,1.0
2023-01-12,118.86,119.6,117.615,118.33,118.33,804532,0.0000,1.0
2023-01-11,114.41,118.37,114.09,118.28,118.28,856586,0.0000,1.0
2023-01-10,113.96,113.96,112.5,113.39,113.39,613174,0.0000,1.0
2023-01-09,113.46,114.56,112.69,113.01,113.01,1114778,0.0000,1.0
2023-01-06,109.99,114.35,109.92,114.0,114.0,578711,0.0000,1.0
2023-01-05,111.86,112.2,108.6,109.67,109.67,935706,0.0000,1.0
2023-01-04,111.61,113.38,111.27,112.75,112.75,2109475,0.0000,1.0
2023-01-03,112.62,113.21,109.975,110.68,110.68,556583,0.0000,1.0
2022-12-30,112.34,112.96,110.57,111.88,111.88,555484,0.0000,1.0
2022-12-29,110.57,113.53,109.95,112.94,112.94,946311,0.0000,1.0
2022-12-28,111.86,112.215,109.79,109.86,109.86,438357,0.0000,1.0
2022-12-27,111.36,111.6606,110.245,111.51,111.51,311070,0.0000,1.0
2022-12-23,110.12,111.31,109.47,111.31,111.31,472118,0.0000,1.0
2022-12-22,109.81,110.535,108.5933,110.16,110.16,713216,0.0000,1.0
2022-12-21,110.35,111.52,110.005,110.52,110.52,577980,0.0000,1.0
2022-12-20,109.56,110.74,108.71,109.8,109.8,917990,0.0000,1.0
2022-12-19,111.98,111.98,109.73,110.39,110.39,669660,0.0000,1.0
2022-12-16,113.12,113.12,110.47,112.2,112.2,1596648,0.0000,1.0
2022-12-15,115.83,116.59,113.87,114.73,114.73,1445770,0.9400,1.0
2022-12-14,118.23,119.75,116.27,116.78,115.830979510677,820061,0.0000,1.0
