timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,438.49,444.625,431.5701,443.07,443.07,319189,0.0000,1.0
2023-02-06,439.67,442.76,436.65,438.91,438.91,300358,0.0000,1.0
2023-02-03,441.83,444.24,434.07,442.42,442.42,398543,0.0000,1.0
2023-02-02,444.42,447.43,440.42,444.81,444.81,413831,0.0000,1.0
2023-02-01,443.26,449.03,434.83,446.36,446.36,428500,0.0000,1.0
2023-01-31,437.64,443.96,436.83,443.74,443.74,438114,0.0000,1.0
2023-01-30,436.88,441.21,434.8,436.04,436.04,324000,0.0000,1.0
2023-01-27,438.78,440.9,435.9,437.27,437.27,224686,0.0000,1.0
2023-01-26,438.28,441.16,435.73,441.09,441.09,256701,0.0000,1.0
2023-01-25,434.95,437.11,430.97,436.87,436.87,233850,0.0000,1.0
2023-01-24,438.42,440.63,431.67,440.24,440.24,274575,0.0000,1.0
2023-01-23,436.74,441.47,434.38,437.77,437.77,315738,0.0000,1.0
2023-01-20,425.1,437.72,423.06,436.55,436.55,394404,0.0000,1.0
2023-01-19,436.7,439.23,427.305,427.59,427.59,349889,0.0000,1.0
2023-01-18,448.23,451.11,437.83,438.21,438.21,437941,0.0000,1.0
2023-01-17,447.78,453.49,444.33,444.88,444.88,391948,0.0000,1.0
2023-01-13,445.9,449.27,443.43,448.92,448.92,460117,0.0000,1.0
2023-01-12,451.74,453.0499,441.505,446.23,446.23,411761,0.0000,1.0
2023-01-11,447.6,454.18,446.14,453.96,453.96,441983,0.0000,1.0
2023-01-10,439.66,445.06,438.31,444.97,444.97,281965,0.0000,1.0
2023-01-09,442.46,448.005,439.04,441.31,441.31,382322,0.0000,1.0
2023-01-06,434.99,445.5,434.585,441.94,441.94,429961,0.0000,1.0
2023-01-05,438.72,440.57,431.4901,433.53,433.53,463328,0.0000,1.0
2023-01-04,452.97,454.29,440.78,443.83,443.83,348355,0.0000,1.0
2023-01-03,453.93,454.91,445.9945,448.99,448.99,306554,0.0000,1.0
2022-12-30,453.47,455.43,445.875,451.62,451.62,312634,0.0000,1.0
2022-12-29,454.25,459.34,453.5,456.95,456.95,252485,0.0000,1.0
2022-12-28,460.84,464.63,450.96,451.04,451.04,265737,0.0000,1.0
2022-12-27,459.1,462.03,455.94,459.03,459.03,317580,0.0000,1.0
2022-12-23,451.03,457.49,448.005,457.24,457.24,205091,0.0000,1.0
2022-12-22,460.38,460.71,446.465,452.5,452.5,439232,0.0000,1.0
2022-12-21,453.36,464.66,447.66,464.39,464.39,529868,0.0000,1.0
2022-12-20,442.56,446.09,440.78,443.94,443.94,435713,0.0000,1.0
2022-12-19,444.35,448.25,441.21,443.51,443.51,335932,0.0000,1.0
2022-12-16,439.54,446.755,439.54,445.28,445.28,854963,0.0000,1.0
2022-12-15,453.49,458.06,442.79,444.51,444.51,591588,0.0000,1.0
2022-12-14,462.74,467.7,454.95,459.28,459.28,286325,0.0000,1.0
2022-12-13,467.49,470.23,457.89,462.42,462.42,522250,0.0000,1.0
2022-12-12,455.19,458.6,452.39,457.42,457.42,352455,0.0000,1.0
2022-12-09,454.57,457.0,452.09,453.46,453.46,236833,0.0000,1.0
2022-12-08,453.28,458.21,452.02,455.14,455.14,364621,0.0000,1.0
2022-12-07,452.72,456.07,450.74,453.28,453.28,436457,0.0000,1.0
2022-12-06,456.62,458.359,449.57,452.62,452.62,295274,0.0000,1.0
2022-12-05,458.24,459.77,454.73,459.41,459.41,255154,0.0000,1.0
2022-12-02,457.01,463.6,454.7777,462.53,462.53,285967,0.0000,1.0
2022-12-01,463.25,463.25,456.94,462.45,462.45,370867,0.0000,1.0
2022-11-30,450.69,463.72,447.57,461.78,461.78,818756,0.0000,1.0
2022-11-29,451.98,453.28,446.24,450.69,450.69,273799,0.0000,1.0
2022-11-28,457.51,458.385,452.02,454.34,454.34,255528,0.0000,1.0
2022-11-25,457.73,458.92,454.9,456.27,456.27,113283,0.0000,1.0
2022-11-23,456.86,457.695,452.355,455.4,455.4,268561,0.0000,1.0
2022-11-22,450.06,457.46,450.02,455.32,455.32,360202,0.0000,1.0
2022-11-21,451.41,454.46,448.44,449.66,449.66,240064,0.0000,1.0
2022-11-18,448.7,451.15,445.04,449.37,449.37,265094,0.0000,1.0
2022-11-17,441.0,445.39,438.14,443.28,443.28,321930,0.0000,1.0
2022-11-16,445.93,450.11,444.16,445.71,445.71,276363,0.0000,1.0
2022-11-15,451.9,452.415,442.14,444.81,444.81,337602,0.0000,1.0
2022-11-14,442.5,451.67,441.5,443.88,443.88,458739,1.1500,1.0
2022-11-11,444.1,450.51,440.44,443.86,442.713023391681,455958,0.0000,1.0
2022-11-10,439.37,445.83,435.55,444.51,443.361343729636,597073,0.0000,1.0
2022-11-09,426.99,430.7,419.76,420.03,418.944602386356,398578,0.0000,1.0
2022-11-08,423.1,435.51,421.25,431.02,429.906203177314,419354,0.0000,1.0
2022-11-07,415.74,420.045,411.21,419.86,418.775041682583,703337,0.0000,1.0
2022-11-04,415.0,415.9,405.63,410.64,409.578867042671,557492,0.0000,1.0
2022-11-03,411.72,418.88,410.19,410.94,409.878091814035,435685,0.0000,1.0
2022-11-02,427.39,433.49,415.69,415.81,414.735507269173,406761,0.0000,1.0
2022-11-01,428.9,429.91,424.14,428.27,427.163309439813,366541,0.0000,1.0
2022-10-31,424.15,429.01,423.49,427.55,426.44516998854,458051,0.0000,1.0
2022-10-28,416.23,427.99,414.88,427.64,426.534937419949,338613,0.0000,1.0
2022-10-27,412.96,417.45,411.38,414.65,413.5785048199,354198,0.0000,1.0
2022-10-26,411.54,416.58,408.65,411.9,410.835611082399,444215,0.0000,1.0
2022-10-25,406.12,410.91,404.91,410.39,409.329513066535,340693,0.0000,1.0
2022-10-24,404.61,407.96,399.57,406.32,405.270030335034,332758,0.0000,1.0
2022-10-21,391.26,401.22,389.48,399.94,398.906516864032,386401,0.0000,1.0
2022-10-20,400.88,402.95,390.56,392.7,391.68522571512,399676,0.0000,1.0
2022-10-19,395.77,401.28,395.05,400.25,399.215715794441,289375,0.0000,1.0
2022-10-18,402.97,404.41,396.38,402.08,401.04098689976,429448,0.0000,1.0
2022-10-17,388.94,398.14,388.94,394.05,393.031737186257,422971,0.0000,1.0
