timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,67.14,67.39,66.23,66.3,66.3,3862343,0.0000,1.0
2023-02-07,66.49,67.82,66.15,67.52,67.52,4132332,0.0000,1.0
2023-02-06,67.52,68.38,66.635,66.83,66.83,5334687,0.0000,1.0
2023-02-03,66.02,69.44,65.99,68.22,68.22,7388368,0.0000,1.0
2023-02-02,69.48,70.865,69.255,70.66,70.66,5879432,0.0000,1.0
2023-02-01,66.37,69.29,66.17,68.84,68.84,5728707,0.0000,1.0
2023-01-31,65.2,66.78,65.07,66.75,66.75,4195476,0.0000,1.0
2023-01-30,65.04,65.9,64.95,65.27,65.27,7493030,0.0000,1.0
2023-01-27,64.66,65.84,64.27,65.71,65.71,3849081,0.0000,1.0
2023-01-26,64.66,64.72,63.69,64.66,64.66,3229625,0.0000,1.0
2023-01-25,63.1701,64.235,62.86,64.14,64.14,3932752,0.0000,1.0
2023-01-24,63.97,64.52,63.66,63.92,63.92,3226766,0.0000,1.0
2023-01-23,62.63,64.49,62.505,64.24,64.24,4119875,0.0000,1.0
2023-01-20,61.77,63.08,61.39,62.74,62.74,10647343,0.0000,1.0
2023-01-19,60.52,61.71,60.29,61.37,61.37,4856948,0.0000,1.0
2023-01-18,63.0,63.28,60.84,60.99,60.99,5985462,0.0000,1.0
2023-01-17,63.99,64.06,62.88,62.96,62.96,5486035,0.0000,1.0
2023-01-13,64.39,65.095,63.71,64.06,64.06,5249515,0.0000,1.0
2023-01-12,62.2,67.41,62.115,65.1,65.1,11756219,0.0000,1.0
2023-01-11,61.69,62.21,61.03,61.5,61.5,4884610,0.0000,1.0
2023-01-10,60.55,61.25,59.78,61.21,61.21,6993908,0.0000,1.0
2023-01-09,58.57,61.15,58.555,60.86,60.86,6787334,0.0000,1.0
2023-01-06,57.94,59.925,57.83,59.75,59.75,4411588,0.0000,1.0
2023-01-05,57.0,57.63,56.78,57.57,57.57,2682570,0.0000,1.0
2023-01-04,58.24,58.63,57.62,58.06,58.06,3066609,0.0000,1.0
2023-01-03,57.64,58.1,57.06,57.59,57.59,2635843,0.0000,1.0
