timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,60.49,62.03,60.44,61.88,61.88,4032117,0.0000,1.0
2023-02-07,60.57,60.94,59.84,60.71,60.71,4114444,0.0000,1.0
2023-02-06,61.245,61.4,60.24,60.7,60.7,4277385,0.0000,1.0
2023-02-03,61.1,61.89,61.1,61.5,61.5,4689593,0.0000,1.0
2023-02-02,62.34,62.98,61.06,62.0,62.0,9167230,0.0000,1.0
2023-02-01,64.01,65.21,63.9,64.48,64.48,4132931,0.0000,1.0
2023-01-31,62.61,64.47,62.48,64.45,64.45,3797164,0.0000,1.0
2023-01-30,63.285,63.96,62.19,62.53,62.53,2869321,0.0000,1.0
2023-01-27,62.8,64.085,62.68,63.83,63.83,3738475,0.0000,1.0
2023-01-26,63.5,63.645,62.57,63.13,63.13,3726480,0.0000,1.0
2023-01-25,61.89,63.15,61.42,63.13,63.13,2149971,0.0000,1.0
2023-01-24,62.08,62.55,61.2,62.51,62.51,2169461,0.0000,1.0
2023-01-23,62.32,62.47,61.565,61.9,61.9,2754444,0.0000,1.0
2023-01-20,62.4,62.99,61.65,62.36,62.36,2570824,0.0000,1.0
2023-01-19,61.62,62.36,61.15,62.22,62.22,3085751,0.0000,1.0
2023-01-18,62.94,63.06,61.41,61.51,61.51,2621493,0.0000,1.0
2023-01-17,62.775,63.545,62.65,62.7,62.7,3163532,0.0000,1.0
2023-01-13,62.57,63.01,61.8751,62.72,62.72,2066326,0.0000,1.0
2023-01-12,62.1,62.8511,61.71,62.58,62.58,2888531,0.0000,1.0
2023-01-11,62.82,62.95,61.645,62.08,62.08,2807697,0.0000,1.0
2023-01-10,61.42,61.79,60.49,61.75,61.75,1736335,0.0000,1.0
2023-01-09,61.2,61.955,60.75,61.11,61.11,2243116,0.0000,1.0
2023-01-06,59.77,61.14,59.59,61.01,61.01,2866982,0.0000,1.0
2023-01-05,59.23,59.69,58.9,59.04,59.04,3314685,0.0000,1.0
2023-01-04,59.25,59.8,58.72,59.69,59.69,3428571,0.0000,1.0
2023-01-03,58.73,59.12,58.3,58.93,58.93,2351176,0.0000,1.0
2022-12-30,58.76,59.17,58.33,58.78,58.78,1858251,0.0000,1.0
2022-12-29,58.74,59.625,58.74,58.98,58.98,1548155,0.0000,1.0
2022-12-28,59.76,59.9298,58.48,58.63,58.63,1656839,0.0000,1.0
2022-12-27,59.63,60.03,59.26,59.76,59.76,1683886,0.0000,1.0
2022-12-23,58.91,59.635,58.82,59.38,59.38,1136384,0.0000,1.0
2022-12-22,59.23,59.24,57.96,58.9,58.9,2305713,0.0000,1.0
