timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,77.21,77.59,76.75,76.9,76.9,3225503,0.0000,1.0
2023-02-07,75.3,77.79,75.29,77.79,77.79,7899306,0.0000,1.0
2023-02-06,72.64,72.74,71.81,72.36,72.36,3070346,0.0000,1.0
2023-02-03,73.51,74.19,72.84,72.98,72.98,2836356,0.0000,1.0
2023-02-02,74.21,74.71,73.23,74.54,74.54,2880919,0.0000,1.0
2023-02-01,73.54,74.79,72.86,74.14,74.14,3593877,0.0000,1.0
2023-01-31,72.91,74.0,72.27,73.95,73.95,2736005,0.0000,1.0
2023-01-30,73.1,73.555,72.4546,72.65,72.65,2542057,0.0000,1.0
2023-01-27,73.06,74.19,73.06,73.55,73.55,2171268,0.0000,1.0
2023-01-26,73.17,73.79,72.1,73.73,73.73,3134559,0.0000,1.0
2023-01-25,73.79,74.18,72.98,73.53,73.53,3193241,0.0000,1.0
2023-01-24,74.21,75.11,73.99,74.94,74.94,3067044,0.0000,1.0
2023-01-23,73.83,75.34,73.44,75.3,75.3,2117458,0.0000,1.0
2023-01-20,72.87,74.02,72.34,73.97,73.97,3700108,0.0000,1.0
2023-01-19,72.78,72.96,71.96,72.8,72.8,3681691,0.0000,1.0
2023-01-18,74.85,75.17,73.03,73.18,73.18,7485229,0.0000,1.0
2023-01-17,74.32,74.7,73.96,74.33,74.33,3498047,0.0000,1.0
2023-01-13,73.89,75.38,73.6803,75.2,75.2,3434162,0.0000,1.0
2023-01-12,74.6,75.38,74.07,74.75,74.75,2602578,0.0000,1.0
2023-01-11,74.49,75.01,74.07,74.9,74.9,2250727,0.0000,1.0
2023-01-10,73.35,74.03,72.84,73.92,73.92,1788362,0.0000,1.0
2023-01-09,72.83,74.17,72.69,73.48,73.48,3273564,0.0000,1.0
2023-01-06,71.78,72.82,71.0,72.47,72.47,3387647,0.0000,1.0
2023-01-05,69.6,70.92,69.24,70.87,70.87,2590537,0.0000,1.0
2023-01-04,69.68,70.98,69.425,70.53,70.53,2558113,0.0000,1.0
2023-01-03,69.05,69.57,68.22,68.86,68.86,1776168,0.0000,1.0
2022-12-30,68.05,68.66,67.93,68.63,68.63,1439845,0.0000,1.0
2022-12-29,68.0,69.08,68.0,68.58,68.58,1151637,0.0000,1.0
2022-12-28,68.99,69.25,67.74,67.8,67.8,1278407,0.0000,1.0
2022-12-27,68.75,69.33,68.65,68.78,68.78,1470165,0.0000,1.0
2022-12-23,67.46,68.785,67.4,68.73,68.73,1509375,0.0000,1.0
2022-12-22,67.48,67.59,66.31,67.55,67.55,2487197,0.0000,1.0
2022-12-21,68.22,68.67,68.13,68.32,68.32,2040298,0.0000,1.0
2022-12-20,67.86,68.54,67.48,67.51,67.51,2135801,0.0000,1.0
2022-12-19,67.74,68.28,67.07,67.56,67.56,4296476,0.0000,1.0
2022-12-16,67.34,68.72,66.98,67.91,67.91,4639233,0.0000,1.0
2022-12-15,68.67,68.77,67.54,67.81,67.81,3225845,0.0000,1.0
2022-12-14,70.55,71.34,69.0,69.64,69.64,2703243,0.0000,1.0
2022-12-13,71.7,71.85,70.27,70.86,70.86,2489336,0.0000,1.0
2022-12-12,68.82,69.895,68.66,69.87,69.87,2387477,0.0000,1.0
2022-12-09,69.69,70.0882,68.82,68.89,68.89,1688159,0.0000,1.0
2022-12-08,70.36,70.7,69.56,69.85,69.85,1923921,0.0000,1.0
2022-12-07,69.84,70.75,69.44,69.7,69.7,2321629,0.0000,1.0
2022-12-06,70.71,71.02,69.305,69.97,69.97,2034871,0.0000,1.0
2022-12-05,70.66,71.22,70.29,70.42,70.42,1934564,0.0000,1.0
2022-12-02,69.6,71.62,69.25,71.56,71.56,2501622,0.0000,1.0
2022-12-01,70.35,70.8,69.625,70.42,70.42,4646184,0.0000,1.0
2022-11-30,69.44,70.54,68.42,70.51,70.51,3808490,0.0000,1.0
2022-11-29,69.22,70.09,69.035,69.46,69.46,2533987,0.3300,1.0
2022-11-28,70.15,70.74,69.06,69.35,69.0220805272962,2707790,0.0000,1.0
2022-11-25,71.47,72.12,71.08,71.25,70.9130964321536,1051073,0.0000,1.0
2022-11-23,71.14,71.9,70.91,71.81,71.4704484883221,1497036,0.0000,1.0
2022-11-22,70.1,71.18,70.1,71.14,70.8036165639776,2119950,0.0000,1.0
2022-11-21,68.76,70.265,68.5,69.77,69.4400945694225,2200794,0.0000,1.0
2022-11-18,70.21,70.29,68.6,69.38,69.0519386731623,2835213,0.0000,1.0
2022-11-17,68.19,69.37,66.85,69.34,69.0121278120074,3570668,0.0000,1.0
2022-11-16,70.62,70.98,69.08,69.13,68.8031207909442,2837228,0.0000,1.0
2022-11-15,71.26,71.5829,69.9601,70.67,70.3358389454076,3187338,0.0000,1.0
2022-11-14,70.25,72.24,70.17,70.57,70.2363117925204,3255649,0.0000,1.0
2022-11-11,69.92,71.66,69.36,70.81,70.4751769594498,4495750,0.0000,1.0
2022-11-10,68.88,71.225,68.6,69.65,69.3206619859579,5980935,0.0000,1.0
2022-11-09,66.12,67.48,65.85,67.03,66.7130505803124,5945689,0.0000,1.0
2022-11-08,65.96,68.45,64.97,66.28,65.9665969336581,7849757,0.0000,1.0
2022-11-07,62.06,62.24,60.84,61.74,61.4480641925777,4363391,0.0000,1.0
2022-11-04,61.44,62.68,60.47,61.93,61.6371657830635,4761906,0.0000,1.0
2022-11-03,59.62,60.99,59.3383,59.61,59.3281358360797,5127916,0.0000,1.0
2022-11-02,62.32,64.26,60.43,60.54,60.2537383579309,8869443,0.0000,1.0
2022-11-01,59.0,59.465,57.87,58.7,58.4224387448058,4271378,0.0000,1.0
2022-10-31,57.36,57.74,56.83,57.2,56.9295314514973,2939816,0.0000,1.0
2022-10-28,56.97,57.68,56.77,57.56,57.2878292018914,2215704,0.0000,1.0
2022-10-27,57.3,57.605,56.32,56.77,56.5015646940822,2473751,0.0000,1.0
2022-10-26,57.48,57.85,56.72,57.09,56.8200515833214,3029706,0.0000,1.0
2022-10-25,55.72,56.98,55.72,56.96,56.690666284568,3798267,0.0000,1.0
2022-10-24,56.0,56.28,55.04,56.01,55.7451583321393,2097337,0.0000,1.0
2022-10-21,53.77,55.695,53.62,55.58,55.3171915747242,2568464,0.0000,1.0
2022-10-20,54.12,55.26,53.51,53.76,53.5057973921765,2187529,0.0000,1.0
2022-10-19,54.78,55.29,53.87,54.1,53.8441897119931,2367876,0.0000,1.0
2022-10-18,54.62,55.305,54.05,55.17,54.9091302478865,3264570,0.0000,1.0
2022-10-17,53.48,54.26,52.86,53.22,52.9683507665855,2712054,0.0000,1.0
2022-10-14,53.83,54.05,51.96,52.1,51.8536466542485,2445597,0.0000,1.0
2022-10-13,50.68,53.85,50.2,53.31,53.057925204184,3824947,0.0000,1.0
2022-10-12,51.69,52.11,51.25,51.58,51.3361054592348,2307118,0.0000,1.0
2022-10-11,51.15,52.68,50.585,51.8,51.5550651955868,2853490,0.0000,1.0
2022-10-10,52.76,52.81,51.4704,51.73,51.4853961885657,2046808,0.0000,1.0
2022-10-07,52.48,53.23,51.98,52.36,52.1124172517553,4026558,0.0000,1.0
2022-10-06,53.84,54.47,53.0802,53.18,52.9285399054306,2326583,0.0000,1.0
2022-10-05,53.88,54.88,53.45,54.46,54.2024874623872,2249864,0.0000,1.0
2022-10-04,53.4,54.79,53.37,54.72,54.461258059894,3439618,0.0000,1.0
2022-10-03,51.49,53.22,51.1,52.43,52.1820862587763,4314498,0.0000,1.0
2022-09-30,50.51,51.4,50.27,50.4,50.1616850551655,3571406,0.0000,1.0
2022-09-29,50.5,50.74,49.841,50.65,50.4105029373836,3385697,0.0000,1.0
2022-09-28,50.42,51.45,49.965,51.25,51.007665854707,2685275,0.0000,1.0
2022-09-27,50.55,50.89,49.52,50.09,49.8531508812151,3188336,0.0000,1.0
2022-09-26,50.3,51.45,49.8,50.05,49.8133400200602,3038040,0.0000,1.0
2022-09-23,51.43,51.68,49.86,50.74,50.5000773749821,3439131,0.0000,1.0
2022-09-22,53.44,53.56,52.21,52.49,52.2418025505087,2414155,0.0000,1.0
2022-09-21,54.85,54.95,53.11,53.15,52.8986817595644,2408860,0.0000,1.0
2022-09-20,54.55,54.7,53.69,54.25,53.993480441324,2303837,0.0000,1.0
2022-09-19,53.55,55.67,53.42,55.33,55.0683736925061,4020208,0.0000,1.0
2022-09-16,54.08,55.03,53.05,53.98,53.7247571285284,6278937,0.0000,1.0
2022-09-15,55.84,56.57,54.915,55.13,54.8693193867316,2777096,0.0000,1.0
2022-09-14,56.55,56.55,55.05,55.81,55.5461040263648,3620604,0.0000,1.0
2022-09-13,57.57,58.28,56.28,56.65,56.3821321106176,2903354,0.0000,1.0
2022-09-12,58.91,59.79,58.5526,59.55,59.2684195443473,4625986,0.0000,1.0
2022-09-09,58.19,58.8,57.92,58.39,58.1139045708554,2698949,0.0000,1.0
2022-09-08,55.53,57.48,55.19,57.43,57.158443903138,3111411,0.0000,1.0
2022-09-07,54.23,56.41,53.99,56.26,55.9939762143574,2974598,0.0000,1.0
