timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,115.51,117.5,115.51,115.6,115.6,1941744,0.0000,1.0
2023-02-07,116.58,118.71,116.58,117.83,117.83,1954410,0.0000,1.0
2023-02-06,118.13,118.39,116.83,117.15,117.15,2278848,0.0000,1.0
2023-02-03,116.27,119.91,115.71,119.0,119.0,2387166,0.0000,1.0
2023-02-02,116.64,119.24,116.435,117.95,117.95,3374865,0.0000,1.0
2023-02-01,112.95,117.33,112.47,115.83,115.83,3899159,0.0000,1.0
2023-01-31,114.78,116.95,114.36,116.73,116.73,2206816,0.0000,1.0
2023-01-30,116.3,117.31,114.36,114.44,114.44,2365148,0.0000,1.0
2023-01-27,115.69,118.4,115.69,117.57,117.57,2438949,0.0000,1.0
2023-01-26,115.49,115.95,113.25,114.69,114.69,3146149,0.0000,1.0
2023-01-25,110.38,115.05,110.345,114.9,114.9,3578534,0.0000,1.0
2023-01-24,109.25,112.37,109.04,111.49,111.49,2313272,0.0000,1.0
2023-01-23,106.42,111.24,106.29,110.29,110.29,3631575,0.0000,1.0
2023-01-20,101.91,106.205,101.75,106.14,106.14,4965496,0.0000,1.0
2023-01-19,95.55,102.12,94.42,101.9,101.9,8727601,0.0000,1.0
2023-01-18,105.39,106.32,102.205,102.34,102.34,4751045,0.0000,1.0
2023-01-17,106.3,107.02,105.085,105.41,105.41,2442837,0.0000,1.0
2023-01-13,104.11,107.335,104.11,107.2,107.2,1737170,0.0000,1.0
2023-01-12,108.15,108.3,105.855,106.06,106.06,2006875,0.0000,1.0
2023-01-11,105.51,107.24,105.51,107.04,107.04,2633839,0.0000,1.0
2023-01-10,103.81,105.7,103.26,105.61,105.61,2203734,0.0000,1.0
2023-01-09,103.91,105.1013,103.56,103.88,103.88,2551224,0.0000,1.0
2023-01-06,99.58,103.22,99.58,103.04,103.04,2212684,0.0000,1.0
2023-01-05,100.24,100.85,99.04,99.55,99.55,2477843,0.0000,1.0
2023-01-04,98.56,101.73,98.47,101.27,101.27,3209065,0.0000,1.0
2023-01-03,98.8,99.955,96.39,96.99,96.99,2155657,0.0000,1.0
2022-12-30,96.61,97.91,96.39,97.83,97.83,1381202,0.0000,1.0
2022-12-29,95.62,97.53,95.36,97.45,97.45,1539250,0.0000,1.0
2022-12-28,96.67,97.35,95.22,95.28,95.28,1233968,0.0000,1.0
2022-12-27,97.8,97.85,96.27,96.75,96.75,915046,0.0000,1.0
2022-12-23,96.82,97.6,96.082,97.6,97.6,936504,0.0000,1.0
2022-12-22,96.18,96.89,95.21,96.86,96.86,1551056,0.0000,1.0
2022-12-21,97.81,98.64,97.48,97.8,97.8,1946093,0.0000,1.0
2022-12-20,95.07,96.985,94.42,96.71,96.71,2127071,0.0000,1.0
2022-12-19,96.93,97.43,94.73,95.17,95.17,2193491,0.0000,1.0
2022-12-16,97.5,98.63,95.54,96.89,96.89,4629405,0.0000,1.0
2022-12-15,101.45,101.59,95.83,98.88,98.88,4211996,0.0000,1.0
2022-12-14,106.19,106.82,102.62,103.45,103.45,1995424,0.0000,1.0
2022-12-13,105.45,108.5,105.26,106.56,106.56,2485121,0.0000,1.0
2022-12-12,102.97,105.71,102.65,105.28,105.28,1871012,0.0000,1.0
2022-12-09,102.29,104.26,102.06,103.0,103.0,1526017,0.0000,1.0
2022-12-08,104.16,105.07,102.48,102.93,102.93,1505737,0.0000,1.0
2022-12-07,103.29,105.35,102.82,103.74,103.74,2118303,0.0000,1.0
2022-12-06,103.46,105.35,102.515,103.87,103.87,1689335,0.0000,1.0
2022-12-05,104.36,105.055,102.98,103.51,103.51,1448921,0.0000,1.0
2022-12-02,105.04,107.42,104.71,105.4,105.4,1288501,0.0000,1.0
2022-12-01,108.31,109.11,105.75,106.53,106.53,2080067,0.0000,1.0
2022-11-30,108.32,108.37,105.48,108.36,108.36,3419357,0.0000,1.0
2022-11-29,107.01,108.76,106.52,108.55,108.55,1193249,0.0000,1.0
2022-11-28,107.48,108.21,106.65,106.85,106.85,2215784,0.0000,1.0
2022-11-25,108.33,109.09,108.05,108.73,108.73,682605,0.0000,1.0
2022-11-23,107.94,109.16,107.335,108.66,108.66,887009,0.0000,1.0
2022-11-22,107.98,109.21,107.61,108.21,108.21,2194199,0.6000,1.0
2022-11-21,106.73,108.57,106.27,108.14,107.543694513372,1308861,0.0000,1.0
2022-11-18,109.0,110.01,106.84,107.26,106.668547008547,1670440,0.0000,1.0
2022-11-17,104.96,107.63,104.4153,107.04,106.449760132341,1752544,0.0000,1.0
2022-11-16,104.9,109.83,104.9,106.12,105.534833195478,3426564,0.0000,1.0
2022-11-15,106.9,108.185,103.27,103.63,103.058563551144,1816400,0.0000,1.0
2022-11-14,107.5,108.725,105.76,105.93,105.3458808933,1538444,0.0000,1.0
2022-11-11,109.48,111.59,108.7,108.78,108.180165425972,2637135,0.0000,1.0
2022-11-10,105.07,108.99,105.07,108.32,107.722701957541,2538575,0.0000,1.0
2022-11-09,101.43,101.64,100.015,100.04,99.4883595257789,1007677,0.0000,1.0
2022-11-08,101.04,102.92,100.815,102.48,101.914904880066,1185617,0.0000,1.0
2022-11-07,100.93,101.145,99.15,101.01,100.453010752688,1024256,0.0000,1.0
2022-11-04,99.66,101.92,98.82,99.85,99.2994072236008,1468567,0.0000,1.0
2022-11-03,99.28,99.28,97.22,97.98,97.4397187758478,1166433,0.0000,1.0
2022-11-02,103.39,104.4,100.96,101.03,100.472900468707,1915291,0.0000,1.0
2022-11-01,105.67,106.3,103.78,103.89,103.317129859388,1871979,0.0000,1.0
2022-10-31,104.96,105.76,104.42,104.46,103.883986765922,1269018,0.0000,1.0
2022-10-28,103.14,106.076,102.66,105.64,105.057480011028,1620498,0.0000,1.0
2022-10-27,103.61,104.71,102.62,102.81,102.243085194376,1620520,0.0000,1.0
2022-10-26,101.67,104.29,101.18,102.22,101.656338571822,1806325,0.0000,1.0
2022-10-25,95.54,100.2,95.15,99.97,99.4187455197133,2660762,0.0000,1.0
2022-10-24,96.18,96.7,94.53,95.86,95.3314088778605,2351302,0.0000,1.0
2022-10-21,92.78,94.72,91.06,94.68,94.1579156327543,2397492,0.0000,1.0
2022-10-20,93.14,95.335,92.275,92.76,92.2485028949545,1157351,0.0000,1.0
2022-10-19,94.72,95.975,92.78,93.43,92.9148083815826,1358579,0.0000,1.0
2022-10-18,95.61,96.35,93.57,96.29,95.7590377722636,2684131,0.0000,1.0
2022-10-17,93.82,94.13,92.2,92.78,92.2683926109733,1767939,0.0000,1.0
2022-10-14,94.85,95.95,91.1,91.2,90.6971050454921,1583338,0.0000,1.0
2022-10-13,89.5,94.44,87.644,94.09,93.5711690102013,2223685,0.0000,1.0
2022-10-12,90.95,92.59,90.11,91.56,91.0551199338296,1247017,0.0000,1.0
2022-10-11,91.33,92.78,90.0,90.89,90.3888144472015,4948142,0.0000,1.0
2022-10-10,94.19,94.5,91.81,91.88,91.3733553901296,2548331,0.0000,1.0
2022-10-07,94.0,94.56,92.811,93.4,92.8849738075545,1282928,0.0000,1.0
2022-10-06,95.65,96.8,95.19,95.32,94.7943865453543,798300,0.0000,1.0
2022-10-05,95.67,97.09,95.05,96.68,96.1468872346292,1122324,0.0000,1.0
2022-10-04,95.77,97.44,95.63,97.4,96.8629170113041,1705485,0.0000,1.0
2022-10-03,92.65,94.32,90.6,93.89,93.3722718500138,1857990,0.0000,1.0
2022-09-30,91.78,92.72,90.47,90.92,90.4186490212297,1579331,0.0000,1.0
2022-09-29,91.82,92.71,90.65,91.42,90.9158919216984,1226702,0.0000,1.0
2022-09-28,91.61,94.15,91.11,93.58,93.0639812517232,1248978,0.0000,1.0
2022-09-27,92.45,92.95,89.63,91.0,90.4982078853047,1128655,0.0000,1.0
2022-09-26,92.72,94.48,90.62,91.05,90.5479321753515,1456557,0.0000,1.0
2022-09-23,93.99,94.975,92.13,93.73,93.2131541218638,1746939,0.0000,1.0
2022-09-22,98.03,98.07,94.88,94.97,94.4463165150262,1364567,0.0000,1.0
2022-09-21,101.15,101.9995,97.81,97.87,97.3303253377447,1197845,0.0000,1.0
2022-09-20,101.4,101.49,99.15,100.29,99.7369809760132,1452502,0.0000,1.0
2022-09-19,99.64,102.23,99.39,102.17,101.606614281776,1207820,0.0000,1.0
2022-09-16,100.1,101.18,97.38,100.91,100.353562172594,3968525,0.0000,1.0
2022-09-15,99.15,102.74,99.15,100.91,100.353562172594,2245585,0.0000,1.0
2022-09-14,98.99,99.33,96.31,99.05,98.5038185828508,2079865,0.0000,1.0
2022-09-13,100.36,101.52,97.935,98.51,97.9667962503446,1677480,0.0000,1.0
2022-09-12,103.5,105.07,102.7,103.29,102.720438378825,1365387,0.0000,1.0
2022-09-09,101.82,102.6,100.97,102.52,101.954684312104,1336903,0.0000,1.0
2022-09-08,99.03,101.33,98.12,101.05,100.492790184726,1105715,0.0000,1.0
2022-09-07,97.34,100.255,97.115,99.94,99.3889109456851,1201470,0.0000,1.0
2022-09-06,98.7,99.365,95.87,97.49,96.9524207333885,1558919,0.0000,1.0
2022-09-02,101.72,102.28,99.0,99.53,98.9811717673008,1038876,0.0000,1.0
2022-09-01,99.95,100.06,97.6,100.04,99.4883595257789,1796478,0.0000,1.0
2022-08-31,101.57,102.39,100.26,100.49,99.9358781362007,1406144,0.0000,1.0
2022-08-30,101.69,101.95,100.19,100.87,100.313782740557,1614089,0.0000,1.0
2022-08-29,101.44,101.84,100.22,101.01,100.453010752688,909741,0.0000,1.0
2022-08-26,106.96,107.33,102.61,102.7,102.133691756272,1114871,0.0000,1.0
2022-08-25,105.12,106.4,104.28,106.38,105.793399503722,1234649,0.0000,1.0
2022-08-24,103.77,104.86,103.06,104.39,103.814372759857,848010,0.6000,1.0
2022-08-23,103.98,105.86,103.76,104.65,103.478179915411,1244203,0.0000,1.0
2022-08-22,104.69,104.78,102.51,103.32,102.163072612138,1368350,0.0000,1.0
2022-08-19,107.31,107.9372,106.65,106.91,105.712873528491,1324941,0.0000,1.0
2022-08-18,108.92,109.18,108.2,108.47,107.255405403006,1121561,0.0000,1.0
2022-08-17,108.32,108.8,107.25,108.52,107.30484552719,1361057,0.0000,1.0
2022-08-16,109.07,111.28,109.07,110.47,109.233010370334,1536282,0.0000,1.0
2022-08-15,108.46,109.12,107.06,108.83,107.611374297125,1057318,0.0000,1.0
2022-08-12,109.47,109.79,108.06,109.6,108.372752209546,1004708,0.0000,1.0
