timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,112.2,113.33,110.29,111.78,111.78,18980041,0.0000,1.0
2023-02-07,109.295,112.12,108.86,111.63,111.63,10843984,0.0000,1.0
2023-02-06,110.17,110.43,108.53,109.87,109.87,11956540,0.0000,1.0
2023-02-03,111.47,113.1412,110.37,110.71,110.71,12472478,0.0000,1.0
2023-02-02,110.67,113.53,109.6901,113.21,113.21,13093205,0.0000,1.0
2023-02-01,108.5,109.94,106.9,109.39,109.39,9975481,0.0000,1.0
2023-01-31,107.58,108.715,107.45,108.49,108.49,8251663,0.0000,1.0
2023-01-30,108.26,108.97,107.48,107.59,107.59,8548547,0.0000,1.0
2023-01-27,109.26,110.5823,109.16,109.54,109.54,10249678,0.0000,1.0
2023-01-26,108.17,109.76,107.5701,109.7,109.7,9204417,0.0000,1.0
2023-01-25,104.96,108.16,104.18,108.12,108.12,10008035,0.0000,1.0
2023-01-24,105.39,108.44,102.0,106.0,106.0,8606723,0.0000,1.0
2023-01-23,103.29,105.9541,102.9209,105.69,105.69,11479075,0.0000,1.0
2023-01-20,100.34,103.5865,99.3015,103.48,103.48,14549879,0.0000,1.0
2023-01-19,98.12,99.45,97.12,99.08,99.08,10973553,0.0000,1.0
2023-01-18,100.28,101.1299,98.7249,99.04,99.04,11384536,0.0000,1.0
2023-01-17,100.32,100.99,98.995,99.91,99.91,14914197,0.0000,1.0
2023-01-13,99.38,99.6,98.01,99.4,99.4,12230196,0.0000,1.0
2023-01-12,98.5,100.63,97.5705,99.81,99.81,19764324,0.0000,1.0
2023-01-11,95.92,96.55,95.045,96.33,96.33,8757251,0.0000,1.0
2023-01-10,94.28,95.64,93.82,95.56,95.56,6914633,0.0000,1.0
2023-01-09,94.43,95.7,93.45,94.77,94.77,11675842,0.0000,1.0
2023-01-06,92.66,94.69,91.3211,93.92,93.92,9828145,0.0000,1.0
2023-01-05,91.66,92.48,90.51,91.92,91.92,11622620,0.0000,1.0
2023-01-04,90.0,92.745,89.36,91.98,91.98,14957213,0.0000,1.0
2023-01-03,88.98,89.9716,87.83,88.97,88.97,14997142,0.0000,1.0
2022-12-30,85.73,87.12,85.225,86.88,86.88,23230967,0.0000,1.0
2022-12-29,85.25,88.242,84.97,87.18,87.18,13045069,0.0000,1.0
2022-12-28,86.08,86.69,84.07,84.17,84.17,12399508,0.0000,1.0
2022-12-27,87.42,87.94,85.96,86.37,86.37,11561448,0.0000,1.0
2022-12-23,86.06,88.07,85.77,88.01,88.01,11171606,0.0000,1.0
2022-12-22,86.03,86.73,84.69,86.67,86.67,15487370,0.0000,1.0
2022-12-21,87.19,88.0997,86.48,86.92,86.92,11004832,0.0000,1.0
2022-12-20,86.08,87.8391,85.76,87.02,87.02,14918400,0.0000,1.0
2022-12-19,89.44,89.46,85.41,85.78,85.78,19225289,0.0000,1.0
2022-12-16,90.19,91.08,88.81,90.08,90.08,26383881,0.0000,1.0
2022-12-15,92.47,93.12,90.115,90.49,90.49,15957669,0.0000,1.0
2022-12-14,94.54,95.47,92.62,94.15,94.15,11505449,0.0000,1.0
2022-12-13,96.49,97.3917,93.57,94.7,94.7,22882080,0.0000,1.0
2022-12-12,93.73,94.66,92.61,94.66,94.66,14140682,0.0000,1.0
2022-12-09,92.37,94.91,91.9,93.38,93.38,10111877,0.0000,1.0
2022-12-08,92.5,93.428,91.67,92.55,92.55,9351229,0.0000,1.0
2022-12-07,92.66,92.7857,91.26,92.15,92.15,10353416,0.0000,1.0
2022-12-06,95.73,96.0,91.98,92.29,92.29,11492365,0.0000,1.0
2022-12-05,98.24,99.16,95.665,95.93,95.93,10764540,0.0000,1.0
2022-12-02,97.46,99.69,97.0101,99.43,99.43,12608101,0.0000,1.0
2022-12-01,97.87,98.835,96.58,98.59,98.59,13855680,0.0000,1.0
2022-11-30,94.95,97.94,93.87,97.87,97.87,15368108,0.0000,1.0
2022-11-29,96.0,96.4299,93.92,94.69,94.69,13205327,0.0000,1.0
2022-11-28,98.21,99.13,95.43,95.69,95.69,13668653,0.0000,1.0
2022-11-25,98.81,99.81,98.08,98.87,98.87,6664281,0.0000,1.0
2022-11-23,96.0,99.34,95.7801,98.88,98.88,15503232,0.0000,1.0
2022-11-22,97.0,97.67,94.68,96.21,96.21,25753736,0.0000,1.0
2022-11-21,100.12,100.89,96.32,97.58,97.58,70273509,0.0000,1.0
2022-11-18,92.86,93.16,90.91,91.8,91.8,10011730,0.0000,1.0
2022-11-17,92.12,92.27,90.85,91.45,91.45,12306389,0.0000,1.0
2022-11-16,95.22,95.22,93.72,93.95,93.95,11137672,0.0000,1.0
2022-11-15,96.0,97.18,93.695,95.51,95.51,15801913,0.0000,1.0
2022-11-14,95.85,96.62,94.21,94.28,94.28,20505724,0.0000,1.0
2022-11-11,91.58,95.58,91.1,95.01,95.01,22373294,0.0000,1.0
2022-11-10,89.75,90.5,87.608,90.46,90.46,36968128,0.0000,1.0
2022-11-09,90.55,91.1,86.28,86.75,86.75,62029828,0.0000,1.0
2022-11-08,100.74,101.9687,98.05,99.9,99.9,27130263,0.0000,1.0
2022-11-07,100.88,101.56,98.99,100.43,100.43,11355242,0.0000,1.0
2022-11-04,101.15,101.16,98.11,99.58,99.58,11035804,0.0000,1.0
2022-11-03,100.2,100.7,98.56,99.25,99.25,8978373,0.0000,1.0
2022-11-02,105.45,106.08,101.785,101.82,101.82,9591406,0.0000,1.0
2022-11-01,107.7,108.84,105.64,106.0,106.0,7955761,0.0000,1.0
2022-10-31,105.66,106.9,104.82,106.54,106.54,8814813,0.0000,1.0
2022-10-28,104.08,106.09,103.525,105.95,105.95,7250889,0.0000,1.0
2022-10-27,105.805,106.87,104.31,104.44,104.44,8673519,0.0000,1.0
2022-10-26,103.53,107.43,103.53,104.63,104.63,9223759,0.0000,1.0
2022-10-25,102.16,104.7299,102.03,104.36,104.36,7687535,0.0000,1.0
2022-10-24,102.12,103.19,100.12,101.72,101.72,8221477,0.0000,1.0
2022-10-21,98.35,102.3,97.89,102.04,102.04,10193360,0.0000,1.0
2022-10-20,98.23,100.75,98.11,98.59,98.59,8212442,0.0000,1.0
2022-10-19,100.44,101.865,98.5,98.99,98.99,11730993,0.0000,1.0
2022-10-18,99.87,100.3696,97.635,98.48,98.48,8533516,0.0000,1.0
2022-10-17,96.38,97.97,96.26,97.33,97.33,7083842,0.0000,1.0
2022-10-14,97.47,98.09,94.33,94.45,94.45,8208884,0.0000,1.0
2022-10-13,91.57,96.97,90.71,96.64,96.64,11025428,0.0000,1.0
2022-10-12,93.16,94.07,92.2,93.41,93.41,6156217,0.0000,1.0
2022-10-11,94.81,95.06,92.65,93.1,93.1,8900901,0.0000,1.0
2022-10-10,97.59,97.74,94.42,95.16,95.16,9532334,0.0000,1.0
2022-10-07,98.51,98.8,96.4469,97.16,97.16,7051019,0.0000,1.0
2022-10-06,100.43,101.46,99.8701,100.04,100.04,6728200,0.0000,1.0
2022-10-05,100.04,101.22,98.7,100.8,100.8,7562771,0.0000,1.0
2022-10-04,98.68,101.52,98.2301,101.44,101.44,10229002,0.0000,1.0
2022-10-03,95.73,97.78,94.504,97.13,97.13,9468403,0.0000,1.0
2022-09-30,96.5,97.4778,94.28,94.33,94.33,12094936,0.0000,1.0
2022-09-29,98.53,98.6,96.23,97.45,97.45,9435058,0.0000,1.0
2022-09-28,95.79,99.87,95.45,99.4,99.4,12895460,0.0000,1.0
2022-09-27,99.53,99.64,95.432,95.85,95.85,13360187,0.0000,1.0
2022-09-26,98.95,100.66,98.06,98.12,98.12,9760467,0.0000,1.0
2022-09-23,100.62,101.18,98.02,99.5,99.5,11976927,0.0000,1.0
2022-09-22,104.21,104.66,102.02,102.16,102.16,10551159,0.0000,1.0
2022-09-21,107.39,108.04,104.49,104.49,104.49,9776355,0.0000,1.0
2022-09-20,108.28,108.41,106.86,107.57,107.57,6957409,0.0000,1.0
2022-09-19,107.53,109.2245,107.036,109.17,109.17,7979457,0.0000,1.0
2022-09-16,109.21,109.58,106.96,108.25,108.25,15978828,0.0000,1.0
2022-09-15,112.39,114.41,110.71,110.77,110.77,9739754,0.0000,1.0
2022-09-14,111.85,112.74,109.88,112.5,112.5,8610446,0.0000,1.0
2022-09-13,113.05,113.82,111.17,111.76,111.76,10504583,0.0000,1.0
2022-09-12,116.14,117.49,115.27,116.39,116.39,7923353,0.0000,1.0
2022-09-09,113.27,115.525,113.19,115.18,115.18,9573346,0.0000,1.0
2022-09-08,111.07,112.99,110.36,112.33,112.33,8443278,0.0000,1.0
2022-09-07,109.87,112.955,109.87,112.69,112.69,8193947,0.0000,1.0
2022-09-06,111.77,111.78,108.52,110.09,110.09,9225223,0.0000,1.0
2022-09-02,113.05,113.89,110.84,111.2,111.2,8465130,0.0000,1.0
2022-09-01,111.79,112.59,110.025,112.53,112.53,7718715,0.0000,1.0
2022-08-31,112.87,113.75,111.85,112.08,112.08,7352967,0.0000,1.0
2022-08-30,114.28,114.7499,111.45,112.43,112.43,8059967,0.0000,1.0
2022-08-29,112.54,114.4673,112.41,113.53,113.53,6844289,0.0000,1.0
2022-08-26,117.47,118.37,113.89,114.07,114.07,7807402,0.0000,1.0
2022-08-25,117.02,117.77,116.11,117.46,117.46,6920927,0.0000,1.0
2022-08-24,114.67,117.16,114.1,116.41,116.41,7840514,0.0000,1.0
2022-08-23,115.98,116.3699,114.6211,114.86,114.86,7180690,0.0000,1.0
2022-08-22,117.7,118.21,115.6901,115.94,115.94,11575841,0.0000,1.0
2022-08-19,121.25,121.39,119.48,120.14,120.14,8702520,0.0000,1.0
2022-08-18,123.01,123.13,121.71,122.67,122.67,7343934,0.0000,1.0
2022-08-17,123.45,124.48,122.57,122.81,122.81,9140896,0.0000,1.0
2022-08-16,124.73,126.48,123.45,124.96,124.96,14607300,0.0000,1.0
2022-08-15,121.0,125.96,120.99,124.26,124.26,24628324,0.0000,1.0
2022-08-12,119.0,121.61,118.9201,121.57,121.57,21964785,0.0000,1.0
2022-08-11,122.21,123.268,117.3309,117.69,117.69,50375019,0.0000,1.0
2022-08-10,112.48,112.67,109.91,112.43,112.43,26398688,0.0000,1.0
2022-08-09,109.22,109.22,107.03,108.13,108.13,8776524,0.0000,1.0
2022-08-08,108.205,111.23,107.9,109.11,109.11,13045407,0.0000,1.0
2022-08-05,106.81,107.7,105.37,106.63,106.63,10099976,0.0000,1.0
