timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,148.71,149.63,147.79,148.45,148.45,696782,0.0000,1.0
2023-02-07,148.7,149.9,147.65,149.59,149.59,664124,0.0000,1.0
2023-02-06,147.51,149.85,147.51,149.79,149.79,1027299,0.0000,1.0
2023-02-03,146.5,148.59,145.64,147.42,147.42,736332,0.0000,1.0
2023-02-02,148.24,149.25,146.79,147.92,147.92,1412465,0.0000,1.0
2023-02-01,148.01,148.49,143.94,147.06,147.06,1210952,0.0000,1.0
2023-01-31,146.69,148.18,146.38,147.97,147.97,2240536,0.0000,1.0
2023-01-30,148.01,149.56,146.78,146.92,146.92,889411,0.0000,1.0
2023-01-27,150.0,150.0,147.86,148.37,148.37,852269,0.0000,1.0
2023-01-26,148.21,149.63,148.15,149.3,149.3,802617,0.0000,1.0
2023-01-25,145.22,147.91,144.83,147.78,147.78,872742,0.0000,1.0
2023-01-24,148.43,148.43,145.5,145.98,145.98,940289,0.0000,1.0
2023-01-23,147.87,148.46,146.99,148.1,148.1,652251,0.0000,1.0
2023-01-20,145.97,147.59,145.29,147.38,147.38,848606,0.0000,1.0
2023-01-19,146.26,146.69,145.25,145.39,145.39,1192613,0.0000,1.0
2023-01-18,149.69,149.87,146.01,146.48,146.48,811975,0.0000,1.0
2023-01-17,148.98,149.92,148.535,149.01,149.01,729599,0.0000,1.0
2023-01-13,147.85,149.93,147.26,149.8,149.8,649843,0.0000,1.0
2023-01-12,150.15,150.72,148.22,148.7,148.7,1287230,0.0000,1.0
2023-01-11,150.81,152.08,149.01,149.65,149.65,1427390,0.0000,1.0
2023-01-10,148.39,150.7,148.11,150.31,150.31,1507558,0.0000,1.0
2023-01-09,146.0,148.45,145.9325,148.1,148.1,1438419,1.2100,1.0
2023-01-06,144.49,147.32,144.38,146.98,145.788882191414,1431018,0.0000,1.0
2023-01-05,143.44,144.85,142.03,144.3,143.130600763512,1328813,0.0000,1.0
2023-01-04,140.5,143.56,139.84,143.03,141.870892773424,1229491,0.0000,1.0
2023-01-03,139.74,140.18,137.93,139.96,138.825771884,1229716,0.0000,1.0
2022-12-30,139.62,139.74,137.48,138.33,137.208981314045,800155,0.0000,1.0
2022-12-29,139.59,140.41,139.15,140.08,138.944799410622,675616,0.0000,1.0
2022-12-28,138.2,139.77,137.95,138.82,137.695010381086,911587,0.0000,1.0
2022-12-27,138.94,139.2,137.19,137.74,136.623762641484,813023,0.0000,1.0
2022-12-23,137.38,139.35,136.33,138.84,137.71484830219,659251,0.0000,1.0
2022-12-22,137.82,138.19,136.21,137.31,136.197247337754,840476,0.0000,1.0
2022-12-21,140.6,140.94,138.51,138.55,137.427198446186,990514,0.0000,1.0
2022-12-20,138.26,140.39,138.1,139.72,138.587716830755,1380690,0.0000,1.0
2022-12-19,140.07,140.71,137.5105,138.45,137.328008840667,1901547,0.0000,1.0
2022-12-16,132.06,140.7,131.9,139.9,138.766258120688,3701101,0.0000,1.0
2022-12-15,142.98,143.355,140.9,142.86,141.702270444043,1586965,0.0000,1.0
2022-12-14,147.4,147.5,142.5,143.95,142.783437144197,1289422,0.0000,1.0
2022-12-13,147.5,148.15,143.68,145.03,143.854684883799,1432203,0.0000,1.0
2022-12-12,142.8,144.53,140.5,144.49,143.319061013998,1371752,0.0000,1.0
2022-12-09,143.28,144.32,142.44,142.57,141.414620588038,974285,0.0000,1.0
2022-12-08,143.43,144.49,142.68,143.77,142.604895854263,1263438,0.0000,1.0
2022-12-07,142.79,144.62,142.08,142.21,141.057538008171,798106,0.0000,1.0
2022-12-06,143.61,144.555,141.66,142.86,141.702270444043,1167947,0.0000,1.0
2022-12-05,144.12,144.42,142.76,143.54,142.37675976157,929420,0.0000,1.0
2022-12-02,143.97,146.25,143.0911,145.48,144.301038108633,863540,0.0000,1.0
2022-12-01,147.59,148.01,145.52,145.65,144.469660438015,1058151,0.0000,1.0
2022-11-30,145.27,147.42,143.75,146.99,145.798801151966,1521226,0.0000,1.0
2022-11-29,144.55,146.33,144.31,144.96,143.785252159936,1179573,0.0000,1.0
2022-11-28,147.82,149.1185,146.795,146.82,145.630178822584,769417,0.0000,1.0
2022-11-25,148.58,149.035,147.58,148.39,147.187455629228,335996,0.0000,1.0
2022-11-23,148.01,148.73,147.285,148.33,147.127941865917,528615,0.0000,1.0
2022-11-22,147.21,148.36,146.36,147.99,146.790697207153,839021,0.0000,1.0
2022-11-21,147.08,148.07,146.045,146.7,145.511151295961,989284,0.0000,1.0
2022-11-18,148.5,149.8,145.7355,147.14,145.947585560244,994801,0.0000,1.0
2022-11-17,144.24,146.99,144.01,146.05,144.86641886009,919897,0.0000,1.0
2022-11-16,141.98,145.48,141.12,145.43,144.251443305874,1446794,0.0000,1.0
2022-11-15,145.06,145.29,142.73,143.1,141.940325497288,884682,0.0000,1.0
2022-11-14,140.69,143.34,139.67,142.53,141.374944745831,1604177,0.0000,1.0
2022-11-11,146.31,146.31,139.51,141.16,140.016047150224,1450005,0.0000,1.0
2022-11-10,143.83,145.77,142.48,145.33,144.152253700355,1294232,0.0000,1.0
2022-11-09,139.25,140.55,138.58,139.65,138.518284106892,945746,0.0000,1.0
2022-11-08,140.77,141.4299,138.58,140.14,139.004313173933,859893,0.0000,1.0
2022-11-07,141.99,141.99,137.78,139.84,138.706744357377,1071927,0.0000,1.0
2022-11-04,142.38,142.59,139.4,141.34,140.194588440158,884828,0.0000,1.0
2022-11-03,138.67,140.48,137.25,139.47,138.339742816958,930818,0.0000,1.0
2022-11-02,142.75,143.37,139.55,139.71,138.577797870203,1258239,0.0000,1.0
2022-11-01,144.31,144.435,141.02,143.04,141.880811733976,1009401,0.0000,1.0
2022-10-31,141.76,144.16,140.6629,143.14,141.980001339495,1085628,0.0000,1.0
2022-10-28,140.73,142.61,138.98,142.49,141.335268903623,1326420,0.0000,1.0
2022-10-27,139.72,141.92,139.277,140.73,139.589531846494,1254114,0.0000,1.0
2022-10-26,136.25,141.37,136.14,138.52,137.39744156453,1791703,0.0000,1.0
2022-10-25,134.25,136.02,133.675,135.97,134.868106623803,1708757,0.0000,1.0
2022-10-24,133.5,135.185,132.22,134.0,132.914071395084,1271234,0.0000,1.0
2022-10-21,132.2,133.8,131.33,133.32,132.239582077557,1610155,0.0000,1.0
2022-10-20,132.64,134.1,131.54,132.23,131.158415377403,997637,0.0000,1.0
2022-10-19,132.99,134.3554,132.4,133.0,131.922175339897,1227564,0.0000,1.0
2022-10-18,134.06,134.645,132.55,133.44,132.358609604179,1200399,0.0000,1.0
2022-10-17,131.88,132.8999,131.37,131.94,130.870765521398,798161,0.0000,1.0
2022-10-14,133.98,134.405,129.81,130.02,128.966325095439,932750,0.0000,1.0
2022-10-13,127.7,133.59,126.69,132.97,131.892418458241,996451,0.0000,1.0
2022-10-12,127.79,131.03,126.975,130.26,129.204380148684,1023521,0.0000,1.0
2022-10-11,126.99,129.985,125.1701,128.53,127.48839997321,1236514,0.0000,1.0
2022-10-10,125.76,127.21,124.82,126.67,125.643473310562,1093741,0.0000,1.0
2022-10-07,128.11,128.44,124.6,125.69,124.671415176478,1211735,0.0000,1.0
2022-10-06,132.47,133.45,129.31,129.51,128.460458107294,1542146,1.2100,1.0
2022-10-05,130.65,133.59,130.54,133.1,130.799318957166,1500265,0.0000,1.0
2022-10-04,128.01,132.31,127.9189,132.22,129.934530071499,1769875,0.0000,1.0
2022-10-03,127.07,127.145,123.43,125.41,123.242243354006,2312506,0.0000,1.0
2022-09-30,128.34,128.6362,126.03,126.32,124.136513678957,2138656,0.0000,1.0
2022-09-29,126.61,130.06,125.03,129.32,127.084657607368,2073546,0.0000,1.0
