timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,49.6,50.0,48.83,49.16,49.16,3387436,0.0000,1.0
2023-02-07,49.77,50.37,49.07,50.17,50.17,3538095,0.0000,1.0
2023-02-06,50.03,50.4,49.65,49.98,49.98,3141564,0.0000,1.0
2023-02-03,50.31,51.305,50.11,50.66,50.66,3808211,0.0000,1.0
2023-02-02,50.75,52.23,50.69,51.66,51.66,6390040,0.0000,1.0
2023-02-01,49.26,50.745,48.69,50.4,50.4,4565178,0.0000,1.0
2023-01-31,48.91,49.55,48.795,49.5,49.5,4325298,0.0000,1.0
2023-01-30,48.32,49.885,48.31,48.89,48.89,4066947,0.0000,1.0
2023-01-27,48.97,49.7,48.88,49.0,49.0,3901451,0.0000,1.0
2023-01-26,49.46,49.47,48.16,49.16,49.16,4153264,0.0000,1.0
2023-01-25,46.47,49.07,46.32,48.93,48.93,5955908,0.0000,1.0
2023-01-24,47.28,47.42,46.505,46.69,46.69,4864449,0.0000,1.0
2023-01-23,46.94,47.835,46.57,47.66,47.66,3254721,0.0000,1.0
2023-01-20,45.76,46.73,45.54,46.66,46.66,3435122,0.0000,1.0
2023-01-19,45.645,45.93,44.94,45.54,45.54,5616290,0.0000,1.0
2023-01-18,47.0,47.395,45.955,45.98,45.98,3429481,0.0000,1.0
2023-01-17,46.23,47.1099,46.05,46.77,46.77,5214306,0.0000,1.0
2023-01-13,45.72,46.3,45.44,46.26,46.26,3128399,0.0000,1.0
2023-01-12,46.73,46.8,45.82,46.43,46.43,3812232,0.0000,1.0
2023-01-11,45.69,46.685,45.515,46.61,46.61,5456873,0.0000,1.0
2023-01-10,43.32,45.13,43.32,45.09,45.09,4432615,0.0000,1.0
2023-01-09,44.76,45.44,43.44,43.52,43.52,7096351,0.0000,1.0
2023-01-06,43.62,45.45,43.06,45.11,45.11,5293773,0.0000,1.0
2023-01-05,43.01,43.36,42.53,43.1,43.1,3748136,0.0000,1.0
2023-01-04,42.79,43.34,42.28,43.09,43.09,3743475,0.0000,1.0
2023-01-03,42.078,42.6612,41.54,42.15,42.15,4494932,0.0000,1.0
2022-12-30,41.24,41.49,40.98,41.47,41.47,4430386,0.0000,1.0
2022-12-29,40.27,41.92,40.07,41.82,41.82,6385433,0.0000,1.0
