timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,151.5,152.18,150.83,151.22,151.22,900623,0.0000,1.0
2023-02-07,150.73,152.87,149.93,152.29,152.29,1140545,0.0000,1.0
2023-02-06,152.29,153.0,151.28,151.69,151.69,889975,0.0000,1.0
2023-02-03,156.405,157.665,152.86,153.29,153.29,1129811,0.0000,1.0
2023-02-02,156.9,159.57,156.07,159.32,159.32,1653630,0.0000,1.0
2023-02-01,153.76,156.94,152.83,155.73,155.73,834130,0.0000,1.0
2023-01-31,151.06,154.9,150.57,154.83,154.83,1321136,0.0000,1.0
2023-01-30,152.04,152.84,150.29,150.46,150.46,758630,0.0000,1.0
2023-01-27,150.88,152.8,150.59,152.33,152.33,764140,0.0000,1.0
2023-01-26,151.24,152.52,150.235,151.85,151.85,968175,0.0000,1.0
2023-01-25,151.58,152.88,150.325,152.4,152.4,754311,0.0000,1.0
2023-01-24,153.7,154.8,152.11,153.67,153.67,699082,0.0000,1.0
2023-01-23,153.0,155.17,151.24,154.29,154.29,1182511,0.0000,1.0
2023-01-20,148.94,152.96,147.74,152.88,152.88,1277937,0.0000,1.0
2023-01-19,149.16,149.373,147.02,148.6,148.6,1134194,0.0000,1.0
2023-01-18,154.01,154.56,150.21,150.35,150.35,1048738,0.0000,1.0
2023-01-17,154.89,155.01,151.29,153.2,153.2,1754710,0.0000,1.0
2023-01-13,151.61,154.71,151.53,154.43,154.43,728148,0.0000,1.0
2023-01-12,155.0,155.12,152.845,153.38,153.38,854283,0.0000,1.0
2023-01-11,153.93,154.85,152.71,154.25,154.25,1039229,0.0000,1.0
2023-01-10,150.35,152.29,148.82,152.2,152.2,1049710,0.0000,1.0
2023-01-09,147.97,153.33,147.8,150.22,150.22,1043434,0.0000,1.0
2023-01-06,146.64,149.56,145.35,149.46,149.46,1023006,0.0000,1.0
2023-01-05,147.81,148.24,144.29,144.83,144.83,995833,0.0000,1.0
2023-01-04,149.5,150.44,148.36,149.76,149.76,905618,0.0000,1.0
2023-01-03,147.05,147.93,145.29,147.21,147.21,1069230,0.0000,1.0
2022-12-30,146.67,147.23,143.945,145.56,145.56,828132,0.0000,1.0
2022-12-29,145.01,148.11,144.03,147.71,147.71,896359,0.0000,1.0
2022-12-28,145.93,147.2,143.46,143.8,143.8,714644,0.0000,1.0
2022-12-27,144.69,146.71,143.58,145.45,145.45,787447,0.0000,1.0
2022-12-23,142.65,144.77,142.19,144.54,144.54,1025052,0.0000,1.0
2022-12-22,142.86,143.24,140.61,143.05,143.05,1019844,0.0000,1.0
2022-12-21,144.33,145.22,143.14,144.3,144.3,1039243,0.0000,1.0
2022-12-20,141.27,143.135,140.13,142.84,142.84,1340693,0.0000,1.0
2022-12-19,142.7,143.7,140.47,141.21,141.21,1141340,0.5300,1.0
2022-12-16,143.5,144.88,141.59,144.05,143.511362353605,2270479,0.0000,1.0
2022-12-15,147.75,148.12,144.96,145.34,144.796538732891,1375955,0.0000,1.0
2022-12-14,151.39,153.32,149.0,150.44,149.877468604487,1148651,0.0000,1.0
2022-12-13,155.98,157.18,151.45,152.72,152.148943135318,1073905,0.0000,1.0
2022-12-12,150.8,151.1,148.93,150.51,149.947206857627,1511120,0.0000,1.0
2022-12-09,151.73,152.76,150.3,150.35,149.787805136165,1282269,0.0000,1.0
2022-12-08,148.55,150.05,148.12,149.17,148.612217440384,1059485,0.0000,1.0
2022-12-07,147.92,149.5,147.49,147.97,147.41670452942,1210241,0.0000,1.0
2022-12-06,150.99,151.25,147.31,148.43,147.874984478623,1268458,0.0000,1.0
2022-12-05,149.23,151.58,149.055,150.45,149.887431212078,1083010,0.0000,1.0
2022-12-02,148.25,152.22,147.48,151.36,150.794028502893,1703557,0.0000,1.0
2022-12-01,151.68,153.53,150.28,151.94,151.371859743192,1593577,0.0000,1.0
2022-11-30,145.05,150.61,143.48,149.83,149.269749541414,4355042,0.0000,1.0
2022-11-29,144.99,146.09,144.34,144.91,144.368146606463,1059344,0.0000,1.0
2022-11-28,147.99,148.77,145.38,145.48,144.93601523917,1200486,0.0000,1.0
2022-11-25,149.7,150.1,148.69,148.95,148.393040073374,553353,0.0000,1.0
2022-11-23,149.1,150.06,148.47,150.06,149.498889516015,1274244,0.0000,1.0
