timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,92.91,92.93,91.09,91.77,91.77,1373721,0.0000,1.0
2023-02-07,93.01,93.48,92.4,93.25,93.25,1388635,0.0000,1.0
2023-02-06,92.66,93.66,92.36,93.55,93.55,1370371,0.0000,1.0
2023-02-03,94.9,94.97,91.89,92.93,92.93,1741844,0.0000,1.0
2023-02-02,95.31,96.16,94.5,95.16,95.16,1625642,0.0000,1.0
2023-02-01,94.9,96.0,94.5075,95.45,95.45,1557633,0.0000,1.0
2023-01-31,95.31,95.48,93.94,95.31,95.31,3663630,0.0000,1.0
2023-01-30,94.91,96.0,94.73,95.05,95.05,1161669,0.0000,1.0
2023-01-27,94.79,95.37,94.23,94.91,94.91,952273,0.0000,1.0
2023-01-26,94.22,94.91,93.84,94.88,94.88,1276147,0.0000,1.0
2023-01-25,93.47,94.47,92.901,94.45,94.45,1190063,0.0000,1.0
2023-01-24,93.5,94.39,92.73,94.05,94.05,1176244,0.0000,1.0
2023-01-23,93.63,94.61,92.9511,93.55,93.55,1440539,0.0000,1.0
2023-01-20,92.56,93.84,91.4,93.79,93.79,2507506,0.0000,1.0
2023-01-19,93.4,93.49,92.17,92.48,92.48,1416862,0.0000,1.0
2023-01-18,95.66,95.95,93.06,93.34,93.34,1808409,0.0000,1.0
2023-01-17,96.57,96.87,95.29,95.49,95.49,2496205,0.0000,1.0
2023-01-13,96.94,96.98,96.1,96.49,96.49,1236329,0.0000,1.0
2023-01-12,98.79,98.94,97.4,97.53,97.53,1236961,0.0000,1.0
2023-01-11,98.14,99.06,98.07,98.61,98.61,1612051,0.0000,1.0
2023-01-10,97.99,98.3,97.065,98.09,98.09,1259940,0.0000,1.0
2023-01-09,96.81,98.65,96.2926,97.72,97.72,1471365,0.0000,1.0
2023-01-06,96.27,98.07,96.02,97.83,97.83,1414461,0.0000,1.0
2023-01-05,95.89,96.3825,94.43,95.29,95.29,1891605,0.0000,1.0
2023-01-04,96.24,97.435,95.943,96.59,96.59,1878466,0.0000,1.0
2023-01-03,95.46,96.37,93.93,95.76,95.76,2098422,0.0000,1.0
2022-12-30,96.62,96.75,94.545,95.31,95.31,1224392,0.0000,1.0
2022-12-29,96.48,97.26,96.115,96.49,96.49,1193906,0.0000,1.0
2022-12-28,96.81,97.02,95.82,95.97,95.97,1318181,0.0000,1.0
2022-12-27,96.04,96.84,95.78,96.55,96.55,1352000,0.0000,1.0
2022-12-23,95.08,96.01,95.08,95.85,95.85,1278545,0.0000,1.0
2022-12-22,95.63,95.63,93.7723,95.16,95.16,1050025,0.0000,1.0
2022-12-21,95.0,95.74,94.65,95.72,95.72,1521070,0.0000,1.0
2022-12-20,94.83,95.52,94.07,94.59,94.59,1846802,0.0000,1.0
2022-12-19,95.11,96.33,94.37,94.85,94.85,1347972,0.0000,1.0
2022-12-16,96.02,96.66,94.24,95.17,95.17,3946595,0.0000,1.0
2022-12-15,97.91,98.4499,96.56,96.98,96.98,1865509,0.0000,1.0
2022-12-14,98.53,99.97,97.75,98.44,98.44,1983823,0.0000,1.0
2022-12-13,99.49,99.78,97.43,98.51,98.51,1396347,0.0000,1.0
2022-12-12,97.18,98.355,96.55,98.35,98.35,1225465,0.0000,1.0
2022-12-09,97.01,97.605,96.44,96.53,96.53,1485369,0.0000,1.0
2022-12-08,96.51,97.64,96.31,97.59,97.59,1005855,0.0000,1.0
2022-12-07,97.34,98.39,96.41,96.59,96.59,1368265,0.0000,1.0
2022-12-06,97.44,97.99,96.555,97.56,97.56,1600929,0.0000,1.0
2022-12-05,96.53,97.65,96.4,97.37,97.37,1521585,0.0000,1.0
2022-12-02,97.26,97.71,96.7,97.35,97.35,1719742,0.0000,1.0
2022-12-01,98.6,99.59,97.61,97.85,97.85,1850468,0.0000,1.0
2022-11-30,96.19,98.53,95.78,98.04,98.04,4302722,0.0000,1.0
2022-11-29,96.11,96.39,95.42,96.3,96.3,1342073,0.0000,1.0
2022-11-28,97.01,97.5,95.92,96.54,96.54,1596888,0.0000,1.0
2022-11-25,97.03,97.6432,96.67,97.5,97.5,830009,0.0000,1.0
2022-11-23,95.06,96.84,94.75,96.67,96.67,1957878,0.0000,1.0
2022-11-22,94.52,95.81,94.34,95.22,95.22,2231613,0.0000,1.0
2022-11-21,93.73,94.8,93.53,94.15,94.15,1171989,0.0000,1.0
2022-11-18,91.66,93.57,91.66,93.53,93.53,1959767,0.0000,1.0
2022-11-17,90.59,91.24,90.14,90.81,90.81,1752089,0.0000,1.0
2022-11-16,90.0,92.53,90.0,91.34,91.34,3049295,0.0000,1.0
2022-11-15,88.99,89.93,88.83,89.7,89.7,2197243,0.7900,1.0
2022-11-14,89.42,91.03,89.33,89.33,88.5501270858658,1845517,0.0000,1.0
2022-11-11,90.82,91.01,88.15,89.12,88.3419604376174,2556788,0.0000,1.0
2022-11-10,89.79,91.17,88.47,90.95,90.1559840866394,1711882,0.0000,1.0
2022-11-09,88.27,89.1,87.43,87.67,86.9046192949497,1624017,0.0000,1.0
2022-11-08,88.15,89.13,87.76,88.29,87.5192065421594,1277066,0.0000,1.0
2022-11-07,89.95,90.03,86.99,87.65,86.8847938998784,1600268,0.0000,1.0
2022-11-04,88.53,90.13,87.705,90.04,89.2539286108962,1969655,0.0000,1.0
2022-11-03,87.82,89.34,86.95,88.73,87.9553652337275,1583275,0.0000,1.0
2022-11-02,87.86,90.0,87.81,88.21,87.4399049618742,1689289,0.0000,1.0
2022-11-01,88.02,88.33,86.96,88.02,87.2515637086971,1261693,0.0000,1.0
2022-10-31,88.45,88.905,87.63,87.96,87.1920875234833,2381395,0.0000,1.0
2022-10-28,86.76,88.49,86.76,88.45,87.6778097027296,1605174,0.0000,1.0
2022-10-27,86.35,87.6,86.05,86.42,85.6655321029948,1586752,0.0000,1.0
2022-10-26,86.38,86.88,85.49,85.74,84.9914686705713,1941216,0.0000,1.0
2022-10-25,84.72,86.11,84.52,85.85,85.1005083434634,1535397,0.0000,1.0
2022-10-24,85.47,86.12,84.335,84.69,83.9506354293292,1595862,0.0000,1.0
2022-10-21,83.77,85.41,82.71,84.87,84.1290639849707,2417690,0.0000,1.0
2022-10-20,84.35,84.46,83.02,83.42,82.691722842303,2384584,0.0000,1.0
2022-10-19,83.97,84.79,83.3,84.54,83.8019449662946,1455921,0.0000,1.0
2022-10-18,84.07,85.075,83.82,85.0,84.257929052934,1647613,0.0000,1.0
2022-10-17,83.03,84.49,82.82,83.02,82.2952149408774,1667961,0.0000,1.0
2022-10-14,83.25,83.26,81.27,81.91,81.1949055144215,3156458,0.0000,1.0
2022-10-13,78.76,82.39,78.1,82.15,81.4328102552768,1948960,0.0000,1.0
2022-10-12,81.22,81.395,79.41,79.47,78.7762073157255,1999152,0.0000,1.0
2022-10-11,81.48,82.43,81.05,81.6,80.8876118908167,1955992,0.0000,1.0
2022-10-10,81.58,82.62,81.29,81.49,80.7785722179246,1458393,0.0000,1.0
2022-10-07,84.14,84.29,81.18,81.58,80.8677864957454,1855832,0.0000,1.0
2022-10-06,85.92,86.17,83.77,84.0,83.2666592993701,1887183,0.0000,1.0
2022-10-05,88.02,88.05,85.53,86.3,85.5465797325671,1808903,0.0000,1.0
2022-10-04,87.77,89.195,87.19,89.11,88.3320477400818,1768003,0.0000,1.0
2022-10-03,87.26,89.42,86.92,87.66,86.8947065974141,2289773,0.0000,1.0
2022-09-30,88.15,88.54,85.445,85.76,85.0112940656426,3118382,0.0000,1.0
2022-09-29,90.41,90.56,87.2,87.66,86.8947065974141,2057785,0.0000,1.0
2022-09-28,91.88,91.88,90.28,90.82,90.0271190186761,2224452,0.0000,1.0
2022-09-27,93.56,93.815,90.61,90.77,89.9775555309979,2319304,0.0000,1.0
2022-09-26,95.11,95.28,92.28,93.17,92.3566029395513,1652474,0.0000,1.0
2022-09-23,95.46,96.07,94.27,95.47,94.6365233727484,1206334,0.0000,1.0
2022-09-22,96.02,96.93,95.23,96.42,95.5782296386341,868981,0.0000,1.0
2022-09-21,97.99,99.07,96.2,96.24,95.3998010829926,955661,0.0000,1.0
2022-09-20,97.83,97.84,96.48,97.37,96.5199359045198,865771,0.0000,1.0
2022-09-19,97.15,98.52,96.65,98.47,97.6103326334402,951819,0.0000,1.0
2022-09-16,97.88,98.3733,97.24,97.41,96.5595866946624,2872301,0.0000,1.0
2022-09-15,99.59,99.59,97.31,97.64,96.7875787379821,1302298,0.0000,1.0
2022-09-14,98.78,100.76,98.75,99.97,99.097237263786,1476724,0.0000,1.0
2022-09-13,101.12,101.39,98.33,98.82,97.9572770471875,1562606,0.0000,1.0
2022-09-12,100.97,102.21,100.59,101.92,101.030213283236,1387804,0.0000,1.0
2022-09-09,101.22,101.47,99.98,100.85,99.9695546469223,1146393,0.0000,1.0
2022-09-08,101.0,101.5,100.28,100.66,99.7812133937452,1252635,0.0000,1.0
2022-09-07,98.32,101.45,98.225,101.23,100.346237153277,1685798,0.0000,1.0
2022-09-06,98.58,99.29,97.5,97.75,96.8966184108741,1264274,0.0000,1.0
2022-09-02,99.84,100.6,98.2,98.48,97.6202453309758,1178265,0.0000,1.0
2022-09-01,97.78,99.62,97.58,99.44,98.5718642943972,1234781,0.0000,1.0
2022-08-31,98.36,99.36,97.73,97.74,96.8867057133385,1962953,0.0000,1.0
2022-08-30,99.05,99.46,97.91,98.3,97.4418167753343,1185403,0.0000,1.0
2022-08-29,98.19,99.81,97.44,99.21,98.3438722510775,1017222,0.0000,1.0
2022-08-26,99.46,99.7,98.33,98.53,97.669808818654,1098603,0.0000,1.0
2022-08-25,98.89,99.55,98.23,99.46,98.5916896894684,1109714,0.0000,1.0
2022-08-24,98.56,98.96,97.94,98.88,98.0167532324014,1007928,0.0000,1.0
2022-08-23,99.57,99.75,98.34,98.76,97.8978008619737,930396,0.0000,1.0
2022-08-22,100.25,100.6,99.2,99.41,98.5421262017902,1597895,0.0000,1.0
2022-08-19,101.23,101.57,100.31,100.55,99.6721737208531,1179186,0.0000,1.0
2022-08-18,100.79,101.31,100.5,100.93,100.048856227207,950797,0.0000,1.0
2022-08-17,99.64,100.86,99.59,100.58,99.70191181346,1002040,0.0000,1.0
