timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,476.43,485.2,475.01,483.54,483.54,1010642,0.0000,1.0
2023-02-07,475.6,478.03,470.28,477.87,477.87,1007775,0.0000,1.0
2023-02-06,480.5,484.23,477.71,478.67,478.67,977723,0.0000,1.0
2023-02-03,481.19,487.24,476.44,477.71,477.71,1171978,0.0000,1.0
2023-02-02,491.83,493.675,472.95,480.41,480.41,1704755,0.0000,1.0
2023-02-01,499.01,503.705,493.325,498.77,498.77,1242550,0.0000,1.0
2023-01-31,492.0,508.78,490.5,499.99,499.99,1293885,0.0000,1.0
2023-01-30,491.81,496.68,488.62,489.08,489.08,818109,0.0000,1.0
2023-01-27,503.18,504.49,489.13,492.53,492.53,1145335,0.0000,1.0
2023-01-26,499.87,504.78,490.08,502.19,502.19,1267934,0.0000,1.0
2023-01-25,483.0,499.88,480.45,495.59,495.59,2059549,0.0000,1.0
2023-01-24,479.9,482.0,474.75,478.52,478.52,1269728,0.0000,1.0
2023-01-23,480.89,484.25,476.67,477.94,477.94,926235,0.0000,1.0
2023-01-20,480.6,482.0,472.685,479.49,479.49,987615,0.0000,1.0
2023-01-19,475.36,482.0,473.61,480.22,480.22,941039,0.0000,1.0
2023-01-18,481.98,486.3171,471.095,471.71,471.71,1003603,0.0000,1.0
2023-01-17,484.25,488.0,479.36,480.96,480.96,967802,0.0000,1.0
2023-01-13,473.17,489.62,471.45,483.0,483.0,1007919,0.0000,1.0
2023-01-12,478.11,483.91,474.57,477.08,477.08,1386602,0.0000,1.0
2023-01-11,470.67,483.52,470.67,480.54,480.54,1240233,0.0000,1.0
2023-01-10,472.23,473.96,467.975,470.68,470.68,855297,0.0000,1.0
2023-01-09,476.96,482.79,469.69,470.71,470.71,1254681,0.0000,1.0
2023-01-06,474.73,477.93,464.64,475.48,475.48,2329434,0.0000,1.0
2023-01-05,484.99,484.99,471.03,473.0,473.0,1845502,0.0000,1.0
2023-01-04,502.33,505.0,483.7,485.44,485.44,1632492,0.0000,1.0
2023-01-03,508.68,511.97,493.53,502.2,502.2,1075617,0.0000,1.0
2022-12-30,512.95,514.06,508.456,512.97,512.97,468241,0.0000,1.0
2022-12-29,515.58,515.58,511.29,512.88,512.88,301746,0.0000,1.0
2022-12-28,516.92,521.86,511.45,512.68,512.68,576877,0.0000,1.0
2022-12-27,516.8,520.0,513.57,514.21,514.21,641532,0.0000,1.0
2022-12-23,510.0,514.93,506.26,514.29,514.29,710991,0.0000,1.0
2022-12-22,511.96,514.1,504.825,510.06,510.06,652403,0.0000,1.0
2022-12-21,507.97,511.28,495.26,510.84,510.84,721345,0.0000,1.0
2022-12-20,505.14,506.12,499.83,504.65,504.65,674973,0.0000,1.0
2022-12-19,501.72,507.53,499.16,502.89,502.89,783041,0.0000,1.0
2022-12-16,504.46,506.56,491.5,502.05,502.05,2903792,0.0000,1.0
2022-12-15,516.14,516.17,505.9,508.98,508.98,1250238,0.0000,1.0
2022-12-14,521.16,523.11,514.74,520.15,520.15,874362,0.0000,1.0
2022-12-13,539.98,544.01,517.82,519.32,519.32,1059362,0.0000,1.0
2022-12-12,526.79,534.5,525.52,534.18,534.18,769513,0.0000,1.0
2022-12-09,529.11,532.08,524.0,524.92,524.92,873250,0.0000,1.0
2022-12-08,531.86,533.71,528.045,529.12,529.12,604502,0.0000,1.0
2022-12-07,528.6,534.82,528.21,529.9,529.9,1634326,0.0000,1.0
2022-12-06,523.45,530.26,523.34,528.4,528.4,1380623,0.0000,1.0
2022-12-05,517.25,525.59,517.05,522.34,522.34,714111,0.0000,1.0
2022-12-02,522.28,527.735,521.7701,523.6,523.6,630287,1.2800,1.0
2022-12-01,535.47,537.08,524.12,525.25,523.969097698522,900743,0.0000,1.0
2022-11-30,516.83,533.23,514.262,532.92,531.620393232739,2586453,0.0000,1.0
2022-11-29,513.86,517.55,511.1,515.36,514.103215973175,894344,0.0000,1.0
2022-11-28,510.97,516.58,510.665,512.78,511.529507696997,722452,0.0000,1.0
2022-11-25,509.67,514.73,508.36,513.86,512.606873952142,464048,0.0000,1.0
2022-11-23,506.22,511.83,506.06,507.16,505.923212924859,656499,0.0000,1.0
2022-11-22,504.3,508.665,504.26,505.06,503.828334095412,955552,0.0000,1.0
2022-11-21,494.79,502.67,494.0301,499.91,498.690893156531,1460466,0.0000,1.0
2022-11-18,483.49,497.24,481.19,495.32,494.112086572169,1585886,0.0000,1.0
2022-11-17,474.56,485.63,474.25,477.01,475.846738302088,1868390,0.0000,1.0
2022-11-16,481.6,488.58,474.5,476.14,474.978859929889,1862088,0.0000,1.0
2022-11-15,493.58,494.35,477.92,479.01,477.841860996799,1922502,0.0000,1.0
2022-11-14,494.82,499.505,490.31,490.8,489.603109282122,1344514,0.0000,1.0
2022-11-11,518.93,519.445,480.65,491.36,490.161743636641,2411501,0.0000,1.0
2022-11-10,530.56,533.0,509.88,521.88,520.607315957933,969482,0.0000,1.0
2022-11-09,527.38,532.11,519.48,520.0,518.731900624905,873522,0.0000,1.0
2022-11-08,532.32,537.37,524.57,530.31,529.016758116141,1262124,0.0000,1.0
2022-11-07,517.57,531.23,517.48,528.46,527.171269623533,1041929,0.0000,1.0
2022-11-04,532.66,536.96,519.61,526.66,525.375659198293,1109102,0.0000,1.0
2022-11-03,536.57,540.27,532.06,533.86,532.558100899253,735014,0.0000,1.0
2022-11-02,542.34,547.74,537.86,538.12,536.807712238988,1053628,0.0000,1.0
2022-11-01,545.0,548.045,538.16,544.53,543.202080475537,918533,0.0000,1.0
2022-10-31,539.53,549.52,538.9,546.77,545.436617893614,1131704,0.0000,1.0
2022-10-28,536.17,545.18,529.68,543.65,542.324226489864,777225,0.0000,1.0
2022-10-27,534.06,536.34,528.87,531.62,530.323563481177,904621,0.0000,1.0
2022-10-26,528.63,540.34,527.04,533.57,532.26880810852,1278598,0.0000,1.0
2022-10-25,524.31,529.25,518.25,523.95,522.672267946959,1411394,0.0000,1.0
2022-10-24,515.24,528.99,514.58,526.5,525.216049382716,1502614,0.0000,1.0
2022-10-21,503.23,522.275,502.88,511.04,509.793750952599,1581762,0.0000,1.0
