timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,127.79,129.54,127.56,128.64,128.64,4105286,0.0000,1.0
2023-02-07,124.51,127.97,123.19,127.78,127.78,2524804,0.0000,1.0
2023-02-06,124.83,125.27,122.13,123.83,123.83,2486692,0.0000,1.0
2023-02-03,125.0,127.82,124.37,124.62,124.62,4205834,0.0000,1.0
2023-02-02,126.8,127.11,123.09,124.75,124.75,3928668,0.0000,1.0
2023-02-01,131.23,131.74,125.39,127.29,127.29,4991831,0.0000,1.0
2023-01-31,132.0,133.73,131.55,132.25,132.25,4043336,0.0000,1.0
2023-01-30,133.18,133.52,131.42,132.1,132.1,2927128,0.0000,1.0
2023-01-27,136.0,137.95,134.44,134.66,134.66,3035559,0.0000,1.0
2023-01-26,134.4,136.0,132.68,135.93,135.93,2617768,0.0000,1.0
2023-01-25,132.09,132.8,130.7838,132.5,132.5,2576336,0.0000,1.0
2023-01-24,134.0,134.86,132.38,132.76,132.76,2313141,0.0000,1.0
2023-01-23,133.5,135.03,133.26,134.18,134.18,2695188,0.0000,1.0
2023-01-20,131.35,133.45,130.68,132.75,132.75,2477026,0.0000,1.0
2023-01-19,128.97,131.9114,127.63,131.29,131.29,2449558,0.0000,1.0
2023-01-18,131.41,133.82,128.3,128.79,128.79,3737444,0.0000,1.0
2023-01-17,129.83,130.97,128.665,130.06,130.06,3127767,0.0000,1.0
2023-01-13,129.87,130.2,127.925,129.46,129.46,2111417,0.8250,1.0
2023-01-12,127.91,132.1026,127.6,130.45,129.623955175193,4005443,0.0000,1.0
2023-01-11,129.17,129.67,125.68,126.85,126.046751352803,2771179,0.0000,1.0
2023-01-10,128.61,128.69,126.09,127.61,126.801938826419,2575387,0.0000,1.0
2023-01-09,129.63,130.2,127.0631,127.75,126.941052308401,3160483,0.0000,1.0
2023-01-06,126.17,129.15,125.61,127.47,126.662825344437,2595724,0.0000,1.0
2023-01-05,124.15,125.74,123.83,124.38,123.592392063553,3560171,0.0000,1.0
2023-01-04,121.93,125.54,121.34,124.36,123.572518708984,2469850,0.0000,1.0
2023-01-03,128.0,129.27,122.89,124.45,123.661948804544,2994930,0.0000,1.0
2022-12-30,128.25,129.69,127.95,129.52,128.699844187742,2179412,0.0000,1.0
2022-12-29,126.72,129.2,126.5025,128.63,127.815479909429,1744672,0.0000,1.0
2022-12-28,131.51,131.83,126.86,127.4,126.593268603446,2490276,0.0000,1.0
2022-12-27,131.42,132.34,130.3,132.08,131.243633572553,2258077,0.0000,1.0
2022-12-23,127.48,130.71,127.48,130.61,129.782942011744,1678396,0.0000,1.0
2022-12-22,130.14,130.67,123.31,126.3,125.500234102161,3012228,0.0000,1.0
2022-12-21,129.41,130.44,127.31,130.01,129.186741374679,2687616,0.0000,1.0
2022-12-20,125.31,128.12,125.0,126.49,125.689030970565,2381131,0.0000,1.0
2022-12-19,126.84,127.845,124.48,125.53,124.735109951261,2410370,0.0000,1.0
2022-12-16,125.0,126.61,122.41,125.77,124.973590206087,13516580,0.0000,1.0
2022-12-15,123.59,126.7,123.59,126.63,125.828144452546,3565671,0.0000,1.0
2022-12-14,127.5,129.21,124.77,125.93,125.132577042637,3721750,1.5000,1.0
2022-12-13,127.85,128.99,126.31,127.46,125.162036175583,4376139,0.0000,1.0
2022-12-12,122.76,125.22,122.27,124.06,121.823334441729,4307658,0.0000,1.0
2022-12-09,125.11,126.36,121.41,121.67,119.47642351705,4152439,0.0000,1.0
2022-12-08,129.18,129.88,123.31,124.57,122.324139701807,4767395,0.0000,1.0
2022-12-07,128.13,129.73,125.19,126.16,123.885473747933,4510323,0.0000,1.0
2022-12-06,133.03,135.25,126.96,127.79,125.486086637987,5031872,0.0000,1.0
2022-12-05,141.92,142.49,132.4039,134.14,131.721603111507,3817532,0.0000,1.0
2022-12-02,139.39,141.88,137.71,138.97,136.464523515776,3932546,0.0000,1.0
2022-12-01,143.51,144.8199,140.28,140.54,138.006218139938,2956949,0.0000,1.0
2022-11-30,142.88,144.39,140.28,141.93,139.371157966425,4615031,0.0000,1.0
2022-11-29,139.03,141.62,138.24,141.29,138.742696463582,3974937,0.0000,1.0
2022-11-28,138.21,139.94,136.56,136.65,134.18635056797,3581459,0.0000,1.0
2022-11-25,142.92,144.91,142.44,142.64,140.068357446141,1430753,0.0000,1.0
2022-11-23,141.61,143.5,140.502,142.65,140.078177157123,2342067,0.0000,1.0
2022-11-22,142.0,144.605,140.58,144.32,141.718068891104,3386349,0.0000,1.0
2022-11-21,137.56,141.27,134.41,139.86,137.338477793167,4734705,0.0000,1.0
2022-11-18,140.86,141.235,138.41,141.02,138.47756426707,3567316,0.0000,1.0
2022-11-17,141.56,144.63,140.05,144.49,141.885003977797,2747603,0.0000,1.0
2022-11-16,145.66,146.85,142.93,143.45,140.863754035677,2505328,0.0000,1.0
2022-11-15,146.85,147.51,145.0901,147.3,144.644342763717,2785969,0.0000,1.0
2022-11-14,146.73,150.05,146.05,146.18,143.544535133742,2982885,0.0000,1.0
2022-11-11,145.31,148.14,144.49,147.11,144.457768255061,3072101,0.0000,1.0
2022-11-10,143.36,143.36,139.06,142.31,139.744306983738,2988113,0.0000,1.0
2022-11-09,145.76,146.42,139.41,139.62,137.102804729601,5018597,0.0000,1.0
2022-11-08,145.0,149.22,144.515,148.26,145.587035017982,3982466,0.0000,1.0
2022-11-07,142.78,146.29,141.33,145.94,143.308862070176,4494763,0.0000,1.0
2022-11-04,143.22,150.88,139.98,142.23,139.665749295882,8057535,0.0000,1.0
2022-11-03,134.62,138.9846,134.02,138.38,135.885160567842,5368048,0.0000,1.0
2022-11-02,135.41,138.71,134.36,135.59,133.145461203886,5642028,0.0000,1.0
2022-11-01,138.59,138.91,135.25,136.31,133.852480394584,3887467,0.0000,1.0
2022-10-31,132.5,138.92,132.36,136.52,134.058694325205,4138038,0.0000,1.0
2022-10-28,136.33,136.73,131.32,133.69,131.279716117321,3016580,0.0000,1.0
2022-10-27,136.0,137.0,134.07,134.37,131.947456464091,3300643,0.0000,1.0
2022-10-26,133.16,135.56,132.15,134.3,131.878718487218,3849023,0.0000,1.0
2022-10-25,133.86,134.27,131.835,132.0,129.620184961376,4173195,0.0000,1.0
2022-10-24,134.82,136.45,134.41,134.66,132.232228082567,4000912,0.0000,1.0
2022-10-21,132.5,135.87,131.62,135.0,132.566098255953,4237337,0.0000,1.0
2022-10-20,131.06,134.31,130.74,131.59,129.217576811117,3902354,0.0000,1.0
2022-10-19,125.0,130.93,124.305,130.07,127.724980741865,4718825,0.0000,1.0
2022-10-18,124.02,125.415,121.38,123.99,121.754596464856,4018016,0.0000,1.0
2022-10-17,122.66,123.93,120.65,120.9,118.720305771442,3558078,0.0000,1.0
2022-10-14,124.93,127.2917,120.5,120.57,118.396255309039,3231815,0.7500,1.0
2022-10-13,121.52,128.32,121.52,127.34,124.271176648969,2803842,0.0000,1.0
2022-10-12,121.7,124.76,120.2,123.46,120.484682496323,2540579,0.0000,1.0
2022-10-11,121.28,125.33,120.57,122.7,119.742998074671,3017708,0.0000,1.0
2022-10-10,127.45,129.2409,123.35,123.7,120.718898629476,2674280,0.0000,1.0
2022-10-07,128.07,130.315,126.28,127.45,124.378525709998,3655691,0.0000,1.0
2022-10-06,124.8,128.5,124.66,127.53,124.456597754383,5045692,0.0000,1.0
2022-10-05,125.07,127.37,123.14,126.08,123.041541949914,3967695,0.0000,1.0
2022-10-04,123.04,125.38,121.47,125.17,122.153472445041,3360365,0.0000,1.0
2022-10-03,116.92,120.69,116.56,119.93,117.039753537859,4243509,0.0000,1.0
2022-09-30,111.37,113.63,109.91,111.73,109.037368988451,3329314,0.0000,1.0
2022-09-29,110.65,113.28,108.5,112.97,110.24748567641,2966616,0.0000,1.0
2022-09-28,106.0,112.37,105.78,111.73,109.037368988451,4199055,0.0000,1.0
2022-09-27,107.0,107.51,104.89,105.45,102.908713504271,4404441,0.0000,1.0
2022-09-26,108.16,109.88,105.09,105.18,102.645220354473,4465390,0.0000,1.0
2022-09-23,113.51,113.73,107.88,109.12,106.490268540408,5139277,0.0000,1.0
2022-09-22,120.45,121.23,118.18,118.35,115.497830661265,3299810,0.0000,1.0
2022-09-21,121.89,122.88,118.2,118.24,115.390481600237,2540910,0.0000,1.0
2022-09-20,120.03,120.49,117.41,119.63,116.746983371417,2361634,0.0000,1.0
2022-09-19,117.23,121.25,117.0107,120.43,117.527703815261,2339211,0.0000,1.0
2022-09-16,122.82,122.98,118.6501,121.45,118.523122381163,5704392,0.0000,1.0
2022-09-15,124.37,125.82,122.4,122.56,119.606371996998,3534044,0.0000,1.0
2022-09-14,123.11,128.17,122.9,126.73,123.675877310538,3271764,1.5000,1.0
2022-09-13,124.41,127.07,122.52,122.91,118.544818531063,3021005,0.0000,1.0
2022-09-12,125.36,127.67,124.87,126.41,121.920515096507,3460183,0.0000,1.0
2022-09-09,120.88,124.1,120.8,123.36,118.978836660906,2841077,0.0000,1.0
2022-09-08,118.59,118.9,116.51,118.31,114.108188759337,3505489,0.0000,1.0
2022-09-07,117.0,118.86,115.56,117.18,113.018321011065,3785502,0.0000,1.0
2022-09-06,122.925,123.46,119.83,120.31,116.037158225305,2393307,0.0000,1.0
2022-09-02,122.34,123.2504,120.63,121.52,117.204184752215,2355867,0.0000,1.0
2022-09-01,119.55,119.775,117.13,118.71,114.49398265253,2685688,0.0000,1.0
2022-08-31,118.33,123.69,117.5701,121.3,116.991998110959,3538325,0.0000,1.0
2022-08-30,123.52,124.6,120.85,121.86,117.53210956143,3297030,0.0000,1.0
2022-08-29,124.5,129.09,123.84,126.57,122.074832653784,2669861,0.0000,1.0
2022-08-26,125.35,127.47,123.92,124.57,120.145863187816,2532731,0.0000,1.0
2022-08-25,125.12,125.86,123.22,125.22,120.772778264256,2904899,0.0000,1.0
2022-08-24,122.49,124.575,120.66,123.9,119.499658416717,3551598,0.0000,1.0
2022-08-23,121.58,123.9358,121.3234,121.78,117.454950782791,3191574,0.0000,1.0
2022-08-22,117.67,119.63,115.6756,118.9,114.677234751797,2943602,0.0000,1.0
2022-08-19,118.72,119.22,117.35,118.75,114.53256204185,3827558,0.0000,1.0
2022-08-18,115.02,119.03,114.76,118.99,114.764038377766,5001337,0.0000,1.0
2022-08-17,112.46,114.5,111.725,113.69,109.652269292951,2539431,0.0000,1.0
2022-08-16,113.3,114.33,110.14,112.41,108.417728834731,3105494,0.0000,1.0
2022-08-15,109.55,112.84,108.02,112.28,108.292345819443,2975478,0.0000,1.0
2022-08-12,112.65,114.75,111.89,114.49,110.423857079338,2323818,0.0000,1.0
2022-08-11,112.38,114.3,110.93,113.54,109.507596583003,3264350,0.0000,1.0
2022-08-10,108.17,109.66,105.53,108.99,105.119191047926,2718524,0.0000,1.0
2022-08-09,109.0,110.67,107.77,108.24,104.395827498188,2565636,0.0000,1.0
2022-08-08,107.07,108.79,106.64,107.19,103.383118528555,3128686,0.0000,1.0
2022-08-05,97.72,107.96,97.3938,107.01,103.209511276617,5736710,0.0000,1.0
2022-08-04,102.68,103.21,99.58,99.82,96.2748660464625,5765932,0.0000,1.0
2022-08-03,108.56,108.56,102.08,103.61,99.9302631844719,5654936,0.0000,1.0
2022-08-02,107.92,108.48,106.215,107.19,103.383118528555,3082914,0.0000,1.0
2022-08-01,109.0,109.39,106.27,107.58,103.759267574418,3623072,0.0000,1.0
2022-07-29,109.77,111.57,108.2,111.22,107.26999200248,6394758,0.0000,1.0
2022-07-28,109.24,109.98,105.31,107.39,103.576015475151,2766189,0.0000,1.0
2022-07-27,104.61,108.715,104.15,108.19,104.347603261539,3430800,0.0000,1.0
2022-07-26,106.96,107.83,102.39,103.75,100.06529104709,2865420,0.0000,1.0
2022-07-25,102.57,105.97,101.32,105.48,101.733849635152,3279585,0.0000,1.0
2022-07-22,103.63,104.75,100.155,101.0,97.4129580313837,2274046,0.0000,1.0
2022-07-21,102.16,103.6,101.3,103.56,99.8820389478227,4264155,0.0000,1.0
2022-07-20,102.59,106.24,101.2416,105.57,101.820653261121,3088771,0.0000,1.0
2022-07-19,99.25,103.69,99.22,103.62,99.9399080318017,3920855,0.0000,1.0
2022-07-18,99.75,101.28,98.67,99.53,95.9951654738972,3301843,0.0000,1.0
2022-07-15,97.63,97.7,95.33,97.28,93.8250748246832,3799380,0.0000,1.0
2022-07-14,94.69,95.66,92.16,95.12,91.7417878014378,5584543,0.7500,1.0
2022-07-13,98.19,102.26,97.7161,99.39,95.1102147656712,3719713,0.0000,1.0
2022-07-12,99.95,101.54,98.02,99.49,95.2059087135188,3873641,0.0000,1.0
2022-07-11,103.62,104.76,102.07,103.7,99.2346239179002,3409304,0.0000,1.0
2022-07-08,106.47,106.95,103.15,105.52,100.976253768725,2493983,0.0000,1.0
2022-07-07,103.27,106.0,102.85,105.07,100.545631003412,4605291,0.0000,1.0
2022-07-06,102.46,104.62,97.67,100.91,96.5647627729538,6749762,0.0000,1.0
2022-07-05,109.22,109.51,102.45,104.82,100.306396133793,5661049,0.0000,1.0
2022-07-01,111.87,112.75,107.75,111.62,106.813584587426,2781783,0.0000,1.0
2022-06-30,110.6,114.5,109.33,110.44,105.684396002825,5585788,0.0000,1.0
2022-06-29,120.39,121.35,112.96,113.22,108.344687752986,4806372,0.0000,1.0
2022-06-28,117.7,119.93,115.73,118.31,113.215509698426,4812676,0.0000,1.0
2022-06-27,112.65,115.2,112.02,113.76,108.861435071363,4957780,0.0000,1.0
2022-06-24,109.34,113.255,107.87,110.59,105.827936924596,11648740,0.0000,1.0
2022-06-23,111.95,112.48,104.96,107.17,102.55520390821,6254044,0.0000,1.0
2022-06-22,110.81,114.18,109.43,110.77,106.000186030721,4696919,0.0000,1.0
2022-06-21,114.55,118.38,114.51,117.65,112.583929642632,4368956,0.0000,1.0
2022-06-17,118.8,119.2,109.56,111.67,106.861431561349,13623170,0.0000,1.0
2022-06-16,123.99,125.05,118.56,119.56,114.41168404652,5865580,0.0000,1.0
2022-06-15,130.05,131.0171,125.0,127.46,121.971505926476,3821225,0.0000,1.0
2022-06-14,134.54,136.11,129.06,131.26,125.607875944683,4036517,1.8000,1.0
2022-06-13,138.19,139.57,130.15,132.73,125.296357839604,5685363,0.0000,1.0
2022-06-10,141.8,145.8,140.79,144.0,135.935173125164,5528920,0.0000,1.0
2022-06-09,145.02,146.23,142.24,142.49,134.509741795865,3007521,0.0000,1.0
2022-06-08,147.0,147.99,144.95,145.74,137.57772313376,3494781,0.0000,1.0
2022-06-07,140.75,146.26,140.72,145.93,137.757082042744,3354537,0.0000,1.0
2022-06-06,143.0,143.73,139.555,141.11,133.207029720082,3225015,0.0000,1.0
2022-06-03,140.09,143.27,139.78,142.48,134.500301853287,2665198,0.0000,1.0
2022-06-02,137.88,141.0,136.66,139.44,131.630559309534,2619833,0.0000,1.0
2022-06-01,139.84,141.63,137.4,139.93,132.093116495862,4390301,0.0000,1.0
2022-05-31,139.98,141.99,136.23,136.96,129.289453550156,7746301,0.0000,1.0
2022-05-27,132.73,136.94,132.02,136.85,129.185614181796,2940982,0.0000,1.0
2022-05-26,134.84,136.43,132.985,133.72,126.23091215484,3384165,0.0000,1.0
2022-05-25,130.51,133.46,129.52,133.07,125.617315887261,3879725,0.0000,1.0
2022-05-24,126.28,130.21,124.75,129.25,122.011257822413,3127162,0.0000,1.0
2022-05-23,124.28,128.27,122.42,128.07,120.897344598193,3344334,0.0000,1.0
2022-05-20,122.9,125.2,120.19,122.05,115.214499166154,3560007,0.0000,1.0
2022-05-19,120.25,124.5988,119.5804,121.7,114.88410117592,4586563,0.0000,1.0
2022-05-18,128.21,128.89,120.73,122.58,115.714816122796,4340655,0.0000,1.0
2022-05-17,128.03,129.09,125.56,127.42,120.283748330614,3496758,0.0000,1.0
2022-05-16,124.58,128.49,124.58,126.36,119.283114417331,3560149,0.0000,1.0
2022-05-13,122.67,126.06,122.4,124.28,117.319606361079,3881821,0.0000,1.0
2022-05-12,121.64,121.69,117.54,120.51,113.760748009121,4056135,0.0000,1.0
2022-05-11,120.96,126.19,120.92,121.29,114.497063530216,4167519,0.0000,1.0
2022-05-10,120.43,125.06,117.68,119.56,112.863953464198,5451599,0.0000,1.0
2022-05-09,128.95,130.02,116.77,117.94,111.33468276654,6977173,0.0000,1.0
2022-05-06,125.9,132.35,125.05,132.22,124.814920768119,7042613,0.0000,1.0
2022-05-05,126.11,126.4256,121.77,123.42,116.507771299359,4289447,0.0000,1.0
2022-05-04,123.16,124.98,120.26,124.77,117.782163547408,3108258,0.0000,1.0
2022-05-03,116.35,121.38,116.28,120.76,113.996746573575,3326712,0.0000,1.0
2022-05-02,114.93,117.035,112.1014,116.31,109.795972126304,3496111,0.0000,1.0
2022-04-29,118.46,119.53,115.6,116.76,110.22076954232,4733968,0.0000,1.0
2022-04-28,113.73,119.19,110.33,117.77,111.174203742712,3312634,0.0000,1.0
2022-04-27,112.51,113.7,108.36,112.81,106.491992223956,2839962,0.0000,1.0
2022-04-26,113.21,114.9,111.2,111.59,105.340319229424,2447369,0.0000,1.0
2022-04-25,112.15,112.95,105.01,111.77,105.51023819583,4813244,0.0000,1.0
2022-04-22,118.88,120.615,115.97,116.12,109.61661321732,3086604,0.0000,1.0
2022-04-21,123.02,124.35,118.89,119.49,112.797873866152,3403222,0.0000,1.0
2022-04-20,123.0,123.3796,121.7064,122.69,115.818655491155,3266808,0.0000,1.0
2022-04-19,122.93,124.35,121.08,121.76,114.940740831388,4861649,0.0000,1.0
2022-04-18,124.24,125.22,122.63,123.32,116.413371873578,4338053,0.0000,1.0
2022-04-14,123.0,123.92,122.31,122.94,116.054654055609,3332008,0.0000,1.0
2022-04-13,124.87,125.6765,121.6,123.56,116.639930495453,4314883,0.7500,1.0
2022-04-12,123.8,127.21,123.7,124.57,116.883888197398,2993906,0.0000,1.0
2022-04-11,125.52,125.52,120.92,121.34,113.853182900155,3342814,0.0000,1.0
2022-04-08,122.0,127.945,121.775,126.88,119.051358549297,4534867,0.0000,1.0
2022-04-07,120.02,121.0,116.92,120.62,113.177607725537,3053800,0.0000,1.0
2022-04-06,119.9,121.18,117.105,118.45,111.141499213148,2847558,0.0000,1.0
2022-04-05,120.95,122.43,117.66,117.83,110.559753923894,2318526,0.0000,1.0
2022-04-04,121.43,122.0,119.15,120.83,113.374650484801,1807253,0.0000,1.0
2022-04-01,119.28,121.47,118.75,120.33,112.905501057983,2258124,0.0000,1.0
2022-03-31,120.88,123.88,119.22,119.23,111.873372318984,4035961,0.0000,1.0
2022-03-30,121.7,123.32,120.43,121.09,113.618608186746,2788704,0.0000,1.0
2022-03-29,117.54,120.88,115.75,120.63,113.186990714074,3106514,0.0000,1.0
2022-03-28,121.84,122.55,119.71,120.86,113.40279945041,2955796,0.0000,1.0
2022-03-25,120.12,124.54,120.12,124.51,116.82759026618,3123549,0.0000,1.0
2022-03-24,123.35,123.72,120.4,121.01,113.543544278455,2952547,0.0000,1.0
2022-03-23,124.4,124.89,122.4601,123.55,115.92682336669,3344297,0.0000,1.0
2022-03-22,122.12,122.54,118.94,120.83,113.374650484801,3662643,0.0000,1.0
2022-03-21,117.81,123.19,117.81,122.46,114.904077616227,4772847,0.0000,1.0
2022-03-18,118.68,120.345,113.76,115.8,108.655007251013,25216697,0.0000,1.0
2022-03-17,115.0,118.5,114.3,117.87,110.597285878039,4230141,0.0000,1.0
2022-03-16,113.29,113.78,111.38,113.0,106.027770460833,4953733,0.0000,1.0
2022-03-15,110.21,114.99,110.0,113.82,106.797175520815,5415225,0.0000,1.0
2022-03-14,118.11,118.71,111.84,115.84,108.692539205159,6270533,1.0000,1.0
2022-03-11,117.82,119.309,115.3,116.68,108.543696289438,3963639,0.0000,1.0
2022-03-10,115.37,120.57,113.99,119.88,111.520554603855,5386852,0.0000,1.0
2022-03-09,114.35,116.35,111.5315,113.77,105.836615759765,5747749,0.0000,1.0
2022-03-08,122.0,122.5,113.01,117.81,109.594899381716,7619906,0.0000,1.0
2022-03-07,120.02,121.78,116.54,120.15,111.771727024134,5521302,0.0000,1.0
2022-03-04,116.68,120.53,116.31,118.75,110.469351511576,4904851,0.0000,1.0
