timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,30.38,30.41,29.01,29.81,29.81,7072917,0.0000,1.0
2023-02-07,30.27,30.69,29.64,30.66,30.66,7569387,0.0000,1.0
2023-02-06,31.3,31.46,29.655,29.98,29.98,9594241,0.0000,1.0
2023-02-03,31.74,32.26,31.07,31.26,31.26,4354929,0.0000,1.0
2023-02-02,31.67,32.71,31.265,31.84,31.84,6949137,0.0000,1.0
2023-02-01,32.07,32.34,30.88,31.63,31.63,7411196,0.0000,1.0
2023-01-31,32.26,32.69,32.01,32.67,32.67,5435521,0.0000,1.0
2023-01-30,32.2,32.855,32.07,32.15,32.15,4530815,0.0000,1.0
2023-01-27,33.3,33.6,32.78,32.93,32.93,4212857,0.0000,1.0
2023-01-26,33.19,33.3,31.94,33.1,33.1,8649609,0.0000,1.0
2023-01-25,33.73,33.73,32.6,33.22,33.22,6709159,0.0000,1.0
2023-01-24,34.87,35.45,33.32,34.21,34.21,5973508,0.0000,1.0
2023-01-23,34.48,35.45,34.1,35.24,35.24,5546768,0.0000,1.0
2023-01-20,34.1,34.57,33.514,33.95,33.95,5079013,0.0000,1.0
2023-01-19,33.56,34.405,33.28,33.93,33.93,5313522,0.0000,1.0
2023-01-18,34.86,35.125,33.59,33.65,33.65,6420219,0.0000,1.0
2023-01-17,35.36,35.9799,34.9,35.19,35.19,6394975,0.0000,1.0
2023-01-13,34.49,34.875,33.93,34.81,34.81,5677768,0.0000,1.0
2023-01-12,33.85,35.165,33.74,34.96,34.96,8560554,0.0000,1.0
2023-01-11,34.6,34.61,33.13,33.4,33.4,7014611,0.0000,1.0
2023-01-10,34.5,34.77,33.755,34.04,34.04,7295307,0.0000,1.0
2023-01-09,34.13,35.33,34.13,34.67,34.67,7163721,0.0000,1.0
2023-01-06,32.08,33.85,32.08,33.34,33.34,6557927,0.0000,1.0
2023-01-05,32.6,33.22,31.95,32.08,32.08,9156509,0.0000,1.0
2023-01-04,31.66,34.06,31.5,33.21,33.21,7902110,0.0000,1.0
2023-01-03,32.67,33.68,31.585,31.82,31.82,8233814,0.0000,1.0
2022-12-30,33.5,33.99,33.37,33.83,33.83,3655806,0.0000,1.0
2022-12-29,33.2,34.09,33.03,33.87,33.87,4116874,0.0000,1.0
2022-12-28,35.89,35.89,33.41,33.5,33.5,5874111,0.0000,1.0
2022-12-27,36.5,37.02,36.06,36.34,36.34,4243388,0.0000,1.0
2022-12-23,35.23,36.23,34.64,36.21,36.21,4191535,0.0000,1.0
2022-12-22,36.29,36.43,34.445,35.0,35.0,5613919,0.0000,1.0
2022-12-21,36.94,37.11,36.2,36.64,36.64,4150996,0.0000,1.0
2022-12-20,35.8,36.25,35.38,36.14,36.14,3985723,0.0000,1.0
2022-12-19,36.58,36.94,35.77,36.11,36.11,4458869,0.0000,1.0
2022-12-16,37.24,37.58,36.28,37.24,37.24,17388885,0.0000,1.0
2022-12-15,37.5,39.17,37.4,38.23,38.23,7604581,0.0000,1.0
2022-12-14,37.49,38.47,37.08,37.81,37.81,6502980,0.0000,1.0
2022-12-13,38.1,38.21,36.93,37.11,37.11,6138367,0.0000,1.0
2022-12-12,36.84,37.88,36.33,36.91,36.91,8646148,0.0000,1.0
2022-12-09,36.0,36.6199,35.59,35.67,35.67,5462394,0.0000,1.0
2022-12-08,37.13,37.58,35.35,35.69,35.69,8102453,0.0000,1.0
2022-12-07,36.85,36.92,36.03,36.73,36.73,6071536,0.0000,1.0
2022-12-06,36.8,37.46,36.55,36.91,36.91,5139835,0.0000,1.0
2022-12-05,39.42,39.83,36.79,37.07,37.07,8568755,0.0000,1.0
2022-12-02,40.78,41.34,39.515,39.93,39.93,6529683,0.0000,1.0
2022-12-01,42.91,43.39,41.19,41.52,41.52,4306695,0.0000,1.0
2022-11-30,42.9,43.17,41.63,42.41,42.41,6100957,0.0000,1.0
2022-11-29,41.88,42.7085,41.77,42.66,42.66,3167725,0.0000,1.0
2022-11-28,41.45,42.45,41.025,41.52,41.52,6179812,0.0000,1.0
2022-11-25,43.41,43.76,42.91,43.03,43.03,1711769,0.0000,1.0
2022-11-23,44.39,44.98,43.29,43.56,43.56,6000243,0.0000,1.0
2022-11-22,41.95,44.59,41.95,43.78,43.78,7160413,0.0000,1.0
2022-11-21,40.5,41.34,39.33,41.33,41.33,5433951,0.0000,1.0
2022-11-18,40.48,41.25,39.88,41.03,41.03,4387424,0.0000,1.0
2022-11-17,41.13,41.78,40.53,41.69,41.69,3606224,0.0000,1.0
2022-11-16,42.78,42.96,40.78,41.49,41.49,4288846,0.0000,1.0
2022-11-15,42.72,43.77,42.16,43.76,43.76,4500031,0.0000,1.0
2022-11-14,43.41,44.53,42.33,42.37,42.37,6739915,0.0000,1.0
2022-11-11,43.65,44.0154,41.34,42.62,42.62,7255975,0.0000,1.0
2022-11-10,41.9,42.98,41.05,42.9,42.9,4008240,0.0000,1.0
2022-11-09,42.83,43.23,40.79,40.84,40.84,7213054,0.0000,1.0
2022-11-08,43.35,44.005,42.2,43.94,43.94,6350043,0.1500,1.0
2022-11-07,42.57,44.75,42.547,44.18,44.0296938081198,8365029,0.0000,1.0
2022-11-04,40.37,41.145,39.43,41.08,40.9402404173282,6079781,0.0000,1.0
2022-11-03,39.865,40.8499,39.3,39.35,39.2161261056929,5142385,0.0000,1.0
2022-11-02,40.96,42.07,39.98,40.47,40.3323157178499,6945963,0.0000,1.0
2022-11-01,42.37,42.52,40.21,40.75,40.6113631208891,6965057,0.0000,1.0
2022-10-31,39.93,42.38,39.78,41.84,41.6976547970061,10788097,0.0000,1.0
2022-10-28,39.45,40.12,36.79,38.68,38.5484055341347,8361379,0.0000,1.0
2022-10-27,37.2,41.1,36.78,39.1,38.9669766386936,11762323,0.0000,1.0
2022-10-26,39.22,40.08,38.56,39.01,38.8772828305738,12472656,0.0000,1.0
2022-10-25,38.16,39.62,37.65,39.6,39.4652755726922,13084075,0.0000,1.0
2022-10-24,38.16,38.94,37.64,38.33,38.1995962803357,8140341,0.0000,1.0
2022-10-21,40.29,40.47,37.48,37.88,37.7511272397369,14156451,0.0000,1.0
2022-10-20,42.4,42.41,40.66,40.74,40.6013971422091,6118465,0.0000,1.0
2022-10-19,41.59,42.29,40.66,42.21,42.0663960081651,7130021,0.0000,1.0
2022-10-18,42.61,43.73,41.7,41.81,41.6677568609662,6233902,0.0000,1.0
2022-10-17,41.09,41.98,40.32,41.81,41.6677568609662,5733015,0.0000,1.0
2022-10-14,43.78,44.45,41.06,41.13,40.9900703107281,5623473,0.0000,1.0
2022-10-13,42.74,44.6,42.21,44.37,44.2190474030392,5678106,0.0000,1.0
2022-10-12,43.83,44.19,42.5701,43.55,43.4018371512815,3962539,0.0000,1.0
2022-10-11,41.77,44.185,41.77,43.55,43.4018371512815,4628249,0.0000,1.0
2022-10-10,43.85,44.84,42.735,42.77,42.6244908142436,4904985,0.0000,1.0
