timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,162.63,170.37,162.09,168.88,168.88,3937599,0.0000,1.0
2023-02-07,161.28,164.79,161.28,164.49,164.49,2222367,0.0000,1.0
2023-02-06,161.41,163.015,161.1,162.35,162.35,1681853,0.0000,1.0
2023-02-03,161.2,163.755,160.72,163.24,163.24,1753184,0.0000,1.0
2023-02-02,164.32,164.76,161.06,161.96,161.96,2637642,0.0000,1.0
2023-02-01,161.7,164.73,160.89,163.34,163.34,1757837,0.0000,1.0
2023-01-31,161.81,162.48,159.08,162.21,162.21,2146885,0.0000,1.0
2023-01-30,161.01,162.605,160.63,160.87,160.87,1157772,0.0000,1.0
2023-01-27,160.5,163.36,160.12,162.24,162.24,1283679,0.0000,1.0
2023-01-26,160.49,161.56,158.445,160.9,160.9,1363075,0.0000,1.0
2023-01-25,160.13,160.13,156.08,159.14,159.14,1341121,0.0000,1.0
2023-01-24,159.26,162.52,156.6,161.69,161.69,1589850,0.0000,1.0
2023-01-23,155.82,159.32,154.95,158.92,158.92,1513839,0.0000,1.0
2023-01-20,152.53,155.6,150.86,155.51,155.51,1947751,0.0000,1.0
2023-01-19,156.37,156.92,151.58,151.86,151.86,3001917,0.0000,1.0
2023-01-18,162.88,163.22,157.31,157.53,157.53,1736991,0.0000,1.0
2023-01-17,164.37,164.82,162.065,162.41,162.41,1823318,0.0000,1.0
2023-01-13,163.95,165.11,163.18,164.45,164.45,1589944,0.0000,1.0
2023-01-12,165.64,166.5,164.2964,164.71,164.71,1656106,0.0000,1.0
2023-01-11,160.89,164.18,160.46,164.09,164.09,1557427,0.0000,1.0
2023-01-10,160.98,162.07,160.03,160.41,160.41,1709395,0.0000,1.0
2023-01-09,161.5,164.27,160.6,160.88,160.88,1235890,0.0000,1.0
2023-01-06,159.04,162.23,157.76,161.1,161.1,1732513,0.0000,1.0
2023-01-05,157.9,158.8,156.24,157.2,157.2,1494756,0.0000,1.0
2023-01-04,159.37,159.55,156.75,158.82,158.82,1396393,0.0000,1.0
2023-01-03,158.08,158.94,155.94,157.75,157.75,1185358,0.0000,1.0
2022-12-30,156.94,157.45,155.62,156.95,156.95,826799,0.0000,1.0
2022-12-29,157.06,158.17,156.61,157.35,157.35,874828,0.0000,1.0
2022-12-28,157.6,158.16,155.51,155.75,155.75,724690,0.0000,1.0
2022-12-27,157.4,158.2799,156.43,157.34,157.34,1337629,0.0000,1.0
2022-12-23,155.66,157.01,155.22,156.8,156.8,907972,0.0000,1.0
2022-12-22,156.96,157.205,153.63,156.11,156.11,1124894,0.0000,1.0
2022-12-21,157.27,158.44,156.7,158.12,158.12,1331093,0.0000,1.0
2022-12-20,154.56,156.33,153.7796,155.91,155.91,1441402,0.0000,1.0
2022-12-19,154.65,156.66,154.05,154.5,154.5,1466007,0.0000,1.0
2022-12-16,153.48,155.08,151.59,154.5,154.5,3378350,0.0000,1.0
2022-12-15,158.93,159.42,154.84,155.38,155.38,1892392,0.0000,1.0
2022-12-14,163.63,164.5469,160.73,161.36,161.36,1616140,0.0000,1.0
2022-12-13,165.0,165.33,161.74,163.64,163.64,2038878,0.0000,1.0
2022-12-12,158.4,161.0,157.87,160.83,160.83,1517978,0.0000,1.0
2022-12-09,159.03,159.43,157.41,158.28,158.28,1068951,0.0000,1.0
2022-12-08,157.89,158.86,157.28,158.75,158.75,1323176,0.0000,1.0
2022-12-07,157.09,158.42,156.59,157.27,157.27,1798003,0.0000,1.0
2022-12-06,159.6,160.15,156.33,157.81,157.81,1567715,0.0000,1.0
2022-12-05,161.2,161.78,159.73,160.36,160.36,1312959,0.0000,1.0
2022-12-02,161.06,163.57,159.065,163.31,163.31,1861653,0.0000,1.0
2022-12-01,163.9,164.92,161.11,163.36,163.36,1486856,0.0000,1.0
2022-11-30,161.71,163.705,159.06,163.45,163.45,2788445,0.0000,1.0
2022-11-29,162.07,162.98,161.12,162.15,162.15,1073385,0.0000,1.0
2022-11-28,164.69,165.745,161.88,162.55,162.55,1723060,0.0000,1.0
2022-11-25,166.41,167.22,165.7801,166.11,166.11,628913,0.0000,1.0
2022-11-23,167.0,167.51,164.99,165.36,165.36,1401645,0.0000,1.0
2022-11-22,165.25,166.83,164.7175,166.48,166.48,1568942,0.0000,1.0
2022-11-21,164.84,165.94,164.05,164.55,164.55,1227129,0.0000,1.0
2022-11-18,164.27,165.12,162.48,165.01,165.01,1870067,0.0000,1.0
2022-11-17,160.13,162.89,159.085,162.63,162.63,1523413,0.0000,1.0
2022-11-16,161.86,162.78,160.29,161.74,161.74,1498504,0.0000,1.0
2022-11-15,163.57,163.65,160.96,162.39,162.39,1485407,0.0000,1.0
2022-11-14,161.0,164.225,160.51,161.65,161.65,1938435,0.0000,1.0
2022-11-11,162.69,163.52,160.845,161.6,161.6,2361328,0.0000,1.0
2022-11-10,160.58,162.55,159.5,162.13,162.13,2386275,0.0000,1.0
2022-11-09,156.32,158.625,155.88,156.3,156.3,1485532,0.8100,1.0
2022-11-08,159.0,159.98,157.0848,158.19,157.374431926676,1604132,0.0000,1.0
2022-11-07,158.59,159.87,157.1,158.4,157.583349245751,2339792,0.0000,1.0
2022-11-04,159.13,159.96,155.38,158.69,157.871854114951,2915578,0.0000,1.0
2022-11-03,149.04,157.12,148.965,154.59,153.79299217109,3720688,0.0000,1.0
2022-11-02,152.0,156.73,150.47,150.61,149.833511552416,2908123,0.0000,1.0
2022-11-01,151.96,152.92,146.76,151.64,150.858201260263,3128480,0.0000,1.0
2022-10-31,149.0,151.63,148.79,150.07,149.296295589078,2773189,0.0000,1.0
2022-10-28,147.07,151.03,146.68,150.28,149.505212908154,2885088,0.0000,1.0
2022-10-27,146.74,147.89,146.23,146.69,145.933721596334,2015140,0.0000,1.0
2022-10-26,147.1,147.86,144.61,145.52,144.769753675769,2057523,0.0000,1.0
2022-10-25,140.82,146.14,140.82,146.05,145.297021195341,2782417,0.0000,1.0
2022-10-24,141.0,142.545,139.645,141.57,140.84011838839,1358524,0.0000,1.0
2022-10-21,135.69,139.56,134.81,139.33,138.611666984915,2346214,0.0000,1.0
2022-10-20,139.04,139.8,134.84,135.26,134.562650372351,2079452,0.0000,1.0
2022-10-19,139.83,140.98,138.25,139.0,138.283368340653,1845093,0.0000,1.0
2022-10-18,141.93,142.575,138.69,140.64,139.914913118197,2003457,0.0000,1.0
2022-10-17,136.34,139.08,136.34,138.22,137.507389726943,1510141,0.0000,1.0
2022-10-14,139.1,140.23,133.89,134.31,133.617548214627,1863515,0.0000,1.0
2022-10-13,132.75,139.58,132.015,138.1,137.388008401757,2423447,0.0000,1.0
2022-10-12,136.54,136.96,135.28,135.45,134.751670803895,2073433,0.0000,1.0
2022-10-11,135.06,138.16,134.27,136.42,135.71666984915,1566231,0.0000,1.0
2022-10-10,137.78,137.78,134.82,136.38,135.676876074088,1860732,0.0000,1.0
2022-10-07,140.43,140.635,135.82,136.83,136.124556043536,1884562,0.0000,1.0
2022-10-06,143.99,144.44,141.53,142.45,141.715581439756,2381145,0.0000,1.0
2022-10-05,142.12,145.765,141.88,144.5,143.755012411686,2255392,0.0000,1.0
