timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,40.48,40.5,39.9,40.24,40.24,6613680,0.0000,1.0
2023-02-07,40.84,41.015,40.3,40.82,40.82,5374225,0.0000,1.0
2023-02-06,40.88,41.035,40.29,40.96,40.96,6949293,0.0000,1.0
2023-02-03,41.52,41.6,40.09,40.9,40.9,6980170,0.0000,1.0
2023-02-02,42.19,42.9454,41.79,41.89,41.89,9350950,0.0000,1.0
2023-02-01,41.91,42.6,41.635,42.3,42.3,6373820,0.0000,1.0
2023-01-31,41.85,42.25,41.61,42.19,42.19,5133849,0.0000,1.0
2023-01-30,41.58,42.275,41.49,41.75,41.75,3836465,0.0000,1.0
2023-01-27,41.51,41.81,41.28,41.69,41.69,4773108,0.0000,1.0
2023-01-26,41.36,41.69,41.185,41.6,41.6,3704356,0.0000,1.0
2023-01-25,41.22,41.56,40.95,41.42,41.42,5448639,0.0000,1.0
2023-01-24,41.86,41.96,41.24,41.51,41.51,3871448,0.0000,1.0
2023-01-23,42.09,42.39,41.74,41.82,41.82,4702766,0.0000,1.0
2023-01-20,42.0,42.39,41.4601,42.34,42.34,5209749,0.0000,1.0
2023-01-19,42.18,42.245,41.68,42.04,42.04,5570904,0.0000,1.0
2023-01-18,43.16,43.25,42.12,42.23,42.23,4586945,0.0000,1.0
2023-01-17,43.24,43.48,42.98,43.16,43.16,4599766,0.0000,1.0
2023-01-13,43.13,43.535,42.89,43.38,43.38,5776477,0.0000,1.0
2023-01-12,44.01,44.1,43.29,43.38,43.38,6937153,0.0000,1.0
2023-01-11,43.68,44.236,43.57,44.14,44.14,5144188,0.0000,1.0
2023-01-10,43.86,44.06,43.17,43.69,43.69,4502833,0.0000,1.0
2023-01-09,43.575,44.365,43.335,44.15,44.15,9541708,0.0000,1.0
2023-01-06,43.24,43.92,43.14,43.67,43.67,6971935,0.0000,1.0
2023-01-05,43.41,43.48,42.2901,42.78,42.78,8060586,0.0000,1.0
2023-01-04,43.39,43.96,43.22,43.73,43.73,4379565,0.0000,1.0
2023-01-03,43.25,43.35,42.425,43.16,43.16,5156717,0.0000,1.0
2022-12-30,43.14,43.31,42.85,43.23,43.23,6185267,0.0000,1.0
2022-12-29,43.17,43.46,43.04,43.13,43.13,3207501,0.0000,1.0
2022-12-28,43.25,43.49,42.85,42.94,42.94,3852629,0.0000,1.0
2022-12-27,43.17,43.27,42.86,43.15,43.15,6136084,0.0000,1.0
2022-12-23,42.48,43.075,42.375,43.04,43.04,3317966,0.0000,1.0
2022-12-22,42.4,42.55,41.855,42.52,42.52,6051859,0.0000,1.0
2022-12-21,42.36,42.722,42.2,42.63,42.63,4721872,0.0000,1.0
2022-12-20,41.78,42.33,41.43,42.06,42.06,7406610,0.0000,1.0
2022-12-19,41.82,42.32,41.58,41.77,41.77,6261042,0.0000,1.0
2022-12-16,41.85,42.02,40.84,41.93,41.93,18680209,0.0000,1.0
2022-12-15,42.7,42.79,41.985,42.38,42.38,6088536,0.0000,1.0
2022-12-14,42.69,43.65,42.47,42.82,42.82,7271206,0.0000,1.0
2022-12-13,43.29,43.51,42.19,42.54,42.54,8747586,0.0000,1.0
