timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,167.08,167.75,165.73,166.31,166.31,1505558,0.0000,1.0
2023-02-07,165.68,168.79,164.67,167.65,167.65,2332488,0.0000,1.0
2023-02-06,161.47,169.1157,161.47,167.99,167.99,2506712,0.0000,1.0
2023-02-03,162.6,164.09,160.48,163.13,163.13,938892,0.0000,1.0
2023-02-02,160.46,166.32,160.46,165.11,165.11,725442,0.0000,1.0
2023-02-01,156.74,159.3425,154.95,158.44,158.44,631471,0.0000,1.0
2023-01-31,152.68,157.93,152.18,157.83,157.83,1660567,0.0000,1.0
2023-01-30,156.18,158.28,152.93,153.0,153.0,1101080,0.0000,1.0
2023-01-27,156.0,158.22,155.55,157.59,157.59,844069,0.0000,1.0
2023-01-26,152.7,156.3,151.6801,156.25,156.25,1175106,0.0000,1.0
2023-01-25,151.55,153.11,150.2,151.73,151.73,1167372,0.0000,1.0
2023-01-24,151.6,153.36,150.34,152.09,152.09,1536427,0.0000,1.0
2023-01-23,151.37,152.15,150.02,151.28,151.28,792782,0.0000,1.0
2023-01-20,149.74,151.08,148.36,150.91,150.91,1386983,0.0000,1.0
2023-01-19,150.0,152.25,149.81,150.0,150.0,682789,0.0000,1.0
2023-01-18,153.0,153.752,150.61,150.82,150.82,696265,0.0000,1.0
2023-01-17,151.46,154.55,151.32,153.1,153.1,980693,0.0000,1.0
2023-01-13,152.58,153.97,151.83,151.9,151.9,726636,0.0000,1.0
2023-01-12,154.76,154.8699,152.35,154.11,154.11,921976,0.0000,1.0
2023-01-11,148.91,154.03,148.55,153.82,153.82,987860,0.0000,1.0
2023-01-10,146.96,147.16,144.325,146.48,146.48,718002,0.0000,1.0
2023-01-09,145.62,148.7,144.1,147.3,147.3,1210143,0.0000,1.0
2023-01-06,141.83,144.86,141.07,144.0,144.0,875851,0.0000,1.0
2023-01-05,142.86,143.495,139.97,141.04,141.04,752012,0.0000,1.0
2023-01-04,146.06,147.615,143.66,144.47,144.47,782373,0.0000,1.0
2023-01-03,147.78,148.31,142.46,144.29,144.29,760847,0.0000,1.0
2022-12-30,147.99,148.39,145.44,147.18,147.18,589432,0.0000,1.0
2022-12-29,146.74,149.3,146.06,149.01,149.01,541757,0.0000,1.0
2022-12-28,148.04,148.93,145.05,145.33,145.33,557058,0.0000,1.0
2022-12-27,146.84,147.86,145.01,147.54,147.54,608904,0.0000,1.0
2022-12-23,144.99,146.96,144.47,146.91,146.91,492117,0.0000,1.0
2022-12-22,145.66,146.28,143.5918,146.08,146.08,598531,0.0000,1.0
2022-12-21,147.06,148.48,145.91,146.97,146.97,548725,0.0000,1.0
2022-12-20,145.57,147.11,144.0,145.99,145.99,667706,0.0000,1.0
2022-12-19,148.63,148.725,145.53,146.71,146.71,697257,0.0000,1.0
2022-12-16,153.71,153.84,147.05,149.3,149.3,2549399,0.0000,1.0
2022-12-15,153.99,156.58,152.18,155.62,155.62,1472372,0.0000,1.0
2022-12-14,157.29,158.63,154.71,156.01,156.01,1298224,0.0000,1.0
2022-12-13,162.48,163.98,157.0,157.64,157.64,1292360,1.5000,1.0
2022-12-12,156.5,158.79,155.13,158.62,157.124901344728,1002538,0.0000,1.0
2022-12-09,157.17,158.24,156.53,156.58,155.104129697122,702638,0.0000,1.0
2022-12-08,157.43,161.61,157.161,157.46,155.975835113736,1385739,0.0000,1.0
2022-12-07,156.15,159.4,155.54,157.16,155.678662812618,928649,0.0000,1.0
2022-12-06,157.18,157.18,153.28,156.04,154.569219555109,1511723,0.0000,1.0
2022-12-05,157.66,159.59,155.61,156.85,155.371584768129,1508430,0.0000,1.0
2022-12-02,158.84,159.84,157.56,159.0,157.501319592811,978378,0.0000,1.0
2022-12-01,160.78,161.84,158.02,160.05,158.541422646726,1296316,0.0000,1.0
2022-11-30,152.61,161.01,152.61,160.69,159.175390222446,1593360,0.0000,1.0
2022-11-29,153.08,154.04,152.525,153.52,152.072972225713,1212011,0.0000,1.0
2022-11-28,154.79,155.785,152.36,152.55,151.112115118763,1495733,0.0000,1.0
2022-11-25,157.32,158.3469,154.76,155.62,154.153178333543,362399,0.0000,1.0
2022-11-23,156.99,157.34,155.28,156.49,155.014978006786,1120092,0.0000,1.0
2022-11-22,158.37,158.84,156.36,156.74,155.262621591052,1243267,0.0000,1.0
2022-11-21,156.83,159.105,156.62,157.59,156.104609777554,819159,0.0000,1.0
2022-11-18,157.72,158.16,155.65,158.14,156.649425662938,722155,0.0000,1.0
2022-11-17,154.9,157.03,153.78,155.3,153.836194545683,534404,0.0000,1.0
2022-11-16,155.16,159.45,155.0138,156.93,155.450830715094,1045177,0.0000,1.0
2022-11-15,156.79,157.26,152.63,154.85,153.390436094005,997928,0.0000,1.0
2022-11-14,157.86,158.2865,154.31,154.33,152.875337438733,993292,0.0000,1.0
2022-11-11,163.09,164.34,157.33,158.33,156.83763478698,1264938,0.0000,1.0
2022-11-10,158.46,163.74,157.675,163.09,161.552768631394,1371504,0.0000,1.0
2022-11-09,152.63,154.99,151.63,151.63,150.200786728667,1724457,0.0000,1.0
2022-11-08,152.46,155.43,151.895,153.76,152.310710066608,1168279,0.0000,1.0
2022-11-07,154.56,156.07,149.78,152.0,150.567299233379,1330051,0.0000,1.0
2022-11-04,155.96,156.29,152.32,153.87,152.419673243685,1197523,0.0000,1.0
2022-11-03,156.0,156.17,152.19,154.25,152.796091491768,1470470,0.0000,1.0
2022-11-02,168.01,168.18,156.71,158.46,156.966409450798,3180035,0.0000,1.0
2022-11-01,179.29,179.71,176.885,177.89,176.213268819907,676757,0.0000,1.0
2022-10-31,177.98,180.76,177.41,177.44,175.767510368229,786019,0.0000,1.0
2022-10-28,171.28,179.83,171.27,178.71,177.025539776298,881333,0.0000,1.0
2022-10-27,172.67,173.22,170.58,171.87,170.250011310796,720409,0.0000,1.0
2022-10-26,172.93,175.25,171.07,171.44,169.824064345859,945036,0.0000,1.0
2022-10-25,165.92,173.52,165.92,173.37,171.735872816388,863165,0.0000,1.0
2022-10-24,167.83,168.14,164.71,165.01,163.454671358552,796114,0.0000,1.0
2022-10-21,165.99,166.02,162.64,165.96,164.395716978761,699181,0.0000,1.0
2022-10-20,166.58,167.81,164.74,165.78,164.21741359809,440538,0.0000,1.0
2022-10-19,168.67,169.4807,165.065,165.92,164.356094005278,635761,0.0000,1.0
