timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,144.88,145.26,142.53,144.29,144.29,2029248,0.0000,1.0
2023-02-07,138.22,143.695,136.5,143.56,143.56,2406552,0.0000,1.0
2023-02-06,138.09,140.0,135.05,137.12,137.12,1748341,0.0000,1.0
2023-02-03,138.4,141.3399,137.66,138.4,138.4,1553312,0.0000,1.0
2023-02-02,142.97,142.97,137.03,137.57,137.57,2727136,0.0000,1.0
2023-02-01,145.0,145.63,140.92,143.35,143.35,2554219,0.0000,1.0
2023-01-31,145.06,147.605,143.87,146.12,146.12,1632716,0.0000,1.0
2023-01-30,148.69,149.0,145.21,145.34,145.34,2423379,0.0000,1.0
2023-01-27,150.0,152.79,149.56,150.96,150.96,1632655,0.0000,1.0
2023-01-26,149.3,149.99,146.555,149.89,149.89,2409381,0.0000,1.0
2023-01-25,147.45,147.46,143.3,147.08,147.08,1646159,0.0000,1.0
2023-01-24,149.95,150.5,146.51,147.24,147.24,1213302,0.0000,1.0
2023-01-23,149.0,150.21,148.31,149.35,149.35,1467230,0.0000,1.0
2023-01-20,146.65,147.8876,145.19,147.55,147.55,1534807,0.0000,1.0
2023-01-19,143.23,146.901,141.77,146.43,146.43,1808147,0.0000,1.0
2023-01-18,146.44,149.64,143.91,144.1,144.1,2183511,0.0000,1.0
2023-01-17,146.17,147.28,145.37,145.73,145.73,1883695,0.0000,1.0
2023-01-13,145.54,146.0,143.87,145.24,145.24,1526595,0.0000,1.0
2023-01-12,142.55,146.73,142.55,145.33,145.33,1959906,0.0000,1.0
2023-01-11,144.2,144.57,140.24,142.24,142.24,2199648,0.0000,1.0
2023-01-10,142.52,143.12,139.77,141.95,141.95,1756322,0.0000,1.0
2023-01-09,140.84,143.36,140.27,141.49,141.49,2453374,0.0000,1.0
2023-01-06,136.5,139.38,135.7,138.14,138.14,2473716,0.0000,1.0
2023-01-05,131.08,135.24,130.26,134.04,134.04,2407565,0.0000,1.0
2023-01-04,129.11,133.19,128.08,130.62,130.62,1724391,0.0000,1.0
2023-01-03,134.97,136.32,129.61,131.38,131.38,2406481,0.0000,1.0
2022-12-30,135.56,137.26,135.0,136.78,136.78,1486970,0.0000,1.0
2022-12-29,132.97,137.18,132.51,136.28,136.28,1406427,0.0000,1.0
2022-12-28,137.33,137.47,133.91,134.47,134.47,1719928,0.0000,1.0
2022-12-27,137.65,138.19,136.42,137.58,137.58,1560299,0.0000,1.0
2022-12-23,135.1,137.1,134.01,137.03,137.03,1759727,0.0000,1.0
2022-12-22,137.4,137.52,129.67,132.88,132.88,2354474,0.0000,1.0
2022-12-21,137.85,138.12,135.5,137.0,137.0,2396465,0.0000,1.0
2022-12-20,133.2,136.19,132.75,134.94,134.94,1668379,0.0000,1.0
2022-12-19,134.67,136.33,132.6,133.58,133.58,1879355,0.0000,1.0
2022-12-16,134.36,136.74,132.81,134.32,134.32,12724130,0.0000,1.0
2022-12-15,135.0,138.0809,134.31,137.38,137.38,3000788,0.0000,1.0
2022-12-14,137.5,139.94,135.88,136.84,136.84,4133257,0.0000,1.0
2022-12-13,136.19,138.61,134.905,136.32,136.32,4811332,0.0000,1.0
2022-12-12,130.7,134.49,129.7,134.21,134.21,3968246,0.0000,1.0
2022-12-09,132.6,135.165,129.49,129.6,129.6,2872096,0.0000,1.0
2022-12-08,140.33,141.265,132.47,132.88,132.88,3625363,0.0000,1.0
2022-12-07,138.79,140.711,136.47,136.56,136.56,1795237,0.0000,1.0
2022-12-06,140.36,143.6026,137.52,138.21,138.21,2009532,0.0000,1.0
2022-12-05,148.22,149.9,140.5675,142.0,142.0,2496424,0.0000,1.0
2022-12-02,144.42,146.4056,142.7,145.46,145.46,2403016,0.0000,1.0
2022-12-01,149.2,149.81,144.3,144.7,144.7,2171640,0.0000,1.0
2022-11-30,148.94,149.46,144.5401,148.02,148.02,2796562,0.0000,1.0
2022-11-29,146.56,148.26,145.18,146.74,146.74,2099178,0.0000,1.0
2022-11-28,143.62,146.15,142.75,143.73,143.73,3470411,0.0000,1.0
2022-11-25,151.3,151.8899,149.08,149.32,149.32,984081,0.0000,1.0
2022-11-23,148.75,150.5799,146.9,149.99,149.99,2309848,0.0000,1.0
2022-11-22,152.4,153.79,149.797,151.44,151.44,2863343,0.0000,1.0
2022-11-21,151.91,152.18,142.14,149.99,149.99,4481922,0.0000,1.0
2022-11-18,156.48,156.86,152.15,156.22,156.22,3815353,0.0000,1.0
2022-11-17,156.44,161.91,155.51,161.78,161.78,2037962,0.0000,1.0
2022-11-16,163.29,164.14,158.63,158.98,158.98,3438641,2.2600,1.0
2022-11-15,164.19,168.95,162.5731,167.03,164.688845199702,3313807,0.0000,1.0
2022-11-14,163.28,166.59,163.01,163.57,161.277341850657,1865034,0.0000,1.0
2022-11-11,164.0,166.48,163.135,164.35,162.046409079633,2691243,0.0000,1.0
2022-11-10,159.57,160.47,156.87,160.28,158.033455718184,2117558,0.0000,1.0
2022-11-09,161.5,162.54,156.7,157.55,155.34172041677,2815448,0.0000,1.0
2022-11-08,162.86,166.375,161.0,163.55,161.25762217812,2653501,0.0000,1.0
2022-11-07,162.7,165.67,161.59,163.49,161.198463160506,3424449,0.0000,1.0
2022-11-04,162.49,162.79,157.64,161.37,159.108177871496,2900099,0.0000,1.0
2022-11-03,154.19,160.75,153.6,158.53,156.307984371124,2226673,0.0000,1.0
2022-11-02,157.7,158.57,153.62,154.83,152.659844951625,1990233,0.0000,1.0
2022-11-01,160.0,160.86,157.5246,158.63,156.406582733813,1773741,0.0000,1.0
2022-10-31,151.82,158.88,151.62,157.11,154.907887620938,2053281,0.0000,1.0
2022-10-28,155.8,156.63,149.79,153.82,151.664001488464,2005429,0.0000,1.0
2022-10-27,158.53,158.63,153.01,153.35,151.200589183825,2421129,0.0000,1.0
2022-10-26,154.21,157.5,153.51,155.38,153.202135946415,1691796,0.0000,1.0
2022-10-25,152.87,154.81,151.74,153.36,151.210449020094,1711122,0.0000,1.0
2022-10-24,151.3,155.81,150.77,153.26,151.111850657405,2026623,0.0000,1.0
2022-10-21,147.12,152.42,146.5543,152.32,150.185026048127,2486513,0.0000,1.0
2022-10-20,147.91,148.96,145.57,146.59,144.535339866038,1743276,0.0000,1.0
2022-10-19,141.41,147.125,141.41,146.03,143.983189034979,2078793,0.0000,1.0
2022-10-18,141.44,142.77,138.58,141.85,139.861777474572,1645577,0.0000,1.0
2022-10-17,142.29,144.5538,139.03,139.46,137.505276606301,1925275,0.0000,1.0
2022-10-14,144.32,146.66,139.09,139.36,137.406678243612,3218848,0.0000,1.0
2022-10-13,138.97,147.5,138.56,145.28,143.24370131481,2637333,0.0000,1.0
2022-10-12,139.11,142.64,137.04,141.17,139.191308608286,2969895,0.0000,1.0
2022-10-11,136.41,141.92,136.03,139.37,137.416538079881,2605497,0.0000,1.0
2022-10-10,141.05,144.214,138.03,140.31,138.343362689159,1731294,0.0000,1.0
2022-10-07,142.5,144.08,140.28,142.43,140.433647978169,2081018,0.0000,1.0
2022-10-06,138.15,143.16,138.0087,142.33,140.33504961548,2422443,0.0000,1.0
2022-10-05,134.72,140.46,134.71,139.37,137.416538079881,3323912,0.0000,1.0
2022-10-04,133.49,136.83,131.2101,136.3,134.389568345324,2452809,0.0000,1.0
2022-10-03,126.4,131.0,125.62,129.52,127.704599354999,2517001,0.0000,1.0
2022-09-30,119.26,121.68,117.985,120.46,118.771587695361,2004167,0.0000,1.0
2022-09-29,118.48,121.24,115.95,120.91,119.215280327462,1725701,0.0000,1.0
2022-09-28,114.24,120.29,113.79,119.4,117.726445050856,2517948,0.0000,1.0
2022-09-27,113.72,115.55,111.7341,113.49,111.899281815927,3214940,0.0000,1.0
2022-09-26,114.16,115.8,110.97,111.21,109.651239146614,2549547,0.0000,1.0
2022-09-23,121.04,121.13,113.66,115.2,113.585313817911,3556567,0.0000,1.0
2022-09-22,131.78,132.5,126.49,126.54,124.766368146862,1568043,0.0000,1.0
2022-09-21,133.68,134.35,128.74,128.8,126.994691143637,1968983,0.0000,1.0
2022-09-20,129.89,131.78,127.45,130.79,128.956798561151,2355587,0.0000,1.0
2022-09-19,126.72,132.55,126.5074,130.93,129.094836268916,1987452,0.0000,1.0
2022-09-16,132.56,133.195,128.7506,132.62,130.761148598363,5496346,0.0000,1.0
2022-09-15,136.38,138.16,134.3,134.63,132.742975688415,1963291,0.0000,1.0
2022-09-14,136.96,141.13,136.655,140.17,138.205324981394,2149309,0.0000,1.0
2022-09-13,135.84,140.29,134.16,134.71,132.821854378566,1939574,0.0000,1.0
2022-09-12,137.82,139.69,136.31,137.37,135.444570826098,2061409,0.0000,1.0
2022-09-09,135.45,136.47,134.0,135.02,133.127509302903,1733232,0.0000,1.0
2022-09-08,131.68,132.59,129.97,132.19,130.337175638799,1653727,0.0000,1.0
2022-09-07,129.86,132.65,129.06,131.57,129.725865790127,2227007,0.0000,1.0
2022-09-06,136.29,136.98,132.61,134.01,132.131665839742,2772534,0.0000,1.0
2022-09-02,134.74,135.98,132.24,133.87,131.993628131977,1756743,0.0000,1.0
2022-09-01,130.5,131.27,127.8,130.3,128.473666583974,2306349,0.0000,1.0
2022-08-31,130.37,135.865,129.31,133.28,131.411897792111,2777467,0.0000,1.0
2022-08-30,135.76,136.135,131.45,134.07,132.190824857355,2509333,0.0000,1.0
2022-08-29,133.97,141.77,132.77,139.26,137.308079880923,3568788,0.0000,1.0
2022-08-26,135.58,137.61,133.43,133.93,132.052787149591,2587016,0.0000,1.0
2022-08-25,137.96,138.14,134.18,136.28,134.369848672786,2759858,0.0000,1.0
2022-08-24,134.8,138.02,134.41,136.65,134.734662614736,3554363,0.0000,1.0
2022-08-23,134.47,139.1,134.1,135.12,133.226107665592,3278166,0.0000,1.0
2022-08-22,129.0,131.59,125.26,131.18,129.341332175639,1885923,0.0000,1.0
2022-08-19,128.65,131.59,128.24,130.39,128.562405110394,1787098,0.0000,1.0
2022-08-18,127.23,131.065,127.0,130.07,128.246890349789,2334680,0.0000,1.0
2022-08-17,125.69,128.345,124.6,125.77,124.007160754155,1905570,0.0000,1.0
2022-08-16,128.83,129.77,123.85,125.59,123.829683701315,2159775,0.0000,1.0
2022-08-15,125.2,128.59,122.23,127.93,126.136885388241,2960710,3.0500,1.0
2022-08-12,131.62,133.4525,130.13,133.13,128.207387018908,2517186,0.0000,1.0
2022-08-11,128.82,134.4199,128.68,132.78,127.870328613916,2689970,0.0000,1.0
2022-08-10,124.36,127.24,121.44,126.04,121.379546757779,2571382,0.0000,1.0
2022-08-09,125.475,127.63,123.527,124.54,119.935010736384,2717981,0.0000,1.0
2022-08-08,121.4,124.65,120.8,123.14,118.586777116415,2461583,0.0000,1.0
2022-08-05,114.89,123.01,114.355,121.37,116.882224611168,2479618,0.0000,1.0
2022-08-04,119.82,121.06,116.0,116.45,112.144146460992,3202655,0.0000,1.0
2022-08-03,129.41,129.6,120.7,121.38,116.891854851311,2596620,0.0000,1.0
2022-08-02,124.65,128.966,123.39,127.54,122.824082779174,3512012,0.0000,1.0
2022-08-01,125.82,127.3,122.5,125.92,121.263983876067,2799807,0.0000,1.0
2022-07-29,126.48,128.67,124.62,128.02,123.286334306021,2478325,0.0000,1.0
2022-07-28,124.68,125.58,121.97,123.61,119.039398403119,1874734,0.0000,1.0
2022-07-27,118.82,123.91,118.56,123.29,118.731230718554,2038791,0.0000,1.0
2022-07-26,122.2,122.99,116.2,118.28,113.906480407094,1921686,0.0000,1.0
2022-07-25,116.905,121.11,114.34,119.99,115.553251471485,2881336,0.0000,1.0
2022-07-22,116.63,117.5,112.65,113.43,109.235813937916,1710444,0.0000,1.0
2022-07-21,115.08,116.6,112.63,115.97,111.681894934145,1392521,0.0000,1.0
2022-07-20,115.06,119.43,113.8554,118.77,114.378362174083,1655913,0.0000,1.0
2022-07-19,112.61,117.06,111.86,116.54,112.230818622275,1652755,0.0000,1.0
2022-07-18,112.78,114.429,111.82,112.52,108.359462084936,2007837,0.0000,1.0
2022-07-15,109.04,109.79,107.095,109.14,105.104440916725,1941334,0.0000,1.0
