timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,432.23,433.87,430.53,431.79,431.79,146912,0.0000,1.0
2023-02-07,423.95,436.65,423.95,434.02,434.02,174414,0.0000,1.0
2023-02-06,423.75,431.32,422.38,426.88,426.88,142258,0.0000,1.0
2023-02-03,426.3,432.32,422.27,427.56,427.56,213899,0.0000,1.0
2023-02-02,427.78,436.54,427.78,433.3,433.3,174110,0.0000,1.0
2023-02-01,420.34,430.43,417.91,426.55,426.55,283494,0.0000,1.0
2023-01-31,422.35,430.26,416.09,422.94,422.94,330178,0.0000,1.0
2023-01-30,423.38,426.385,419.88,420.62,420.62,151986,0.0000,1.0
2023-01-27,418.18,427.37,418.18,425.44,425.44,169236,0.0000,1.0
2023-01-26,416.27,420.79,414.495,420.49,420.49,180601,0.0000,1.0
2023-01-25,415.63,417.16,410.035,413.84,413.84,206636,0.0000,1.0
2023-01-24,423.15,423.28,417.87,419.64,419.64,160007,0.0000,1.0
2023-01-23,424.53,428.8,422.92,424.17,424.17,113791,0.0000,1.0
2023-01-20,421.56,426.82,416.97,423.76,423.76,198218,0.0000,1.0
2023-01-19,426.45,427.33,420.19,421.45,421.45,192915,0.0000,1.0
2023-01-18,429.52,437.19,429.22,429.42,429.42,407352,0.0000,1.0
2023-01-17,422.51,431.26,420.41,428.7,428.7,359309,0.0000,1.0
2023-01-13,410.63,421.89,410.63,421.36,421.36,226401,0.0000,1.0
2023-01-12,417.54,417.54,408.45,413.88,413.88,274587,0.0000,1.0
2023-01-11,409.33,414.33,407.46,412.82,412.82,185860,0.0000,1.0
2023-01-10,403.24,409.61,400.245,409.28,409.28,206404,0.0000,1.0
2023-01-09,407.42,412.87,402.82,404.62,404.62,174740,0.0000,1.0
2023-01-06,397.3,404.59,393.53,404.46,404.46,221037,0.0000,1.0
2023-01-05,404.63,404.63,393.29,393.55,393.55,304773,0.0000,1.0
2023-01-04,409.54,412.85,403.95,407.79,407.79,334662,0.0000,1.0
2023-01-03,402.32,407.1,400.76,405.96,405.96,249879,0.0000,1.0
2022-12-30,403.33,403.59,398.12,401.21,401.21,163527,0.0000,1.0
2022-12-29,397.39,406.67,395.09,406.5,406.5,213639,0.0000,1.0
2022-12-28,396.55,399.11,392.63,394.52,394.52,166636,0.0000,1.0
2022-12-27,397.47,397.76,392.83,395.55,395.55,180579,0.0000,1.0
2022-12-23,397.46,399.04,393.65,398.04,398.04,161716,0.0000,1.0
2022-12-22,401.9,401.9,390.37,398.5,398.5,237009,0.0000,1.0
2022-12-21,400.02,406.61,393.0,404.5,404.5,327535,0.0000,1.0
2022-12-20,418.0,420.02,396.49,397.28,397.28,659936,0.0000,1.0
2022-12-19,426.27,430.85,417.31,419.9,419.9,438711,0.0000,1.0
2022-12-16,427.61,433.13,425.63,428.38,428.38,518788,0.0000,1.0
2022-12-15,444.88,444.88,430.28,431.06,431.06,403891,0.0000,1.0
2022-12-14,457.55,462.19,446.675,449.3,449.3,243238,0.0000,1.0
2022-12-13,460.81,462.345,449.878,456.96,456.96,237603,0.0000,1.0
2022-12-12,449.89,456.11,447.285,449.89,449.89,211617,0.0000,1.0
2022-12-09,450.08,453.01,446.98,449.74,449.74,163858,0.0000,1.0
2022-12-08,450.41,454.69,448.37,451.3,451.3,214673,0.0000,1.0
2022-12-07,455.25,457.45,449.42,450.29,450.29,230878,0.0000,1.0
2022-12-06,459.8,460.89,451.25,454.15,454.15,243460,0.0000,1.0
2022-12-05,467.53,467.53,458.05,459.09,459.09,219427,0.0000,1.0
2022-12-02,467.38,474.13,465.015,471.15,471.15,181952,0.0000,1.0
2022-12-01,463.67,473.86,463.035,472.16,472.16,246783,0.0000,1.0
2022-11-30,449.83,461.29,445.01,461.29,461.29,629151,0.0000,1.0
2022-11-29,450.93,455.77,445.9,449.12,449.12,287909,0.8900,1.0
2022-11-28,453.18,457.18,450.39,452.35,451.455372102842,185547,0.0000,1.0
2022-11-25,452.47,455.675,452.47,455.58,454.678984022577,75220,0.0000,1.0
2022-11-23,451.65,456.35,449.44,453.74,452.842623052821,169212,0.0000,1.0
2022-11-22,446.88,453.58,445.34,451.86,450.966341192418,196391,0.0000,1.0
2022-11-21,435.81,449.07,434.33,446.61,445.726724295016,220126,0.0000,1.0
2022-11-18,442.14,443.22,432.895,437.77,436.904207462056,170739,0.0000,1.0
2022-11-17,438.17,438.99,431.48,436.7,435.836323637252,168280,0.0000,1.0
2022-11-16,432.19,444.44,431.76,441.48,440.606870069554,223854,0.0000,1.0
2022-11-15,430.0,435.49,425.73,432.92,432.063799471123,222138,0.0000,1.0
2022-11-14,421.91,429.78,420.685,424.59,423.750273993911,263493,0.0000,1.0
2022-11-11,436.82,437.18,419.91,421.24,420.406899402235,325294,0.0000,1.0
2022-11-10,431.97,436.88,421.67,436.28,435.41715428546,254105,0.0000,1.0
2022-11-09,421.06,425.475,416.93,418.18,417.35295126775,158593,0.0000,1.0
2022-11-08,414.29,426.36,413.99,422.76,421.923893246817,200334,0.0000,1.0
2022-11-07,409.76,415.75,407.845,414.21,413.390802871047,132304,0.0000,1.0
2022-11-04,416.07,416.74,403.22,408.45,407.642194617897,244298,0.0000,1.0
2022-11-03,411.88,421.66,410.07,412.52,411.704145241217,236034,0.0000,1.0
2022-11-02,424.47,429.695,414.34,415.26,414.438726250528,232811,0.0000,1.0
2022-11-01,427.94,430.1525,420.94,426.25,425.406990955756,263563,0.0000,1.0
2022-10-31,428.7,429.01,421.65,425.49,424.648494033466,306039,0.0000,1.0
2022-10-28,422.88,431.37,419.78,430.4,429.54878336037,215277,0.0000,1.0
2022-10-27,419.68,426.16,418.84,423.43,422.592568165152,191420,0.0000,1.0
2022-10-26,419.97,423.61,415.86,417.65,416.823999466678,216508,0.0000,1.0
2022-10-25,410.76,419.44,410.01,419.26,418.430815315215,357519,0.0000,1.0
2022-10-24,410.34,413.26,403.99,410.17,409.358792915713,184096,0.0000,1.0
2022-10-21,400.1,407.5,396.105,407.09,406.284884335904,163031,0.0000,1.0
2022-10-20,406.68,406.78,398.74,399.53,398.739836003644,174334,0.0000,1.0
2022-10-19,406.44,409.48,402.45,406.1,405.296842292393,169624,0.0000,1.0
2022-10-18,415.3,417.14,405.71,409.29,408.480533321482,226018,0.0000,1.0
2022-10-17,401.09,408.64,400.54,407.0,406.195062331948,185462,0.0000,1.0
2022-10-14,412.6,412.9175,393.84,394.58,393.799625786094,277059,0.0000,1.0
2022-10-13,394.65,410.74,389.65,409.06,408.250988200262,297437,0.0000,1.0
2022-10-12,415.04,415.04,401.46,401.66,400.86562343059,372807,0.0000,1.0
2022-10-11,411.63,417.66,408.815,414.71,413.889814004133,268337,0.0000,1.0
2022-10-10,416.7,416.7,405.59,412.78,411.963631030421,244424,0.0000,1.0
2022-10-07,413.57,414.89,409.64,413.69,412.871831292638,277728,0.0000,1.0
2022-10-06,423.61,426.59,417.89,419.25,418.420835092553,242414,0.0000,1.0
2022-10-05,419.12,427.785,418.56,423.8,422.961836403635,262548,0.0000,1.0
2022-10-04,412.71,422.68,412.5,422.31,421.474783227039,263604,0.0000,1.0
2022-10-03,401.21,411.58,401.21,408.12,407.312847270061,283672,0.0000,1.0
2022-09-30,399.92,406.61,396.875,400.11,399.318688918024,300689,0.0000,1.0
2022-09-29,391.16,398.27,385.08,396.86,396.075116552965,339749,0.0000,1.0
2022-09-28,393.39,398.47,390.22,393.06,392.282631941512,311078,0.0000,1.0
2022-09-27,392.01,396.43,386.14,391.13,390.356448967801,266415,0.0000,1.0
2022-09-26,391.94,394.9,385.2,388.42,387.651808626475,403096,0.0000,1.0
2022-09-23,393.38,398.76,385.39,392.67,391.893403257705,463802,0.0000,1.0
2022-09-22,413.01,417.7195,386.81,394.75,393.969289571343,1202242,0.0000,1.0
2022-09-21,442.79,446.785,430.22,430.45,429.598684473678,334961,0.0000,1.0
2022-09-20,443.51,445.37,437.66,441.64,440.766553632141,229346,0.0000,1.0
2022-09-19,442.66,446.67,439.9,446.46,445.57702095509,261201,0.0000,1.0
2022-09-16,443.11,447.02,438.44,446.02,445.137891157974,444013,0.0000,1.0
