timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,39.89,39.9,39.3,39.37,39.37,2826741,0.0000,1.0
2023-02-07,39.55,40.23,39.39,40.07,40.07,4830839,0.0000,1.0
2023-02-06,39.01,39.75,38.78,39.71,39.71,5329433,0.3900,1.0
2023-02-03,41.03,41.09,39.3,39.52,39.1356408977556,6981568,0.0000,1.0
2023-02-02,41.14,41.76,40.9,41.0,40.601246882793,6050565,0.0000,1.0
2023-02-01,40.74,41.31,40.43,41.14,40.739885286783,4235825,0.0000,1.0
2023-01-31,41.34,41.34,40.605,40.95,40.5517331670823,5723360,0.0000,1.0
2023-01-30,41.1,41.505,41.058,41.3,40.8983291770574,2513829,0.0000,1.0
2023-01-27,41.36,41.575,41.13,41.23,40.8290099750623,1573357,0.0000,1.0
2023-01-26,40.92,41.4,40.79,41.39,40.9874538653367,2085448,0.0000,1.0
2023-01-25,40.92,41.07,40.6,41.0,40.601246882793,4920492,0.0000,1.0
2023-01-24,41.2,41.6,40.91,41.18,40.7794962593516,5116320,0.0000,1.0
2023-01-23,41.46,41.94,41.055,41.14,40.739885286783,5870331,0.0000,1.0
2023-01-20,41.99,42.23,41.0,42.2,41.7895760598504,6142457,0.0000,1.0
2023-01-19,42.07,42.21,41.535,41.9,41.492493765586,4626492,0.0000,1.0
2023-01-18,43.11,43.11,41.945,42.12,41.7103541147132,7578677,0.0000,1.0
2023-01-17,42.89,43.31,42.75,42.99,42.5718927680798,5005727,0.0000,1.0
2023-01-13,43.14,43.14,42.57,42.73,42.314421446384,4147787,0.0000,1.0
2023-01-12,42.92,43.18,42.73,43.09,42.6709201995013,3257842,0.0000,1.0
2023-01-11,42.5,42.925,42.38,42.86,42.4431571072319,3092765,0.0000,1.0
2023-01-10,42.26,42.67,41.78,42.59,42.175783042394,4356255,0.0000,1.0
2023-01-09,42.28,42.555,41.99,42.4,41.9876309226933,3173666,0.0000,1.0
2023-01-06,42.08,42.39,41.935,42.37,41.9579226932668,2349297,0.0000,1.0
2023-01-05,42.1,42.14,41.44,41.68,41.2746334164589,4797555,0.0000,1.0
2023-01-04,42.15,42.54,41.935,42.34,41.9282144638404,3139403,0.0000,1.0
2023-01-03,41.97,42.11,41.41,42.03,41.6212294264339,2777345,0.0000,1.0
2022-12-30,42.2,42.3106,41.59,41.94,41.5321047381546,1669960,0.0000,1.0
2022-12-29,42.28,42.41,42.095,42.25,41.8390897755611,1167745,0.0000,1.0
2022-12-28,42.39,42.545,41.96,42.07,41.6608403990025,1547842,0.0000,1.0
2022-12-27,42.04,42.305,41.87,42.26,41.8489925187032,1092362,0.0000,1.0
2022-12-23,41.4,42.0,41.37,42.0,41.5915211970075,1493754,0.0000,1.0
2022-12-22,41.69,41.69,40.825,41.4,40.9973566084788,1905363,0.0000,1.0
2022-12-21,41.37,41.73,41.26,41.72,41.3142443890274,2627760,0.0000,1.0
2022-12-20,41.06,41.415,40.79,41.25,40.8488154613466,2489882,0.0000,1.0
