timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,126.69,130.25,125.67,128.47,128.47,1226324,0.0000,1.0
2023-02-07,125.73,127.105,124.88,126.13,126.13,1008745,0.0000,1.0
2023-02-06,126.97,126.97,124.16,126.13,126.13,1350257,0.0000,1.0
2023-02-03,128.55,129.065,127.035,127.39,127.39,1063347,0.0000,1.0
2023-02-02,131.1,131.565,125.78,128.72,128.72,1412996,0.0000,1.0
2023-02-01,132.79,133.35,131.095,132.43,132.43,747449,0.0000,1.0
2023-01-31,130.35,133.2,129.99,133.13,133.13,560748,0.0000,1.0
2023-01-30,132.0,133.37,129.2786,130.29,130.29,673542,0.0000,1.0
2023-01-27,130.61,132.94,130.59,132.22,132.22,769239,0.0000,1.0
2023-01-26,129.06,131.35,129.06,130.9,130.9,591415,0.0000,1.0
2023-01-25,127.89,129.61,126.53,128.88,128.88,366383,0.0000,1.0
2023-01-24,126.6,129.39,125.0,129.22,129.22,317422,0.0000,1.0
2023-01-23,128.39,128.81,126.56,127.48,127.48,500056,0.0000,1.0
2023-01-20,127.02,129.22,126.27,128.2,128.2,662788,0.0000,1.0
2023-01-19,126.42,127.32,125.77,126.57,126.57,400192,0.0000,1.0
2023-01-18,129.63,129.95,126.59,126.62,126.62,741286,0.0000,1.0
2023-01-17,130.32,131.72,128.28,128.63,128.63,876717,0.0000,1.0
2023-01-13,128.66,130.06,127.795,129.97,129.97,550051,0.0000,1.0
2023-01-12,131.57,131.65,129.04,129.38,129.38,547949,0.0000,1.0
2023-01-11,130.3,131.57,128.82,131.52,131.52,877241,0.0000,1.0
2023-01-10,129.5,130.3,127.77,128.7,128.7,651698,0.0000,1.0
2023-01-09,126.6,129.45,125.6,128.97,128.97,1042656,0.0000,1.0
2023-01-06,123.25,125.69,122.63,125.46,125.46,739536,0.0000,1.0
2023-01-05,122.16,123.309,120.17,121.7,121.7,993191,0.0000,1.0
2023-01-04,124.91,126.0,122.35,122.94,122.94,977594,0.0000,1.0
2023-01-03,124.87,125.735,123.75,124.92,124.92,735732,0.0000,1.0
2022-12-30,124.56,125.4,123.59,124.8,124.8,591561,0.0000,1.0
2022-12-29,124.57,126.05,124.57,124.94,124.94,430653,0.5800,1.0
2022-12-28,126.25,126.92,124.56,124.66,124.083973868706,422186,0.0000,1.0
