timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,110.07,110.31,108.21,109.19,109.19,522770,0.0000,1.0
2023-02-07,110.96,111.535,109.25,110.06,110.06,1177723,0.0000,1.0
2023-02-06,112.0,112.5,110.44,111.65,111.65,367484,0.0000,1.0
2023-02-03,112.91,113.68,111.38,113.04,113.04,630120,0.0000,1.0
2023-02-02,113.16,115.08,112.83,114.08,114.08,655757,0.0000,1.0
2023-02-01,111.3,112.56,109.09,112.04,112.04,809303,0.0000,1.0
2023-01-31,109.94,111.98,108.86,111.53,111.53,2776422,0.0000,1.0
2023-01-30,111.37,111.48,109.86,109.97,109.97,468716,0.0000,1.0
2023-01-27,110.24,111.82,110.17,111.38,111.38,660249,0.0000,1.0
2023-01-26,111.45,111.45,109.53,110.25,110.25,405229,0.0000,1.0
2023-01-25,109.64,110.48,108.65,110.48,110.48,390862,0.0000,1.0
2023-01-24,109.36,110.5,109.04,110.28,110.28,380565,0.0000,1.0
2023-01-23,107.77,109.63,107.2,109.4,109.4,288026,0.0000,1.0
2023-01-20,106.58,107.74,105.45,107.65,107.65,650016,0.0000,1.0
2023-01-19,107.79,109.28,106.47,106.52,106.52,501542,0.0000,1.0
2023-01-18,111.49,111.58,108.39,108.5,108.5,503314,0.0000,1.0
2023-01-17,109.11,111.03,109.11,110.86,110.86,483311,0.0000,1.0
2023-01-13,108.34,109.49,107.59,109.15,109.15,382368,0.0000,1.0
2023-01-12,107.55,109.89,106.85,109.59,109.59,648142,0.0000,1.0
2023-01-11,102.41,107.25,102.29,107.07,107.07,597775,0.0000,1.0
2023-01-10,102.32,102.37,100.14,101.83,101.83,455038,0.0000,1.0
2023-01-09,104.4,104.99,102.87,102.9,102.9,324112,0.0000,1.0
2023-01-06,103.78,104.87,103.51,104.24,104.24,363907,0.0000,1.0
2023-01-05,103.94,104.68,102.05,102.72,102.72,444143,0.0000,1.0
2023-01-04,103.35,105.62,103.35,105.06,105.06,491627,0.0000,1.0
2023-01-03,101.75,102.905,100.6,102.66,102.66,635863,0.0000,1.0
2022-12-30,100.83,101.47,99.945,101.04,101.04,409246,1.0800,1.0
2022-12-29,101.51,102.6,101.195,102.23,101.14883666275,368935,0.0000,1.0
2022-12-28,102.68,102.89,100.66,100.67,99.6053349001175,346951,0.0000,1.0
2022-12-27,102.38,102.85,101.79,102.52,101.435769682726,233480,0.0000,1.0
2022-12-23,101.0,102.38,100.43,102.34,101.257673325499,386708,0.0000,1.0
2022-12-22,101.16,101.41,99.025,101.25,100.179200940071,412866,0.0000,1.0
2022-12-21,101.81,103.23,101.4,101.76,100.683807285546,306834,0.0000,1.0
2022-12-20,100.91,101.23,99.51,100.88,99.8131139835488,410236,0.0000,1.0
2022-12-19,102.19,102.59,100.51,101.35,100.278143360752,497699,0.0000,1.0
2022-12-16,102.67,103.44,100.4764,102.53,101.445663924794,1344958,0.0000,1.0
2022-12-15,106.83,107.385,104.3,104.49,103.384935370153,829715,0.0000,1.0
2022-12-14,108.34,109.865,107.67,108.78,107.629565217391,657969,0.0000,1.0
2022-12-13,111.19,111.19,107.3,108.55,107.401997649824,731625,0.0000,1.0
2022-12-12,108.06,108.06,106.12,107.65,106.51151586369,482294,0.0000,1.0
2022-12-09,107.65,107.98,106.78,107.65,106.51151586369,333584,0.0000,1.0
2022-12-08,107.52,108.62,106.73,107.71,106.570881316099,372712,0.0000,1.0
2022-12-07,106.49,107.79,106.16,107.19,106.056380728555,405939,0.0000,1.0
2022-12-06,107.35,107.805,106.15,106.73,105.60124559342,446831,0.0000,1.0
2022-12-05,108.87,108.98,106.19,107.01,105.878284371328,491328,0.0000,1.0
2022-12-02,107.88,109.945,107.53,109.44,108.28258519389,902730,0.0000,1.0
2022-12-01,111.82,112.34,107.78,109.02,107.867027027027,596735,0.0000,1.0
2022-11-30,109.88,111.52,108.88,111.1,109.925029377203,616883,0.0000,1.0
2022-11-29,107.89,110.32,107.67,110.06,108.896028202115,409075,0.0000,1.0
2022-11-28,109.37,109.89,107.145,107.67,106.531304347826,289857,0.0000,1.0
2022-11-25,109.83,110.355,109.54,110.25,109.08401880141,181580,0.0000,1.0
2022-11-23,109.74,110.31,109.1,109.53,108.371633372503,256268,0.0000,1.0
2022-11-22,108.84,110.13,108.23,110.06,108.896028202115,330950,0.0000,1.0
2022-11-21,108.11,108.945,107.29,107.97,106.828131609871,347021,0.0000,1.0
2022-11-18,109.06,109.6165,107.67,108.41,107.26347826087,456973,0.0000,1.0
2022-11-17,104.64,107.67,104.45,107.59,106.452150411281,467047,0.0000,1.0
2022-11-16,106.74,107.15,105.435,106.08,104.958119858989,324715,0.0000,1.0
2022-11-15,106.75,108.0,106.29,107.74,106.600564042303,695123,0.0000,1.0
2022-11-14,107.0,107.71,105.48,105.48,104.3644653349,523046,0.0000,1.0
2022-11-11,107.28,107.96,105.725,107.77,106.630246768508,644388,0.0000,1.0
2022-11-10,104.74,107.58,103.95,107.07,105.937649823737,617574,0.0000,1.0
2022-11-09,102.94,103.56,100.83,100.95,99.8823736780259,631935,0.0000,1.0
2022-11-08,104.2,104.9,103.055,103.51,102.415299647474,520930,0.0000,1.0
2022-11-07,106.68,107.01,103.13,103.92,102.820963572268,672621,0.0000,1.0
2022-11-04,103.99,106.67,101.25,105.09,103.978589894242,988498,0.0000,1.0
2022-11-03,97.53,99.61,95.62,99.41,98.35866039953,578221,0.0000,1.0
2022-11-02,100.42,101.76,98.78,99.17,98.1211985898942,742233,0.0000,1.0
2022-11-01,99.46,101.48,98.805,100.8,99.7339600470035,614767,0.0000,1.0
2022-10-31,97.96,99.58,97.57,98.98,97.9332079905993,1113493,0.0000,1.0
2022-10-28,96.83,99.16,96.41,98.87,97.8243713278496,409828,0.0000,1.0
2022-10-27,96.81,97.84,96.24,96.77,95.746580493537,622206,0.0000,1.0
2022-10-26,96.96,97.59,95.55,95.74,94.727473560517,445897,0.0000,1.0
2022-10-25,93.28,96.88,93.28,96.65,95.6278495887192,612481,0.0000,1.0
2022-10-24,92.8,93.12,91.63,92.9,91.917508813161,459258,0.0000,1.0
2022-10-21,90.62,92.27,89.705,92.27,91.2941715628672,424704,0.0000,1.0
2022-10-20,91.23,92.4,90.49,90.55,89.5923619271445,325116,0.0000,1.0
2022-10-19,92.0,92.4771,90.52,91.23,90.2651703877791,627593,0.0000,1.0
2022-10-18,93.44,93.77,92.4,93.08,92.0956051703878,806318,0.0000,1.0
2022-10-17,90.95,92.195,90.57,91.77,90.7994594594595,1040321,0.0000,1.0
2022-10-14,91.99,92.59,88.92,89.17,88.2269565217391,577950,0.0000,1.0
2022-10-13,88.91,91.345,87.79,90.82,89.8595064629847,880020,0.0000,1.0
2022-10-12,90.76,90.86,89.63,90.4,89.4439482961222,864106,0.0000,1.0
2022-10-11,89.28,91.78,88.72,90.76,89.8001410105758,1034887,0.0000,1.0
2022-10-10,91.0,91.56,89.04,89.19,88.2467450058754,1274276,0.0000,1.0
2022-10-07,91.34,91.89,89.95,90.55,89.5923619271445,681471,0.0000,1.0
2022-10-06,92.98,93.48,91.82,91.94,90.9676615746181,555346,0.0000,1.0
2022-10-05,92.11,93.53,90.75,93.06,92.0758166862515,545813,0.0000,1.0
2022-10-04,91.87,93.91,91.87,93.55,92.5606345475911,775525,0.0000,1.0
2022-10-03,92.21,92.47,90.18,91.09,90.1266509988249,805470,0.0000,1.0
2022-09-30,89.54,90.79,88.83,90.12,89.1669095182139,1159306,0.0000,1.0
2022-09-29,89.96,90.08,86.92,88.79,87.8509753231492,844268,0.0000,1.0
2022-09-28,89.15,91.14,88.12,90.82,89.8595064629847,612734,0.0000,1.0
2022-09-27,88.91,89.53,87.79,87.91,86.9802820211516,694571,0.0000,1.0
2022-09-26,89.81,89.88,86.43,88.03,87.0990129259695,725849,0.0000,1.0
2022-09-23,89.18,90.71,88.42,90.42,89.4637367802585,929808,0.0000,1.0
2022-09-22,93.31,93.34,90.39,90.46,89.5033137485311,584788,0.0000,1.0
2022-09-21,95.85,96.9013,93.22,93.29,92.303384253819,518256,1.0800,1.0
2022-09-20,99.06,99.595,95.92,96.28,94.1715570197912,795195,0.0000,1.0
2022-09-19,99.16,100.56,98.9711,100.25,98.0546176904245,471462,0.0000,1.0
2022-09-16,99.7,100.69,98.48,100.34,98.1426467736378,1469701,0.0000,1.0
2022-09-15,100.38,101.35,99.76,99.98,97.7905304407845,901652,0.0000,1.0
2022-09-14,100.4,100.7,99.3386,100.34,98.1426467736378,1302294,0.0000,1.0
2022-09-13,103.05,103.56,100.53,100.98,98.7686313653772,809943,0.0000,1.0
2022-09-12,104.25,105.28,104.01,105.23,102.925560294896,636275,0.0000,1.0
2022-09-09,102.98,104.15,102.75,103.94,101.663810102172,685154,0.0000,1.0
2022-09-08,102.91,104.09,102.28,102.46,100.216220733775,688161,0.0000,1.0
2022-09-07,103.18,104.26,103.03,104.11,101.830087259353,587105,0.0000,1.0
2022-09-06,101.89,103.5,101.3,103.19,100.930234408727,978003,0.0000,1.0
2022-09-02,102.34,103.01,100.41,100.77,98.5632301712127,537139,0.0000,1.0
2022-09-01,100.24,101.35,99.1,101.29,99.071842652001,592232,0.0000,1.0
2022-08-31,103.37,103.74,101.14,101.27,99.0522806335091,607143,0.0000,1.0
2022-08-30,103.78,104.46,102.56,102.72,100.470526974169,476336,0.0000,1.0
2022-08-29,104.37,104.75,103.45,103.63,101.360598815548,465735,0.0000,1.0
