timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,68.86,69.59,68.34,69.1,69.1,2185543,0.0000,1.0
2023-02-07,68.68,69.485,68.25,69.33,69.33,2091243,0.0000,1.0
2023-02-06,68.54,69.48,68.51,68.94,68.94,2724947,0.0000,1.0
2023-02-03,67.28,69.2,67.0,69.08,69.08,3939046,0.0000,1.0
2023-02-02,66.75,68.56,65.891,67.81,67.81,3760269,0.0000,1.0
2023-02-01,68.01,68.99,64.68,65.87,65.87,4822865,0.0000,1.0
2023-01-31,66.53,68.05,66.2,68.03,68.03,3156207,0.0000,1.0
2023-01-30,66.8,66.995,66.051,66.23,66.23,1743923,0.0000,1.0
2023-01-27,66.65,67.52,66.465,67.01,67.01,1105041,0.0000,1.0
2023-01-26,67.31,67.44,66.225,66.92,66.92,1082236,0.0000,1.0
2023-01-25,66.47,66.96,65.365,66.76,66.76,1414270,0.0000,1.0
2023-01-24,66.87,67.49,65.32,67.24,67.24,1239235,0.0000,1.0
2023-01-23,65.62,67.03,65.25,66.87,66.87,1643942,0.0000,1.0
2023-01-20,65.46,66.2,63.05,65.45,65.45,3902293,0.0000,1.0
2023-01-19,66.79,66.83,65.085,65.12,65.12,2220167,0.0000,1.0
2023-01-18,67.55,67.97,66.26,66.34,66.34,1639720,0.0000,1.0
2023-01-17,67.64,67.98,67.32,67.33,67.33,1606998,0.0000,1.0
2023-01-13,66.62,67.76,66.62,67.43,67.43,1101238,0.0000,1.0
2023-01-12,67.37,67.37,66.52,67.08,67.08,891310,0.0000,1.0
2023-01-11,66.51,67.05,66.035,67.01,67.01,1188425,0.0000,1.0
2023-01-10,65.62,66.28,65.52,66.12,66.12,1103880,0.0000,1.0
2023-01-09,65.9,66.76,65.49,65.81,65.81,1513225,0.0000,1.0
2023-01-06,64.7,65.73,64.55,65.54,65.54,1325422,0.0000,1.0
2023-01-05,64.77,65.09,63.81,63.93,63.93,1605556,0.0000,1.0
2023-01-04,64.9,65.67,64.43,65.22,65.22,1558556,0.0000,1.0
2023-01-03,64.75,65.075,63.6,64.27,64.27,1623872,0.0000,1.0
2022-12-30,64.29,64.79,63.68,64.25,64.25,962331,0.0000,1.0
2022-12-29,64.03,65.15,63.5,64.75,64.75,923886,0.0000,1.0
2022-12-28,64.55,64.65,63.43,63.45,63.45,736390,0.0000,1.0
2022-12-27,64.39,64.66,63.8625,64.32,64.32,732303,0.0000,1.0
2022-12-23,63.85,64.28,63.37,64.15,64.15,960262,0.0000,1.0
2022-12-22,64.52,64.665,62.72,63.94,63.94,928995,0.0000,1.0
2022-12-21,64.27,65.2,64.1525,65.07,65.07,1241602,0.0000,1.0
2022-12-20,63.61,63.98,63.39,63.82,63.82,1223312,0.0000,1.0
2022-12-19,63.68,64.44,63.33,63.61,63.61,1855313,0.0000,1.0
2022-12-16,63.65,64.25,63.47,63.84,63.84,2208034,0.0000,1.0
2022-12-15,65.88,66.42,64.0,64.37,64.37,2424155,0.0000,1.0
2022-12-14,67.74,68.36,66.54,66.86,66.86,1859434,0.0000,1.0
2022-12-13,69.0,69.0,67.24,67.76,67.76,1806988,0.0000,1.0
2022-12-12,66.04,67.2,65.775,67.03,67.03,1119304,0.0000,1.0
2022-12-09,66.71,67.0,65.71,65.72,65.72,1787662,0.0000,1.0
2022-12-08,66.66,66.9,66.12,66.56,66.56,1116288,0.0000,1.0
2022-12-07,66.53,66.955,66.19,66.41,66.41,1311943,0.0000,1.0
2022-12-06,67.07,67.36,65.98,66.53,66.53,1332549,0.0000,1.0
2022-12-05,67.31,67.6,66.698,67.22,67.22,1512832,0.0000,1.0
2022-12-02,67.04,68.44,66.8807,68.24,68.24,1357920,0.0000,1.0
2022-12-01,68.01,68.4,67.45,67.89,67.89,1527278,0.0000,1.0
2022-11-30,65.65,67.57,64.68,67.55,67.55,3676345,0.0000,1.0
2022-11-29,65.56,65.84,65.0,65.6,65.6,1346219,0.0700,1.0
2022-11-28,67.45,67.57,65.47,65.65,65.5800213187148,1297374,0.0000,1.0
