timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,21.81,22.16,21.46,21.49,21.49,4300785,0.0000,1.0
2023-02-07,21.25,21.91,21.21,21.84,21.84,5433337,0.0000,1.0
2023-02-06,21.455,21.54,20.94,21.305,21.305,4990397,0.0000,1.0
2023-02-03,23.11,23.21,21.1,21.3,21.3,8018256,0.0000,1.0
2023-02-02,23.56,23.74,23.25,23.57,23.57,4030616,0.0000,1.0
2023-02-01,22.85,23.475,22.76,23.36,23.36,3661441,0.0000,1.0
2023-01-31,22.71,23.04,22.54,23.01,23.01,4537742,0.0000,1.0
2023-01-30,22.79,22.8,22.54,22.69,22.69,3053736,0.0000,1.0
2023-01-27,22.67,22.92,22.51,22.84,22.84,2069828,0.0000,1.0
2023-01-26,22.73,22.89,22.52,22.71,22.71,2962623,0.0000,1.0
2023-01-25,22.47,22.69,22.235,22.6,22.6,1509259,0.0000,1.0
2023-01-24,22.82,22.97,22.59,22.66,22.66,1524791,0.0000,1.0
2023-01-23,22.5,22.89,22.43,22.81,22.81,1703277,0.0000,1.0
2023-01-20,21.89,22.47,21.79,22.43,22.43,3580475,0.0000,1.0
2023-01-19,22.26,22.37,21.93,21.94,21.94,2512122,0.0000,1.0
2023-01-18,22.55,22.65,22.29,22.33,22.33,2888798,0.0000,1.0
2023-01-17,22.51,22.765,22.3,22.59,22.59,3119308,0.0000,1.0
2023-01-13,21.78,22.44,21.72,22.37,22.37,2168309,0.0000,1.0
2023-01-12,21.99,22.1,21.79,21.96,21.96,2406504,0.0000,1.0
2023-01-11,21.72,22.02,21.39,21.99,21.99,3543261,0.0000,1.0
2023-01-10,21.54,21.71,21.34,21.6,21.6,2753993,0.0000,1.0
2023-01-09,21.49,22.03,21.395,21.49,21.49,3122495,0.0000,1.0
2023-01-06,21.22,21.58,20.92,21.5,21.5,3234897,0.0000,1.0
2023-01-05,21.53,21.56,20.935,21.1,21.1,3391193,0.0000,1.0
2023-01-04,21.73,21.94,21.49,21.87,21.87,2590702,0.0000,1.0
2023-01-03,21.43,21.77,21.225,21.62,21.62,2632921,0.0000,1.0
2022-12-30,21.16,21.455,21.0,21.43,21.43,1760876,0.0000,1.0
2022-12-29,20.73,21.36,20.7,21.25,21.25,2234513,0.0000,1.0
2022-12-28,21.45,21.57,20.87,20.88,20.88,2232696,0.0000,1.0
2022-12-27,21.3,21.5,21.21,21.43,21.43,1909299,0.0000,1.0
2022-12-23,21.22,21.38,21.17,21.3,21.3,1194594,0.0000,1.0
2022-12-22,21.27,21.345,21.04,21.31,21.31,2151149,0.0000,1.0
2022-12-21,21.52,21.73,21.37,21.51,21.51,2454276,0.0000,1.0
2022-12-20,21.5,21.63,21.3,21.49,21.49,3140356,0.0000,1.0
2022-12-19,21.72,21.81,21.34,21.58,21.58,4485734,0.0000,1.0
2022-12-16,21.83,21.8446,21.39,21.61,21.61,10514909,0.0000,1.0
2022-12-15,22.89,22.93,21.845,21.93,21.93,3292836,0.0000,1.0
2022-12-14,23.18,23.29,22.8,22.99,22.99,2275245,0.0000,1.0
2022-12-13,23.41,23.62,22.87,23.01,23.01,3033355,0.0000,1.0
2022-12-12,22.55,23.15,22.53,23.13,23.13,2426850,0.0000,1.0
2022-12-09,22.78,23.23,22.645,22.67,22.67,2603422,0.0000,1.0
2022-12-08,22.65,23.09,22.5282,22.79,22.79,2962922,0.0000,1.0
