timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,85.4,86.03,85.29,85.67,85.67,7376549,0.0000,1.0
2023-02-07,86.6,86.69,85.38,86.05,86.05,7298804,0.0000,1.0
2023-02-06,84.5,87.18,84.5,86.36,86.36,7611135,0.0000,1.0
2023-02-03,84.655,86.97,83.6201,84.5,84.5,12852404,0.0000,1.0
2023-02-02,82.365,82.5,80.48,81.39,81.39,10933779,0.0000,1.0
2023-02-01,84.01,84.655,82.7,84.0,84.0,6673648,0.0000,1.0
2023-01-31,83.52,84.21,83.225,83.94,83.94,9621752,0.0000,1.0
2023-01-30,83.52,83.84,82.3301,83.35,83.35,7283048,0.0000,1.0
2023-01-27,83.33,83.97,83.11,83.73,83.73,4108412,0.0000,1.0
2023-01-26,83.76,83.81,82.61,83.62,83.62,3670867,0.0000,1.0
2023-01-25,84.15,84.55,83.56,84.07,84.07,3892838,0.0000,1.0
2023-01-24,83.43,84.08,82.11,84.02,84.02,4776447,0.0000,1.0
2023-01-23,82.76,84.38,82.42,83.23,83.23,5673156,0.0000,1.0
2023-01-20,83.54,83.8,82.51,83.01,83.01,16678603,0.0000,1.0
2023-01-19,84.17,84.58,83.2514,83.62,83.62,6922528,0.0000,1.0
2023-01-18,85.02,85.125,83.6,83.74,83.74,6374849,0.0000,1.0
2023-01-17,86.05,86.365,85.36,85.41,85.41,5959790,0.0000,1.0
2023-01-13,85.54,86.3,85.325,86.27,86.27,5305720,0.0000,1.0
2023-01-12,86.5,86.59,85.08,85.72,85.72,6013291,0.0000,1.0
2023-01-11,87.12,87.2,86.02,87.19,87.19,5947077,0.0000,1.0
2023-01-10,85.2,87.53,84.86,87.14,87.14,5034520,0.0000,1.0
2023-01-09,87.77,87.9,84.95,85.1,85.1,5435709,0.0000,1.0
2023-01-06,86.61,88.29,86.22,88.08,88.08,5939532,0.0000,1.0
2023-01-05,85.01,86.41,85.0,85.85,85.85,5710937,0.0000,1.0
2023-01-04,86.2,86.5,84.94,85.5,85.5,5713869,0.0000,1.0
2023-01-03,85.08,86.145,84.83,85.39,85.39,6050632,0.0000,1.0
2022-12-30,85.33,85.89,84.78,85.85,85.85,3830991,0.0000,1.0
2022-12-29,84.91,85.57,84.61,85.26,85.26,3464099,0.0000,1.0
2022-12-28,85.4,85.83,84.45,84.57,84.57,3286089,0.0000,1.0
2022-12-27,85.25,85.47,84.69,85.01,85.01,3455858,0.0000,1.0
2022-12-23,85.22,85.245,84.28,84.75,84.75,3955516,0.0000,1.0
2022-12-22,85.245,85.47,84.37,85.28,85.28,4698821,0.0000,1.0
2022-12-21,85.25,85.912,84.855,85.27,85.27,5320945,0.0000,1.0
2022-12-20,83.642,85.26,81.81,84.77,84.77,10999002,0.0000,1.0
2022-12-19,86.0,86.62,85.4291,86.42,86.42,5834828,0.0000,1.0
2022-12-16,86.34,87.12,85.8,86.76,86.76,28312981,0.0000,1.0
2022-12-15,88.05,88.1,85.385,86.58,86.58,9898601,0.0000,1.0
2022-12-14,88.0,89.29,87.52,88.4,88.4,8643534,0.7300,1.0
2022-12-13,89.63,89.74,87.94,88.75,88.0231123078649,8462162,0.0000,1.0
2022-12-12,87.85,88.56,87.43,88.54,87.8148322674745,5968636,0.0000,1.0
2022-12-09,89.265,89.265,87.79,87.97,87.2495007292719,8276293,0.0000,1.0
2022-12-08,87.87,89.61,87.56,89.47,88.7372153034893,6392403,0.0000,1.0
2022-12-07,88.03,88.55,87.365,87.79,87.0709749803658,8861858,0.0000,1.0
2022-12-06,87.99,88.67,87.14,87.96,87.2395826321104,6760661,0.0000,1.0
2022-12-05,87.84,89.1,87.47,87.98,87.2594188264333,6811532,0.0000,1.0
2022-12-02,86.7,89.07,86.55,89.03,88.3008190283855,6730367,0.0000,1.0
2022-12-01,88.2,88.965,87.72,87.9,87.1800740491417,8220595,0.0000,1.0
2022-11-30,85.755,88.15,85.01,87.83,87.1106473690116,14657475,0.0000,1.0
2022-11-29,85.5,85.87,84.705,85.76,85.0576012565915,6155566,0.0000,1.0
2022-11-28,86.92,88.2,85.08,85.21,84.5121059127118,9253951,0.0000,1.0
2022-11-25,85.04,86.41,84.76,86.26,85.553506114664,4028739,0.0000,1.0
2022-11-23,85.06,85.94,85.01,85.42,84.7203859531022,4680778,0.0000,1.0
2022-11-22,84.65,86.15,84.54,85.23,84.5319421070347,7357716,0.0000,1.0
2022-11-21,83.76,85.17,83.64,84.35,83.6591495568271,6348095,0.0000,1.0
2022-11-18,83.63,84.06,82.985,83.62,82.9351284640413,7276411,0.0000,1.0
2022-11-17,82.55,83.83,82.47,83.62,82.9351284640413,5759620,0.0000,1.0
2022-11-16,82.68,83.4399,82.54,82.88,82.201189274094,6280462,0.0000,1.0
2022-11-15,83.135,83.64,81.98,83.0,82.3202064400314,7121026,0.0000,1.0
2022-11-14,81.65,84.14,81.23,82.85,82.1714349826097,7665185,0.0000,1.0
2022-11-11,81.41,81.98,80.07,81.82,81.1498709749804,11413397,0.0000,1.0
2022-11-10,83.5,83.8,81.56,82.6,81.9234825535734,9397262,0.0000,1.0
2022-11-09,82.5,83.55,82.18,82.32,81.6457758330528,10316541,0.0000,1.0
2022-11-08,80.6,83.8,80.08,82.23,81.5565129585998,9344374,0.0000,1.0
2022-11-07,79.555,81.555,79.51,81.46,80.7928194771682,8989302,0.0000,1.0
2022-11-04,79.14,81.32,78.39,80.34,79.6819925950858,9103264,0.0000,1.0
2022-11-03,77.325,79.57,77.16,79.46,78.8092000448783,8261087,0.0000,1.0
2022-11-02,78.18,80.0,77.81,77.88,77.2421406933692,9785887,0.0000,1.0
2022-11-01,78.26,79.55,77.66,79.34,78.6901828789409,10553079,0.0000,1.0
2022-10-31,78.06,79.37,77.53,78.46,77.8173903287333,14674329,0.0000,1.0
2022-10-28,74.36,79.6058,73.99,79.27,78.6207561988107,27665657,0.0000,1.0
2022-10-27,70.85,71.255,70.14,70.2,69.625042073376,8881238,0.0000,1.0
2022-10-26,70.0,71.41,69.88,70.82,70.2399640973858,8763945,0.0000,1.0
2022-10-25,68.84,69.71,68.48,69.6,69.029956243689,6711788,0.0000,1.0
2022-10-24,68.11,69.37,68.09,69.0,68.434870414002,7133103,0.0000,1.0
2022-10-21,66.18,67.94,66.11,67.79,67.2347806574666,7814764,0.0000,1.0
2022-10-20,66.16,66.54,65.7,66.16,65.6181308201503,6384252,0.0000,1.0
2022-10-19,66.85,66.97,65.85,66.19,65.6478851116347,7058586,0.0000,1.0
2022-10-18,66.54,67.075,66.44,66.87,66.3223157186133,6802276,0.0000,1.0
2022-10-17,66.84,66.93,65.94,66.38,65.8363289577022,5799578,0.0000,1.0
2022-10-14,66.63,67.0,66.02,66.17,65.6280489173118,7892191,0.0000,1.0
2022-10-13,64.46,66.95,64.1,66.46,65.9156737349938,7690359,0.0000,1.0
2022-10-12,65.85,66.37,65.31,65.39,64.8544373387187,6406215,0.0000,1.0
2022-10-11,64.495,66.04,64.48,65.67,65.1321440592393,7154536,0.0000,1.0
2022-10-10,64.57,64.845,64.115,64.46,63.9320543027039,4328504,0.0000,1.0
2022-10-07,64.64,65.095,63.96,64.29,63.7634466509593,6723216,0.0000,1.0
2022-10-06,64.89,65.36,64.61,64.95,64.418041063615,5622487,0.0000,1.0
2022-10-05,64.72,65.9675,64.38,65.45,64.9139459216874,5802318,0.0000,1.0
2022-10-04,64.09,65.36,63.6,65.31,64.7750925614271,11966037,0.0000,1.0
2022-10-03,62.4,62.57,61.445,62.32,61.8095815101537,8094076,0.0000,1.0
2022-09-30,63.16,63.58,61.61,61.69,61.1847413889824,8794843,0.0000,1.0
2022-09-29,63.83,64.22,62.51,63.07,62.5534387972624,8431237,0.0000,1.0
2022-09-28,63.0,64.37,62.71,63.93,63.4063951531471,7567551,0.0000,1.0
2022-09-27,62.43,63.52,62.28,62.63,62.1170425221586,7126010,0.0000,1.0
2022-09-26,62.51,62.94,62.165,62.34,61.8294177044766,6141351,0.0000,1.0
2022-09-23,63.49,63.785,62.3,62.86,62.345158756872,7603791,0.0000,1.0
2022-09-22,63.35,64.3159,62.93,63.77,63.2477055985639,6085746,0.0000,1.0
2022-09-21,64.58,65.525,63.46,63.5,62.9799169752048,8776645,0.0000,1.0
2022-09-20,65.41,65.48,63.89,64.58,64.0510714686413,6958886,0.0000,1.0
2022-09-19,65.35,65.855,64.6,65.82,65.2809155166611,6162690,0.0000,1.0
2022-09-16,65.08,65.93,64.81,65.6,65.0627173791092,11766023,0.0000,1.0
2022-09-15,65.5,65.7,64.7142,65.0,64.4676315494222,7088500,0.0000,1.0
2022-09-14,64.41,65.46,64.41,65.18,64.6461572983283,9113211,0.7300,1.0
2022-09-13,67.4,67.4,64.93,65.1,63.8516892750898,11799360,0.0000,1.0
2022-09-12,68.425,68.88,67.48,68.01,66.705889210428,18777872,0.0000,1.0
2022-09-09,64.98,65.77,64.89,65.28,64.0282377246984,6497023,0.0000,1.0
2022-09-08,65.41,65.65,64.69,65.1,63.8516892750898,8278399,0.0000,1.0
2022-09-07,63.67,64.96,63.56,64.79,63.5476336118751,9626643,0.0000,1.0
2022-09-06,63.78,63.84,62.8,63.39,62.1744790038087,7363618,0.0000,1.0
2022-09-02,65.04,65.29,63.37,63.82,62.5962336334291,6737283,0.0000,1.0
2022-09-01,63.41,65.0,63.32,64.95,63.7045655670827,6269595,0.0000,1.0
2022-08-31,62.695,63.965,62.695,63.47,62.2529449814125,8341624,0.0000,1.0
2022-08-30,62.51,62.69,61.785,62.5,61.3015450029664,5584796,0.0000,1.0
2022-08-29,62.13,62.86,61.4842,62.45,61.2525037669641,5178118,0.0000,1.0
2022-08-26,63.59,63.62,62.35,62.37,61.1740377893603,5501273,0.0000,1.0
