timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,168.0,170.49,167.19,169.46,169.46,975064,0.0000,1.0
2023-02-07,168.67,169.5,166.38,168.97,168.97,642509,0.0000,1.0
2023-02-06,168.08,169.64,167.12,169.18,169.18,1443176,0.0000,1.0
2023-02-03,170.54,170.9,168.26,168.29,168.29,847930,0.0000,1.0
2023-02-02,168.54,170.92,167.65,170.75,170.75,1178280,0.0000,1.0
2023-02-01,167.17,169.2,165.7309,168.57,168.57,857771,0.0000,1.0
2023-01-31,167.15,167.83,165.9,167.82,167.82,938810,0.0000,1.0
2023-01-30,165.88,167.75,165.84,166.61,166.61,661991,0.0000,1.0
2023-01-27,168.14,168.14,165.15,165.94,165.94,832855,0.0000,1.0
2023-01-26,167.0,168.19,166.37,167.99,167.99,722854,0.0000,1.0
2023-01-25,164.65,166.63,163.93,166.47,166.47,653216,0.0000,1.0
2023-01-24,163.1,166.75,162.05,165.44,165.44,816158,0.0000,1.0
2023-01-23,162.69,163.93,161.3,162.7,162.7,768748,0.0000,1.0
2023-01-20,161.81,162.05,159.975,161.74,161.74,1347711,0.0000,1.0
2023-01-19,165.79,165.79,161.27,161.37,161.37,1024394,0.0000,1.0
2023-01-18,169.03,170.0,165.89,166.2,166.2,834714,0.0000,1.0
2023-01-17,170.17,170.66,168.07,168.54,168.54,797995,0.0000,1.0
2023-01-13,168.22,170.1,168.1,169.56,169.56,1075021,0.0000,1.0
2023-01-12,169.34,169.67,167.54,168.95,168.95,1038840,0.0000,1.0
2023-01-11,170.15,171.205,169.04,169.16,169.16,1150124,0.0000,1.0
2023-01-10,170.55,170.99,168.09,169.75,169.75,917761,0.0000,1.0
2023-01-09,171.27,173.035,170.23,170.41,170.41,874142,0.0000,1.0
2023-01-06,170.05,171.34,169.0548,170.84,170.84,1042364,0.0000,1.0
2023-01-05,171.58,171.7,167.4,168.57,168.57,995744,0.0000,1.0
2023-01-04,169.71,172.35,169.525,171.94,171.94,1133545,0.0000,1.0
2023-01-03,173.18,173.18,168.92,169.81,169.81,1924388,0.0000,1.0
2022-12-30,174.8,174.8,172.0829,173.51,173.51,680809,0.0000,1.0
2022-12-29,175.7,176.48,174.93,175.24,175.24,454682,0.0000,1.0
2022-12-28,177.29,178.36,175.11,175.19,175.19,428481,0.0000,1.0
2022-12-27,177.3,178.25,176.605,177.29,177.29,545363,0.0000,1.0
2022-12-23,174.99,176.59,174.07,176.57,176.57,385217,0.0000,1.0
2022-12-22,176.73,176.89,173.45,174.99,174.99,615621,0.0000,1.0
2022-12-21,176.6,178.58,175.9,177.96,177.96,494308,0.0000,1.0
2022-12-20,176.11,176.93,175.19,175.63,175.63,712146,0.0000,1.0
2022-12-19,177.14,177.835,174.885,175.87,175.87,604854,0.0000,1.0
2022-12-16,177.04,178.08,174.645,176.81,176.81,1663602,0.0000,1.0
2022-12-15,177.93,179.135,176.94,178.76,178.76,893791,0.0000,1.0
2022-12-14,178.4,180.96,177.55,179.08,179.08,851291,0.0000,1.0
2022-12-13,184.8,184.8,177.15,178.05,178.05,1398245,0.0000,1.0
2022-12-12,178.43,182.02,177.291,182.02,182.02,1116905,0.0000,1.0
2022-12-09,184.55,185.735,181.94,182.26,182.26,910388,0.0000,1.0
2022-12-08,183.73,186.3,183.525,185.63,185.63,971849,0.0000,1.0
2022-12-07,182.4,184.74,181.93,182.86,182.86,800109,0.0000,1.0
2022-12-06,184.87,186.5,180.88,182.66,182.66,951882,0.0000,1.0
2022-12-05,185.65,185.68,183.2,184.92,184.92,980822,0.0000,1.0
2022-12-02,184.14,187.725,182.83,187.28,187.28,864495,0.0000,1.0
2022-12-01,183.12,185.4,182.47,184.9,184.9,841877,0.8950,1.0
2022-11-30,180.04,183.33,178.64,183.33,182.446874243117,1679929,0.0000,1.0
2022-11-29,182.94,183.72,180.22,180.55,179.680265884443,1212178,0.0000,1.0
2022-11-28,185.05,185.49,183.04,183.23,182.347355956834,828010,0.0000,1.0
2022-11-25,184.52,186.11,183.97,186.1,185.203530773164,404365,0.0000,1.0
2022-11-23,183.96,185.0,183.7,183.92,183.034032132189,575513,0.0000,1.0
2022-11-22,183.56,184.875,182.64,183.99,183.103694932587,722317,0.0000,1.0
2022-11-21,180.83,183.7394,180.2001,182.29,181.411884065771,620988,0.0000,1.0
2022-11-18,181.3,181.885,179.02,180.68,179.809639656611,785981,0.0000,1.0
2022-11-17,178.7,179.5,176.545,179.4,178.535805592185,884297,0.0000,1.0
2022-11-16,178.32,182.85,177.16,179.9,179.033397023601,937419,0.0000,1.0
2022-11-15,181.27,182.09,178.5,181.43,180.556026803735,921216,0.0000,1.0
2022-11-14,177.77,182.155,177.41,179.77,178.904023251433,884637,0.0000,1.0
2022-11-11,182.57,183.48,177.23,177.96,177.102742269706,1162977,0.0000,1.0
2022-11-10,182.71,183.0,180.32,182.2,181.322317608116,1092675,0.0000,1.0
2022-11-09,180.07,181.345,177.79,178.38,177.520719072096,978120,0.0000,1.0
2022-11-08,180.65,182.23,178.69,180.57,179.700169541699,692809,0.0000,1.0
2022-11-07,178.36,180.16,177.85,180.02,179.152818967141,680650,0.0000,1.0
2022-11-04,179.04,179.74,176.03,178.2,177.341586156786,599646,0.0000,1.0
2022-11-03,173.82,177.8,173.28,177.05,176.197125864528,802213,0.0000,1.0
2022-11-02,178.7,179.07,175.07,175.07,174.226663796119,1101965,0.0000,1.0
2022-11-01,178.42,179.97,176.46,179.25,178.38652816276,822493,0.0000,1.0
2022-10-31,177.94,179.805,176.9,177.86,177.003223983423,1841625,0.0000,1.0
2022-10-28,175.49,179.635,175.38,178.86,177.998406846255,864182,0.0000,1.0
2022-10-27,172.5,175.2,172.5,174.98,174.137097338464,1043361,0.0000,1.0
2022-10-26,172.4,172.86,169.31,171.28,170.454920745983,995169,0.0000,1.0
2022-10-25,169.94,172.01,168.13,171.65,170.823138405232,1441723,0.0000,1.0
2022-10-24,163.58,170.61,163.58,170.55,169.728437256116,1331704,0.0000,1.0
2022-10-21,158.75,162.36,157.62,162.35,161.567937780888,998626,0.0000,1.0
2022-10-20,161.75,161.75,154.6901,157.87,157.109518555397,1358887,0.0000,1.0
2022-10-19,159.98,160.89,157.8533,158.97,158.204219704513,868348,0.0000,1.0
2022-10-18,161.15,162.3456,158.595,160.63,159.856223256815,854572,0.0000,1.0
2022-10-17,156.04,158.665,155.87,158.24,157.477736214645,845589,0.0000,1.0
2022-10-14,157.47,157.97,154.411,154.49,153.745800479023,907242,0.0000,1.0
2022-10-13,152.73,157.69,151.64,156.54,155.78592534783,714032,0.0000,1.0
2022-10-12,156.78,157.27,154.88,154.92,154.173729110041,653030,0.0000,1.0
2022-10-11,154.91,157.935,154.7,156.78,156.024769234909,1221638,0.0000,1.0
2022-10-10,154.74,155.465,153.31,154.5,153.755752307651,560719,0.0000,1.0
2022-10-07,155.71,155.71,153.09,153.87,153.128787104066,679074,0.0000,1.0
2022-10-06,157.51,158.48,156.36,156.83,156.074528378051,604421,0.0000,1.0
2022-10-05,155.63,158.54,154.92,157.51,156.751252724777,771549,0.0000,1.0
2022-10-04,154.65,156.69,154.44,156.47,155.716262547431,784192,0.0000,1.0
2022-10-03,150.73,154.1,150.0296,152.91,152.173411555747,804794,0.0000,1.0
2022-09-30,150.01,151.545,148.34,149.32,148.600705078178,905029,0.0000,1.0
2022-09-29,151.11,151.155,148.99,149.7,148.978874566054,861917,0.0000,1.0
2022-09-28,149.65,153.79,148.76,152.67,151.934567668667,828094,0.0000,1.0
2022-09-27,150.36,151.26,147.7,148.64,147.923980731451,744564,0.0000,1.0
2022-09-26,151.0,151.86,148.77,149.13,148.411620334239,971956,0.0000,1.0
2022-09-23,153.0,153.46,149.71,151.04,150.31241960225,920776,0.0000,1.0
2022-09-22,155.84,155.84,153.62,154.32,153.576619392341,808002,0.0000,1.0
2022-09-21,158.3,160.255,155.59,155.6,154.850453456767,675874,0.0000,1.0
2022-09-20,157.07,157.74,155.15,157.15,156.392986894158,720207,0.0000,1.0
2022-09-19,154.16,158.61,154.16,158.53,157.766339244867,1037551,0.0000,1.0
2022-09-16,153.27,155.78,152.6829,154.68,153.934885222961,2068304,0.0000,1.0
2022-09-15,156.6,156.925,153.66,154.41,153.666185849996,1002680,0.0000,1.0
2022-09-14,158.7,158.9271,155.29,156.29,155.537129632121,898250,0.0000,1.0
2022-09-13,160.76,161.92,157.7,157.94,157.179181355795,1093048,0.0000,1.0
2022-09-12,163.51,164.99,162.6,163.15,162.364084071154,925202,0.0000,1.0
2022-09-09,162.34,163.5,162.18,162.8,162.015770069162,971490,0.0000,1.0
2022-09-08,161.07,162.07,160.32,161.94,161.159912807126,1327028,0.0000,1.0
2022-09-07,157.66,162.38,157.66,161.95,161.169864635754,1572713,0.0000,1.0
2022-09-06,157.3,158.15,155.105,157.39,156.631830781237,1110137,0.0000,1.0
2022-09-02,157.76,159.715,156.67,157.25,156.492505180441,1455368,0.0000,1.0
2022-09-01,154.71,156.82,154.38,156.78,156.024769234909,822502,0.8950,1.0
2022-08-31,156.21,157.1756,155.3138,156.01,154.377195169419,937701,0.0000,1.0
2022-08-30,157.28,158.03,155.68,156.21,154.575101964073,910610,0.0000,1.0
2022-08-29,155.37,157.83,154.3028,157.15,155.505263898944,716637,0.0000,1.0
2022-08-26,160.06,160.42,156.355,156.42,154.782904098459,716364,0.0000,1.0
2022-08-25,157.62,159.895,157.165,159.72,158.048366210241,693968,0.0000,1.0
2022-08-24,156.95,158.05,155.81,157.27,155.624007975736,722829,0.0000,1.0
2022-08-23,157.3,158.755,156.76,157.74,156.089088943172,641396,0.0000,1.0
2022-08-22,158.39,159.18,155.53,156.95,155.307357104291,866027,0.0000,1.0
2022-08-19,159.43,161.04,158.76,159.85,158.177005626766,1757086,0.0000,1.0
2022-08-18,160.56,161.45,159.255,159.97,158.295749703558,610890,0.0000,1.0
2022-08-17,158.31,161.34,157.59,160.59,158.909260766983,648361,0.0000,1.0
2022-08-16,158.51,160.25,158.4,159.15,157.484331845479,662676,0.0000,1.0
2022-08-15,157.4,159.465,157.02,158.48,156.82134408339,530379,0.0000,1.0
2022-08-12,156.46,158.1,156.46,158.1,156.445321173548,551955,0.0000,1.0
2022-08-11,156.0,157.54,155.58,156.61,154.97091555338,1025031,0.0000,1.0
2022-08-10,153.9,155.6,153.8905,154.96,153.338184497489,803842,0.0000,1.0
2022-08-09,151.91,152.98,151.2,152.07,150.478431314747,925226,0.0000,1.0
2022-08-08,152.0,153.338,151.51,151.9,150.310210539291,616366,0.0000,1.0
2022-08-05,148.98,151.2625,148.54,150.98,149.399839283885,684381,0.0000,1.0
2022-08-04,150.85,151.65,149.83,149.93,148.360828611955,847589,0.0000,1.0
2022-08-03,151.49,152.0,150.29,151.03,149.449315982549,728864,0.0000,1.0
2022-08-02,152.93,152.93,150.22,150.76,149.182141809767,843793,0.0000,1.0
2022-08-01,151.94,154.13,151.66,152.93,151.329430531756,960760,0.0000,1.0
2022-07-29,149.74,153.65,149.37,152.87,151.27005849336,2084782,0.0000,1.0
2022-07-28,146.5,150.24,146.03,149.61,148.044177740509,1111937,0.0000,1.0
2022-07-27,145.92,146.45,142.12,146.37,144.838087667123,1112467,0.0000,1.0
2022-07-26,143.03,144.18,141.8971,142.73,141.236184004431,901750,0.0000,1.0
2022-07-25,145.0,145.3,144.02,144.53,143.017345156312,737614,0.0000,1.0
