timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,97.94,98.25,96.64,96.99,96.99,658141,0.0000,1.0
2023-02-07,97.88,99.02,96.945,98.75,98.75,864266,0.0000,1.0
2023-02-06,100.24,100.735,98.2,98.46,98.46,767656,0.0000,1.0
2023-02-03,101.93,102.42,100.96,101.54,101.54,702064,0.0000,1.0
2023-02-02,102.38,104.36,102.11,102.98,102.98,1352863,0.0000,1.0
2023-02-01,98.83,101.455,98.56,101.11,101.11,909965,0.0000,1.0
2023-01-31,97.44,98.88,96.98,98.88,98.88,650788,0.0000,1.0
2023-01-30,97.84,98.915,97.28,97.36,97.36,583628,0.0000,1.0
2023-01-27,98.27,99.15,97.85,98.69,98.69,753555,0.0000,1.0
2023-01-26,99.16,99.5,97.77,98.31,98.31,546768,0.0000,1.0
2023-01-25,97.21,98.95,96.625,98.62,98.62,763404,0.0000,1.0
2023-01-24,98.24,98.53,96.8,98.16,98.16,1129217,0.0000,1.0
2023-01-23,96.84,98.81,96.23,98.51,98.51,1075503,0.0000,1.0
2023-01-20,95.69,96.89,94.79,96.85,96.85,5530675,0.0000,1.0
2023-01-19,95.68,96.31,94.71,95.34,95.34,1225464,0.0000,1.0
2023-01-18,98.21,99.09,96.545,96.63,96.63,1014027,0.0000,1.0
2023-01-17,97.96,98.95,97.7,97.78,97.78,1069431,0.0000,1.0
2023-01-13,97.04,98.51,96.89,98.21,98.21,1143941,0.0000,1.0
2023-01-12,100.0,100.0,97.87,98.15,98.15,994928,0.0000,1.0
2023-01-11,99.38,100.18,99.17,99.93,99.93,747464,0.0000,1.0
2023-01-10,98.06,99.25,97.785,98.92,98.92,776315,0.0000,1.0
2023-01-09,99.18,100.48,98.06,98.23,98.23,1133299,0.0000,1.0
2023-01-06,96.36,98.82,95.89,98.13,98.13,819379,0.0000,1.0
2023-01-05,94.89,95.9799,94.14,95.32,95.32,829908,0.0000,1.0
2023-01-04,94.67,96.48,94.22,95.54,95.54,930520,0.0000,1.0
2023-01-03,93.0,94.12,92.495,93.57,93.57,976180,0.0000,1.0
2022-12-30,91.76,92.61,91.34,92.29,92.29,752790,0.0000,1.0
2022-12-29,91.14,93.08,90.83,92.84,92.84,501486,0.0000,1.0
2022-12-28,91.74,92.364,90.12,90.25,90.25,543031,0.0000,1.0
2022-12-27,90.72,92.015,90.4,91.78,91.78,479481,0.0000,1.0
2022-12-23,90.99,91.43,90.01,91.26,91.26,477067,0.0000,1.0
2022-12-22,91.4,91.65,89.25,91.02,91.02,688021,0.0000,1.0
2022-12-21,91.27,92.44,90.94,92.06,92.06,713239,0.0000,1.0
2022-12-20,89.93,90.49,89.43,90.37,90.37,785923,0.0000,1.0
2022-12-19,90.7,91.16,89.78,90.3,90.3,700139,0.0000,1.0
2022-12-16,91.65,92.19,90.9,91.19,91.19,1963462,0.0000,1.0
2022-12-15,94.65,94.66,92.54,92.72,92.72,854588,0.0000,1.0
2022-12-14,96.03,97.35,94.84,95.79,95.79,876466,0.7300,1.0
2022-12-13,99.09,99.33,95.94,96.86,96.1274285122254,962342,0.0000,1.0
2022-12-12,95.03,96.37,94.48,96.36,95.6312101118939,760498,0.0000,1.0
2022-12-09,95.3,96.08,95.0,95.03,94.311269167012,797870,0.0000,1.0
2022-12-08,94.42,95.72,94.19,95.61,94.8868825113966,725167,0.0000,1.0
2022-12-07,94.21,94.89,93.68,94.34,93.6264877745545,1019610,0.0000,1.0
2022-12-06,93.89,94.55,93.12,94.5,93.7852776626606,1490646,0.0000,1.0
2022-12-05,93.7,94.8,93.36,93.9,93.1898155822628,815824,0.0000,1.0
2022-12-02,93.13,94.45,93.13,94.32,93.6066390385412,644184,0.0000,1.0
2022-12-01,93.54,94.73,93.1,94.36,93.6463365105678,1484518,0.0000,1.0
2022-11-30,89.92,92.99,89.28,92.99,92.2866980936593,2178766,0.0000,1.0
2022-11-29,89.42,90.38,89.0,89.81,89.1307490675508,738920,0.0000,1.0
2022-11-28,90.5,90.955,89.23,89.67,88.9918079154579,621657,0.0000,1.0
2022-11-25,91.06,91.53,90.92,91.08,90.3911438043929,261868,0.0000,1.0
2022-11-23,90.11,91.295,90.06,90.65,89.9643959801078,640167,0.0000,1.0
2022-11-22,90.98,91.03,89.8326,90.48,89.795681723995,622726,0.0000,1.0
2022-11-21,90.37,91.31,89.96,90.45,89.7659086199751,864353,0.0000,1.0
2022-11-18,91.93,92.22,90.72,91.03,90.3415219643597,854028,0.0000,1.0
2022-11-17,89.0,90.81,88.4,90.79,90.1033371322006,679587,0.0000,1.0
2022-11-16,91.59,91.83,89.995,90.35,89.6666649399088,1170178,0.0000,1.0
2022-11-15,92.41,92.99,91.35,92.53,91.8301771653543,747013,0.0000,1.0
2022-11-14,92.9,93.18,91.23,91.28,90.5896311645255,794012,0.0000,1.0
2022-11-11,91.64,94.63,91.09,93.76,93.0508744301699,928275,0.0000,1.0
2022-11-10,89.1,91.51,88.9,91.31,90.6194042685454,1000329,0.0000,1.0
2022-11-09,86.31,86.87,85.52,85.58,84.932741400746,511919,0.0000,1.0
2022-11-08,86.94,88.33,85.87,86.83,86.1732874015748,815058,0.0000,1.0
2022-11-07,87.01,87.07,85.48,86.58,85.925178201409,628214,0.0000,1.0
2022-11-04,85.03,86.6,84.255,86.53,85.8755563613759,742947,0.0000,1.0
2022-11-03,83.63,84.42,82.57,84.02,83.3845399917116,652688,0.0000,1.0
2022-11-02,87.09,87.86,84.51,84.53,83.8906827600497,910749,0.0000,1.0
2022-11-01,89.17,89.17,87.37,87.57,86.9076906340655,795362,0.0000,1.0
2022-10-31,87.75,88.43,87.37,88.04,87.3741359303771,885773,0.0000,1.0
2022-10-28,85.76,88.62,85.51,88.49,87.8207324906755,976769,0.0000,1.0
2022-10-27,85.33,87.0,85.15,85.94,85.2900186489847,997229,0.0000,1.0
2022-10-26,86.38,87.14,84.06,84.92,84.2777331123083,1712364,0.0000,1.0
2022-10-25,82.84,84.945,82.51,84.89,84.2479600082884,1592265,0.0000,1.0
2022-10-24,83.57,83.57,81.75,82.66,82.0348259428098,1331350,0.0000,1.0
2022-10-21,80.58,83.04,80.04,82.77,82.1439939908827,3346131,0.0000,1.0
2022-10-20,81.27,82.07,80.585,80.86,80.2484397016162,1202973,0.0000,1.0
2022-10-19,81.97,82.2,80.42,81.2,80.5858682138417,846991,0.0000,1.0
2022-10-18,82.81,83.895,82.2,82.92,82.2928595109822,901121,0.0000,1.0
2022-10-17,80.96,82.3283,80.58,81.78,81.1614815582263,1008789,0.0000,1.0
2022-10-14,81.21,81.64,79.325,79.44,78.8391794446747,889294,0.0000,1.0
2022-10-13,77.21,81.01,76.37,80.43,79.8216918773311,1185708,0.0000,1.0
2022-10-12,78.63,79.0,78.03,78.47,77.8765157480315,680110,0.0000,1.0
2022-10-11,79.32,79.69,78.11,78.5,77.9062888520514,925828,0.0000,1.0
2022-10-10,79.9,80.21,78.555,79.58,78.9781205967675,904649,0.0000,1.0
2022-10-07,81.31,81.4299,79.62,79.7,79.0972130128471,1078414,0.0000,1.0
2022-10-06,83.0,83.83,82.32,82.47,81.8462629506838,930152,0.0000,1.0
2022-10-05,82.23,83.76,82.03,83.15,82.5211199751347,705601,0.0000,1.0
2022-10-04,83.58,84.35,82.76,83.5,82.8684728553668,1202438,0.0000,1.0
2022-10-03,80.95,82.97,80.4,82.37,81.7470192706175,1192168,0.0000,1.0
2022-09-30,81.59,82.66,80.22,80.31,79.7025994612516,957152,0.0000,1.0
2022-09-29,82.9,82.9,81.46,81.77,81.1515571902196,799051,0.0000,1.0
2022-09-28,82.21,84.44,82.09,83.9,83.265447575632,1484044,0.0000,1.0
2022-09-27,83.47,83.615,81.0,81.68,81.06223787816,898079,0.0000,1.0
2022-09-26,82.53,83.77,82.2,82.33,81.707321798591,1012565,0.0000,1.0
2022-09-23,82.23,82.81,81.26,82.77,82.1439939908827,1210889,0.0000,1.0
2022-09-22,83.94,83.99,82.704,82.94,82.3127082469954,732435,0.0000,1.0
2022-09-21,85.71,87.286,84.37,84.39,83.7517416079569,1028481,0.0000,1.0
2022-09-20,86.29,86.44,84.44,85.46,84.8136489846664,1301291,0.0000,1.0
2022-09-19,85.28,87.36,85.24,87.34,86.679430169913,974922,0.0000,1.0
2022-09-16,86.26,86.55,85.5864,85.73,85.0816069208454,2743743,0.0000,1.0
2022-09-15,88.18,89.2565,86.77,86.95,86.2923798176544,1172495,0.0000,1.0
2022-09-14,88.17,88.96,87.53,88.35,87.6817913385827,928398,0.7300,1.0
2022-09-13,90.18,90.89,88.4765,88.8,87.4061862468134,1284416,0.0000,1.0
2022-09-12,91.55,93.65,91.35,92.94,91.4812043894014,1014600,0.0000,1.0
2022-09-09,90.3,91.28,90.03,90.84,89.4141662011321,839122,0.0000,1.0
2022-09-08,90.0,91.18,89.0,89.92,88.5086066138904,1237368,0.0000,1.0
2022-09-07,87.78,90.78,87.78,90.73,89.3058927722228,1320092,0.0000,1.0
2022-09-06,88.71,88.71,86.73,87.79,86.4120393086459,1019242,0.0000,1.0
2022-09-02,90.0,90.4,87.97,88.51,87.1207381160525,639456,0.0000,1.0
2022-09-01,88.27,89.59,87.63,89.4,87.996768586319,861943,0.0000,1.0
2022-08-31,89.51,90.29,88.33,88.49,87.1010520380689,1304266,0.0000,1.0
2022-08-30,91.29,91.3692,89.01,89.5,88.0951989762365,872953,0.0000,1.0
2022-08-29,90.58,91.67,90.19,90.57,89.1484041483547,555978,0.0000,1.0
2022-08-26,95.82,95.82,91.4,91.45,90.0145915796294,642014,0.0000,1.0
2022-08-25,94.33,95.15,93.63,95.14,93.6466729675882,584576,0.0000,1.0
2022-08-24,93.91,94.37,93.2,93.9,92.4261361326102,668443,0.0000,1.0
2022-08-23,94.26,94.95,93.61,93.83,92.3572348596679,720313,0.0000,1.0
2022-08-22,95.73,95.8773,94.16,94.3,92.8198576922805,1139793,0.0000,1.0
2022-08-19,98.67,98.67,96.21,97.13,95.6054377269481,1078406,0.0000,1.0
2022-08-18,98.56,99.3322,98.5,99.09,97.5346733693327,431790,0.0000,1.0
2022-08-17,98.39,99.41,97.38,98.67,97.1212657316789,641834,0.0000,1.0
2022-08-16,98.79,100.36,98.79,99.59,98.0268253189206,486309,0.0000,1.0
2022-08-15,99.52,100.02,98.52,99.53,97.9677670849701,744509,0.0000,1.0
2022-08-12,99.66,100.36,99.12,100.07,98.499291190525,705866,0.0000,1.0
2022-08-11,98.59,100.255,98.165,98.67,97.1212657316789,1535955,0.0000,1.0
2022-08-10,97.19,98.88,96.59,98.32,96.7767593669673,1117315,0.0000,1.0
2022-08-09,97.66,97.875,95.02,95.12,93.6269868896047,1022748,0.0000,1.0
2022-08-08,98.31,100.41,97.95,98.55,97.0031492637778,838070,0.0000,1.0
2022-08-05,96.75,97.85,95.87,97.6,96.0680605595607,579574,0.0000,1.0
2022-08-04,97.98,98.36,97.17,97.81,96.2747643783877,548414,0.0000,1.0
2022-08-03,96.9,98.21,96.5,97.82,96.2846074173794,825779,0.0000,1.0
2022-08-02,98.25,98.85,96.43,96.48,94.9656401924838,1042729,0.0000,1.0
2022-08-01,96.69,98.8,96.45,98.27,96.7275441720085,826925,0.0000,1.0
2022-07-29,98.62,99.74,96.96,97.62,96.0877466375443,1190519,0.0000,1.0
2022-07-28,93.66,98.1,93.66,98.04,96.5011542751981,1722454,0.0000,1.0
2022-07-27,93.18,95.31,92.31,93.56,92.0914728068904,3358260,0.0000,1.0
2022-07-26,103.07,103.4,101.82,102.5,100.891149665522,1242581,0.0000,1.0
2022-07-25,104.79,104.79,102.95,104.08,102.44634982622,642120,0.0000,1.0
2022-07-22,108.32,108.32,104.63,104.95,103.302694218503,902423,0.0000,1.0
2022-07-21,106.53,107.89,106.0,107.89,106.19654768208,796523,0.0000,1.0
2022-07-20,103.69,106.88,103.56,106.22,104.552760170456,1111155,0.0000,1.0
2022-07-19,101.93,103.44,101.33,103.24,101.619534550912,895064,0.0000,1.0
2022-07-18,100.48,101.11,99.37,99.77,98.2040000207723,1211668,0.0000,1.0
2022-07-15,99.69,100.97,98.45,99.9,98.3319595276651,5253555,0.0000,1.0
2022-07-14,98.92,99.37,96.42,97.96,96.422409963264,1092381,0.0000,1.0
2022-07-13,100.33,101.36,98.77,100.2,98.6272506974179,998513,0.0000,1.0
2022-07-12,100.86,102.975,100.14,101.75,100.15292174114,870032,0.0000,1.0
2022-07-11,102.63,103.03,100.3,100.6,99.0209722570882,710082,0.0000,1.0
2022-07-08,102.72,103.8,101.82,102.98,101.363615537127,1233622,0.0000,1.0
2022-07-07,101.0,104.42,100.53,104.02,102.38729159227,823475,0.0000,1.0
2022-07-06,100.93,101.245,99.515,100.61,99.03081529608,655250,0.0000,1.0
2022-07-05,97.07,100.02,96.04,99.95,98.3811747226239,916146,0.0000,1.0
2022-07-01,98.25,98.91,96.25,98.49,96.9440910298272,749829,0.0000,1.0
2022-06-30,97.74,99.14,96.94,98.25,96.707858094025,739291,0.0000,1.0
2022-06-29,98.23,99.33,97.19,99.03,97.4756151353822,726125,0.0000,1.0
2022-06-28,100.99,101.8515,98.06,98.18,96.6389568210827,711736,0.0000,1.0
2022-06-27,100.02,101.45,99.215,100.15,98.5780355024591,796650,0.0000,1.0
2022-06-24,99.1,100.18,98.5,100.13,98.5583494244756,1450722,0.0000,1.0
2022-06-23,96.76,98.94,96.535,98.88,97.3279695505058,863809,0.0000,1.0
2022-06-22,94.65,97.22,94.65,96.48,94.9656401924838,1072487,0.0000,1.0
2022-06-21,94.84,96.15,94.35,95.65,94.1486679561679,944596,0.0000,1.0
2022-06-17,93.57,94.42,92.625,93.47,92.0028854559646,1803475,0.0000,1.0
2022-06-16,94.44,95.43,92.53,92.78,91.3237157655333,1189779,0.7300,1.0
2022-06-15,96.93,98.37,95.21,96.98,94.7125864072443,874668,0.0000,1.0
2022-06-14,97.7,98.39,96.36,96.72,94.4586652640613,905857,0.0000,1.0
2022-06-13,97.08,98.4989,96.26,97.53,95.2497272870544,925097,0.0000,1.0
2022-06-10,100.76,100.85,99.15,99.93,97.5936147625894,581146,0.0000,1.0
2022-06-09,102.85,104.16,101.87,101.88,99.4980233364616,674973,0.0000,1.0
2022-06-08,105.04,105.255,103.2738,103.56,101.138744569336,592281,0.0000,1.0
2022-06-07,103.37,105.88,103.17,105.79,103.316606682021,503654,0.0000,1.0
2022-06-06,105.25,105.91,104.09,104.61,102.164195339883,570607,0.0000,1.0
2022-06-03,106.01,106.33,104.43,104.81,102.359519296177,418772,0.0000,1.0
2022-06-02,103.5,107.12,103.3,106.99,104.488550419788,592585,0.0000,1.0
2022-06-01,106.94,107.1161,102.735,103.51,101.089913580263,738254,0.0000,1.0
2022-05-31,105.14,106.05,103.8,105.62,103.15058131917,1837861,0.0000,1.0
2022-05-27,103.4,105.59,103.02,105.54,103.072451736653,557064,0.0000,1.0
2022-05-26,100.18,103.02,100.18,102.49,100.09376140316,566069,0.0000,1.0
2022-05-25,98.47,100.13,98.47,99.34,97.0174090915204,896315,0.0000,1.0
2022-05-24,100.58,101.14,96.79,98.94,96.6267611789312,1164547,0.0000,1.0
2022-05-23,101.8,101.87,100.01,101.37,98.9999472479104,579354,0.0000,1.0
2022-05-20,102.12,102.41,97.42,100.65,98.2967810052499,1250591,0.0000,1.0
2022-05-19,100.89,101.99,100.25,100.78,98.4237415768414,964497,0.0000,1.0
2022-05-18,103.08,103.3988,100.44,101.2,98.8339218850601,1053391,0.0000,1.0
2022-05-17,103.23,104.96,102.26,104.55,102.105598152994,793205,0.0000,1.0
2022-05-16,100.52,101.99,99.75,101.27,98.9022852697631,668805,0.0000,1.0
2022-05-13,100.43,102.39,100.24,101.36,98.9901810500957,570965,0.0000,1.0
2022-05-12,97.6,100.29,97.36,99.47,97.1443696631119,759190,0.0000,1.0
2022-05-11,100.72,102.85,97.62,97.95,95.659907595273,870347,0.0000,1.0
2022-05-10,104.35,104.98,99.83,101.24,98.872986676319,832628,0.0000,1.0
2022-05-09,104.18,105.5,102.325,102.7,100.298851557269,700359,0.0000,1.0
2022-05-06,107.46,108.17,104.71,106.03,103.550995429574,709534,0.0000,1.0
