timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,372.92,378.35,371.98,375.1,375.1,1867613,0.0000,1.0
2023-02-07,368.17,376.31,367.34,374.4,374.4,2205581,0.0000,1.0
2023-02-06,369.0,371.2552,365.78,370.8,370.8,1816448,0.0000,1.0
2023-02-03,365.62,374.57,365.44,369.95,369.95,2243051,0.0000,1.0
2023-02-02,368.0,372.89,364.5501,369.47,369.47,2619577,0.0000,1.0
2023-02-01,359.1,368.94,358.76,365.71,365.71,2889433,0.0000,1.0
2023-01-31,359.16,365.92,356.86,365.81,365.81,2311684,0.0000,1.0
2023-01-30,353.29,362.33,352.4,357.46,357.46,3184633,0.0000,1.0
2023-01-27,351.95,355.99,351.83,353.7,353.7,2427638,0.0000,1.0
2023-01-26,351.73,355.0,349.52,354.97,354.97,1919172,0.0000,1.0
2023-01-25,344.75,349.955,343.9,349.63,349.63,1985154,0.0000,1.0
2023-01-24,340.0,350.3,340.0,348.33,348.33,2371973,0.0000,1.0
2023-01-23,341.67,349.56,336.1583,349.14,349.14,4915671,0.0000,1.0
2023-01-20,349.87,352.25,338.21,341.84,341.84,11247154,0.0000,1.0
2023-01-19,346.03,352.16,345.5201,350.75,350.75,3100606,0.0000,1.0
2023-01-18,348.32,354.79,347.8,349.09,349.09,5585162,0.0000,1.0
2023-01-17,364.8,366.79,344.0,349.92,349.92,14448267,0.0000,1.0
2023-01-13,363.49,374.35,362.355,374.0,374.0,3310238,0.0000,1.0
2023-01-12,366.24,370.1,362.57,369.94,369.94,2103065,0.0000,1.0
2023-01-11,358.87,365.5,356.21,364.48,364.48,2127013,0.0000,1.0
2023-01-10,352.64,357.5,350.5,357.36,357.36,1610302,0.0000,1.0
2023-01-09,351.88,356.5,349.5,353.0,353.0,1989134,0.0000,1.0
2023-01-06,347.3,349.0,340.945,348.08,348.08,3097817,0.0000,1.0
2023-01-05,344.25,345.14,340.14,343.76,343.76,1397960,0.0000,1.0
2023-01-04,348.03,350.31,345.0783,347.7,347.7,1880985,0.0000,1.0
2023-01-03,345.5,348.6,342.805,346.22,346.22,1589777,0.0000,1.0
2022-12-30,341.74,343.69,339.4,343.38,343.38,1031535,0.0000,1.0
2022-12-29,342.44,344.64,341.2396,343.43,343.43,1273551,0.0000,1.0
2022-12-28,340.5,342.847,339.3,340.87,340.87,1117275,0.0000,1.0
2022-12-27,346.51,347.75,341.79,341.97,341.97,1035110,0.0000,1.0
2022-12-23,344.84,347.76,343.11,345.51,345.51,1062061,0.0000,1.0
2022-12-22,347.16,348.05,339.88,345.58,345.58,1529264,0.0000,1.0
2022-12-21,348.26,350.88,346.89,350.16,350.16,1923118,0.0000,1.0
2022-12-20,345.99,347.42,343.49,344.49,344.49,1622994,0.0000,1.0
2022-12-19,346.27,348.3983,342.63,344.61,344.61,1646653,0.0000,1.0
2022-12-16,345.08,347.78,343.4056,346.35,346.35,5008921,0.0000,1.0
2022-12-15,354.48,356.105,347.94,349.83,349.83,3164047,0.0000,1.0
2022-12-14,367.01,368.825,359.45,360.38,360.38,2519710,0.0000,1.0
2022-12-13,374.63,378.56,365.51,368.69,368.69,3062618,0.0000,1.0
2022-12-12,358.57,364.01,356.34,363.18,363.18,1750370,0.0000,1.0
2022-12-09,356.71,361.64,356.2138,359.14,359.14,1588812,0.0000,1.0
2022-12-08,362.03,362.59,356.055,358.08,358.08,1967822,0.0000,1.0
2022-12-07,362.49,365.3,358.15,359.92,359.92,2128204,0.0000,1.0
2022-12-06,369.48,370.37,360.33,362.91,362.91,3081920,0.0000,1.0
2022-12-05,378.55,378.87,369.31,371.54,371.54,2329570,0.0000,1.0
2022-12-02,381.52,382.52,378.4,380.58,380.58,1932530,0.0000,1.0
2022-12-01,386.5,386.5,380.45,383.81,383.81,1706386,0.0000,1.0
2022-11-30,382.5,386.15,375.1,386.15,386.15,2964127,2.5000,1.0
2022-11-29,381.13,384.93,379.26,383.71,381.241776662807,1746942,0.0000,1.0
2022-11-28,385.43,388.39,380.89,382.36,379.900460568635,2232764,0.0000,1.0
2022-11-25,385.76,389.44,385.18,388.86,386.358649170205,1129250,0.0000,1.0
2022-11-23,383.9,388.2,383.41,386.25,383.765438054805,1865756,0.0000,1.0
2022-11-22,381.4,385.825,381.4,383.87,381.400747459153,2019816,0.0000,1.0
2022-11-21,378.9,380.77,375.42,380.21,377.764290492731,1877529,0.0000,1.0
2022-11-18,381.28,382.83,377.39,379.2,376.760787340795,2384735,0.0000,1.0
2022-11-17,377.15,381.72,375.01,379.78,377.33705647755,2299419,0.0000,1.0
2022-11-16,383.21,385.395,380.01,382.33,379.87065354432,2303685,0.0000,1.0
2022-11-15,385.98,389.5781,380.65,382.88,380.417115656761,3192390,0.0000,1.0
2022-11-14,384.0,387.3,380.5,382.36,379.900460568635,2609338,0.0000,1.0
2022-11-11,380.0,387.0,378.75,385.17,382.692385179467,3409056,0.0000,1.0
2022-11-10,370.0,380.43,369.744,378.31,375.876512286119,3790378,0.0000,1.0
2022-11-09,362.95,367.15,360.88,362.0,359.671426733565,3047193,0.0000,1.0
2022-11-08,362.3,367.19,361.46,364.02,361.678433037437,3501332,0.0000,1.0
2022-11-07,360.01,362.96,358.5188,362.56,360.227824520777,2526872,0.0000,1.0
2022-11-04,354.0,358.38,351.23,357.91,355.607735751962,3172674,0.0000,1.0
2022-11-03,347.5,350.67,342.59,348.87,346.625885758394,2515632,0.0000,1.0
2022-11-02,347.62,357.44,346.74,349.79,347.539967837386,3224731,0.0000,1.0
2022-11-01,345.13,348.69,343.77,348.58,346.337751190017,2316558,0.0000,1.0
2022-10-31,341.07,346.18,340.57,344.51,342.293931557957,2224025,0.0000,1.0
2022-10-28,338.52,342.58,336.0,341.82,339.621235044384,1677052,0.0000,1.0
2022-10-27,339.31,341.93,336.53,337.18,335.011081950341,1998784,0.0000,1.0
2022-10-26,334.52,338.67,334.14,335.69,333.530666409366,2177102,0.0000,1.0
2022-10-25,327.86,333.6,325.918,332.4,330.261829409494,1837717,0.0000,1.0
2022-10-24,328.5,331.2363,325.85,328.7,326.585629743986,2232767,0.0000,1.0
2022-10-21,311.0,325.775,309.4939,325.1,323.008786826193,3545738,0.0000,1.0
2022-10-20,312.1,316.05,309.0,310.81,308.810707577512,2382314,0.0000,1.0
