timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,39.1,39.61,38.68,39.28,39.28,6176792,0.0000,1.0
2023-02-07,38.72,39.185,38.12,39.03,39.03,6368267,0.0000,1.0
2023-02-06,38.46,38.855,37.53,38.31,38.31,7887378,0.0000,1.0
2023-02-03,38.3,39.4666,37.92,38.57,38.57,12724037,0.0000,1.0
2023-02-02,40.55,40.59,38.285,38.56,38.56,13517989,0.0000,1.0
2023-02-01,40.84,41.17,39.8,40.84,40.84,13876665,0.0000,1.0
2023-01-31,40.31,41.24,40.085,41.22,41.22,7549574,0.0000,1.0
2023-01-30,40.2,40.97,40.03,40.34,40.34,8922414,0.0000,1.0
2023-01-27,40.9,41.16,40.175,40.52,40.52,10399159,0.0000,1.0
2023-01-26,40.5,41.06,39.4994,41.0,41.0,8879695,0.0000,1.0
2023-01-25,39.7,40.28,38.42,40.03,40.03,10474737,0.0000,1.0
2023-01-24,40.0,41.0,39.18,39.84,39.84,11912121,0.0000,1.0
2023-01-23,41.09,41.27,40.3,40.57,40.57,10789864,0.0000,1.0
2023-01-20,40.41,41.31,39.93,40.69,40.69,8615152,0.0000,1.0
2023-01-19,40.41,40.8,39.492,40.19,40.19,9945947,0.0000,1.0
2023-01-18,43.0,43.42,40.49,40.6,40.6,11739786,0.0000,1.0
2023-01-17,42.6,43.0,42.005,42.53,42.53,9622117,0.0000,1.0
2023-01-13,42.07,42.74,41.52,42.66,42.66,6660290,0.0000,1.0
2023-01-12,41.5,42.99,41.38,42.17,42.17,10369640,0.0000,1.0
2023-01-11,41.5,41.68,40.42,40.99,40.99,9881225,0.0000,1.0
2023-01-10,40.55,41.0797,39.855,40.94,40.94,7755877,0.0000,1.0
2023-01-09,40.91,41.655,40.2678,40.44,40.44,13191722,0.0000,1.0
2023-01-06,39.42,40.91,39.38,40.21,40.21,8136775,0.0000,1.0
2023-01-05,38.37,39.355,38.1656,38.95,38.95,8773636,0.0000,1.0
2023-01-04,37.07,38.57,36.89,38.43,38.43,7446905,0.0000,1.0
2023-01-03,38.96,39.54,36.985,37.66,37.66,6941194,0.0000,1.0
2022-12-30,38.53,39.425,38.39,39.35,39.35,5226990,0.0000,1.0
2022-12-29,38.0,39.1,37.69,38.87,38.87,4544358,0.0000,1.0
2022-12-28,39.11,39.19,37.74,38.08,38.08,6178649,0.0000,1.0
2022-12-27,39.32,39.73,38.88,39.27,39.27,6278191,0.0000,1.0
2022-12-23,38.27,39.13,37.815,39.09,39.09,6041475,0.0000,1.0
2022-12-22,38.74,38.8,36.68,37.54,37.54,8713670,0.0000,1.0
2022-12-21,37.96,38.73,37.47,38.63,38.63,7662702,0.0000,1.0
2022-12-20,36.16,37.76,36.06,37.42,37.42,9058971,0.0000,1.0
2022-12-19,36.11,36.68,35.655,36.06,36.06,5394097,0.0000,1.0
2022-12-16,35.68,36.11,35.265,35.85,35.85,12321012,0.0000,1.0
2022-12-15,36.33,36.77,35.71,36.69,36.69,7298550,0.0000,1.0
2022-12-14,37.2,37.35,35.9,36.55,36.55,9942155,0.0000,1.0
2022-12-13,35.28,37.18,35.21,37.0,37.0,14566238,0.0000,1.0
2022-12-12,33.08,34.65,33.0,34.3,34.3,11083602,0.0000,1.0
2022-12-09,34.98,35.44,32.97,33.01,33.01,12705909,0.0000,1.0
