timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,15.45,15.59,15.39,15.44,15.44,9641141,0.0000,1.0
2023-02-07,15.34,15.62,15.29,15.57,15.57,12364878,0.0000,1.0
2023-02-06,15.36,15.4,15.25,15.36,15.36,9787971,0.0000,1.0
2023-02-03,15.395,15.57,15.345,15.45,15.45,12975885,0.0000,1.0
2023-02-02,15.3,15.6,15.15,15.5,15.5,16912905,0.0000,1.0
2023-02-01,15.0,15.37,14.93,15.22,15.22,16821284,0.0000,1.0
2023-01-31,14.83,15.195,14.75,15.17,15.17,29536637,0.0000,1.0
2023-01-30,14.94,15.02,14.83,14.84,14.84,9498986,0.0000,1.0
2023-01-27,14.915,15.06,14.9,15.01,15.01,11921762,0.0000,1.0
2023-01-26,14.89,14.95,14.78,14.92,14.92,11508667,0.0000,1.0
2023-01-25,14.61,14.75,14.4601,14.75,14.75,13122519,0.0000,1.0
2023-01-24,14.76,14.8176,14.585,14.68,14.68,11088560,0.0000,1.0
2023-01-23,14.18,14.755,14.115,14.74,14.74,20103769,0.0000,1.0
2023-01-20,14.17,14.445,13.75,14.11,14.11,24914213,0.0000,1.0
2023-01-19,13.95,14.13,13.781,14.02,14.02,24312541,0.0000,1.0
2023-01-18,14.41,14.49,14.05,14.07,14.07,16754176,0.0000,1.0
2023-01-17,14.54,14.58,14.41,14.5,14.5,17971679,0.0000,1.0
2023-01-13,14.49,14.6,14.13,14.58,14.58,18410898,0.0000,1.0
2023-01-12,14.6,14.74,14.55,14.65,14.65,10520623,0.0000,1.0
2023-01-11,14.48,14.575,14.38,14.57,14.57,11205877,0.0000,1.0
2023-01-10,14.41,14.52,14.35,14.47,14.47,9339181,0.0000,1.0
2023-01-09,14.63,14.63,14.38,14.41,14.41,12233843,0.0000,1.0
2023-01-06,14.34,14.63,14.27,14.6,14.6,12433602,0.0000,1.0
2023-01-05,14.27,14.325,14.1,14.26,14.26,11069761,0.0000,1.0
2023-01-04,14.25,14.45,14.2,14.36,14.36,12374249,0.0000,1.0
2023-01-03,14.29,14.32,13.99,14.1,14.1,13366815,0.0000,1.0
2022-12-30,14.06,14.19,13.985,14.1,14.1,9323505,0.0000,1.0
2022-12-29,14.02,14.16,13.965,14.14,14.14,8330159,0.0000,1.0
2022-12-28,14.04,14.1,13.95,13.98,13.98,6880005,0.0000,1.0
2022-12-27,14.1,14.11,13.9601,14.04,14.04,6714789,0.0000,1.0
2022-12-23,13.95,14.06,13.88,14.05,14.05,9062814,0.0000,1.0
2022-12-22,13.945,13.96,13.65,13.91,13.91,10250231,0.0000,1.0
2022-12-21,13.935,14.045,13.9,14.0,14.0,10552181,0.0000,1.0
2022-12-20,13.76,13.87,13.69,13.78,13.78,12853660,0.0000,1.0
2022-12-19,13.66,13.83,13.58,13.69,13.69,12309100,0.0000,1.0
2022-12-16,13.51,13.68,13.43,13.65,13.65,34659341,0.1550,1.0
2022-12-15,13.78,13.815,13.61,13.74,13.5857298080406,17831351,0.0000,1.0
2022-12-14,14.24,14.29,13.86,13.93,13.7735965229989,28774201,0.0000,1.0
2022-12-13,14.62,14.76,14.08,14.21,14.0504527345165,36456028,0.0000,1.0
2022-12-12,14.57,14.63,14.38,14.61,14.445961608113,16965872,0.0000,1.0
2022-12-09,14.6,14.705,14.54,14.55,14.3866352770735,13963305,0.0000,1.0
2022-12-08,14.73,14.79,14.54,14.62,14.4558493299529,16459021,0.0000,1.0
2022-12-07,14.6,15.01,14.56,14.67,14.5052879391525,23331491,0.0000,1.0
2022-12-06,14.84,14.97,14.505,14.68,14.5151756609924,16716206,0.0000,1.0
2022-12-05,15.53,15.54,14.8,14.89,14.7228178196306,14730494,0.0000,1.0
2022-12-02,15.4,15.5,15.3099,15.46,15.2864179645056,14368066,0.0000,1.0
2022-12-01,15.46,15.74,15.295,15.59,15.4149583484245,17218140,0.0000,1.0
2022-11-30,15.32,15.52,14.87,15.48,15.3061934081854,22373893,0.0000,1.0
2022-11-29,15.13,15.34,15.07,15.3,15.128214415067,11858438,0.0000,1.0
2022-11-28,15.13,15.205,14.99,15.05,14.8810213690692,10432023,0.0000,1.0
2022-11-25,15.16,15.39,15.155,15.24,15.0688880840275,4746441,0.0000,1.0
2022-11-23,15.09,15.23,15.07,15.17,14.9996740311481,6720644,0.0000,1.0
2022-11-22,15.04,15.185,14.99,15.15,14.9798985874683,7873996,0.0000,1.0
2022-11-21,14.86,15.01,14.85,14.94,14.7722564288301,7490562,0.0000,1.0
2022-11-18,15.02,15.08,14.79,14.89,14.7228178196306,9665158,0.0000,1.0
2022-11-17,14.74,14.86,14.64,14.78,14.6140528793915,11747226,0.0000,1.0
2022-11-16,15.09,15.14,14.89,14.9,14.7327055414705,12180250,0.0000,1.0
2022-11-15,15.12,15.24,14.92,15.1,14.9304599782687,19620018,0.0000,1.0
2022-11-14,14.95,15.14,14.89,14.96,14.79203187251,16890237,0.0000,1.0
2022-11-11,15.26,15.38,14.84,14.97,14.8019195943499,22359795,0.0000,1.0
2022-11-10,15.46,15.55,15.045,15.18,15.009561752988,29785596,0.0000,1.0
2022-11-09,15.35,15.37,14.95,14.98,14.8118073161898,18651604,0.0000,1.0
2022-11-08,15.44,15.59,15.345,15.48,15.3061934081854,14151303,0.0000,1.0
2022-11-07,15.46,15.56,15.3537,15.5,15.3259688518653,13719304,0.0000,1.0
2022-11-04,15.11,15.395,15.04,15.38,15.2073161897863,16228671,0.0000,1.0
2022-11-03,14.86,15.08,14.64,14.92,14.7524809851503,13878428,0.0000,1.0
2022-11-02,15.2,15.45,14.97,14.98,14.8118073161898,16340537,0.0000,1.0
2022-11-01,15.3,15.37,15.205,15.28,15.1084389713872,10520946,0.0000,1.0
2022-10-31,15.01,15.32,14.99,15.18,15.009561752988,17297078,0.0000,1.0
2022-10-28,15.04,15.125,14.925,15.11,14.9403477001087,14443295,0.0000,1.0
2022-10-27,15.04,15.17,14.87,14.9,14.7327055414705,15781306,0.0000,1.0
2022-10-26,14.91,15.05,14.85,14.91,14.7425932633104,14198737,0.0000,1.0
2022-10-25,14.735,14.92,14.605,14.84,14.673379210431,19309774,0.0000,1.0
2022-10-24,14.6,15.005,14.54,14.85,14.6832669322709,33352992,0.0000,1.0
2022-10-21,13.51,14.51,13.51,14.45,14.2877580586744,41221458,0.0000,1.0
2022-10-20,13.63,13.75,13.095,13.2,13.0517928286853,23522347,0.0000,1.0
2022-10-19,14.0,14.12,13.57,13.62,13.4670771459616,19879792,0.0000,1.0
2022-10-18,14.09,14.32,13.91,14.11,13.9515755161173,22121903,0.0000,1.0
2022-10-17,13.81,14.1,13.6701,13.85,13.6944947482796,17564032,0.0000,1.0
2022-10-14,14.01,14.25,13.6204,13.67,13.5165157551612,27258172,0.0000,1.0
2022-10-13,12.87,13.92,12.77,13.89,13.7340456356393,30246009,0.0000,1.0
2022-10-12,13.07,13.17,12.95,13.03,12.8837015574067,14408999,0.0000,1.0
2022-10-11,13.13,13.28,13.0,13.08,12.9331401666063,16984613,0.0000,1.0
2022-10-10,13.3,13.375,13.08,13.23,13.081455994205,17346452,0.0000,1.0
2022-10-07,13.49,13.505,13.14,13.21,13.0616805505252,21667294,0.0000,1.0
2022-10-06,13.65,13.775,13.515,13.6,13.4473017022818,22501154,0.0000,1.0
2022-10-05,13.74,13.88,13.585,13.72,13.5659543643607,24549192,0.0000,1.0
2022-10-04,13.71,14.05,13.64,13.95,13.7933719666787,30663418,0.0000,1.0
2022-10-03,13.33,13.545,13.12,13.47,13.3187613183629,20244576,0.0000,1.0
2022-09-30,13.17,13.465,13.1,13.18,13.0320173850054,16952702,0.0000,1.0
2022-09-29,13.07,13.245,12.9,13.17,13.0221296631655,18323229,0.0000,1.0
2022-09-28,12.87,13.345,12.825,13.27,13.1210068815647,18674586,0.0000,1.0
2022-09-27,13.015,13.185,12.7,12.86,12.7156102861282,21535301,0.0000,1.0
2022-09-26,13.07,13.25,12.89,13.01,12.8639261137269,21225176,0.0000,1.0
2022-09-23,13.25,13.285,12.9,13.19,13.0419051068453,23118895,0.0000,1.0
2022-09-22,13.75,13.82,13.35,13.41,13.2594349873234,21884496,0.0000,1.0
2022-09-21,13.98,14.16,13.72,13.72,13.5659543643607,18911309,0.0000,1.0
2022-09-20,13.885,14.01,13.81,13.9,13.7439333574792,18028545,0.0000,1.0
2022-09-19,13.56,14.085,13.51,14.03,13.872473741398,20260073,0.0000,1.0
2022-09-16,13.93,13.96,13.605,13.71,13.5560666425208,37161032,0.1550,1.0
2022-09-15,13.96,14.4172,13.92,14.26,13.9422654397654,28496564,0.0000,1.0
2022-09-14,14.07,14.12,13.72,13.87,13.560955234891,17437122,0.0000,1.0
2022-09-13,14.14,14.355,13.98,14.02,13.7076130059965,22500947,0.0000,1.0
2022-09-12,14.22,14.58,14.2,14.46,14.1378091345728,19089480,0.0000,1.0
2022-09-09,14.19,14.28,14.09,14.14,13.824939222881,15002195,0.0000,1.0
2022-09-08,13.47,14.16,13.42,14.14,13.824939222881,21315130,0.0000,1.0
2022-09-07,13.12,13.6,13.08,13.55,13.2480853231992,12405111,0.0000,1.0
2022-09-06,13.41,13.44,12.96,13.17,12.8765523030652,20311572,0.0000,1.0
2022-09-02,13.55,13.685,13.23,13.32,13.0232100741707,13879419,0.0000,1.0
2022-09-01,13.36,13.4,13.05,13.37,13.0720959978726,13193932,0.0000,1.0
2022-08-31,13.41,13.55,13.345,13.4,13.1014275520937,19214088,0.0000,1.0
2022-08-30,13.49,13.55,13.32,13.39,13.0916503673533,10047778,0.0000,1.0
2022-08-29,13.56,13.58,13.35,13.47,13.1698678452763,8928226,0.0000,1.0
2022-08-26,14.13,14.15,13.64,13.64,13.3360799858625,9266676,0.0000,1.0
2022-08-25,13.78,14.0299,13.74,14.01,13.6978358212562,9672023,0.0000,1.0
2022-08-24,13.64,13.8278,13.62,13.74,13.4338518332662,9006220,0.0000,1.0
2022-08-23,13.75,13.87,13.7,13.72,13.4142974637855,10715414,0.0000,1.0
2022-08-22,13.835,13.86,13.67,13.71,13.4045202790451,11709772,0.0000,1.0
2022-08-19,14.23,14.26,13.98,14.08,13.7662761144387,10961966,0.0000,1.0
2022-08-18,14.37,14.379,14.21,14.33,14.010705732948,7477709,0.0000,1.0
2022-08-17,14.31,14.38,14.2,14.33,14.010705732948,9275512,0.0000,1.0
2022-08-16,14.35,14.55,14.31,14.47,14.1475863193131,7031212,0.0000,1.0
2022-08-15,14.21,14.4,14.13,14.36,14.0400372871691,6076041,0.0000,1.0
2022-08-12,14.31,14.365,14.145,14.35,14.0302601024287,7707306,0.0000,1.0
2022-08-11,14.06,14.35,14.06,14.19,13.8738251465828,12779385,0.0000,1.0
2022-08-10,13.78,14.06,13.75,13.96,13.6489498975543,12067606,0.0000,1.0
2022-08-09,13.5,13.58,13.39,13.58,13.2774168774203,8350570,0.0000,1.0
2022-08-08,13.48,13.63,13.41,13.46,13.1600906605359,8352532,0.0000,1.0
2022-08-05,13.33,13.58,13.26,13.45,13.1503134757955,9234603,0.0000,1.0
2022-08-04,13.42,13.43,13.29,13.32,13.0232100741707,9957339,0.0000,1.0
2022-08-03,13.29,13.45,13.19,13.39,13.0916503673533,9362565,0.0000,1.0
