timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,203.9,204.81,201.21,202.22,202.22,3562161,0.0000,1.0
2023-02-07,203.0,206.02,201.78,205.47,205.47,2947917,0.0000,1.0
2023-02-06,202.25,204.13,200.76,204.04,204.04,2854188,0.0000,1.0
2023-02-03,207.2,207.2,201.62,202.69,202.69,4457814,0.0000,1.0
2023-02-02,198.95,208.2219,197.69,207.38,207.38,7183495,0.0000,1.0
2023-02-01,207.41,208.45,203.81,206.72,206.72,5392235,0.0000,1.0
2023-01-31,206.57,208.57,205.51,208.48,208.48,2298778,0.0000,1.0
2023-01-30,206.53,209.39,205.61,205.78,205.78,2545705,0.0000,1.0
2023-01-27,207.89,209.83,207.635,208.13,208.13,2122529,0.0000,1.0
2023-01-26,207.8,209.42,205.89,209.35,209.35,1927499,0.0000,1.0
2023-01-25,204.54,207.1523,203.76,206.67,206.67,2154853,0.0000,1.0
2023-01-24,203.96,207.68,202.225,206.93,206.93,3217250,0.0000,1.0
2023-01-23,202.55,205.845,201.3801,204.46,204.46,2799719,0.0000,1.0
2023-01-20,199.565,202.66,198.81,202.03,202.03,3977496,0.0000,1.0
2023-01-19,204.3,204.38,200.22,200.66,200.66,4549156,0.0000,1.0
2023-01-18,210.89,210.89,203.98,204.24,204.24,5101401,0.0000,1.0
2023-01-17,217.02,217.02,211.9301,212.24,212.24,3281499,0.0000,1.0
2023-01-13,214.49,216.83,212.895,216.61,216.61,1997090,0.0000,1.0
2023-01-12,212.85,217.22,212.38,215.98,215.98,2964267,0.0000,1.0
2023-01-11,211.98,212.91,210.01,212.3,212.3,2919491,0.0000,1.0
2023-01-10,209.5,211.45,209.5,211.34,211.34,1775736,0.0000,1.0
2023-01-09,210.27,213.63,209.54,210.67,210.67,2627479,0.0000,1.0
2023-01-06,206.47,211.06,205.8738,210.27,210.27,4056383,0.0000,1.0
2023-01-05,208.48,208.81,204.06,204.47,204.47,4057482,0.0000,1.0
2023-01-04,208.5,211.24,207.32,210.04,210.04,3860313,0.0000,1.0
2023-01-03,215.15,215.15,212.22,214.3,214.3,2219496,0.0000,1.0
2022-12-30,213.98,214.5,211.93,214.3,214.3,1599974,0.0000,1.0
2022-12-29,213.09,215.2499,212.77,214.75,214.75,1879921,0.0000,1.0
2022-12-28,215.93,216.51,212.01,212.19,212.19,1607307,0.0000,1.0
2022-12-27,213.9,215.78,213.71,214.89,214.89,1461037,0.0000,1.0
