timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,237.1,237.12,233.49,234.84,234.84,1002635,0.0000,1.0
2023-02-07,238.14,238.5118,235.59,237.11,237.11,1630562,0.0000,1.0
2023-02-06,237.0,242.255,236.505,240.53,240.53,2165580,0.0000,1.0
2023-02-03,235.16,236.49,230.845,236.28,236.28,1503984,0.0000,1.0
2023-02-02,226.54,235.4,225.95,234.42,234.42,2072543,0.0000,1.0
2023-02-01,222.33,226.3,222.33,225.3,225.3,1477770,0.0000,1.0
2023-01-31,224.01,224.6,222.0484,224.6,224.6,1378302,0.0000,1.0
2023-01-30,220.25,223.63,220.25,223.19,223.19,998748,0.0000,1.0
2023-01-27,220.0,220.035,217.77,218.76,218.76,806536,0.0000,1.0
2023-01-26,220.47,220.72,217.39,220.01,220.01,823407,0.0000,1.0
2023-01-25,219.69,221.06,217.775,220.99,220.99,906193,0.0000,1.0
2023-01-24,216.32,220.58,215.21,220.29,220.29,1131608,0.0000,1.0
2023-01-23,214.92,219.77,214.67,217.04,217.04,1219597,0.0000,1.0
2023-01-20,216.35,216.73,213.045,214.52,214.52,1298288,0.0000,1.0
2023-01-19,216.37,217.9003,215.2,216.12,216.12,1226384,0.0000,1.0
2023-01-18,226.07,226.17,216.73,216.77,216.77,1092090,0.0000,1.0
2023-01-17,227.99,230.82,225.8,226.16,226.16,1114482,0.0000,1.0
2023-01-13,224.49,226.69,223.9,226.61,226.61,622204,0.0000,1.0
2023-01-12,226.65,226.8,223.67,224.19,224.19,794628,0.0000,1.0
2023-01-11,225.42,226.66,223.885,226.59,226.59,1054000,0.0000,1.0
2023-01-10,225.97,227.64,224.46,224.78,224.78,750710,0.0000,1.0
2023-01-09,225.02,227.93,224.1,225.39,225.39,884018,0.0000,1.0
2023-01-06,222.98,226.69,222.98,225.65,225.65,945806,0.0000,1.0
2023-01-05,223.52,224.35,221.85,223.08,223.08,939399,0.0000,1.0
2023-01-04,226.84,226.84,221.47,223.27,223.27,1394287,0.0000,1.0
2023-01-03,230.44,230.5,224.86,226.93,226.93,1160861,0.0000,1.0
2022-12-30,233.07,233.42,229.83,231.57,231.57,441385,0.0000,1.0
2022-12-29,233.7,233.96,231.825,233.25,233.25,570311,0.0000,1.0
2022-12-28,236.42,236.48,232.75,232.87,232.87,416828,0.0000,1.0
2022-12-27,236.38,237.11,235.39,235.73,235.73,497258,0.0000,1.0
2022-12-23,234.87,235.97,233.815,235.88,235.88,354062,0.0000,1.0
2022-12-22,234.87,235.9,232.74,234.93,234.93,433119,0.0000,1.0
2022-12-21,234.74,236.87,233.93,234.98,234.98,430791,0.0000,1.0
2022-12-20,234.47,235.26,232.12,233.65,233.65,653656,0.0000,1.0
2022-12-19,235.0,237.75,233.715,234.89,234.89,698296,0.0000,1.0
2022-12-16,233.01,236.29,232.405,235.0,235.0,1569047,0.0000,1.0
2022-12-15,234.87,235.7,232.505,234.14,234.14,790798,0.0000,1.0
2022-12-14,236.77,239.325,235.24,236.01,236.01,681885,0.0000,1.0
2022-12-13,239.32,239.43,235.3,236.33,236.33,1357631,0.0000,1.0
2022-12-12,237.24,239.29,235.835,239.29,239.29,894400,0.0000,1.0
2022-12-09,241.18,242.635,236.65,236.77,236.77,1013938,0.0000,1.0
2022-12-08,237.55,242.46,237.15,241.31,241.31,1334252,0.0000,1.0
2022-12-07,234.38,236.92,234.2,236.69,236.69,1018651,0.0000,1.0
2022-12-06,233.31,235.0,230.51,232.56,232.56,709952,0.0000,1.0
2022-12-05,232.15,233.481,231.59,233.25,233.25,539674,0.0000,1.0
2022-12-02,231.55,234.89,231.37,234.73,234.73,741293,0.0000,1.0
2022-12-01,235.6,235.665,231.0,231.88,231.88,913784,0.0000,1.0
2022-11-30,230.21,235.2,228.49,235.17,235.17,1638833,0.0000,1.0
2022-11-29,232.01,232.59,228.54,230.49,230.49,755369,0.0000,1.0
2022-11-28,233.84,234.74,232.09,232.63,232.63,706309,0.0000,1.0
