timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,40.57,40.95,40.57,40.84,40.84,1979330,0.0000,1.0
2023-02-07,39.91,40.98,39.795,40.86,40.86,2267030,0.0000,1.0
2023-02-06,39.71,39.97,39.485,39.96,39.96,1744556,0.0000,1.0
2023-02-03,40.1,40.5,39.665,39.86,39.86,2086589,0.0000,1.0
2023-02-02,40.62,40.72,39.86,40.23,40.23,2309287,0.0000,1.0
2023-02-01,40.47,40.77,39.94,40.59,40.59,2352309,0.0000,1.0
2023-01-31,40.22,40.7,39.855,40.69,40.69,1823392,0.0000,1.0
2023-01-30,40.08,40.5598,40.03,40.19,40.19,1487047,0.0000,1.0
2023-01-27,40.72,41.0978,40.29,40.4,40.4,1720701,0.0000,1.0
2023-01-26,39.92,40.84,39.485,40.82,40.82,2243793,0.0000,1.0
2023-01-25,38.97,39.668,38.73,39.61,39.61,1781330,0.0000,1.0
2023-01-24,39.388,39.76,38.84,39.41,39.41,2589532,0.0000,1.0
2023-01-23,38.81,39.5,38.7,39.43,39.43,2483536,0.0000,1.0
2023-01-20,38.63,38.76,38.305,38.7,38.7,1698039,0.0000,1.0
2023-01-19,39.22,39.32,38.4,38.43,38.43,2456282,0.0000,1.0
2023-01-18,40.91,40.91,39.49,39.53,39.53,2708287,0.0000,1.0
2023-01-17,40.69,40.98,40.38,40.61,40.61,1900296,0.0000,1.0
2023-01-13,40.19,40.845,39.93,40.75,40.75,1518817,0.0000,1.0
2023-01-12,40.5,41.02,40.39,40.67,40.67,2736316,0.0000,1.0
2023-01-11,40.72,40.97,40.3,40.39,40.39,2372948,0.0000,1.0
2023-01-10,39.86,40.565,39.65,40.55,40.55,1615316,0.0000,1.0
2023-01-09,40.73,40.99,40.0,40.08,40.08,1943617,0.0000,1.0
2023-01-06,39.75,40.61,39.7,40.46,40.46,2511469,0.0000,1.0
2023-01-05,39.37,39.55,39.08,39.32,39.32,1523913,0.0000,1.0
2023-01-04,39.11,39.732,39.08,39.55,39.55,2553255,0.0000,1.0
2023-01-03,39.4,39.61,38.84,39.06,39.06,2088558,0.0000,1.0
2022-12-30,39.17,39.48,38.99,39.41,39.41,1572342,0.0000,1.0
2022-12-29,38.91,39.49,38.85,39.39,39.39,2210279,0.0000,1.0
2022-12-28,39.35,39.605,38.72,38.72,38.72,2265962,0.0000,1.0
2022-12-27,39.25,39.69,39.12,39.4,39.4,2134079,0.0000,1.0
2022-12-23,38.42,39.12,38.42,39.06,39.06,2059612,0.0000,1.0
2022-12-22,38.67,38.82,37.955,38.54,38.54,2499381,0.0000,1.0
2022-12-21,38.77,39.31,38.6,39.05,39.05,3264103,0.0000,1.0
2022-12-20,37.61,38.545,37.61,38.28,38.28,2648116,0.0000,1.0
2022-12-19,38.13,38.37,37.255,37.58,37.58,1875599,0.0000,1.0
2022-12-16,37.67,38.29,37.25,38.13,38.13,4267606,0.0000,1.0
2022-12-15,38.38,38.51,37.815,37.93,37.93,2437588,0.0000,1.0
2022-12-14,39.26,39.44,38.76,39.0,39.0,3362860,0.0000,1.0
2022-12-13,39.61,39.78,38.9,39.21,39.21,3236292,0.0000,1.0
2022-12-12,38.33,38.88,37.92,38.88,38.88,2956396,0.0000,1.0
2022-12-09,37.64,38.155,37.48,38.0,38.0,3043254,0.0000,1.0
2022-12-08,38.27,38.385,37.525,37.64,37.64,1344810,0.0000,1.0
2022-12-07,37.77,38.34,37.7416,37.87,37.87,1266303,0.0000,1.0
2022-12-06,38.78,39.05,37.62,37.87,37.87,2116975,0.0000,1.0
2022-12-05,38.83,39.25,38.315,38.54,38.54,2296950,0.0000,1.0
2022-12-02,37.86,39.15,37.82,39.08,39.08,3722143,0.0000,1.0
2022-12-01,37.87,38.49,37.51,38.41,38.41,2629724,0.0000,1.0
2022-11-30,37.23,37.74,36.83,37.67,37.67,4229146,0.0000,1.0
2022-11-29,37.15,37.355,36.96,37.22,37.22,1344056,0.0000,1.0
2022-11-28,37.61,37.69,36.82,37.03,37.03,1957276,0.0000,1.0
2022-11-25,38.07,38.25,37.88,38.04,38.04,713942,0.0000,1.0
2022-11-23,38.33,38.45,37.77,38.02,38.02,1479414,0.0000,1.0
2022-11-22,37.63,38.31,37.51,38.23,38.23,2621261,0.0000,1.0
2022-11-21,37.0,37.3,36.66,37.27,37.27,1865602,0.0000,1.0
2022-11-18,37.05,37.24,36.745,37.1,37.1,2542930,0.0000,1.0
2022-11-17,36.2,36.51,34.8,36.47,36.47,2295714,0.0000,1.0
2022-11-16,36.39,37.04,36.22,36.84,36.84,4513500,0.0000,1.0
2022-11-15,37.12,37.26,36.475,36.55,36.55,4320203,0.0000,1.0
2022-11-14,37.19,37.61,36.64,36.65,36.65,2971884,0.0000,1.0
2022-11-11,38.43,39.24,37.375,37.43,37.43,3631918,0.0000,1.0
2022-11-10,37.21,38.39,37.13,38.3,38.3,4263830,0.0000,1.0
2022-11-09,36.57,37.32,36.295,36.34,36.34,3608707,0.0000,1.0
2022-11-08,36.83,37.31,36.45,36.84,36.84,2574466,0.0000,1.0
2022-11-07,36.3,36.64,36.16,36.61,36.61,2440934,0.0000,1.0
2022-11-04,35.6,36.545,35.41,36.04,36.04,4545586,0.0000,1.0
2022-11-03,34.95,35.91,34.7,35.23,35.23,2788080,0.0400,1.0
2022-11-02,36.41,36.81,35.3,35.34,35.2999206124185,4384131,0.0000,1.0
2022-11-01,35.94,36.525,35.595,36.49,36.448616387865,4343372,0.0000,1.0
2022-10-31,34.7,35.605,34.18,35.55,35.5096824496739,6714197,0.0000,1.0
2022-10-28,35.24,36.18,35.02,36.17,36.1289793025234,7638680,0.0000,1.0
2022-10-27,35.08,35.71,35.015,35.09,35.0502041394953,2976231,0.0000,1.0
2022-10-26,35.87,36.05,34.615,34.71,34.6706351006521,4502935,0.0000,1.0
2022-10-25,35.25,35.67,34.88,35.57,35.5296597675078,3021638,0.0000,1.0
2022-10-24,35.65,35.89,35.0,35.4,35.35985256592,4108872,0.0000,1.0
2022-10-21,34.0,35.425,33.99,35.37,35.3298865891693,3365873,0.0000,1.0
2022-10-20,34.3,34.96,33.99,34.02,33.9814176353842,5165290,0.0000,1.0
2022-10-19,33.46,34.34,33.36,34.24,34.2011681315566,4675420,0.0000,1.0
2022-10-18,33.73,33.91,33.31,33.61,33.5718826197902,2343693,0.0000,1.0
2022-10-17,33.0,33.39,32.645,32.93,32.8926538134392,3282574,0.0000,1.0
2022-10-14,33.2,33.33,32.134,32.29,32.2533796427559,1818967,0.0000,1.0
2022-10-13,31.58,33.075,31.3,32.89,32.8526991777715,2607113,0.0000,1.0
2022-10-12,32.72,32.85,31.705,32.11,32.0735837822512,3847573,0.0000,1.0
2022-10-11,32.87,33.49,32.505,33.0,32.9625744258577,2395415,0.0000,1.0
2022-10-10,32.96,33.53,32.625,32.94,32.9026424723561,2883089,0.0000,1.0
2022-10-07,32.93,33.005,32.255,32.54,32.503096115679,2232073,0.0000,1.0
2022-10-06,33.06,33.66,32.88,33.2,33.1623476041962,1778741,0.0000,1.0
2022-10-05,32.98,33.725,32.82,33.33,33.2922001701162,2426078,0.0000,1.0
2022-10-04,32.7,33.57,32.7,33.51,33.4719960306209,2083393,0.0000,1.0
2022-10-03,31.44,32.285,31.18,32.09,32.0536064644174,2266662,0.0000,1.0
2022-09-30,30.78,31.665,30.65,30.93,30.8949220300539,4017388,0.0000,1.0
2022-09-29,31.47,31.52,30.595,30.94,30.9049106889708,2609891,0.0000,1.0
2022-09-28,31.33,32.05,31.05,31.85,31.8138786504111,2062382,0.0000,1.0
2022-09-27,31.5,31.69,30.69,31.1,31.0647292316416,2407408,0.0000,1.0
2022-09-26,31.66,31.89,30.94,31.04,31.0047972781401,2466168,0.0000,1.0
2022-09-23,32.25,32.36,31.41,31.83,31.7939013325773,2890218,0.0000,1.0
2022-09-22,33.57,33.59,32.54,32.79,32.7528125886022,2422173,0.0000,1.0
2022-09-21,34.78,34.86,33.43,33.43,33.3920867592855,2789311,0.0000,1.0
2022-09-20,34.01,34.495,33.73,34.28,34.2411227672243,2752646,0.0000,1.0
2022-09-19,33.41,34.52,33.4,34.22,34.1811908137227,2523104,0.0000,1.0
2022-09-16,33.71,33.83,32.985,33.61,33.5718826197902,5014528,0.0000,1.0
2022-09-15,34.9,35.28,34.155,34.29,34.2511114261412,2992494,0.0000,1.0
2022-09-14,35.3,35.72,34.24,35.32,35.2799432945846,3310514,0.0000,1.0
2022-09-13,36.17,36.37,35.02,35.2,35.1600793875815,2271476,0.0000,1.0
2022-09-12,36.63,37.07,36.34,37.02,36.9780153104622,3904501,0.0000,1.0
2022-09-09,36.15,36.49,35.87,36.41,36.3687071165296,2290583,0.0000,1.0
2022-09-08,35.17,35.905,34.8276,35.85,35.8093422171817,2117379,0.0000,1.0
2022-09-07,34.62,35.47,34.46,35.36,35.3198979302523,3059161,0.0000,1.0
2022-09-06,35.18,35.39,34.55,34.73,34.690612418486,2031963,0.0000,1.0
2022-09-02,35.54,35.89,34.91,35.02,34.9802835270768,1866174,0.0000,1.0
2022-09-01,35.08,35.25,34.46,35.05,35.0102495038276,2884098,0.0000,1.0
2022-08-31,35.93,36.1,35.4,35.43,35.3898185426708,2433059,0.0000,1.0
2022-08-30,36.66,36.81,35.41,35.87,35.8293195350156,2335742,0.0000,1.0
2022-08-29,36.43,36.98,36.18,36.6,36.5584916359512,1751643,0.0000,1.0
2022-08-26,37.99,37.99,36.66,36.66,36.6184235894528,1398640,0.0000,1.0
2022-08-25,37.26,37.82,37.1086,37.78,37.7371533881486,1736171,0.0000,1.0
2022-08-24,36.77,37.21,36.7,37.03,36.9880039693791,1636069,0.0000,1.0
2022-08-23,36.65,37.14,36.51,36.68,36.6384009072866,2563312,0.0000,1.0
2022-08-22,36.85,37.14,36.45,36.48,36.4386277289481,1870064,0.0000,1.0
2022-08-19,38.23,38.32,37.41,37.6,37.5573575276439,1992897,0.0000,1.0
2022-08-18,38.42,38.83,38.29,38.44,38.3964048766657,2449394,0.0000,1.0
2022-08-17,38.17,38.5,37.94,38.45,38.4063935355827,3410253,0.0000,1.0
2022-08-16,38.75,38.955,38.62,38.73,38.6860759852566,2658642,0.0000,1.0
2022-08-15,38.26,38.995,38.1835,38.72,38.6760873263397,3293363,0.0000,1.0
2022-08-12,38.45,38.655,38.18,38.55,38.5062801247519,4392476,0.0000,1.0
2022-08-11,38.24,38.62,38.05,38.23,38.1866430394103,3013934,0.0000,1.0
2022-08-10,38.0,38.35,37.83,37.91,37.8670059540686,4123001,0.0000,1.0
2022-08-09,37.57,37.73,37.17,37.44,37.3975389849731,3156981,0.0000,1.0
2022-08-08,37.38,37.795,37.19,37.56,37.5174028919762,5912826,0.0000,1.0
2022-08-05,36.7,37.17,36.28,37.06,37.0179699461299,1792470,0.0000,1.0
2022-08-04,36.76,38.07,36.65,37.11,37.0679132407145,3053755,0.0200,1.0
2022-08-03,37.48,37.48,36.88,37.23,37.1677460261729,5317845,0.0000,1.0
2022-08-02,37.22,37.69,36.93,37.2,37.1377961905354,3503594,0.0000,1.0
2022-08-01,36.96,37.64,36.855,37.35,37.287545368723,5958101,0.0000,1.0
2022-07-29,36.18,37.15,35.87,37.13,37.0679132407145,4008048,0.0000,1.0
2022-07-28,35.34,36.08,35.06,36.04,35.9797358792176,2431504,0.0000,1.0
2022-07-27,35.44,35.93,34.73,35.17,35.1111906457293,3038290,0.0000,1.0
2022-07-26,34.8,35.11,34.51,34.83,34.7717591751706,3012386,0.0000,1.0
2022-07-25,34.51,34.99,34.35,34.83,34.7717591751706,2449996,0.0000,1.0
2022-07-22,34.8,35.04,34.08,34.36,34.302545083516,1845106,0.0000,1.0
2022-07-21,34.48,34.835,34.32,34.75,34.6918929468039,2456872,0.0000,1.0
2022-07-20,34.46,35.06,34.24,34.85,34.7917257322623,2191595,0.0000,1.0
2022-07-19,33.25,34.545,33.25,34.48,34.4223444260661,2814247,0.0000,1.0
2022-07-18,33.82,34.44,32.81,33.0,32.9448192012814,2877404,0.0000,1.0
2022-07-15,33.7,33.78,33.1,33.32,33.2642841147484,2074540,0.0000,1.0
2022-07-14,32.46,33.1,32.29,33.05,32.9947355940106,2398838,0.0000,1.0
2022-07-13,32.81,33.365,32.65,33.18,33.1245182151066,2849508,0.0000,1.0
2022-07-12,32.66,33.82,32.585,33.41,33.3541336216609,3367129,0.0000,1.0
2022-07-11,32.42,32.94,32.3727,32.94,32.8849195300063,2641051,0.0000,1.0
2022-07-08,32.87,33.16,32.5,32.74,32.6852539590895,2562837,0.0000,1.0
2022-07-07,32.41,32.9,32.24,32.55,32.4955716667185,1812213,0.0000,1.0
2022-07-06,31.18,32.155,30.935,31.94,31.886591675422,2540111,0.0000,1.0
2022-07-05,31.03,31.17,30.05,31.1,31.0479962775713,3444653,0.0000,1.0
2022-07-01,31.39,32.1,30.97,31.8,31.7468257757802,3909130,0.0000,1.0
2022-06-30,30.73,31.74,30.46,31.45,31.3974110266757,2869333,0.0000,1.0
2022-06-29,31.98,32.14,30.92,31.32,31.2676284055798,1431789,0.0000,1.0
2022-06-28,32.1,32.78,31.77,31.88,31.826692004147,1728795,0.0000,1.0
