timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,223.45,226.28,223.45,224.56,224.56,356530,0.0000,1.0
2023-02-07,224.11,226.78,222.7,224.86,224.86,477877,0.0000,1.0
2023-02-06,228.4,229.3381,224.935,225.27,225.27,430021,0.0000,1.0
2023-02-03,224.77,229.88,224.69,229.84,229.84,601317,0.0000,1.0
2023-02-02,229.71,230.2,223.185,225.59,225.59,765091,0.0000,1.0
2023-02-01,239.0,239.0,225.51,227.73,227.73,904653,0.0000,1.0
2023-01-31,234.63,240.15,232.61,239.68,239.68,547084,0.0000,1.0
2023-01-30,238.1,238.74,232.61,232.99,232.99,397798,0.0000,1.0
2023-01-27,233.88,239.84,233.845,238.73,238.73,448622,0.0000,1.0
2023-01-26,234.53,235.075,231.855,234.15,234.15,326281,0.0000,1.0
2023-01-25,230.13,232.86,228.04,232.8,232.8,242008,0.0000,1.0
2023-01-24,229.41,234.21,228.375,232.35,232.35,226516,0.0000,1.0
2023-01-23,230.77,232.665,229.41,230.86,230.86,293238,0.0000,1.0
2023-01-20,227.5,231.41,225.91,231.2,231.2,298243,0.0000,1.0
2023-01-19,233.84,233.84,226.18,226.47,226.47,431079,0.0000,1.0
2023-01-18,238.8,239.855,233.7,233.97,233.97,355271,0.0000,1.0
2023-01-17,239.31,240.09,236.35,236.7,236.7,205707,0.0000,1.0
2023-01-13,235.5,239.195,235.33,238.9,238.9,262778,0.0000,1.0
2023-01-12,235.48,237.59,233.73,236.25,236.25,471437,0.6000,1.0
2023-01-11,236.19,238.13,235.1,235.48,234.883470550982,823317,0.0000,1.0
2023-01-10,233.16,235.675,232.96,234.8,234.205193160228,213930,0.0000,1.0
2023-01-09,233.4,237.995,231.9,233.86,233.267574414186,324670,0.0000,1.0
2023-01-06,228.64,232.47,227.94,232.14,231.55193160228,228118,0.0000,1.0
2023-01-05,228.46,229.4,224.84,225.74,225.168144395187,441256,0.0000,1.0
2023-01-04,231.03,231.88,227.33,229.27,228.689202026599,356623,0.0000,1.0
2023-01-03,229.52,229.82,226.78,229.49,228.908644711843,429905,0.0000,1.0
2022-12-30,229.36,230.44,226.18,228.33,227.751583280557,191370,0.0000,1.0
2022-12-29,229.09,231.595,228.27,230.5,229.916086130462,181030,0.0000,1.0
2022-12-28,230.73,231.73,227.01,227.16,226.584547181761,162067,0.0000,1.0
2022-12-27,230.2,231.28,228.305,230.06,229.477200759975,202199,0.0000,1.0
2022-12-23,229.45,230.575,228.02,229.33,228.749050031666,187362,0.0000,1.0
2022-12-22,230.1,231.04,225.19,229.65,229.06823939202,291240,0.0000,1.0
2022-12-21,230.06,232.16,229.27,232.0,231.412286257125,384542,0.0000,1.0
2022-12-20,226.16,229.08,226.16,228.12,227.542115262825,361511,0.0000,1.0
2022-12-19,228.04,229.72,225.14,226.27,225.696801773274,298277,0.0000,1.0
2022-12-16,227.47,229.57,226.3,227.99,227.41244458518,827984,0.0000,1.0
2022-12-15,236.14,236.14,229.49,229.58,228.998416719443,580736,0.0000,1.0
2022-12-14,242.03,243.94,237.88,238.54,237.935718809373,358199,0.0000,1.0
2022-12-13,246.14,246.23,240.81,242.05,241.436827105763,562314,0.0000,1.0
2022-12-12,235.88,240.02,235.37,240.01,239.401994933502,445199,0.0000,1.0
2022-12-09,234.5,236.43,234.18,235.21,234.614154528182,266565,0.0000,1.0
2022-12-08,236.93,236.93,233.15,234.14,233.546865104496,326791,0.0000,1.0
2022-12-07,234.12,236.11,234.055,235.05,234.454559848005,218961,0.0000,1.0
2022-12-06,237.13,238.1999,232.25,233.78,233.187777074098,222967,0.0000,1.0
2022-12-05,238.47,239.14,236.5,236.87,236.269949335022,347107,0.0000,1.0
2022-12-02,238.85,243.51,237.885,241.84,241.22735908803,500352,0.0000,1.0
2022-12-01,238.78,240.8,238.07,240.74,240.130145661811,474500,0.0000,1.0
2022-11-30,230.23,237.72,229.36,237.49,236.888378720709,1175368,0.0000,1.0
2022-11-29,231.29,233.29,230.58,231.06,230.474667511083,286639,0.0000,1.0
2022-11-28,235.06,236.44,231.55,231.83,231.242716909436,249384,0.0000,1.0
2022-11-25,234.69,237.775,233.71,236.66,236.060481317289,132039,0.0000,1.0
2022-11-23,235.13,236.86,234.73,235.4,234.803673210893,227926,0.0000,1.0
2022-11-22,235.13,236.26,233.85,234.82,234.22514249525,237631,0.0000,1.0
2022-11-21,232.99,235.26,232.18,233.28,232.689043698543,383584,0.0000,1.0
2022-11-18,234.6,234.6,231.33,233.55,232.958359721343,268245,0.0000,1.0
2022-11-17,230.31,231.62,227.91,231.47,230.883628879037,259296,0.0000,1.0
2022-11-16,231.62,234.52,230.82,232.74,232.150411652945,341596,0.0000,1.0
2022-11-15,230.01,233.3,229.24,231.62,231.033248891704,510560,0.0000,1.0
2022-11-14,229.46,230.61,228.091,228.1,227.522165927802,403569,0.0000,1.0
2022-11-11,233.6,234.62,228.355,230.08,229.497150094997,431480,0.0000,1.0
2022-11-10,229.09,233.29,227.96,232.96,232.369854338189,362699,0.0000,1.0
2022-11-09,223.95,225.485,221.28,221.79,221.228150728309,257534,0.0000,1.0
2022-11-08,226.1,228.205,223.005,224.89,224.320297656745,345049,0.0000,1.0
2022-11-07,222.59,225.87,221.48,225.75,225.178119062698,333368,0.0000,1.0
2022-11-04,223.67,223.93,220.05,222.59,222.026124129196,314240,0.0000,1.0
2022-11-03,216.62,223.5,215.1004,220.74,220.180810639645,396120,0.0000,1.0
2022-11-02,222.87,225.87,218.13,218.42,217.866687777074,336920,0.0000,1.0
2022-11-01,223.51,224.33,221.04,223.37,222.80414819506,326312,0.0000,1.0
2022-10-31,221.25,223.47,221.11,222.31,221.746833438885,452494,0.0000,1.0
2022-10-28,218.29,223.745,217.48,222.92,222.355288157061,422618,0.0000,1.0
2022-10-27,221.29,222.53,216.84,217.54,216.988917036099,588004,0.0000,1.0
2022-10-26,215.67,222.06,214.55,219.83,219.273115896137,803673,0.0000,1.0
2022-10-25,206.66,213.03,206.53,212.34,211.802089930336,466635,0.0000,1.0
2022-10-24,206.15,207.975,204.85,207.1,206.575364154528,277653,0.0000,1.0
2022-10-21,200.61,204.45,198.93,203.95,203.433343888537,556499,0.0000,1.0
2022-10-20,204.17,204.17,198.99,199.29,198.785148828372,579950,0.0000,1.0
2022-10-19,205.02,206.005,202.4,204.06,203.543065231159,377009,0.0000,1.0
2022-10-18,208.08,209.53,203.82,206.11,205.587872070931,745844,0.0000,1.0
2022-10-17,199.69,204.06,199.06,203.58,203.064281190627,520249,0.0000,1.0
2022-10-14,204.71,204.71,196.87,197.11,196.610671310956,571201,0.0000,1.0
2022-10-13,196.29,206.16,195.27,203.81,203.293698543382,524875,0.6000,1.0
2022-10-12,205.75,205.97,200.35,200.4,199.305597515257,473864,0.0000,1.0
2022-10-11,203.81,207.81,202.19,205.56,204.437418289602,449018,0.0000,1.0
2022-10-10,203.38,204.41,201.56,203.69,202.577630528357,353350,0.0000,1.0
2022-10-07,205.4,205.52,201.11,202.03,200.926695938161,270654,0.0000,1.0
2022-10-06,209.35,209.82,206.96,207.39,206.257424494457,484787,0.0000,1.0
2022-10-05,208.17,210.9,208.12,208.86,207.7193966918,325131,0.0000,1.0
2022-10-04,207.64,210.76,207.64,210.64,209.489675951167,546592,0.0000,1.0
2022-10-03,201.87,206.45,200.88,205.09,203.969985002017,564114,0.0000,1.0
2022-09-30,200.7,203.52,199.43,199.85,198.758601114891,796771,0.0000,1.0
2022-09-29,201.4,202.04,198.925,200.25,199.156416678794,578027,0.0000,1.0
2022-09-28,199.93,204.32,198.5,202.94,201.831726346039,427536,0.0000,1.0
2022-09-27,201.26,201.8,196.44,198.53,197.445809754012,677091,0.0000,1.0
2022-09-26,198.81,202.15,197.89,199.62,198.529857165647,654741,0.0000,1.0
2022-09-23,200.45,201.11,197.03,199.31,198.221550103622,544019,0.0000,1.0
2022-09-22,202.89,204.27,200.6,201.76,200.658170432526,405683,0.0000,1.0
2022-09-21,207.72,210.5,204.19,204.32,203.204190041504,461753,0.0000,1.0
2022-09-20,208.0,208.0,204.97,206.22,205.093813970042,481760,0.0000,1.0
2022-09-19,203.9,209.4158,203.9,209.39,208.246502313971,560710,0.0000,1.0
2022-09-16,205.04,205.39,202.07,204.93,203.810858776455,1066911,0.0000,1.0
2022-09-15,208.62,209.67,205.28,205.84,204.715889184334,476904,0.0000,1.0
2022-09-14,207.42,209.93,206.31,208.04,206.903874785799,686402,0.0000,1.0
2022-09-13,206.74,209.64,206.14,207.97,206.834257062116,555269,0.0000,1.0
2022-09-12,211.26,212.09,210.33,211.17,210.016781573338,380667,0.0000,1.0
2022-09-09,209.07,210.63,208.94,210.04,208.892952605313,316047,0.0000,1.0
2022-09-08,206.51,208.83,204.92,208.59,207.450871186165,346756,0.0000,1.0
2022-09-07,201.3,207.31,201.3,207.24,206.108243657994,474276,0.0000,1.0
2022-09-06,200.66,202.1625,199.51,200.93,199.832703137428,294167,0.0000,1.0
2022-09-02,204.79,205.38,199.4,200.02,198.92767272955,189571,0.0000,1.0
2022-09-01,200.58,202.74,198.62,202.61,201.50352850582,298089,0.0000,1.0
2022-08-31,203.16,204.365,200.515,201.21,200.11117403216,455305,0.0000,1.0
2022-08-30,204.7,205.3,201.7,202.59,201.483637727625,189593,0.0000,1.0
2022-08-29,204.24,205.99,203.6,204.8,203.681568718187,204451,0.0000,1.0
2022-08-26,213.64,213.64,204.95,205.46,204.337964398626,202348,0.0000,1.0
2022-08-25,212.36,213.46,210.8,213.46,212.294275676681,174856,0.0000,1.0
2022-08-24,211.61,212.9,210.1,211.43,210.275361689874,272429,0.0000,1.0
2022-08-23,210.25,212.285,210.06,211.43,210.275361689874,258094,0.0000,1.0
2022-08-22,212.76,213.75,210.5,211.01,209.857655347777,378485,0.0000,1.0
2022-08-19,216.45,216.86,214.45,215.54,214.362916608975,966429,0.0000,1.0
2022-08-18,216.57,218.04,215.72,217.63,216.441502930366,278790,0.0000,1.0
2022-08-17,214.97,217.09,214.63,215.9,214.720950616487,230111,0.0000,1.0
2022-08-16,215.01,218.66,214.65,217.41,216.22270437022,358067,0.0000,1.0
2022-08-15,213.62,216.29,213.465,216.12,214.939749176634,452538,0.0000,1.0
2022-08-12,215.11,216.19,213.52,215.2,214.024773379657,381074,0.0000,1.0
2022-08-11,215.29,216.73,213.58,214.02,212.851217466144,251067,0.0000,1.0
2022-08-10,213.36,214.41,212.12,213.72,212.552855793217,366197,0.0000,1.0
2022-08-09,210.66,211.425,208.98,209.46,208.316120037654,271129,0.0000,1.0
2022-08-08,213.12,213.12,210.23,211.13,209.977000016947,281446,0.0000,1.0
2022-08-05,209.07,212.68,208.61,211.93,210.772631144753,438251,0.0000,1.0
2022-08-04,209.84,211.515,209.3,210.93,209.778092234996,282171,0.0000,1.0
