timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,426.65,430.65,417.7,421.74,421.74,1054893,0.0000,1.0
2023-02-07,412.74,429.88,409.015,427.67,427.67,1400754,0.0000,1.0
2023-02-06,417.65,418.26,412.7,414.99,414.99,1337921,0.0000,1.0
2023-02-03,440.76,440.91,421.69,423.76,423.76,1843210,0.0000,1.0
2023-02-02,443.96,457.94,442.09,452.16,452.16,1917634,0.0000,1.0
2023-02-01,420.35,437.96,416.005,435.55,435.55,1521652,0.0000,1.0
2023-01-31,416.45,422.92,415.1,422.67,422.67,1174618,0.0000,1.0
2023-01-30,416.14,420.53,412.24,416.45,416.45,1543534,0.0000,1.0
2023-01-27,408.32,428.7,407.27,422.62,422.62,1724997,0.0000,1.0
2023-01-26,409.95,413.22,402.08,412.55,412.55,1282609,0.0000,1.0
2023-01-25,394.3,403.95,385.49,401.9,401.9,1131996,0.0000,1.0
2023-01-24,410.0,410.0,398.74,401.55,401.55,1189633,0.0000,1.0
2023-01-23,400.73,410.51,399.12,410.0,410.0,2211868,0.0000,1.0
2023-01-20,383.27,400.3099,382.55,398.07,398.07,1702062,0.0000,1.0
2023-01-19,383.14,388.97,378.22,378.6,378.6,1082148,0.0000,1.0
2023-01-18,392.1,401.315,385.64,386.07,386.07,1603307,0.0000,1.0
2023-01-17,392.0,395.29,386.75,390.2,390.2,1658658,0.0000,1.0
2023-01-13,390.0,394.63,386.46,393.21,393.21,1311178,0.0000,1.0
2023-01-12,398.27,398.27,386.03,396.7,396.7,1098972,0.0000,1.0
2023-01-11,388.28,395.83,384.29,395.31,395.31,1587429,0.0000,1.0
2023-01-10,387.58,394.96,385.53,388.68,388.68,1069930,0.0000,1.0
2023-01-09,391.1,402.64,388.16,395.34,395.34,1331555,0.7800,1.0
2023-01-06,380.24,389.34,370.62,386.52,385.758903362617,1312858,0.0000,1.0
2023-01-05,386.35,387.47,375.0,375.62,374.880366555589,1263887,0.0000,1.0
2023-01-04,397.58,399.72,387.6,391.57,390.798959406241,1209717,0.0000,1.0
2023-01-03,396.7,404.45,385.22,391.18,390.409727355347,1874001,0.0000,1.0
2022-12-30,386.01,389.44,382.68,389.22,388.453586791881,948917,0.0000,1.0
2022-12-29,380.38,391.98,377.555,390.87,390.100337776431,1004562,0.0000,1.0
2022-12-28,385.36,388.4982,374.82,376.5,375.758633747349,843565,0.0000,1.0
2022-12-27,383.44,385.3399,377.4638,383.11,382.355617994547,823347,0.0000,1.0
2022-12-23,383.32,385.43,378.5,384.49,383.732900636171,705171,0.0000,1.0
2022-12-22,385.35,387.75,376.76,383.95,383.193963950318,1314606,0.0000,1.0
2022-12-21,389.43,396.39,384.26,393.33,392.555493789761,1330126,0.0000,1.0
2022-12-20,381.87,390.06,380.82,387.08,386.317800666465,1320220,0.0000,1.0
2022-12-19,388.74,388.74,377.5,383.52,382.764810663435,1535452,0.0000,1.0
2022-12-16,392.73,393.9899,380.5491,384.98,384.221935777037,3565663,0.0000,1.0
2022-12-15,410.94,415.16,394.24,396.53,395.749192668888,1741524,0.0000,1.0
2022-12-14,426.53,434.235,416.15,418.92,418.095104513784,1631448,0.0000,1.0
2022-12-13,432.11,441.98,422.21,428.39,427.546457134202,3247691,0.0000,1.0
2022-12-12,400.73,410.98,398.33,410.78,409.971132990003,1810523,0.0000,1.0
2022-12-09,404.19,405.83,399.28,399.83,399.042694637988,1061329,0.0000,1.0
2022-12-08,391.6,406.72,389.46,405.36,404.561805513481,1525725,0.0000,1.0
2022-12-07,388.06,394.19,385.39,388.65,387.884709179037,968668,0.0000,1.0
2022-12-06,395.45,395.49,385.16,389.78,389.012484095729,1209860,0.0000,1.0
2022-12-05,401.16,404.195,393.18,395.14,394.361929718267,1499032,0.0000,1.0
2022-12-02,401.87,409.17,400.16,407.92,407.116764616783,1876030,0.0000,1.0
2022-12-01,407.89,418.22,405.0,416.07,415.250716449561,1943059,0.0000,1.0
2022-11-30,375.49,411.49,374.0,407.59,406.787414419873,4902337,0.0000,1.0
2022-11-29,381.63,385.335,377.43,379.71,378.962312935474,1716339,0.0000,1.0
2022-11-28,394.38,398.7,383.48,385.64,384.880636170857,1691577,0.0000,1.0
2022-11-25,394.85,395.83,391.48,392.47,391.697187215995,861769,0.0000,1.0
2022-11-23,390.42,400.1,390.06,395.85,395.070531657074,1489068,0.0000,1.0
2022-11-22,379.99,394.0,375.0,392.23,391.457659800061,2298740,0.0000,1.0
2022-11-21,376.57,380.4,372.16,375.0,374.261587397758,1429458,0.0000,1.0
2022-11-18,388.47,389.43,369.94,380.07,379.321604059376,2046170,0.0000,1.0
2022-11-17,384.6,388.49,378.02,381.88,381.128039987882,2050259,0.0000,1.0
2022-11-16,407.02,407.1,390.83,393.66,392.884843986671,1260116,0.0000,1.0
2022-11-15,414.5,416.48,401.78,407.02,406.218536807028,2076375,0.0000,1.0
2022-11-14,400.05,403.57,391.04,397.66,396.87696758558,1801837,0.0000,1.0
2022-11-11,402.255,411.935,398.64,408.04,407.23652832475,1720185,0.0000,1.0
2022-11-10,397.35,403.75,388.0,403.24,402.445980006059,3088323,0.0000,1.0
2022-11-09,376.97,379.65,368.13,368.55,367.824288094517,1446963,0.0000,1.0
2022-11-08,372.45,391.1,370.13,382.57,381.816681308694,2668592,0.0000,1.0
2022-11-07,363.56,370.5,357.48,370.11,369.381216298091,1650158,0.0000,1.0
2022-11-04,371.66,371.66,352.63,361.19,360.478780672523,3187821,0.0000,1.0
2022-11-03,375.84,382.62,364.33,364.99,364.271298091487,3252131,0.0000,1.0
2022-11-02,402.52,408.99,384.82,385.03,384.271837322024,2702592,0.0000,1.0
2022-11-01,433.48,434.139,387.06,394.77,393.992658285368,4241904,0.0000,1.0
2022-10-31,427.56,430.8,423.805,427.5,426.658209633444,1038535,0.0000,1.0
2022-10-28,422.0,432.81,416.615,431.79,430.939762193275,1169625,0.0000,1.0
2022-10-27,430.23,431.67,420.13,422.0,421.169039684944,998512,0.0000,1.0
2022-10-26,425.61,437.13,420.09,424.39,423.554333535292,1355356,0.0000,1.0
2022-10-25,420.83,433.79,420.34,432.08,431.229191154196,1292028,0.0000,1.0
2022-10-24,420.0,421.07,405.15,417.76,416.9373886701,1411898,0.0000,1.0
2022-10-21,404.02,418.61,395.82,417.18,416.358530748258,1488927,0.0000,1.0
2022-10-20,403.22,408.61,397.97,401.15,400.360095425629,1399133,0.0000,1.0
2022-10-19,408.82,412.205,399.78,402.07,401.278283853378,1291883,0.0000,1.0
2022-10-18,415.85,420.0,401.51,408.65,407.845327173584,1704579,0.0000,1.0
2022-10-17,393.23,405.14,391.79,403.74,402.944995455922,2311597,0.0000,1.0
2022-10-14,402.36,403.08,379.57,380.11,379.361525295365,1804634,0.0000,1.0
2022-10-13,373.12,398.99,371.01,395.78,395.000669494093,1731654,0.0000,1.0
2022-10-12,386.48,399.79,383.1,388.06,387.295870948198,2210662,0.0000,1.0
2022-10-11,384.32,389.45,374.53,383.48,382.724889427446,1786776,0.0000,1.0
2022-10-10,393.0,394.9121,379.71,387.64,386.876697970312,1305335,0.0000,1.0
2022-10-07,402.16,403.72,391.39,392.96,392.186222356862,1414346,0.0000,1.0
2022-10-06,412.37,417.3,407.22,411.32,410.510069675856,1282677,0.7800,1.0
2022-10-05,405.3,417.44,400.79,413.58,411.984359661588,1200803,0.0000,1.0
2022-10-04,406.44,414.72,405.18,412.01,410.420416906453,1788891,0.0000,1.0
2022-10-03,389.32,399.53,388.0,396.8,395.269098877407,1819044,0.0000,1.0
2022-09-30,395.27,403.0,387.01,387.32,385.825673833663,2001502,0.0000,1.0
2022-09-29,401.14,404.79,394.12,396.81,395.27906029623,1999240,0.0000,1.0
2022-09-28,404.06,412.0,398.81,409.29,407.710910986729,1710594,0.0000,1.0
2022-09-27,399.7,407.29,395.23,400.77,399.223782149946,1624379,0.0000,1.0
2022-09-26,394.36,404.83,393.095,395.8,394.272956995156,1819195,0.0000,1.0
2022-09-23,394.9,395.46,386.37,393.97,392.450017350636,1680833,0.0000,1.0
2022-09-22,404.82,406.65,395.45,396.71,395.179446108005,2258872,0.0000,1.0
2022-09-21,422.14,427.92,408.5,408.68,407.103264438556,1485940,0.0000,1.0
2022-09-20,420.06,421.19,414.08,417.82,416.208001242335,1271437,0.0000,1.0
2022-09-19,415.28,424.215,415.051,423.69,422.055354091151,1269989,0.0000,1.0
2022-09-16,418.7,424.39,414.02,423.0,421.368016192398,2095746,0.0000,1.0
2022-09-15,433.235,436.9299,419.66,422.12,420.491411336016,1468240,0.0000,1.0
2022-09-14,430.74,437.26,425.73,436.84,435.154619842759,1475305,0.0000,1.0
2022-09-13,434.26,439.69,428.015,429.31,427.653671469405,1697766,0.0000,1.0
2022-09-12,457.33,459.99,449.88,455.37,453.61312892088,1250320,0.0000,1.0
2022-09-09,441.37,452.6,441.32,450.03,448.293731269656,1292190,0.0000,1.0
2022-09-08,429.52,440.87,427.63,439.04,437.346131983712,1131073,0.0000,1.0
2022-09-07,421.29,438.72,419.01,435.29,433.610599925269,1421921,0.0000,1.0
2022-09-06,420.5,422.63,413.73,418.76,417.144374611651,1390574,0.0000,1.0
2022-09-02,432.74,433.98,418.0,420.06,418.439359058578,1299923,0.0000,1.0
2022-09-01,427.39,428.195,415.655,425.5,423.858370898026,1994253,0.0000,1.0
2022-08-31,439.09,441.2799,429.86,431.78,430.114141918566,1294254,0.0000,1.0
2022-08-30,440.0,443.82,428.16,433.2,431.528663391363,1250998,0.0000,1.0
2022-08-29,438.25,446.39,436.17,436.8,435.114774167469,1793627,0.0000,1.0
2022-08-26,466.95,467.85,447.84,448.46,446.729788514521,1777839,0.0000,1.0
2022-08-25,464.8,466.69,457.69,465.85,464.052695846876,1701836,0.0000,1.0
2022-08-24,479.65,487.8,465.33,465.77,463.973004496295,3587397,0.0000,1.0
2022-08-23,451.97,453.04,444.38,449.56,447.825544584998,2339729,0.0000,1.0
2022-08-22,456.73,457.45,445.01,446.12,444.398816510053,1692793,0.0000,1.0
2022-08-19,469.43,470.76,459.77,463.95,462.160026270598,1509572,0.0000,1.0
2022-08-18,477.3,480.71,472.0804,477.755,475.91176495508,1160229,0.0000,1.0
2022-08-17,478.31,483.84,474.88,478.3,476.454662280907,1422646,0.0000,1.0
2022-08-16,482.89,490.83,481.055,488.18,486.296544077552,1031551,0.0000,1.0
2022-08-15,485.2,490.23,483.7,489.23,487.342493053916,830838,0.0000,1.0
2022-08-12,480.64,487.6025,475.46,486.66,484.78240841653,1178722,0.0000,1.0
2022-08-11,486.36,489.27,475.52,478.77,476.922848965565,1259571,0.0000,1.0
2022-08-10,477.79,479.59,474.4,478.09,476.245472485634,1408777,0.0000,1.0
2022-08-09,460.77,466.08,458.61,462.07,460.287279531965,1068017,0.0000,1.0
2022-08-08,471.32,476.35,463.83,466.76,464.959184959724,1218980,0.0000,1.0
2022-08-05,456.48,470.65,455.22,468.99,467.180581357145,933781,0.0000,1.0
2022-08-04,465.75,467.86,458.2,466.3,464.500959693889,1421374,0.0000,1.0
2022-08-03,451.47,466.88,450.21,465.75,463.95308165865,1565410,0.0000,1.0
2022-08-02,442.99,451.29,441.02,446.97,445.245537109967,1064759,0.0000,1.0
2022-08-01,448.79,456.53,444.45,448.46,446.729788514521,1696809,0.0000,1.0
2022-07-29,445.24,459.58,445.24,456.17,454.410042426681,2178555,0.0000,1.0
2022-07-28,434.91,450.15,431.025,448.59,446.859286959214,1754042,0.0000,1.0
2022-07-27,418.11,437.115,416.71,433.16,431.488817716073,1758543,0.0000,1.0
2022-07-26,423.86,424.49,409.41,414.22,412.621890466229,1539996,0.0000,1.0
2022-07-25,431.61,432.72,422.07,426.2,424.555670215602,1026658,0.0000,1.0
2022-07-22,436.69,446.0,429.165,434.74,433.062721890031,1590349,0.0000,1.0
2022-07-21,420.58,436.87,420.58,434.7,433.02287621474,2076372,0.0000,1.0
2022-07-20,408.35,422.44,405.89,420.45,418.827854392656,1663629,0.0000,1.0
2022-07-19,397.62,404.585,391.15,403.86,402.301860566103,1358903,0.0000,1.0
2022-07-18,396.05,400.0,386.72,388.25,386.752085784157,1085706,0.0000,1.0
2022-07-15,388.04,394.44,382.67,392.96,391.443914049561,1520736,0.0000,1.0
2022-07-14,380.58,383.36,370.765,379.87,378.404416810889,1312393,0.0000,1.0
2022-07-13,376.99,387.16,373.95,383.31,381.831144885834,1255507,0.0000,1.0
2022-07-12,405.12,406.0,381.13,385.87,384.381268104398,1611341,0.0000,1.0
2022-07-11,404.65,406.94,395.37,402.56,401.006876119176,1021457,0.0000,1.0
2022-07-08,402.41,409.8,398.224,406.81,405.240479118745,1173100,0.6800,1.0
2022-07-07,399.365,411.615,397.87,410.84,408.571985671171,1585073,0.0000,1.0
2022-07-06,403.34,408.58,396.73,404.91,402.674721833594,1356385,0.0000,1.0
2022-07-05,384.77,400.335,380.33,400.22,398.010612660198,1591443,0.0000,1.0
2022-07-01,382.5,391.13,378.08,388.31,386.16636100665,1133780,0.0000,1.0
2022-06-30,387.7,389.58,376.18,385.44,383.312204646811,1670438,0.0000,1.0
2022-06-29,389.375,392.55,382.74,389.66,387.508908423299,1066313,0.0000,1.0
2022-06-28,405.75,409.77,384.49,386.29,384.157512279516,1631091,0.0000,1.0
2022-06-27,415.36,420.0,402.82,404.72,402.485770715695,1783824,0.0000,1.0
2022-06-24,407.77,419.68,407.33,417.62,415.314557141452,2633016,0.0000,1.0
2022-06-23,387.31,401.48,380.8,400.75,398.537686831179,2111723,0.0000,1.0
2022-06-22,371.77,391.15,371.56,380.84,378.737598634526,1773518,0.0000,1.0
2022-06-21,377.04,383.03,374.4,377.43,375.346423308027,2019049,0.0000,1.0
2022-06-17,363.05,375.16,362.54,369.71,367.669041043931,2776218,0.0000,1.0
2022-06-16,365.46,370.4,355.22,359.63,357.644686999618,2106231,0.0000,1.0
2022-06-15,370.39,386.79,368.47,378.54,376.450295628383,1830498,0.0000,1.0
2022-06-14,366.81,371.11,359.84,364.78,362.766256774242,1401531,0.0000,1.0
2022-06-13,368.29,372.99,361.76,363.99,361.98061791561,2191421,0.0000,1.0
2022-06-10,390.4,393.4,378.84,381.22,379.115500870323,2197349,0.0000,1.0
2022-06-09,409.55,414.42,400.11,400.55,398.338790917601,1186291,0.0000,1.0
2022-06-08,415.34,420.18,412.3594,414.46,412.172001706926,1335070,0.0000,1.0
2022-06-07,404.11,418.75,403.1508,416.65,414.349911960601,1218136,0.0000,1.0
2022-06-06,416.58,419.86,406.751,408.97,406.71230887922,859916,0.0000,1.0
2022-06-03,416.7,420.68,405.375,408.95,406.692419287862,1519020,0.0000,1.0
2022-06-02,409.36,427.25,408.48,426.86,424.503548348739,1453401,0.0000,1.0
2022-06-01,420.21,424.59,406.355,408.37,406.115621138487,1598493,0.0000,1.0
2022-05-31,419.82,425.0,412.57,414.46,412.172001706926,4297665,0.0000,1.0
2022-05-27,411.0,422.83,410.69,422.48,420.147727841389,2932366,0.0000,1.0
2022-05-26,386.29,414.0,385.8503,406.42,404.176385981105,3508247,0.0000,1.0
2022-05-25,372.79,395.58,363.5,388.45,386.305588146155,5277109,0.0000,1.0
2022-05-24,363.105,365.705,355.74,358.97,356.988330484812,2877707,0.0000,1.0
2022-05-23,371.15,372.0,363.0,371.37,369.319877126625,1799444,0.0000,1.0
2022-05-20,367.82,371.79,356.27,367.78,365.749695477906,1921565,0.0000,1.0
2022-05-19,355.56,369.12,354.66,362.33,360.329781832916,2102856,0.0000,1.0
2022-05-18,364.15,368.84,351.9,353.31,351.359576130565,1721112,0.0000,1.0
2022-05-17,369.1,373.725,359.22,371.87,369.817116910569,1643259,0.0000,1.0
2022-05-16,370.1,370.33,356.39,359.59,357.604907816902,1554840,0.0000,1.0
2022-05-13,362.1,376.945,360.61,371.76,369.707724158101,1894194,0.0000,1.0
2022-05-12,342.57,355.47,339.36,353.89,351.93637427994,3267985,0.0000,1.0
2022-05-11,366.85,376.43,354.515,356.17,354.203787694725,2563418,0.0000,1.0
2022-05-10,381.67,383.47,364.505,371.19,369.140870804405,2271027,0.0000,1.0
2022-05-09,386.83,390.93,363.765,367.01,364.983946210633,3485197,0.0000,1.0
2022-05-06,406.18,406.535,390.81,395.71,393.525509809023,1989652,0.0000,1.0
2022-05-05,437.87,439.75,404.77,409.86,407.59739569464,2110575,0.0000,1.0
2022-05-04,432.0,448.35,418.16,447.92,445.447288048463,1599197,0.0000,1.0
2022-05-03,429.62,433.54,425.66,430.84,428.461577028934,1324326,0.0000,1.0
2022-05-02,420.08,427.9,413.23,427.01,424.652720283922,1778755,0.0000,1.0
2022-04-29,441.57,442.5,417.63,418.75,416.438319053166,1898453,0.0000,1.0
2022-04-28,423.99,448.01,421.79,444.58,442.125726291717,1794610,0.0000,1.0
2022-04-27,421.17,428.82,416.16,418.25,415.941079269222,1927944,0.0000,1.0
2022-04-26,444.55,445.27,421.11,421.35,419.023965929675,2212662,0.0000,1.0
2022-04-25,441.59,447.43,433.6,446.93,444.462753276254,2094006,0.0000,1.0
2022-04-22,466.26,468.02,442.78,443.29,440.842847649141,1699316,0.0000,1.0
2022-04-21,484.83,491.625,463.56,465.65,463.07941078712,1426554,0.0000,1.0
2022-04-20,487.58,492.37,481.235,481.95,479.289427743697,1176942,0.0000,1.0
2022-04-19,466.3,485.66,464.91,485.07,482.392203995508,1184250,0.0000,1.0
2022-04-18,461.68,474.17,460.6,469.04,466.450696522261,989347,0.0000,1.0
2022-04-14,467.7,469.275,459.88,465.11,462.542391820461,1646050,0.0000,1.0
2022-04-13,464.35,473.24,460.0,470.42,467.823078325947,1477828,0.0000,1.0
2022-04-12,479.89,484.4899,461.17,461.62,459.071658128531,1509719,0.0000,1.0
2022-04-11,478.37,478.63,464.74,473.34,470.72695866418,1595587,0.0000,1.0
2022-04-08,493.32,493.32,481.5142,482.84,480.174514559118,1717571,0.6800,1.0
2022-04-07,484.62,498.45,484.23,495.01,491.585014998157,1568187,0.0000,1.0
2022-04-06,485.27,493.59,482.0843,490.21,486.818226302997,2041374,0.0000,1.0
2022-04-05,501.905,506.355,491.0,496.05,492.617819215442,1598804,0.0000,1.0
2022-04-04,485.38,507.71,485.0001,505.65,502.151396605762,2326754,0.0000,1.0
2022-04-01,480.64,487.49,477.07,483.93,480.581677760163,1316214,0.0000,1.0
2022-03-31,477.67,488.86,473.57,480.84,477.513057537654,2647909,0.0000,1.0
2022-03-30,480.96,481.52,468.22,471.95,468.684567641826,1747841,0.0000,1.0
2022-03-29,488.13,490.09,475.8,485.36,482.001783558929,1918126,0.0000,1.0
2022-03-28,460.54,481.705,458.2,480.5,477.17541000508,2085040,0.0000,1.0
2022-03-25,467.52,469.04,452.82,459.35,456.171747317031,1312143,0.0000,1.0
2022-03-24,464.16,467.22,453.04,465.63,462.408295859865,1567165,0.0000,1.0
2022-03-23,471.17,471.98,459.75,461.44,458.247286561382,1718673,0.0000,1.0
2022-03-22,466.46,478.705,465.98,475.99,472.696614793586,1977656,0.0000,1.0
2022-03-21,473.07,476.495,463.56,466.5,463.272276310863,2041214,0.0000,1.0
2022-03-18,475.69,483.315,467.86,479.87,476.54976898884,3068210,0.0000,1.0
2022-03-17,454.83,475.0,453.23,473.75,470.472113402511,2680697,0.0000,1.0
2022-03-16,445.0,457.9,437.99,457.9,454.731779898701,2487526,0.0000,1.0
2022-03-15,427.8,441.49,425.54,439.68,436.637844476657,1953415,0.0000,1.0
2022-03-14,439.92,445.28,423.03,424.63,421.691975755374,2353906,0.0000,1.0
2022-03-11,457.57,461.9,438.51,439.32,436.28033532452,2303338,0.0000,1.0
2022-03-10,460.15,460.15,443.34,452.37,449.240042089486,1756284,0.0000,1.0
2022-03-09,456.48,469.96,452.001,464.74,461.524453789304,1950593,0.0000,1.0
2022-03-08,438.43,455.25,432.15,442.21,439.150339351397,2668961,0.0000,1.0
2022-03-07,464.22,466.74,436.51,437.39,434.363689036674,2312735,0.0000,1.0
2022-03-04,470.81,474.63,460.96,464.95,461.733000794718,1611860,0.0000,1.0
2022-03-03,490.15,492.87,468.985,472.7,469.429378375445,1640356,0.0000,1.0
2022-03-02,472.11,489.3386,468.0,486.0,482.637355384951,2083149,0.0000,1.0
